"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.2283545	0.3562428	0.7918804	0.5006218	0.9335999	0.0809339	0.9854491	0.6201066	0.0226644	0.7302223	0.0282338	0.4707935	0.0611738	0.0294395	0.0151294	0.1524083	0.4983766	0.8248127	0.0762480	0.0117689	0.0615990	0.2927054	0.2545630	0.2417312	0.1770087	0.9948829	0.6776013	0.5698658	0.2693426	0.7235289	0.3413284	0.0265530	0.2682936	0.1793847	1.0026672	1.0258144	0.9536877	0.1717468	0.0946690	0.9371784	0.0430992	1.0016200	0.9819442	0.8019967	0.9724326	0.9286208	0.9234629	0.8661786	0.6519950	0.2777364	0.9453846	0.9187512	0.6606809	0.3663641	0.7144125	0.4381380	0.4536826	0.4276960	0.1560540	0.3776579	0.0288353	0.4683243	1.0008446	0.6434506	0.7343739	0.5435298	0.5612650	0.6197808	0.7710070	0.0153306	0.2436039	0.0336199	0.0536517	0.1008614	0.5190247	1.0871047	0.0323704	0.1554464	0.2006517	0.0522619	0.5984039	0.2352443	1.1254717	0.2856968	0.9070356	0.3073633	0.1961427	0.0790772	0.0674945	0.9431698	1.0196279	0.7187045	1.0894537	0.6496487	0.6823931	0.9387846	0.4026753	1.0349220	0.9043957	0.9854825
50.0	0.1535236	0.3176575	0.7603343	0.4994521	0.9452327	0.0709692	0.9311800	0.6433772	0.0253799	0.6996654	0.0349551	0.5171582	0.0699814	0.0316916	0.0151264	0.1511110	0.5181687	0.7772594	0.0866234	0.0161208	0.0754636	0.3242275	0.2383558	0.2305735	0.1781651	0.9483284	0.7085076	0.5146081	0.2618306	0.8414105	0.3797743	0.0327215	0.2792408	0.1938791	1.0175339	0.9226091	0.8896926	0.1664704	0.0966656	1.0032779	0.0881422	1.0241806	1.0495039	0.7416816	0.9452476	1.0067225	0.8955994	0.9100188	0.6102627	0.2132386	1.0670194	0.9101431	0.6663656	0.3610813	0.7124371	0.4249644	0.3729624	0.3826592	0.1285171	0.3315662	0.0469819	0.4929971	1.0760426	0.8042340	0.7565784	0.5361469	0.5466122	0.6656215	0.7447354	0.0281472	0.2666622	0.0189560	0.0435450	0.0993290	0.6100115	1.0432232	0.0424583	0.1493781	0.2295048	0.0296199	0.6381150	0.2248420	1.0097312	0.3216646	0.8962136	0.3013188	0.2003273	0.1008043	0.0722995	1.0581072	1.0592008	0.6800351	0.9839116	0.8045808	0.7633348	0.9570787	0.3793119	0.9035486	0.8466398	0.9401834
100.0	0.1326603	0.3572073	0.8757283	0.4934852	1.0029919	0.0789515	1.0187768	0.6680438	0.0244157	0.6446789	0.0337983	0.5292144	0.0375756	0.0298401	0.0087888	0.1322894	0.5988334	0.7780576	0.0746495	0.0034806	0.0775244	0.2443754	0.1617154	0.2017766	0.1679767	0.9390406	0.7373742	0.4758304	0.2869321	0.8177443	0.3294280	0.0253034	0.3053617	0.1772603	0.9885945	0.9729825	0.9036784	0.1747203	0.0970676	0.9928435	0.0498001	1.0214306	1.0381567	0.8715217	0.9379871	1.0678301	0.9268498	0.8789037	0.6101793	0.2271138	0.9897957	0.9488206	0.7570127	0.3986859	0.7882038	0.4847815	0.3790033	0.3724108	0.1143140	0.3625435	0.0365283	0.3943658	0.9649807	0.7543813	0.7383213	0.4984245	0.5628629	0.6622815	0.7858522	0.0383109	0.2334876	0.0315723	0.0722079	0.1103251	0.6471618	1.0092091	0.0230524	0.1745804	0.1823043	0.0381932	0.7062378	0.1357124	0.9890624	0.2785397	0.9311732	0.2875909	0.1511306	0.0777066	0.0698719	1.0770756	1.0833650	0.7773086	0.9941536	0.7198747	0.7671143	0.9214272	0.3382468	1.0036676	0.8647771	0.9423785
150.0	0.0997483	0.3496216	0.7675734	0.4757154	1.0218279	0.0558985	1.0352508	0.6515855	0.0163818	0.6574078	0.0158390	0.5367986	0.0383321	0.0316295	0.0087196	0.1408977	0.5696402	0.7899617	0.0642764	0.0016575	0.0847231	0.2312967	0.1334967	0.2083568	0.1501340	0.9629382	0.8167166	0.5212229	0.2579278	0.8718385	0.2944916	0.0242435	0.2520192	0.1597468	0.9773353	1.0217230	0.9406626	0.1374713	0.0907098	0.9360460	0.0603565	0.9913245	1.0274425	0.8115446	0.9966289	1.0516034	0.9210362	0.8570005	0.6151478	0.2379740	0.9828311	0.9921931	0.6662288	0.3671587	0.7542197	0.5245863	0.3113219	0.3992581	0.1180798	0.3595931	0.0221370	0.3864593	0.8963541	0.7542801	0.7014507	0.5318769	0.5715612	0.6387563	0.7391830	0.0356370	0.2648580	0.0310412	0.0627722	0.1130602	0.5988251	0.9902041	0.0241488	0.1522621	0.2924760	0.0625246	0.6477291	0.1721742	1.0843484	0.2664143	0.9177792	0.3457615	0.1983787	0.0570898	0.0777067	1.0126329	1.0228370	0.7150208	0.9487137	0.6738684	0.7993711	0.9723250	0.4498689	1.0587137	0.8769385	0.9653675
200.0	0.1332814	0.3609511	0.7660944	0.5076227	1.0068875	0.0436919	0.9813137	0.6206167	0.0151478	0.7546025	0.0143845	0.5238189	0.0543783	0.0385743	0.0108441	0.1632532	0.5507773	0.8184965	0.0721701	0.0081688	0.0516262	0.2325980	0.1814904	0.1619284	0.1989132	0.9293292	0.7737921	0.5504438	0.2893274	0.7616970	0.3250894	0.0379059	0.2442324	0.1453269	0.9519834	0.9998968	0.9258517	0.1535787	0.0705402	0.9849539	0.0604035	1.0381378	1.0526014	0.7751941	0.9724628	1.0117759	0.9090823	0.8813111	0.6714264	0.2258935	0.9254229	0.9847627	0.6475748	0.3366702	0.7831008	0.6718145	0.3012720	0.3599850	0.1289739	0.4297273	0.0291888	0.4616426	0.9258457	0.7070829	0.7469919	0.5646001	0.6442745	0.6876154	0.7431357	0.0447041	0.2452511	0.0306334	0.0817087	0.0906779	0.5307008	1.0064319	0.0205814	0.2164813	0.2475311	0.0391724	0.6432147	0.1740597	0.9232017	0.2341367	0.8363668	0.3020654	0.2143765	0.1025171	0.0750780	0.9790014	1.0099695	0.6615231	0.9754804	0.6902025	0.7446079	1.0391863	0.4154526	1.0005873	0.9068419	1.0162518
250.0	0.1608297	0.3290090	0.8047994	0.5680777	1.0256803	0.0569593	1.0097257	0.7356819	0.0293479	0.7323126	0.0166919	0.5534251	0.0547402	0.0271227	0.0078963	0.1421242	0.6151358	0.8498359	0.0876585	0.0040879	0.0559471	0.2092469	0.2145432	0.1582337	0.1717046	0.9865568	0.6877442	0.5905510	0.3300942	0.7162121	0.3008080	0.0270532	0.2995994	0.1263647	1.0225956	1.0267808	0.9583877	0.1815575	0.0603857	0.9731676	0.0805172	1.0481829	1.0000683	0.7675374	0.9978140	0.9312125	0.9330372	0.9499501	0.6377178	0.2554775	0.9042488	1.0033274	0.6213580	0.3655633	0.7939155	0.7727198	0.3262396	0.3655662	0.1334728	0.4349527	0.0287672	0.5247195	0.9143222	0.7010972	0.7844851	0.5831147	0.5294544	0.6490252	0.7057251	0.0515046	0.2944461	0.0374696	0.0578109	0.1367834	0.5652118	1.0113720	0.0408921	0.1837925	0.2552721	0.0366939	0.5873024	0.1891937	0.9592337	0.2141442	0.8184775	0.2886597	0.2292822	0.1042457	0.0476257	1.0242446	0.9757063	0.7219674	1.0101364	0.6776574	0.7890201	0.9820070	0.4274374	0.9941296	0.8825846	0.9330530
300.0	0.1071482	0.3666922	0.7495896	0.5133296	1.0496731	0.0771990	1.0436640	0.7375695	0.0219313	0.7030725	0.0208625	0.5667668	0.0534938	0.0307478	0.0188561	0.1456602	0.5972795	0.7889403	0.1011932	0.0077862	0.0445180	0.2267435	0.2820831	0.2252150	0.1990932	1.0194559	0.7227247	0.5636668	0.3461230	0.6844703	0.3018558	0.0371712	0.2876802	0.1571696	1.0049336	1.0542868	0.9699980	0.1597658	0.0935270	1.0349811	0.0606799	1.0365541	1.0850400	0.7796426	1.0328323	0.8988531	0.8729171	0.8822975	0.6546059	0.2400660	0.9684744	1.0243482	0.6249995	0.3622166	0.8211871	0.7256442	0.3875171	0.3612128	0.1520683	0.4178146	0.0344596	0.5329547	0.9303435	0.6770561	0.7534102	0.5099253	0.5783458	0.6744257	0.7446485	0.0115792	0.2791607	0.0411127	0.0694456	0.1606276	0.6601207	1.0221561	0.0373577	0.1485865	0.2686851	0.0244650	0.5934528	0.1784221	0.8915831	0.2238630	0.8014106	0.2775977	0.1966400	0.1347127	0.0533368	1.0086724	0.9968222	0.7090804	1.1130381	0.6479945	0.7762522	1.0983830	0.3871107	0.9962359	0.8608845	0.9876327
350.0	0.1255051	0.3787484	0.6823579	0.5089183	1.0330280	0.0563063	0.9369877	0.7205003	0.0262160	0.7575059	0.0058280	0.6172220	0.0468255	0.0277674	0.0125854	0.1636729	0.5328782	0.7916488	0.0825683	0.0044155	0.0437865	0.2849044	0.2291587	0.2683935	0.2002633	0.9588498	0.7168442	0.5643318	0.2962565	0.6546185	0.3127900	0.0361341	0.2924933	0.1619293	1.0217145	0.9469843	1.0247706	0.1400012	0.0772927	1.0702785	0.0328619	0.9914997	1.0060547	0.7283880	0.9972968	0.9357869	0.8609490	0.7827250	0.6340635	0.2467922	1.0358815	1.0088139	0.5285283	0.3402803	0.7887956	0.5408702	0.4319276	0.3428512	0.1538673	0.3855249	0.0435519	0.4851554	1.0495497	0.6830893	0.8408782	0.4571517	0.5122747	0.6632637	0.7156841	0.0376824	0.3047010	0.0184682	0.0602083	0.1535016	0.5847191	0.9674137	0.0320580	0.1371274	0.2851498	0.0399129	0.5807047	0.1792270	0.9465773	0.2635473	0.8700395	0.3390879	0.2309449	0.1752143	0.0523767	1.0283915	0.9289850	0.6994636	1.0839722	0.7054400	0.7671891	1.0518887	0.4110646	0.9374973	0.8169964	1.0193248
400.0	0.1239247	0.3700291	0.8224511	0.5399485	1.0736863	0.0599854	0.9940000	0.6580751	0.0282480	0.7308796	0.0226467	0.6097022	0.0342395	0.0170864	0.0042871	0.1280449	0.5183650	0.8878535	0.0901466	0.0011120	0.0470467	0.2584594	0.1728474	0.3071324	0.2235794	1.0771392	0.7885775	0.5606628	0.2947720	0.7017920	0.2972566	0.0364846	0.2959962	0.1598888	1.1110567	0.9999866	0.8824479	0.1501911	0.0636849	1.0842704	0.0647990	0.9781964	1.0311756	0.7360885	0.9309940	0.9672419	0.8894885	0.7492190	0.5871480	0.2830628	1.0343596	0.9380332	0.5860552	0.3376828	0.7488991	0.4871816	0.4333595	0.3210028	0.1236091	0.3918061	0.0180077	0.4162759	1.0519843	0.6699922	0.8453779	0.4603569	0.4992077	0.6802837	0.6888143	0.0256747	0.3041072	0.0232806	0.0684058	0.1177837	0.5784321	0.9424146	0.0334331	0.1531709	0.2490892	0.0476022	0.6109899	0.1589443	0.9739079	0.2594761	0.8585234	0.2655581	0.1935446	0.1570742	0.0533500	1.1173098	0.9552268	0.6110222	1.0243973	0.7044805	0.6713680	1.0439130	0.4214263	0.9057629	0.8318646	0.9686563
