"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.0000000	0.3648028	0.7394935	0.5659173	1.0383241	0.0655395	1.1288756	0.6418960	0.0209121	0.8073903	0.0174201	0.5750170	0.0618366	0.0360106	0.0087681	0.1545251	0.5901921	0.8139725	0.0987766	0.0096714	0.0640986	0.2743554	0.2202420	0.2538219	0.1471693	1.0089449	0.6683079	0.5210708	0.2778537	0.7510573	0.3042176	0.0117966	0.2918086	0.1682607	0.9076662	1.0656203	0.9873574	0.1693472	0.1184909	1.0528216	0.0654403	1.0078005	1.0308171	0.8558428	0.8992246	1.0761660	0.8680195	0.8998358	0.6318641	0.2009516	0.9902533	1.0944818	0.6182557	0.3356410	0.9121332	0.5230360	0.3864323	0.3708893	0.1727028	0.3992789	0.0137490	0.5133159	1.0083658	0.7112903	0.8806094	0.4212597	0.5413228	0.6137367	0.7134136	0.0443760	0.2743392	0.0375416	0.0754648	0.1025415	0.6298941	1.0469658	0.0155178	0.1256948	0.2101581	0.0491376	0.6146292	0.1918463	1.0945143	0.2639021	0.8361564	0.2777346	0.2331157	0.1125321	0.0590643	1.1118392	0.9910938	0.7392047	1.1198740	0.7013612	0.7772402	1.0045174	0.4607976	1.0017740	0.9095416	1.0330001
0.1901414	0.0000000	0.8416407	0.5255620	1.0720602	0.0655893	1.0702189	0.5899899	0.0283301	0.7863183	0.0477262	0.5500642	0.0472913	0.0216161	0.0065552	0.1530176	0.6027136	0.7607154	0.0943715	0.0036260	0.0439087	0.2702699	0.2012987	0.1858420	0.2297823	0.9709609	0.7637733	0.6148412	0.3040503	0.6919178	0.2724632	0.0232075	0.3299259	0.2277529	0.9205166	1.0154242	1.0667927	0.1499944	0.0745408	0.9035552	0.0520687	0.9127333	1.0507154	0.7544945	0.9589543	1.0713326	0.9635253	0.9204356	0.5818225	0.2228188	0.9810009	0.9736477	0.7341385	0.4388965	0.8159140	0.5265995	0.3631490	0.4333872	0.1214044	0.4380072	0.0155538	0.4239528	0.9348073	0.7146916	0.8814788	0.4462722	0.4947638	0.7149009	0.7925218	0.0296496	0.3188463	0.0480799	0.0803947	0.0842976	0.5641053	0.9791063	0.0623337	0.1897271	0.2560149	0.0624676	0.5832879	0.2291209	1.0048355	0.2474520	0.9929389	0.2674344	0.2407476	0.1335362	0.0619106	1.1348632	0.9728299	0.6062842	1.0316253	0.6642658	0.7593234	1.0428175	0.3990715	1.0946341	0.8318637	0.8507098
0.2408171	0.3966056	0.0000000	0.5789229	1.1140549	0.0641219	1.0949726	0.6533040	0.0324608	0.6923157	0.0230926	0.5868916	0.0227033	0.0433439	0.0043478	0.1204379	0.5595166	0.7560235	0.0826994	0.0048379	0.0786457	0.2431510	0.2474202	0.2605243	0.1725829	1.0011770	0.8393358	0.5303642	0.3053899	0.7381317	0.3954985	0.0333341	0.2906814	0.1854876	1.0338752	0.9893919	1.0444799	0.1477526	0.0642153	0.9576233	0.0803742	0.9634850	1.0380645	0.7918361	0.8718259	1.0498349	0.8839270	0.9977721	0.7090485	0.2345975	0.9692619	1.0635356	0.7424929	0.3935838	0.7874451	0.6473912	0.3597941	0.3514196	0.1554126	0.4052569	0.0182209	0.4153087	0.9631823	0.7212207	0.7740805	0.5271465	0.5548464	0.6319585	0.8826940	0.0236111	0.3110739	0.0495735	0.0362143	0.1054013	0.5437028	1.0340403	0.0255181	0.1733062	0.3412283	0.0236195	0.6851590	0.2308970	1.0026137	0.2768696	0.8825671	0.3276870	0.2303701	0.1521490	0.0706674	1.1144330	1.0627792	0.7057359	0.9723485	0.7169191	0.7815086	0.9890234	0.4123528	1.0075828	0.9658673	0.9869889
0.2765430	0.3508656	0.8272448	0.0000000	1.1224197	0.0874855	0.9806871	0.6721266	0.0316816	0.7322239	0.0263346	0.6237049	0.0456421	0.0257570	0.0194107	0.2031923	0.6427536	0.8824877	0.1052584	0.0072264	0.0650073	0.2618681	0.2017644	0.2711081	0.2120239	1.0057591	0.7178988	0.5539110	0.3133466	0.7682455	0.3505272	0.0265872	0.3296592	0.1764897	1.0353036	1.0260691	1.0752001	0.1887982	0.0975176	1.0733227	0.0720751	0.9667253	1.0494668	0.9019644	0.9047605	0.9357463	1.0494552	0.9087021	0.7507970	0.2436134	1.0526556	1.0154605	0.5617440	0.3220485	0.7601779	0.4479187	0.5039716	0.4260551	0.1182875	0.3399660	0.0295873	0.4856229	0.9978334	0.6886161	0.7970306	0.5059489	0.5496965	0.7017206	0.6560322	0.0174123	0.2599849	0.0272260	0.0632002	0.0890520	0.5713518	1.0465743	0.0239702	0.1961812	0.2535582	0.0454527	0.6109528	0.1607822	1.0092064	0.2657294	0.7923526	0.2943695	0.2268428	0.1630985	0.0768083	0.9588484	0.9774727	0.6132858	0.9764962	0.6787957	0.8099788	0.9598021	0.3771359	0.8994656	0.8638971	0.9547366
0.2206808	0.0481686	0.0728853	0.1389656	0.0000000	0.9842104	0.0063758	0.3148246	0.0045715	0.4975088	0.3095907	1.0005276	1.0678823	0.8814650	1.0813701	0.5307850	0.8967622	0.9961914	0.5200022	0.3936591	0.0127753	0.0754579	0.1839039	0.1384753	0.2278941	1.0099616	0.6728000	0.6732460	0.2777494	0.6742455	0.1649185	0.0409366	0.3534424	0.1883878	1.0952214	1.0321955	0.9797397	0.2014261	0.0931853	1.0767500	0.0565738	1.1394523	1.0374996	0.5977700	1.0649276	0.9377785	0.9027000	0.9088360	0.6670176	0.2123865	0.8956334	0.9942277	0.6789166	0.3555875	0.8183394	0.4521470	0.4373071	0.3174894	0.1444599	0.2976820	0.0344985	0.3725817	0.8950619	0.5957609	0.7334821	0.4843281	0.5212116	0.5654050	0.7042526	0.0325780	0.2454165	0.0389695	0.0528448	0.0860065	0.5031453	1.1031460	0.0376417	0.1374918	0.2737032	0.0399603	0.5788259	0.2085832	0.9460808	0.3265632	0.8985458	0.3180231	0.2227205	0.1564732	0.0508534	0.9379015	1.0066745	0.7372052	0.9381209	0.6252793	0.6972852	0.8954720	0.4297019	1.0319104	0.9335137	1.0397548
0.1933563	0.4472163	0.8225775	0.5483878	1.0912623	0.0000000	0.9675015	0.6552314	0.0228128	0.6805027	0.0322343	0.5774368	0.0356340	0.0491996	0.0059741	0.1083078	0.5236401	0.8468956	0.1192765	0.0081732	0.0637455	0.2573153	0.1587553	0.2603929	0.2416389	0.9240317	0.7447159	0.5084825	0.3392007	0.8045378	0.3318533	0.0539380	0.3215277	0.1888151	1.0055167	0.9807645	1.0065760	0.1444194	0.0997807	1.0211679	0.0880841	1.0314051	1.0050050	0.7988827	1.0150390	1.0046879	0.9472862	0.9567363	0.6481007	0.2724572	0.9612514	0.9232551	0.5611325	0.4350574	0.7499986	0.6000902	0.5194780	0.3499775	0.1685998	0.3947874	0.0346046	0.4669999	0.9830239	0.7203284	0.5689799	0.6965264	0.5584243	0.7580844	0.6588370	0.0364658	0.2635203	0.0280524	0.0430113	0.0784369	0.5795756	1.1023624	0.0352525	0.1558885	0.2941286	0.0441776	0.5311992	0.2383815	0.9761356	0.2668496	0.9311325	0.2978579	0.2280386	0.1103639	0.0829442	1.0547794	1.0292108	0.6820225	1.0350265	0.6724433	0.7059599	0.9347381	0.4143471	1.0248624	1.0420696	1.1644894
0.2316582	0.4155859	0.7650756	0.6047201	1.0373516	0.0576721	0.0000000	0.5495072	0.0103513	0.7324809	0.0298910	0.5471680	0.0404471	0.0240679	0.0050843	0.1614682	0.6353269	0.7858683	0.1011659	0.0048836	0.0525971	0.2534904	0.2953781	0.3232067	0.1564037	0.9972756	0.7477819	0.4999874	0.2759448	0.6179124	0.3037940	0.0363854	0.3043376	0.2130855	0.9595703	0.9258111	0.9921611	0.1452643	0.0669032	1.0760774	0.0721012	0.9538085	0.9899339	0.8116117	0.9811807	1.0458882	0.9850972	0.8866959	0.6077088	0.1990034	0.9407715	0.8930567	0.6725852	0.3598693	0.8227261	0.5375844	0.3508046	0.3960196	0.1459042	0.3436931	0.0181468	0.4609610	0.9984716	0.6473453	0.7840472	0.4838452	0.6422943	0.6896897	0.7595771	0.0245419	0.2888988	0.0479121	0.0652548	0.1142428	0.5977632	0.9354798	0.0472499	0.1652552	0.2793167	0.0352522	0.5503282	0.2387003	0.9629491	0.2726164	0.9786118	0.3228730	0.2239389	0.1189467	0.0591508	1.0383396	0.9870768	0.6429373	0.9858218	0.6716122	0.7243127	1.0870342	0.4226035	1.0515741	0.8582951	1.0168564
0.3411589	0.4098960	0.7500418	0.6180457	1.0223708	0.0882627	1.0719655	0.0000000	0.0234654	0.6926744	0.0261044	0.5774698	0.0479323	0.0383908	0.0343598	0.1894635	0.5767802	0.7922377	0.0570339	0.0044065	0.0933278	0.2704187	0.2768643	0.2031898	0.2260743	1.1086053	0.7860223	0.6291173	0.3156350	0.7551853	0.3305044	0.0393583	0.3832194	0.1467537	1.0572552	0.9854035	1.0000600	0.1646393	0.0849596	0.9082641	0.0647453	0.9577821	0.9199099	0.7124188	0.9385517	0.9628022	0.9688147	0.9413681	0.6587330	0.2405165	0.9641818	0.8262995	0.7189197	0.3661605	0.7965201	0.5554336	0.3653810	0.4034123	0.1772974	0.4466496	0.0412558	0.4700060	0.9580559	0.7105834	0.8101845	0.4496509	0.5723843	0.5889158	0.7341282	0.0208866	0.2621551	0.0477746	0.0734697	0.1613676	0.6039369	0.9841923	0.0397544	0.1736096	0.2435256	0.0508969	0.5763176	0.2150304	0.9754654	0.3740356	0.8645431	0.3420032	0.2084179	0.1123916	0.1029746	1.1467630	1.0104562	0.6679513	0.9792402	0.7713509	0.6153850	1.0138894	0.4122248	0.9923185	0.8369213	1.0836870
0.2456234	0.3897780	0.8278129	0.5707956	1.1397587	0.0734864	1.0394566	0.7159552	0.0000000	0.7158204	0.0129791	0.6520680	0.0350876	0.0291747	0.0163817	0.1577636	0.5949639	0.7959601	0.1005165	0.0013584	0.0520753	0.2025874	0.1200849	0.1220882	0.1890977	1.0402902	0.7748279	0.6627866	0.2792027	0.6679599	0.3858281	0.0327155	0.2951993	0.1723530	0.9015218	1.0148180	1.0003320	0.1834092	0.0924859	1.0144550	0.0815413	1.0025871	0.9490587	0.8616360	1.0453348	1.0931469	0.9024607	0.9788663	0.6295281	0.2216650	1.0616670	0.9892924	0.6871484	0.4225620	0.7665081	0.4442456	0.4597610	0.3805161	0.1064905	0.3795504	0.0219224	0.4469149	1.0729043	0.7181547	0.7496997	0.6365172	0.6109156	0.8151517	0.7397462	0.0382921	0.2940876	0.0241929	0.0612965	0.1109349	0.6375910	1.1695192	0.0366554	0.1533890	0.1745061	0.0679707	0.6268636	0.2238485	1.0356039	0.3013188	0.9289765	0.2958461	0.1657275	0.1282440	0.0554921	0.8461834	0.9750444	0.6688434	0.9701914	0.7453034	0.7422084	1.0618638	0.4496944	1.1212106	0.8475798	0.9603646
0.5316173	0.5184657	0.8962696	0.7904709	0.9440652	0.0478238	0.9288688	0.9454206	0.0377694	0.0000000	0.0409636	0.5706390	0.0435466	0.0384477	0.0265954	0.2133821	0.5699984	0.7386039	0.1038254	0.0118080	0.0685039	0.2689183	0.9923609	0.9667782	0.6114492	1.0292463	0.6486083	0.5728726	0.9709177	0.7521951	0.1163564	0.0203316	0.3619195	0.1797946	1.1332200	1.0029937	0.0034215	0.1932967	0.0978423	1.0588649	0.0723788	1.1358039	0.8954455	0.5135209	1.1543775	0.9584724	0.7328393	0.5042037	0.6511974	0.2382897	0.9837211	0.9709115	0.5987149	0.3657563	0.7705344	0.5222880	0.5305150	0.3569362	0.3264316	0.7091943	0.2458284	0.7413220	1.0204201	0.7135856	0.9251366	0.4045107	0.5178599	1.0383393	0.1120041	0.9606941	1.0865460	0.9200173	0.9600666	1.0555706	0.9820026	0.0762237	0.7908896	0.1132314	0.2695328	0.0393508	0.6292614	0.2098142	1.0365230	0.1983612	0.9446197	0.3224726	0.2404156	0.1090236	1.0509550	0.9262867	0.9681621	0.6883245	0.9704215	0.5859011	0.7276972	0.9585365	0.4210570	1.0305962	0.8747734	0.9907440
