"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.5056974	0.5625729	0.9849551	0.5148730	1.1197434	0.0808138	1.0001934	0.9007026	0.0660935	0.2211759	0.0151325	0.5729753	0.0029396	0.1763809	0.0020523	0.0531548	0.4987150	0.0992150	0.0052774	0.0009149	0.1128379	0.7254936	0.8750510	0.6868805	0.5262146	1.0052303	0.7142994	0.1700274	0.9784666	0.9410582	0.1671959	0.0460555	0.3061749	0.1865165	0.9438888	0.9211615	0.1327753	0.1332783	0.0854786	1.0826171	0.5781107	1.0503472	0.6492911	0.5835869	0.9156469	0.1468524	0.0527068	0.0464954	0.2717623	0.3429362	0.6068082	0.2830840	0.2953772	0.3113796	0.7936307	1.0017960	1.1081675	0.6918097	0.1435973	0.1352567	0.0276951	0.7370801	0.9295237	0.5060097	0.8137528	0.5439933	0.5801766	1.0078804	0.1427308	0.0016972	0.9955032	0.3152879	0.6659323	0.8364340	0.9867913	0.3915762	0.3773216	0.1888151	0.2725093	0.0105814	0.7999745	0.2371543	0.9734717	0.6528386	0.8644444	0.1352569	0.2129059	0.1020750	1.0558457	0.8515649	1.0312614	0.7270885	1.1658147	0.7829439	0.9308708	1.0292761	0.3953786	0.9947270	1.0231741	1.0296171
0.5690580	0.5731134	0.9655356	0.8636678	1.0799105	0.0191133	0.9923058	0.7718597	0.3788713	0.0458501	0.0264000	0.4959946	0.0564896	0.3155969	0.0121924	1.0104618	0.9617224	0.8029605	0.1824430	0.0253814	0.0278436	0.3081850	0.6597319	0.8848323	0.4045327	1.0307480	1.0653640	0.9819593	0.9730780	0.7391511	0.2090503	0.0252369	0.2995327	0.1397158	0.9942437	0.1330279	0.1022931	0.0398803	0.1919897	0.9857529	0.0791675	1.0256312	0.3235161	0.1030139	0.7540714	0.7169421	0.6083698	0.3498762	0.4382290	0.1189431	0.9406234	0.9501263	0.2222836	0.3723818	0.8055007	0.0020237	0.7559236	0.3772305	0.4446462	0.7898365	0.0284475	0.6437965	0.3099606	0.1036828	0.7514691	0.4935888	0.7483995	0.9936683	0.1520435	0.0214395	0.9444620	0.8484914	0.6148635	0.2313027	0.5961193	0.0945970	0.7487519	0.3401889	0.8726506	0.2094246	0.8680806	0.2183066	0.9648063	0.2878267	0.8744363	0.3746817	0.1795514	0.0952219	0.9197432	0.9669568	0.4037139	0.3096911	0.4406830	0.0942652	0.2279804	1.0235917	0.4075074	0.9493581	0.8591086	1.0459359
0.5627712	0.5150142	0.9035457	0.7201864	1.0132169	0.0693995	0.8937939	0.9167855	0.0270865	0.0102269	0.0355897	0.2394674	0.0455962	0.1198042	0.0056599	0.1460252	0.6261834	0.9229292	0.1770690	0.0004324	0.0474324	0.2378866	0.5432500	0.4661283	0.0262462	1.0248818	0.7230369	0.7577701	0.7006968	0.7428031	0.0516157	0.0077950	0.3082642	0.2113920	1.0603437	0.9997539	0.2783183	0.1565209	0.0844227	1.0653931	0.0718871	1.0300354	0.0647815	0.0472770	0.2962140	1.0321623	0.8669358	0.7582190	0.6007406	0.0560491	0.4868250	0.9871245	0.4890202	0.3564840	0.7034029	0.9254200	0.0993071	0.3804184	0.6134856	0.7206904	0.5268379	0.0168546	0.2474937	0.2825567	0.9497867	0.2928059	0.6828745	0.8468069	0.3366959	0.0025029	0.5827387	0.2610694	0.1857109	0.1129980	0.3753077	0.9853813	0.3547599	0.6607882	1.0517993	0.1288038	0.5557488	0.1818681	0.9839157	0.3214070	0.9861939	0.3161688	0.1834259	0.0920342	1.0066435	0.9193930	0.4403345	0.3875122	1.0241256	0.3284139	0.5947354	1.0413830	0.4536352	1.0492931	0.8700460	1.0123975
0.9384579	0.3972841	0.9773245	0.5248107	0.4140529	0.1797435	0.9617397	0.2628315	0.0091706	0.6442507	0.1706168	0.8791293	0.0505167	0.1572923	0.4054725	0.4647473	0.8983788	0.7693634	0.1094195	0.0727645	0.8671994	0.1816531	0.6688080	0.3477876	0.2071913	0.8721218	0.5738466	0.4977433	0.8775720	0.8631227	0.2854234	0.0437670	0.3979113	0.2057045	0.9553306	0.0641808	0.2319160	0.1809833	0.1003985	1.0596298	0.0936510	0.2525846	1.1126336	0.9544376	0.9567228	1.0003553	0.7843641	0.5095767	0.7637050	0.3269020	0.8910932	0.9733383	0.8359006	0.1603192	0.8801377	0.4738039	0.4653638	0.3780393	0.3230349	0.3845325	0.3016491	0.1107441	0.9900729	0.8095878	0.4152358	0.4340303	0.6768129	1.0530928	0.2449730	0.0044546	0.1924384	0.6884603	0.3560310	0.9587193	0.9357274	0.0416760	0.7231666	0.2309406	0.2368023	0.0400858	0.3080624	0.5461760	0.9865172	0.6481962	0.8799315	0.0008494	0.2314145	0.1048440	0.9132573	1.0242686	0.9297690	0.8017456	0.9398549	0.6993843	0.8140715	1.0811991	0.3132695	0.2876549	0.1622893	0.9817968
0.0881450	0.3545635	1.0264513	0.7037777	0.9493125	0.0577080	1.1089383	0.9245728	0.0567227	0.8244321	0.0037453	0.5598977	0.0826791	0.0317642	0.0176582	0.0269494	0.5456539	0.0757710	0.0815322	0.0011171	0.1055673	0.7881681	0.9362412	1.0174156	0.5596620	1.0175050	0.7731654	0.3151630	0.9750037	0.7281548	0.4300487	0.0003474	0.2992220	0.0897376	1.1639158	0.1873971	0.0413914	0.1645965	0.1081260	0.9673561	0.6630332	0.4553698	1.0274829	1.0670464	0.8737008	0.1225673	0.0634036	0.0341297	0.3224961	0.9286736	0.3203906	0.4851103	0.0633363	0.3659409	0.8087063	0.9873489	1.0123959	0.7453256	0.1110295	0.2828435	0.2346538	1.0013585	1.0273538	0.9737811	0.2686173	0.0517572	0.5194448	0.9114638	0.0766077	0.2367765	0.0305450	0.9919137	0.9383844	1.0535647	0.3360042	0.0065226	0.9678415	0.1520621	0.2467289	0.0002188	0.9085804	0.2126358	0.8477666	0.2707021	0.8867803	0.2878803	0.2359487	0.7932504	1.0601475	0.8259537	0.9360547	0.7424544	1.1607748	0.7921512	0.7842362	0.8273337	0.4653044	0.8795354	0.9372294	0.9370703
0.3892386	0.5082243	0.8530519	0.9419565	1.0398229	0.0781625	0.9541342	0.9070386	0.0363512	0.8946785	0.0074844	0.5697039	0.0438980	0.0280922	0.0118141	0.0445873	0.5265289	0.0879341	0.1288930	0.0020272	0.8732607	0.7447891	0.6719295	0.9540327	0.1932465	0.1022569	0.2057739	0.3770285	0.5371800	0.1246009	0.0660032	0.2347132	0.6078039	0.9051754	0.4279543	1.0657394	0.1964591	0.1457709	0.0895620	1.1830824	0.0591650	0.8932000	1.0315115	0.7922441	1.1162359	0.0910758	0.1041734	0.2136129	0.1179939	0.3945284	0.4692809	0.1523559	0.0318738	0.2924959	0.5254211	1.0555635	1.0349381	0.7056336	0.2345351	0.0379581	0.2631855	0.2241900	0.9303307	0.7337845	0.3620312	0.9255864	0.7395516	0.9463708	0.1885139	0.0014488	0.8662967	0.5587531	0.1210853	1.0079818	0.9339530	0.3086553	0.6025190	0.1615400	0.1783691	0.0354773	0.6950687	0.0134464	1.0553815	0.1368652	1.0266951	0.2835584	0.2390330	0.1098656	0.2312575	0.8191573	0.8283972	0.7261421	1.0076326	0.6514198	0.7398899	1.1037893	0.3318984	0.4106895	0.3451179	1.0071713
0.6683641	0.3904187	0.8216092	0.7117341	0.6088510	0.0028720	0.9925890	0.8987579	0.0089223	0.0417632	0.1692438	0.4033072	0.0983351	0.2335353	0.1697518	0.4883819	0.9140549	0.8037902	0.1008396	0.0422369	0.0520263	0.2726539	1.0211894	1.0067876	0.6841010	1.0132416	0.7173560	0.2060357	1.0439038	0.6898603	0.1076539	0.0026385	0.2737744	0.1164847	1.0838594	0.0929122	0.0050275	0.1268288	0.7285770	0.9497372	0.0571449	1.0141977	0.7574834	0.4930832	0.9121195	1.0894403	0.7294324	0.5294838	0.1054815	0.1943354	0.9518251	0.9240106	0.6201185	0.3167808	0.8453922	0.0018045	0.2978821	0.6409428	0.3780657	0.7453767	0.2999892	0.6192528	0.9244287	0.8297553	0.6625668	0.6223349	0.4990125	1.0455865	0.0838639	0.9226382	1.0963382	1.0278520	1.0477734	1.1123135	0.8848187	0.0493017	0.9432209	0.1923124	0.3059476	0.0415677	0.5249838	0.1882127	0.9683903	0.3255041	0.9343505	0.0697282	0.2213478	0.1147785	1.0108779	0.2467876	1.0339247	0.6364941	1.0384453	0.7561445	0.7469419	1.0078480	0.4080156	0.6157487	0.5650387	0.7497632
1.0544164	0.6308413	1.0041589	0.9008709	1.0482656	0.0719108	1.0554515	0.9460975	0.0574355	0.5586213	0.0001784	0.7507554	0.0338831	0.0367891	0.0030226	1.0601794	0.4049376	0.7180716	0.1707804	0.0113426	0.2584074	0.2261026	0.7890018	0.7418897	0.7972592	0.5232536	0.2132168	0.0412166	0.8048110	0.2762215	0.2160364	0.0022800	0.3823473	0.3925930	0.9799290	0.0339619	0.0512320	0.1659030	0.8982034	0.9685342	0.1404972	0.2149116	0.9844259	0.7619320	1.0281349	1.0131325	0.8408036	0.4959089	1.0886075	0.8524010	0.9995680	1.0606424	0.6362696	0.2459907	1.1046991	0.5463743	0.4199634	0.4599091	0.3271942	0.6734574	0.2823787	1.0070025	0.9614314	0.7087618	0.7319756	0.6247119	0.6059465	0.8317904	0.2588490	0.0803386	0.0028256	0.9392088	0.2462547	1.0265443	1.0244444	0.0065162	0.9331640	0.0479285	0.0439953	0.0051208	0.5466751	0.1920359	0.2420108	0.3448569	0.5594607	0.1135975	0.4900469	0.8389454	0.5282158	0.4910427	1.0231503	0.7059830	0.9900137	0.7487701	1.0208136	0.7246883	0.6027483	0.8228195	0.7528774	0.9450054
0.2474336	0.4039250	0.7076075	0.1787543	1.1219930	0.0780986	1.0363893	0.6420074	0.6450261	0.2441416	0.0982359	0.9767258	0.1288581	0.0231252	0.0049744	0.0614249	0.1834536	0.7991155	0.9639167	0.9081350	0.1062057	0.2548928	0.0255078	0.5894542	0.0875599	0.8885703	0.8170399	0.8540564	0.2512917	0.6873829	1.0495936	0.0301307	0.4074281	0.2038052	1.0497226	1.0388318	1.0265376	0.6370247	0.6642759	0.9604083	0.5548427	0.7441227	0.1722760	0.0485500	0.7055666	1.0493459	0.9444948	1.0478395	1.0254877	0.3086135	0.1262441	1.0026194	0.6357976	0.4663886	0.7428680	0.3839876	0.3028518	0.0950738	0.7767791	0.5702234	0.4917583	0.0162185	0.0467977	0.0625555	1.1041392	0.0837503	0.5473721	0.7304249	0.7460792	0.0343958	0.0062258	0.0020681	0.0879565	0.0924783	0.0663981	0.0847659	0.2791173	0.3589050	0.9848778	1.0459166	0.8955970	0.1490736	0.0863229	0.2975206	0.1868235	0.0527942	0.9773480	0.2882927	0.7189497	0.2191529	0.9667821	0.6804516	0.1176074	0.0906872	0.0853497	0.8354230	0.4717492	1.0504258	0.8900258	0.5322736
0.1561517	0.3332565	1.1057540	0.7115616	1.0187032	0.0684716	0.9479601	0.9011063	0.0856167	0.8989177	0.0143702	0.5659372	0.0749577	0.0544630	0.0019588	0.0705140	0.5025961	0.7141595	0.0763436	0.0012560	0.0399786	0.6493447	1.0547156	0.9736638	0.0655298	0.9533793	0.9709682	0.3947579	0.9760985	0.8704711	0.4879641	0.0379903	0.3573312	0.1677353	1.0965355	0.3698703	0.0128145	0.1362671	0.0781459	1.0890869	0.6289929	0.9237091	0.9760965	0.8618172	0.9778510	0.0823202	0.0375079	0.5109602	0.1197568	0.4006712	0.5122094	0.6241297	0.0590809	0.2608829	1.0274832	0.5363790	1.0439054	0.9220441	0.0725541	0.5393972	0.3789472	0.8034706	1.0460814	0.8524441	1.0052690	0.1992577	0.2493253	0.4606546	0.5367361	0.7227245	1.0132649	1.0686765	0.1738586	1.0359845	0.9159325	0.0398153	0.9177879	0.0280100	0.1182235	0.0417384	0.3977232	0.2758960	0.9376759	0.6891459	0.9635861	0.4036241	0.0146152	0.0867577	0.8138434	0.7771805	0.8756232	0.5756527	0.9859229	0.7181762	0.7830824	1.0372762	0.4224351	0.9908311	0.9388053	0.9535764
