"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794737	0.0973489	0.9033266	0.3226413	0.8584820	0.8780521	0.7884116	0.5184248	0.9703571	0.2619318	0.5142215	0.6183624	0.3119189	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296376	0.0411574	0.2034737	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4832982	0.0270809	0.3514995	0.4045648	0.9992082	0.9935138	0.0129128	0.1711874	0.7075462	0.6428389	0.7570045	0.3365996	0.9525608	0.1142656	0.7192398	0.8830655	0.1802944	0.5874753	0.7866763	0.9834872	0.8000421	0.8445495	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028590	0.3328451	0.9815759	0.2678039	0.2334681	0.2286896	0.2028375	0.5839074	0.5582018	0.1938318	0.0030112	0.6675524	0.7770199	0.2957444	0.4754650	0.3727052	0.7640933	0.2036795	0.5108874	0.9916233	0.3339599	0.7681598	0.6783336	0.8698097	0.5912867	0.5826342	0.7570408	1.0000000	0.9813061	1.0000000	0.4101318	1.0000000	1.0000000	1.0000000
50.0	0.6903692	0.1175109	0.7020885	0.6857608	0.4499990	0.6663371	0.6695836	0.1103007	0.9050628	0.3554043	0.8622966	0.8779471	0.7978668	0.5407122	0.9691226	0.2716046	0.5302902	0.6178360	0.2969534	0.9999407	0.3589284	0.0358722	1.0000000	0.5645967	0.0296376	0.0411613	0.2034863	1.0000000	0.7669925	1.0000000	0.6723143	1.0000000	0.1434410	1.0000000	0.7965271	0.4834203	0.6497972	0.7252685	0.6820052	0.4833134	0.0277369	0.3526044	0.4029232	0.9992326	0.9935893	0.0128655	0.1719263	0.7083831	0.6424876	0.7516176	0.3379368	0.9527976	0.1157891	0.7250356	0.8831146	0.1785548	0.5906497	0.7886027	0.9836291	0.7997954	0.8446192	0.9955917	0.5322528	0.3588285	0.3813396	0.7766555	0.4028598	0.3328305	0.9815609	0.2678046	0.2334684	0.2286926	0.2028403	0.5839085	0.5581660	0.1938333	0.0030088	0.6675014	0.7771416	0.2956079	0.4755321	0.3726712	0.7640116	0.2036847	0.5109566	0.9916429	0.3339875	0.7682684	0.6785877	0.8700571	0.5910678	0.5825196	0.7568709	1.0000000	0.9813061	1.0000000	0.4101317	1.0000000	1.0000000	1.0000000
100.0	0.5730194	0.1358787	0.7350168	0.6923791	0.6166096	0.6409649	0.6374125	0.1665723	0.9103988	0.4736804	0.8506955	0.8686578	0.8152681	0.5946795	0.9521434	0.3013824	0.6293818	0.6162308	0.2407724	0.9998881	0.4212541	0.0383729	1.0000000	0.5645967	0.0296376	0.0411644	0.2034959	1.0000000	0.7655022	1.0000000	0.6723143	1.0000000	0.1434479	1.0000000	0.8167341	0.4834189	0.6483251	0.7252685	0.7086566	0.4833539	0.0352210	0.3677252	0.3848858	0.9994296	0.9943404	0.0123227	0.1787746	0.7169363	0.6392914	0.6905045	0.3542649	0.9551811	0.1333245	0.7764709	0.8836411	0.1625236	0.6247139	0.8042211	0.9854898	0.7982525	0.8446761	0.9955917	0.5322742	0.3587681	0.3813396	0.7765985	0.4029158	0.3328480	0.9815451	0.2678384	0.2334848	0.2288441	0.2029875	0.5839715	0.5581386	0.1939121	0.0030069	0.6674605	0.7772393	0.2954983	0.4755861	0.3726441	0.7639460	0.2036888	0.5110121	0.9916585	0.3340097	0.7683556	0.6787915	0.8702556	0.5908921	0.5824277	0.7567352	1.0000000	0.9813061	1.0000000	0.4101326	1.0000000	1.0000000	1.0000000
150.0	0.5280653	0.1620642	0.7719565	0.6154606	0.7795288	0.5896699	0.6000273	0.2508444	0.9165345	0.6121225	0.8206719	0.8155979	0.7319790	0.6071997	0.9060246	0.3330989	0.7634592	0.6142326	0.1875142	0.9997824	0.5119450	0.0596200	1.0000000	0.5645967	0.0296376	0.0411655	0.2034970	1.0000000	0.7611998	1.0000000	0.6723143	1.0000000	0.1434939	1.0000000	0.8451295	0.4834148	0.6442903	0.7252685	0.7545504	0.4833738	0.0534269	0.4163485	0.3420785	0.9996637	0.9953732	0.0112029	0.1912704	0.7386278	0.6346581	0.5736109	0.3922112	0.9596271	0.1717890	0.8453304	0.8860984	0.1388794	0.6818215	0.8230380	0.9887477	0.7970603	0.8447256	0.9955916	0.5324161	0.3583949	0.3813407	0.7762300	0.4033852	0.3330438	0.9815094	0.2680624	0.2335945	0.2298121	0.2039568	0.5844035	0.5581248	0.1944281	0.0030053	0.6674278	0.7773177	0.2954104	0.4756294	0.3726225	0.7638933	0.2036921	0.5110566	0.9916711	0.3340275	0.7684256	0.6789551	0.8704148	0.5907512	0.5823553	0.7566386	1.0000000	0.9813061	1.0000000	0.4101457	1.0000000	1.0000000	1.0000000
200.0	0.5107811	0.1870633	0.7996875	0.5072799	0.8759607	0.5402832	0.5714548	0.3276156	0.9212517	0.7154596	0.8061689	0.6847931	0.5640408	0.5524841	0.8528881	0.3560953	0.8557592	0.6126075	0.1573568	0.9996498	0.5681026	0.1325733	1.0000000	0.5645967	0.0296376	0.0411605	0.2034688	1.0000000	0.7546318	1.0000000	0.6723143	1.0000000	0.1436227	1.0000000	0.8650515	0.4834097	0.6384233	0.7252685	0.7903029	0.4833020	0.0896205	0.4841618	0.2971205	0.9998078	0.9960429	0.0100952	0.2020567	0.7632024	0.6314404	0.4746629	0.4372601	0.9646958	0.2191567	0.8873515	0.8912563	0.1220980	0.7247974	0.8338346	0.9913259	0.7965958	0.8447692	0.9955916	0.5328126	0.3574369	0.3813460	0.7752327	0.4050233	0.3336369	0.9814273	0.2686831	0.2339047	0.2324111	0.2066387	0.5856411	0.5581323	0.1958445	0.0030041	0.6674015	0.7773807	0.2953398	0.4756643	0.3726052	0.7638510	0.2036947	0.5110923	0.9916812	0.3340418	0.7684818	0.6790863	0.8705425	0.5906380	0.5823037	0.7566161	1.0000000	0.9813061	1.0000000	0.4102097	1.0000000	1.0000000	1.0000000
250.0	0.5041211	0.2059174	0.8155083	0.4312270	0.9231755	0.5055614	0.5543435	0.3801891	0.9240871	0.7776667	0.8115853	0.5094933	0.4551038	0.4720554	0.8150212	0.3697128	0.9031899	0.6116137	0.1426080	0.9995325	0.5942838	0.2318507	1.0000000	0.5645967	0.0296376	0.0411436	0.2033807	1.0000000	0.7475864	1.0000000	0.6723143	1.0000000	0.1438474	1.0000000	0.8761136	0.4834058	0.6324116	0.7252685	0.8097906	0.4832089	0.1512299	0.5441898	0.2660985	0.9998809	0.9963779	0.0093134	0.2086713	0.7808194	0.6297731	0.4156778	0.4753727	0.9698779	0.2733236	0.9067531	0.8978984	0.1131067	0.7489075	0.8387035	0.9927883	0.7964399	0.8448057	0.9955915	0.5335062	0.3559162	0.3813599	0.7735509	0.4084864	0.3347272	0.9812889	0.2697528	0.2344568	0.2367734	0.2112742	0.5878432	0.5581627	0.1982700	0.0030031	0.6673804	0.7774313	0.2952832	0.4756922	0.3725914	0.7638170	0.2036968	0.5111209	0.9916893	0.3340532	0.7685269	0.6791917	0.8706450	0.5905472	0.5822772	0.7567262	1.0000000	0.9813061	1.0000000	0.4103807	1.0000000	1.0000000	1.0000000
300.0	0.5015533	0.2181289	0.8233372	0.3897926	0.9446911	0.4844170	0.5455221	0.4107832	0.9255513	0.8111956	0.8243678	0.3719531	0.4061409	0.4095316	0.7936768	0.3768546	0.9248562	0.6111027	0.1357769	0.9994516	0.6060083	0.3074050	1.0000000	0.5645967	0.0296376	0.0411113	0.2032127	1.0000000	0.7415719	1.0000000	0.6723143	1.0000000	0.1441381	1.0000000	0.8817355	0.4834035	0.6274979	0.7252685	0.8188557	0.4831933	0.2230659	0.5870688	0.2485960	0.9999152	0.9965306	0.0088461	0.2121282	0.7907943	0.6290179	0.3852747	0.5000115	0.9739181	0.3318077	0.9148729	0.9041546	0.1088035	0.7610604	0.8407598	0.9935064	0.7963887	0.8448346	0.9955914	0.5344075	0.3541450	0.3813843	0.7714513	0.4137282	0.3362069	0.9811103	0.2711163	0.2351904	0.2422066	0.2172157	0.5907389	0.5582086	0.2013470	0.0030023	0.6673635	0.7774719	0.2952377	0.4757147	0.3725804	0.7637897	0.2036984	0.5111439	0.9916958	0.3340624	0.7685631	0.6792762	0.8707272	0.5904744	0.5822784	0.7570103	1.0000000	0.9813061	1.0000000	0.4106945	1.0000000	1.0000000	1.0000000
350.0	0.5005631	0.2252777	0.8269351	0.3697057	0.9542053	0.4725655	0.5413786	0.4269310	0.9262420	0.8281436	0.8359959	0.2950370	0.3859865	0.3731578	0.7829376	0.3803203	0.9343128	0.6108644	0.1327175	0.9994043	0.6115642	0.3507613	1.0000000	0.5645967	0.0296376	0.0410652	0.2029716	1.0000000	0.7371883	1.0000000	0.6723143	1.0000000	0.1444428	1.0000000	0.8844758	0.4834023	0.6240611	0.7252685	0.8226835	0.4832193	0.2814640	0.6144446	0.2396730	0.9999305	0.9965977	0.0085915	0.2137967	0.7958003	0.6287003	0.3706270	0.5113701	0.9761668	0.3838452	0.9181347	0.9089031	0.1068440	0.7669055	0.8416217	0.9938354	0.7963716	0.8448570	0.9955913	0.5353566	0.3524919	0.3814176	0.7693276	0.4199581	0.3378351	0.9809215	0.2725230	0.2359818	0.2476915	0.2233849	0.5938236	0.5582587	0.2045088	0.0030017	0.6673499	0.7775044	0.2952012	0.4757327	0.3725715	0.7637678	0.2036998	0.5111624	0.9917010	0.3340698	0.7685922	0.6793440	0.8707932	0.5904159	0.5823042	0.7574588	1.0000000	0.9813061	1.0000000	0.4111379	1.0000000	1.0000000	1.0000000
400.0	0.5001814	0.2291835	0.8285213	0.3605527	0.9583492	0.4663108	0.5395440	0.4349294	0.9265509	0.8363547	0.8440385	0.2576798	0.3777127	0.3545638	0.7778466	0.3819167	0.9383634	0.6107593	0.1313822	0.9993795	0.6144227	0.3728835	1.0000000	0.5645967	0.0296376	0.0410117	0.2026885	1.0000000	0.7343353	1.0000000	0.6723143	1.0000000	0.1447156	1.0000000	0.8857798	0.4834016	0.6219090	0.7252685	0.8241170	0.4832460	0.3185486	0.6306640	0.2353700	0.9999369	0.9966264	0.0084609	0.2145697	0.7981572	0.6285730	0.3638210	0.5135376	0.9770049	0.4215787	0.9194211	0.9119947	0.1059729	0.7696473	0.8419865	0.9939805	0.7963657	0.8448741	0.9955913	0.5362094	0.3511893	0.3814549	0.7674902	0.4261302	0.3393689	0.9807499	0.2737641	0.2367093	0.2524235	0.2288546	0.5966385	0.5583038	0.2072849	0.0030012	0.6673391	0.7775306	0.2951719	0.4757472	0.3725644	0.7637502	0.2037008	0.5111772	0.9917051	0.3340757	0.7686155	0.6793985	0.8708462	0.5903689	0.5823463	0.7580111	1.0000000	0.9813061	1.0000000	0.4116539	1.0000000	1.0000000	1.0000000
