"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794737	0.0973499	0.9033185	0.3226413	0.8584820	0.8780500	0.7884113	0.5184248	0.9703279	0.2619318	0.5142215	0.6183624	0.3118893	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296376	0.0411553	0.2034526	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4832873	0.0270809	0.3512135	0.4049257	0.9992082	0.9935232	0.0129128	0.1711304	0.7073331	0.6428481	0.7570045	0.3365994	0.9525608	0.1142655	0.7191510	0.8830311	0.1802944	0.5874678	0.7866586	0.9835343	0.8000423	0.8444690	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028593	0.3328621	0.9815977	0.2678039	0.2334681	0.2286896	0.2028376	0.5839074	0.5582415	0.1938318	0.0030125	0.6676494	0.7768145	0.2959611	0.4753689	0.3727330	0.7641831	0.2036747	0.5108319	0.9915972	0.3339183	0.7680167	0.6780676	0.8695742	0.5914418	0.5827629	0.7572543	1.0000000	0.9813061	1.0000000	0.4101319	1.0000000	1.0000000	1.0000000
50.0	0.7346584	0.1156836	0.6961130	0.6832628	0.4530029	0.6672366	0.6750985	0.1135682	0.9055187	0.3525587	0.8609861	0.8780646	0.7943088	0.5297905	0.9698871	0.2671612	0.5254056	0.6179522	0.3033585	0.9999432	0.3564981	0.0358224	1.0000000	0.5645967	0.0296376	0.0411597	0.2034694	1.0000000	0.7670644	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7953253	0.4834204	0.6498742	0.7252685	0.6804802	0.4833007	0.0272924	0.3516903	0.4041512	0.9992186	0.9935459	0.0128924	0.1716412	0.7078201	0.6427161	0.7548642	0.3371135	0.9526827	0.1148381	0.7220251	0.8830741	0.1797582	0.5884600	0.7877676	0.9835527	0.7999095	0.8445545	0.9955917	0.5322525	0.3588293	0.3813396	0.7766563	0.4028593	0.3328438	0.9815785	0.2678042	0.2334682	0.2286907	0.2028383	0.5839079	0.5581979	0.1938322	0.0030099	0.6675791	0.7769766	0.2957818	0.4754548	0.3726934	0.7640837	0.2036809	0.5109121	0.9916220	0.3339541	0.7681535	0.6783743	0.8698683	0.5911923	0.5826231	0.7570424	1.0000000	0.9813061	1.0000000	0.4101318	1.0000000	1.0000000	1.0000000
100.0	0.4076908	0.1423154	0.7449478	0.5997695	0.6988077	0.6413298	0.6369227	0.2500327	0.9193606	0.5410129	0.8635218	0.8729897	0.8221948	0.5911703	0.9565006	0.3036487	0.6619250	0.6142014	0.2405214	0.9997967	0.4195547	0.0389947	1.0000000	0.5645967	0.0296376	0.0411631	0.2034827	1.0000000	0.7659044	1.0000000	0.6723143	1.0000000	0.1434443	1.0000000	0.8115402	0.4834191	0.6487696	0.7252685	0.7025549	0.4833843	0.0320390	0.3611312	0.3915223	0.9993654	0.9940797	0.0124497	0.1790492	0.7150466	0.6405491	0.7082582	0.3490721	0.9550611	0.1277296	0.7658370	0.8834142	0.1699932	0.6090659	0.8025113	0.9847594	0.7985862	0.8446237	0.9955917	0.5322639	0.3587908	0.3813396	0.7766174	0.4028907	0.3328477	0.9815611	0.2678300	0.2334775	0.2288014	0.2029258	0.5839620	0.5581637	0.1938798	0.0030078	0.6675228	0.7771068	0.2956380	0.4755240	0.3726618	0.7640039	0.2036858	0.5109764	0.9916418	0.3339829	0.7682634	0.6786203	0.8701041	0.5909920	0.5825108	0.7568725	1.0000000	0.9813061	1.0000000	0.4101322	1.0000000	1.0000000	1.0000000
150.0	0.2013373	0.2219285	0.8359338	0.3560838	0.8853786	0.5808770	0.5428996	0.4736176	0.9473066	0.7723731	0.8683560	0.8353003	0.7333589	0.6370678	0.9093653	0.3703463	0.8468941	0.6027960	0.1465508	0.9978730	0.5184529	0.0746547	1.0000000	0.5645967	0.0296376	0.0411641	0.2034888	1.0000000	0.7596096	1.0000000	0.6723143	1.0000000	0.1434838	1.0000000	0.8402784	0.4834139	0.6429538	0.7252685	0.7512054	0.4836364	0.0475575	0.4015101	0.3518323	0.9995973	0.9950716	0.0112902	0.1941453	0.7385711	0.6361984	0.5944806	0.3848893	0.9605893	0.1647852	0.8380680	0.8854820	0.1491579	0.6566981	0.8232015	0.9876426	0.7972791	0.8446824	0.9955916	0.5323969	0.3583765	0.3813404	0.7761897	0.4033254	0.3330572	0.9815243	0.2681143	0.2335867	0.2299981	0.2039252	0.5845601	0.5581457	0.1944190	0.0030060	0.6674777	0.7772114	0.2955225	0.4755795	0.3726366	0.7639398	0.2036897	0.5110279	0.9916577	0.3340060	0.7683516	0.6788177	0.8702933	0.5908313	0.5824218	0.7567458	1.0000000	0.9813061	1.0000000	0.4101423	1.0000000	1.0000000	1.0000000
200.0	0.0932971	0.3697411	0.9171769	0.1739044	0.9602880	0.5210415	0.4245027	0.6076820	0.9740005	0.9064354	0.8980496	0.8018098	0.5726323	0.6056210	0.8516071	0.4389560	0.9424873	0.5899747	0.0734209	0.9695954	0.5779833	0.1768976	1.0000000	0.5645967	0.0296376	0.0411540	0.2034618	1.0000000	0.7437590	1.0000000	0.6723143	1.0000000	0.1436645	1.0000000	0.8628827	0.4834065	0.6286769	0.7252685	0.7923143	0.4837967	0.0834738	0.4647895	0.3044394	0.9997678	0.9958585	0.0100551	0.2061759	0.7664106	0.6324353	0.4858994	0.4317618	0.9666631	0.2157306	0.8865394	0.8904817	0.1299050	0.7029345	0.8352408	0.9904532	0.7966773	0.8447335	0.9955915	0.5330017	0.3566665	0.3813467	0.7743789	0.4056260	0.3340567	0.9814032	0.2693186	0.2340894	0.2350177	0.2083512	0.5870967	0.5581670	0.1967797	0.0030047	0.6674415	0.7772953	0.2954298	0.4756241	0.3726165	0.7638883	0.2036928	0.5110693	0.9916704	0.3340245	0.7684224	0.6789761	0.8704450	0.5907024	0.5823590	0.7567127	1.0000000	0.9813061	1.0000000	0.4102183	1.0000000	1.0000000	1.0000000
250.0	0.0415357	0.5567130	0.9639974	0.0914137	0.9864683	0.4788286	0.3312783	0.6610800	0.9872595	0.9641314	0.9370183	0.8733414	0.4648654	0.5305854	0.8087233	0.4891521	0.9786965	0.5837396	0.0327879	0.7559464	0.6052387	0.2906409	1.0000000	0.5645967	0.0296376	0.0411110	0.2033262	1.0000000	0.7197294	1.0000000	0.6723143	1.0000000	0.1441425	1.0000000	0.8760200	0.4834014	0.6074171	0.7252685	0.8150835	0.4837921	0.1476057	0.5272109	0.2681542	0.9998622	0.9963091	0.0091719	0.2125743	0.7864256	0.6301490	0.4158063	0.4733333	0.9722500	0.2762889	0.9094785	0.8974105	0.1172148	0.7350841	0.8403113	0.9923356	0.7964597	0.8447768	0.9955914	0.5346112	0.3526444	0.3813709	0.7699870	0.4125028	0.3367110	0.9811049	0.2722392	0.2354763	0.2472075	0.2197254	0.5932232	0.5582555	0.2027449	0.0030036	0.6674125	0.7773627	0.2953554	0.4756600	0.3726004	0.7638470	0.2036953	0.5111025	0.9916806	0.3340394	0.7684792	0.6791032	0.8705668	0.5905989	0.5823389	0.7569313	1.0000000	0.9813061	1.0000000	0.4105158	1.0000000	1.0000000	1.0000000
300.0	0.0179912	0.7268964	0.9854633	0.0604779	0.9954013	0.4549904	0.2759665	0.6801330	0.9915289	0.9865535	0.9667486	0.9464409	0.4122148	0.4616151	0.7838104	0.5186038	0.9908123	0.5817880	0.0145018	0.3946782	0.6186804	0.3685036	1.0000000	0.5645967	0.0296376	0.0410066	0.2029603	1.0000000	0.6946165	1.0000000	0.6723143	1.0000000	0.1450071	1.0000000	0.8826802	0.4833990	0.5854244	0.7252685	0.8249430	0.4837495	0.2248025	0.5767727	0.2458150	0.9999064	0.9965302	0.0086577	0.2154000	0.7976283	0.6289954	0.3782298	0.5011812	0.9763051	0.3412862	0.9186537	0.9042218	0.1100944	0.7542197	0.8421849	0.9933818	0.7963884	0.8448117	0.9955913	0.5375564	0.3463364	0.3814303	0.7628101	0.4260602	0.3415028	0.9805849	0.2770096	0.2381712	0.2672860	0.2396585	0.6031497	0.5584116	0.2129839	0.0030027	0.6673892	0.7774168	0.2952956	0.4756888	0.3725876	0.7638138	0.2036972	0.5111291	0.9916888	0.3340513	0.7685248	0.6792052	0.8706645	0.5905158	0.5823899	0.7576557	1.0000000	0.9813061	1.0000000	0.4112746	1.0000000	1.0000000	1.0000000
350.0	0.0076393	0.8483623	0.9942463	0.0498585	0.9984378	0.4444119	0.2477958	0.6867583	0.9926027	0.9949922	0.9841509	0.9806987	0.3897629	0.4159121	0.7711886	0.5335164	0.9946222	0.5812833	0.0073311	0.1635714	0.6269393	0.4122736	1.0000000	0.5645967	0.0296376	0.0408270	0.2022621	1.0000000	0.6743641	1.0000000	0.6723143	1.0000000	0.1461814	1.0000000	0.8858188	0.4833981	0.5677908	0.7252685	0.8278183	0.4837251	0.2917866	0.6116018	0.2336457	0.9999234	0.9966294	0.0083954	0.2165377	0.8030810	0.6284795	0.3600820	0.5147553	0.9784517	0.3988662	0.9219556	0.9095361	0.1064413	0.7646541	0.8428413	0.9939030	0.7963660	0.8448390	0.9955912	0.5415876	0.3391186	0.3815366	0.7541051	0.4452381	0.3479870	0.9799002	0.2827915	0.2421466	0.2918036	0.2656904	0.6150908	0.5586008	0.2260797	0.0030020	0.6673706	0.7774603	0.2952477	0.4757119	0.3725773	0.7637871	0.2036988	0.5111505	0.9916954	0.3340609	0.7685614	0.6792871	0.8707428	0.5904491	0.5825338	0.7590877	1.0000000	0.9813061	1.0000000	0.4126810	1.0000000	1.0000000	1.0000000
400.0	0.0031953	0.9219395	0.9976479	0.0463877	0.9994693	0.4412462	0.2345412	0.6890366	0.9928359	0.9981384	0.9929415	0.9934228	0.3808327	0.3901825	0.7653209	0.5403374	0.9957802	0.5811630	0.0047675	0.0623194	0.6326603	0.4363474	1.0000000	0.5645967	0.0296376	0.0405892	0.2012324	1.0000000	0.6606314	1.0000000	0.6723143	1.0000000	0.1474601	1.0000000	0.8872345	0.4833978	0.5558828	0.7252685	0.8271392	0.4837197	0.3385238	0.6341397	0.2275023	0.9999274	0.9966712	0.0082750	0.2169757	0.8055181	0.6282694	0.3518794	0.5180932	0.9791851	0.4411556	0.9230503	0.9130576	0.1046679	0.7700343	0.8430680	0.9941444	0.7963592	0.8448601	0.9955912	0.5459683	0.3326847	0.3816850	0.7456874	0.4660670	0.3550221	0.9791750	0.2883780	0.2468053	0.3155052	0.2926998	0.6266055	0.5587801	0.2394225	0.0030014	0.6673556	0.7774951	0.2952092	0.4757305	0.3725690	0.7637657	0.2037001	0.5111676	0.9917007	0.3340686	0.7685908	0.6793528	0.8708058	0.5903956	0.5827653	0.7611966	1.0000000	0.9813061	1.0000000	0.4147065	1.0000000	1.0000000	1.0000000
450.0	0.0013209	0.9619232	0.9989326	0.0452871	0.9998197	0.4413214	0.2285513	0.6898065	0.9928806	0.9993083	0.9970011	0.9977998	0.3774218	0.3769707	0.7627520	0.5432386	0.9961255	0.5811354	0.0039077	0.0242463	0.6365689	0.4504207	1.0000000	0.5645967	0.0296376	0.0403339	0.1999947	1.0000000	0.6523399	1.0000000	0.6723143	1.0000000	0.1486330	1.0000000	0.8878551	0.4833977	0.5487160	0.7252685	0.8247862	0.4837234	0.3669153	0.6478472	0.2245527	0.9999262	0.9966879	0.0082253	0.2171424	0.8065498	0.6281909	0.3483380	0.5160525	0.9791874	0.4680408	0.9233886	0.9151303	0.1038380	0.7727030	0.8431474	0.9942504	0.7963571	0.8448763	0.9955912	0.5499391	0.3279907	0.3818550	0.7388359	0.4845639	0.3614629	0.9785243	0.2929229	0.2513127	0.3346343	0.3161347	0.6360351	0.5589235	0.2508269	0.0030009	0.6673436	0.7775231	0.2951783	0.4757454	0.3725624	0.7637486	0.2037011	0.5111814	0.9917049	0.3340747	0.7686144	0.6794055	0.8708562	0.5903527	0.5830483	0.7636973	1.0000000	0.9813061	1.0000000	0.4170858	1.0000000	1.0000000	1.0000000
