"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794737	0.0973499	0.9033185	0.3226413	0.8584820	0.8780500	0.7884113	0.5184248	0.9703279	0.2619318	0.5142215	0.6183624	0.3118893	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296376	0.0411553	0.2034526	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4832873	0.0270809	0.3512135	0.4049257	0.9992082	0.9935232	0.0129128	0.1711304	0.7073331	0.6428481	0.7570045	0.3365994	0.9525608	0.1142655	0.7191510	0.8830311	0.1802944	0.5874678	0.7866586	0.9835343	0.8000423	0.8444690	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028593	0.3328621	0.9815977	0.2678039	0.2334681	0.2286896	0.2028376	0.5839074	0.5582415	0.1938318	0.0030125	0.6676494	0.7768145	0.2959611	0.4753689	0.3727330	0.7641831	0.2036747	0.5108319	0.9915972	0.3339183	0.7680167	0.6780676	0.8695742	0.5914418	0.5827629	0.7572543	1.0000000	0.9813061	1.0000000	0.4101319	1.0000000	1.0000000	1.0000000
50.0	0.9954284	0.0907464	0.6903952	0.6581235	0.3656550	0.6989653	0.7705966	0.1069362	0.9645193	0.2948845	0.7649204	0.8683815	0.7869666	0.5126083	0.9514339	0.1732173	0.3274060	0.7430628	0.4046580	0.9999595	0.3387437	0.0189753	0.9451258	0.5680939	0.0884596	0.1613375	0.1950010	0.8658608	0.8227767	0.7752263	0.7418349	1.0000000	0.1432638	1.0000000	0.8058479	0.4969644	0.7152778	0.7007006	0.6480899	0.4832277	0.0498103	0.3277455	0.4392206	0.9799211	0.9848000	0.0097704	0.2642121	0.7094305	0.6427406	0.6841290	0.2990137	0.9551664	0.0813198	0.7234326	0.7597913	0.1640369	0.6203501	0.7556245	0.9809353	0.7790251	0.8311492	0.9959895	0.5579102	0.4818177	0.3935404	0.7559386	0.4734472	0.3324715	0.9822999	0.2663571	0.2060674	0.2080848	0.1938138	0.5808811	0.5581842	0.1788619	0.3006698	0.6856181	0.7779910	0.2799856	0.4436608	0.3309803	0.7604919	0.1842317	0.3246931	0.9164163	0.3042355	0.7763237	0.6721453	0.8727303	0.5326215	0.6833430	0.7460994	0.9746836	0.9848119	0.8823743	0.3659139	1.0000000	0.9216981	0.8981352
100.0	0.9947746	0.0645270	0.6964554	0.5844956	0.3419090	0.7433722	0.8619481	0.1124484	0.9797825	0.2726750	0.6834836	0.8171938	0.7787487	0.4802505	0.9345023	0.0841645	0.1638022	0.7909362	0.4873884	0.9999674	0.3056264	0.0065187	0.8737514	0.5642450	0.1309265	0.2398250	0.1802906	0.7372550	0.8815841	0.6139056	0.8243105	1.0000000	0.1422620	1.0000000	0.8117959	0.5010999	0.7829632	0.6741255	0.6178682	0.4829467	0.0712075	0.3012182	0.4783935	0.9575960	0.9745275	0.0061939	0.3344599	0.7213097	0.6418510	0.6153719	0.2509369	0.9674301	0.0466196	0.7138228	0.6346423	0.1491175	0.6582510	0.7175072	0.9725072	0.7632413	0.8159331	0.9963843	0.5794487	0.6027612	0.4064333	0.7466215	0.5307803	0.3305715	0.9833690	0.2590371	0.1727222	0.1699723	0.1666090	0.5648600	0.5579740	0.1524699	0.3968829	0.7006908	0.7840206	0.2596005	0.4082878	0.2907707	0.7534715	0.1617918	0.1481460	0.8336833	0.2737902	0.7848193	0.6665199	0.8872748	0.4760709	0.7813593	0.7302168	0.9548439	0.9876716	0.7761491	0.3208763	1.0000000	0.8609921	0.8038376
150.0	0.9936150	0.0487772	0.7030763	0.5124305	0.3337812	0.7804475	0.9107831	0.1142977	0.9815041	0.2635547	0.6530810	0.7526277	0.7681546	0.4372011	0.9282554	0.0402599	0.0937732	0.8003584	0.5276409	0.9999709	0.2785488	0.0020634	0.8267339	0.5528426	0.1459618	0.2714232	0.1690709	0.6763208	0.9052301	0.5559796	0.8767562	1.0000000	0.1408444	1.0000000	0.8088653	0.4992137	0.8183402	0.6599266	0.6025587	0.4827914	0.0813430	0.2910025	0.4983246	0.9445838	0.9680413	0.0041430	0.3654246	0.7395192	0.6400088	0.5875692	0.2209646	0.9808112	0.0299180	0.7001094	0.5735758	0.1439287	0.6782830	0.6910303	0.9582214	0.7581661	0.8079902	0.9965528	0.5806243	0.6637561	0.4131422	0.7511655	0.5355381	0.3283590	0.9841310	0.2500899	0.1522475	0.1375474	0.1364393	0.5440022	0.5573530	0.1289292	0.4105100	0.7064872	0.7932681	0.2450903	0.3892951	0.2702289	0.7456583	0.1468474	0.0653703	0.7888425	0.2589030	0.7905891	0.6669071	0.9056916	0.4429036	0.8231690	0.7144617	0.9470154	0.9887375	0.7246223	0.2931237	1.0000000	0.8382953	0.7613745
200.0	0.9925539	0.0408349	0.7074590	0.4666817	0.3317335	0.8055216	0.9340234	0.1149216	0.9817765	0.2604968	0.6449468	0.7095290	0.7607349	0.4052058	0.9271277	0.0222767	0.0686951	0.8018138	0.5450250	0.9999722	0.2646217	0.0007092	0.8009793	0.5406877	0.1507123	0.2861925	0.1641973	0.6520336	0.9069634	0.5377139	0.9046755	1.0000000	0.1396758	1.0000000	0.8042304	0.4969960	0.8340653	0.6536447	0.5960915	0.4829200	0.0855212	0.2915257	0.5049431	0.9382211	0.9643333	0.0031374	0.3810358	0.7565833	0.6377963	0.5798643	0.2058138	0.9891997	0.0239199	0.6916944	0.5496240	0.1432333	0.6865373	0.6776875	0.9420213	0.7569727	0.8055450	0.9965862	0.5723426	0.6891131	0.4159700	0.7568509	0.5137577	0.3271106	0.9844170	0.2440387	0.1419115	0.1195978	0.1156535	0.5287617	0.5562858	0.1140476	0.4121128	0.7080024	0.8024451	0.2349328	0.3821193	0.2619549	0.7387201	0.1389949	0.0326829	0.7688767	0.2530622	0.7954733	0.6723540	0.9206831	0.4232387	0.8341312	0.6990492	0.9443124	0.9890408	0.7019777	0.2739220	1.0000000	0.8311447	0.7454824
250.0	0.9918485	0.0371316	0.7096818	0.4444067	0.3316728	0.8202848	0.9446590	0.1151352	0.9819045	0.2597458	0.6432142	0.6900933	0.7570431	0.3878535	0.9276596	0.0155135	0.0604927	0.8019109	0.5520376	0.9999726	0.2594603	0.0003203	0.7880451	0.5313848	0.1522635	0.2939311	0.1639695	0.6430348	0.9017732	0.5321760	0.9179862	1.0000000	0.1389778	1.0000000	0.8009814	0.4956425	0.8406721	0.6511023	0.5937015	0.4832109	0.0871943	0.2958212	0.5053424	0.9353345	0.9621737	0.0026681	0.3908721	0.7699281	0.6357484	0.5785391	0.1988363	0.9932153	0.0221478	0.6886451	0.5414365	0.1436345	0.6896307	0.6729566	0.9278563	0.7566942	0.8059546	0.9965733	0.5633188	0.6979244	0.4170181	0.7595625	0.4896817	0.3269982	0.9842891	0.2413938	0.1372384	0.1129981	0.1053692	0.5212544	0.5549828	0.1070474	0.4122481	0.7079760	0.8101843	0.2273128	0.3810322	0.2596703	0.7331920	0.1354035	0.0206882	0.7608702	0.2510727	0.7999542	0.6800080	0.9313128	0.4108240	0.8334850	0.6846174	0.9434174	0.9891066	0.6922574	0.2596997	1.0000000	0.8290438	0.7400129
300.0	0.9914705	0.0354778	0.7105941	0.4358537	0.3320631	0.8282146	0.9494341	0.1151777	0.9819806	0.2597299	0.6427669	0.6840985	0.7556019	0.3801863	0.9285366	0.0130904	0.0580272	0.8018564	0.5547718	0.9999727	0.2583800	0.0002117	0.7818666	0.5254138	0.1528295	0.2981084	0.1659402	0.6398212	0.8966711	0.5305192	0.9238524	1.0000000	0.1386676	1.0000000	0.7993405	0.4949774	0.8434208	0.6501253	0.5929745	0.4835310	0.0878783	0.3004398	0.5034990	0.9340708	0.9608079	0.0024518	0.3981672	0.7799838	0.6340966	0.5784905	0.1957762	0.9948534	0.0216962	0.6885755	0.5390682	0.1439871	0.6908972	0.6722743	0.9171724	0.7565463	0.8074661	0.9965550	0.5567112	0.7001408	0.4173730	0.7599060	0.4737609	0.3276013	0.9839030	0.2408674	0.1353140	0.1122360	0.1019982	0.5190553	0.5536756	0.1048798	0.4122247	0.7074889	0.8163852	0.2213527	0.3824429	0.2597886	0.7289194	0.1336691	0.0164629	0.7579256	0.2505323	0.8038829	0.6876088	0.9387692	0.4023990	0.8296862	0.6719190	0.9431254	0.9891128	0.6881102	0.2495074	1.0000000	0.8284469	0.7382157
350.0	0.9913035	0.0347585	0.7108799	0.4335855	0.3324120	0.8322202	0.9515532	0.1151335	0.9820162	0.2598672	0.6424941	0.6835675	0.7551372	0.3772381	0.9293711	0.0122489	0.0573826	0.8018191	0.5559003	0.9999727	0.2587031	0.0001831	0.7790089	0.5219812	0.1530647	0.3003446	0.1683981	0.6386964	0.8933414	0.5300257	0.9262923	1.0000000	0.1385837	1.0000000	0.7987196	0.4946856	0.8445827	0.6497623	0.5928416	0.4838131	0.0881723	0.3043201	0.5011884	0.9335264	0.9598454	0.0023522	0.4040219	0.7876951	0.6328544	0.5784381	0.1944938	0.9954526	0.0215991	0.6896196	0.5386522	0.1441193	0.6915934	0.6730139	0.9096112	0.7564040	0.8091905	0.9965424	0.5526710	0.7002115	0.4174910	0.7592658	0.4663867	0.3284350	0.9834116	0.2412035	0.1346036	0.1134708	0.1019110	0.5193297	0.5524998	0.1048983	0.4121924	0.7069297	0.8213070	0.2166420	0.3845714	0.2606657	0.7255998	0.1325867	0.0150220	0.7569651	0.2504982	0.8071457	0.6941090	0.9441526	0.3963230	0.8256617	0.6615162	0.9430307	0.9891085	0.6863435	0.2426830	1.0000000	0.8282803	0.7376417
400.0	0.9912457	0.0344506	0.7109228	0.4335760	0.3326242	0.8341608	0.9524869	0.1150477	0.9820252	0.2599824	0.6422881	0.6846840	0.7549979	0.3761622	0.9300796	0.0119628	0.0572656	0.8018026	0.5564804	0.9999727	0.2592703	0.0001773	0.7777161	0.5201501	0.1531723	0.3015174	0.1705166	0.6383073	0.8915227	0.5298790	0.9272638	1.0000000	0.1385988	1.0000000	0.7985818	0.4945662	0.8450880	0.6496305	0.5928748	0.4840389	0.0883065	0.3073558	0.4990816	0.9332932	0.9591034	0.0023064	0.4088300	0.7937367	0.6319442	0.5782717	0.1939972	0.9956549	0.0215936	0.6908185	0.5388225	0.1441153	0.6920953	0.6740408	0.9042888	0.7562733	0.8107666	0.9965355	0.5504495	0.6998355	0.4175366	0.7585002	0.4644298	0.3291893	0.9829201	0.2416992	0.1343818	0.1148820	0.1028618	0.5203083	0.5515021	0.1055633	0.4121659	0.7064266	0.8252153	0.2129228	0.3866794	0.2616757	0.7229900	0.1317384	0.0145516	0.7567323	0.2506206	0.8097676	0.6992921	0.9481447	0.3917704	0.8222067	0.6535549	0.9430000	0.9891047	0.6855912	0.2384231	1.0000000	0.8282343	0.7374617
450.0	0.9912343	0.0343199	0.7108971	0.4340818	0.3327278	0.8350754	0.9528970	0.1149489	0.9820197	0.2600481	0.6421649	0.6860802	0.7549414	0.3757247	0.9306605	0.0118671	0.0572748	0.8017963	0.5568814	0.9999727	0.2597113	0.0001775	0.7771405	0.5192241	0.1532240	0.3021198	0.1720613	0.6381736	0.8906284	0.5298354	0.9276377	1.0000000	0.1386412	1.0000000	0.7986145	0.4945195	0.8453144	0.6495836	0.5929270	0.4842121	0.0883705	0.3096898	0.4973647	0.9331932	0.9585014	0.0022854	0.4127735	0.7985190	0.6312744	0.5780871	0.1938353	0.9957181	0.0216138	0.6918188	0.5391259	0.1440647	0.6924911	0.6749716	0.9004411	0.7561653	0.8120899	0.9965322	0.5493101	0.6995180	0.4175605	0.7579231	0.4649191	0.3297453	0.9824825	0.2420928	0.1343347	0.1159045	0.1038404	0.5212223	0.5506811	0.1062158	0.4121452	0.7060117	0.8283189	0.2099932	0.3885204	0.2626162	0.7209237	0.1310222	0.0144116	0.7567432	0.2507733	0.8118426	0.7033021	0.9511534	0.3882927	0.8194221	0.6477827	0.9429901	0.9891025	0.6852709	0.2359259	1.0000000	0.8282216	0.7374059
