"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.9954096	0.1128447	0.6889871	0.6881702	0.4020489	0.6685363	0.6794737	0.0973489	0.9033266	0.3226413	0.8584820	0.8780521	0.7884116	0.5184248	0.9703571	0.2619318	0.5142215	0.6183624	0.3119189	0.9999510	0.3526416	0.0357610	1.0000000	0.5645967	0.0296376	0.0411574	0.2034737	1.0000000	0.7671019	1.0000000	0.6723143	1.0000000	0.1434409	1.0000000	0.7943025	0.4834204	0.6499112	0.7252685	0.6793415	0.4832982	0.0270809	0.3514995	0.4045648	0.9992082	0.9935138	0.0129128	0.1711874	0.7075462	0.6428389	0.7570045	0.3365996	0.9525608	0.1142656	0.7192398	0.8830655	0.1802944	0.5874753	0.7866763	0.9834872	0.8000421	0.8445495	0.9955917	0.5322524	0.3588297	0.3813396	0.7766566	0.4028590	0.3328451	0.9815759	0.2678039	0.2334681	0.2286896	0.2028375	0.5839074	0.5582018	0.1938318	0.0030112	0.6675524	0.7770199	0.2957444	0.4754650	0.3727052	0.7640933	0.2036795	0.5108874	0.9916233	0.3339599	0.7681598	0.6783336	0.8698097	0.5912867	0.5826342	0.7570408	1.0000000	0.9813061	1.0000000	0.4101318	1.0000000	1.0000000	1.0000000
50.0	0.9832374	0.1128815	0.1854139	0.4135125	0.1417085	0.6963376	0.4100368	0.0965185	0.8806006	0.3229021	0.9038988	0.8868566	0.7937056	0.5235064	0.9836992	0.1369060	0.6008331	0.6183576	0.6231047	0.9999510	0.1050414	0.6698004	1.0000000	0.5645967	0.0296377	0.0542719	0.0829184	1.0000000	0.7571554	0.3273117	0.7239370	1.0000000	0.1434657	1.0000000	0.7349389	0.4834151	0.6398530	0.7252685	0.9159339	0.4842785	0.0212988	0.3603984	0.3965550	0.9981064	0.9888203	0.0136510	0.1148392	0.4716539	0.6512902	0.8280565	0.3150518	0.9497547	0.0921191	0.4938916	0.7386616	0.2176704	0.5231161	0.7204177	0.9540301	0.9363007	0.9434400	0.9982736	0.5169457	0.3592650	0.3813854	0.7644099	0.4030351	0.3384919	0.9796753	0.2675683	0.1290674	0.2292506	0.2033716	0.5841114	0.5660606	0.1945338	0.0021813	0.6582620	0.5344522	0.1121992	0.4470077	0.7460902	0.7513024	0.1429987	0.1839490	0.9933465	0.1702666	0.7385336	0.6785981	0.9095973	0.5648941	0.5487747	0.7302920	1.0000000	0.9813061	0.3985042	0.3949205	1.0000000	1.0000000	1.0000000
100.0	0.7111319	0.1152087	0.2437700	0.1331102	0.0540239	0.7482849	0.3677887	0.0955410	0.7855159	0.3392811	0.9629999	0.9548884	0.8093957	0.6442933	0.9954225	0.1077131	0.4352597	0.6180916	0.8050787	0.9999461	0.0300174	0.7999045	1.0000000	0.5645967	0.0296418	0.1120533	0.0447201	1.0000000	0.7314816	0.1274896	0.8599189	1.0000000	0.1437683	1.0000000	0.4801094	0.4834085	0.6161697	0.7252685	0.9460370	0.4856180	0.0178543	0.3760623	0.3801272	0.9698362	0.9531255	0.0152984	0.1284740	0.4761373	0.6971174	0.9303948	0.2621620	0.9509556	0.0498484	0.2760615	0.6445783	0.3669140	0.3974875	0.4603996	0.7890588	0.9738619	0.9792569	0.9987938	0.4503955	0.3582159	0.3815001	0.7590578	0.4058743	0.3552174	0.9704516	0.2682584	0.0957068	0.2356949	0.2097916	0.5868428	0.5865760	0.1981167	0.0013490	0.6444126	0.5381603	0.0534767	0.3822527	0.8133890	0.7096806	0.0708114	0.0728681	0.9971003	0.1570848	0.6716494	0.5678349	0.9699550	0.5010957	0.4419794	0.6558667	1.0000000	0.9813061	0.3309925	0.3257157	1.0000000	1.0000000	1.0000000
150.0	0.3090340	0.1378005	0.2671563	0.0646010	0.0302415	0.7789379	0.3356838	0.1012580	0.5863459	0.4820875	0.9878230	0.9962553	0.8636841	0.8011189	0.9987593	0.1147029	0.4806747	0.6154659	0.8363870	0.9998714	0.0097983	0.8266098	1.0000000	0.5645967	0.0296991	0.1915330	0.0338228	1.0000000	0.7082614	0.0681324	0.9466326	1.0000000	0.1445302	1.0000000	0.2461685	0.4834058	0.5964641	0.7252685	0.9484899	0.4860693	0.0172473	0.3774376	0.3731831	0.7453868	0.8217495	0.0165220	0.1721438	0.4982394	0.7822774	0.9756071	0.2184972	0.9633530	0.0241954	0.1871353	0.4423380	0.5713732	0.3105922	0.2317883	0.6707841	0.9840039	0.9917637	0.9988947	0.3602076	0.3538152	0.3816217	0.7526700	0.4155964	0.3723280	0.9524210	0.2712636	0.0862739	0.2509496	0.2257678	0.5938517	0.6024204	0.2064963	0.0012055	0.6391437	0.5697302	0.0353031	0.3413285	0.8208567	0.6656132	0.0466416	0.0351537	0.9990312	0.1688941	0.6131636	0.4604712	0.9927890	0.4571637	0.3229775	0.5652005	1.0000000	0.9813061	0.3234150	0.2413145	1.0000000	1.0000000	1.0000000
200.0	0.1309229	0.2105369	0.2445578	0.0492292	0.0273480	0.7928819	0.2648801	0.0847204	0.4799428	0.7320611	0.9957676	0.9997823	0.9513047	0.9272429	0.9996516	0.1416565	0.7241781	0.6053987	0.8058293	0.9990979	0.0044958	0.8320913	1.0000000	0.5645967	0.0299766	0.2664263	0.0353600	1.0000000	0.6898839	0.0505004	0.9797573	1.0000000	0.1455806	1.0000000	0.1314591	0.4834037	0.5810515	0.7252685	0.9472795	0.4861935	0.0171484	0.3730068	0.3709568	0.4621846	0.5836856	0.0171571	0.2113172	0.5086231	0.8488531	0.9915589	0.1930005	0.9778654	0.0133889	0.1617255	0.3089824	0.7025971	0.2636343	0.1459925	0.6232626	0.9867807	0.9941483	0.9989143	0.2921443	0.3480046	0.3817558	0.7451999	0.4322476	0.3854724	0.9291865	0.2756921	0.0851139	0.2708067	0.2475587	0.6034881	0.6086356	0.2175998	0.0011907	0.6381181	0.5921794	0.0291421	0.3297063	0.8222594	0.6363195	0.0402015	0.0223257	0.9996993	0.1742521	0.5424098	0.3725196	0.9984090	0.4386710	0.2336065	0.4272117	1.0000000	0.9813061	0.3225645	0.1874869	1.0000000	1.0000000	1.0000000
250.0	0.0610716	0.3526726	0.2205077	0.0457872	0.0269485	0.7985919	0.1782490	0.0616496	0.4874412	0.8911179	0.9982197	0.9999878	0.9896072	0.9808921	0.9998960	0.1696894	0.8275055	0.5902150	0.7727640	0.9900020	0.0030987	0.8332164	1.0000000	0.5645967	0.0305475	0.3332257	0.0421402	1.0000000	0.6712033	0.0452628	0.9906089	1.0000000	0.1467365	1.0000000	0.0832614	0.4834010	0.5641463	0.7252685	0.9449910	0.4862357	0.0171323	0.3688454	0.3702593	0.3102281	0.3807029	0.0174439	0.2338998	0.5125037	0.8777452	0.9969462	0.1800049	0.9878803	0.0094390	0.1550602	0.2649935	0.7516974	0.2422453	0.1245995	0.6080367	0.9875452	0.9898392	0.9989180	0.2547695	0.3422254	0.3819109	0.7375794	0.4518785	0.3955026	0.9069252	0.2805424	0.0869154	0.2917937	0.2713373	0.6138673	0.6087380	0.2294680	0.0011891	0.6382317	0.6044093	0.0265082	0.3325581	0.8244586	0.6211166	0.0384560	0.0179544	0.9999081	0.1734589	0.4601305	0.3108731	0.9996247	0.4328643	0.1796739	0.2731347	1.0000000	0.9813061	0.3224690	0.1606362	1.0000000	1.0000000	1.0000000
300.0	0.0339394	0.5393312	0.2080260	0.0450166	0.0268310	0.8014813	0.1230892	0.0463249	0.5087889	0.9586926	0.9991560	0.9999993	0.9980971	0.9957008	0.9999663	0.1883005	0.8555778	0.5830924	0.7552271	0.8974526	0.0027434	0.8334474	1.0000000	0.5645967	0.0311949	0.3860328	0.0492884	1.0000000	0.6518647	0.0437069	0.9940046	1.0000000	0.1479856	1.0000000	0.0636139	0.4833989	0.5455289	0.7252685	0.9418491	0.4862596	0.0171297	0.3662044	0.3700409	0.2379861	0.2685342	0.0175736	0.2446326	0.5138966	0.8876320	0.9987498	0.1736810	0.9932317	0.0080382	0.1533516	0.2528316	0.7669053	0.2341020	0.1214490	0.6035690	0.9877560	0.9851872	0.9989188	0.2387170	0.3363372	0.3820847	0.7297110	0.4715065	0.4043565	0.8890278	0.2856569	0.0901334	0.3141127	0.2969254	0.6245561	0.6066120	0.2420680	0.0011889	0.6385043	0.6105154	0.0251025	0.3391068	0.8269148	0.6142241	0.0379278	0.0164625	0.9999717	0.1708181	0.3981532	0.2766761	0.9998875	0.4315891	0.1506751	0.1650287	1.0000000	0.9813061	0.3224583	0.1481045	1.0000000	1.0000000	1.0000000
350.0	0.0234172	0.7090435	0.2026225	0.0448440	0.0267915	0.8044396	0.1006071	0.0379016	0.5183136	0.9845704	0.9995812	1.0000000	0.9996642	0.9990904	0.9999879	0.1978384	0.8629816	0.5815108	0.7486177	0.5562691	0.0026757	0.8334948	1.0000000	0.5645967	0.0316775	0.4203255	0.0543696	1.0000000	0.6362636	0.0432448	0.9950509	1.0000000	0.1493281	1.0000000	0.0556539	0.4833979	0.5300045	0.7252685	0.9377133	0.4862806	0.0171293	0.3647760	0.3699726	0.2016861	0.2166778	0.0176377	0.2494341	0.5144135	0.8907887	0.9993526	0.1706635	0.9957362	0.0075386	0.1529219	0.2501337	0.7714678	0.2317403	0.1223045	0.6022764	0.9878140	0.9830412	0.9989189	0.2345532	0.3303576	0.3822778	0.7215925	0.4900377	0.4131046	0.8756325	0.2909739	0.0943505	0.3377011	0.3242074	0.6353875	0.6043105	0.2553853	0.0011889	0.6387158	0.6135223	0.0242744	0.3448915	0.8289113	0.6113187	0.0377415	0.0159525	0.9999909	0.1684291	0.3631138	0.2598703	0.9999498	0.4315877	0.1358572	0.1074992	1.0000000	0.9813061	0.3224571	0.1423731	1.0000000	1.0000000	1.0000000
400.0	0.0193384	0.8268008	0.2003306	0.0448054	0.0267781	0.8078320	0.0932490	0.0335349	0.5212141	0.9942563	0.9997790	1.0000000	0.9999413	0.9998100	0.9999950	0.2020611	0.8649315	0.5812226	0.7465795	0.2383368	0.0026862	0.8335045	1.0000000	0.5645967	0.0319535	0.4382492	0.0570955	1.0000000	0.6263544	0.0431075	0.9953711	1.0000000	0.1506352	1.0000000	0.0524351	0.4833976	0.5199883	0.7252685	0.9325040	0.4862999	0.0171292	0.3640696	0.3699513	0.1817345	0.1941142	0.0176737	0.2515991	0.5146201	0.8917816	0.9995540	0.1692406	0.9968302	0.0073586	0.1528207	0.2499371	0.7728463	0.2314923	0.1235475	0.6018999	0.9878299	0.9822811	0.9989189	0.2358513	0.3251627	0.3824890	0.7140572	0.5064024	0.4215180	0.8659092	0.2959686	0.0989920	0.3598508	0.3503054	0.6454719	0.6025256	0.2680449	0.0011888	0.6388493	0.6150350	0.0237801	0.3489124	0.8302806	0.6101337	0.0376649	0.0157779	0.9999968	0.1667765	0.3454376	0.2519018	0.9999675	0.4318204	0.1284195	0.0808854	1.0000000	0.9813061	0.3224570	0.1398669	1.0000000	1.0000000	1.0000000
