"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.6334756	0.0950718	0.4881799	0.3285424	0.2419575	0.5124369	0.5006807	0.0545304	0.4751262	0.2158918	0.6187440	0.5212057	0.5114921	0.3614700	0.5690579	0.1778667	0.2445813	0.4398531	0.2228216	0.6508857	0.1493757	0.0321047	0.6428419	0.4009540	0.0148621	0.0132917	0.1412168	0.6119752	0.4985713	0.6167207	0.4502001	0.6200387	0.1135449	0.7768248	0.6302400	0.3418861	0.4838398	0.4883743	0.4482049	0.3393021	0.0180646	0.3112781	0.2811530	0.5422216	0.6471501	0.0045196	0.0988800	0.4257242	0.4293615	0.4619000	0.1378884	0.7044890	0.0708616	0.4477469	0.5638488	0.1101035	0.4153473	0.5625248	0.6262227	0.4398604	0.5960710	0.6406218	0.3618312	0.2157748	0.1932582	0.6307929	0.3096692	0.2239942	0.7050379	0.1845210	0.1602486	0.1800671	0.1893414	0.4445493	0.4555997	0.1485438	0.0077557	0.3783945	0.5151044	0.1600111	0.3372543	0.2578045	0.4580076	0.1827764	0.3665224	0.5354632	0.1992041	0.6390636	0.4379641	0.6538985	0.3728876	0.3765719	0.5096642	0.6783315	0.6793011	0.5939659	0.4159683	0.6744895	0.5816738	0.6033467
50.0	0.2878084	0.0967135	0.4682356	0.2967429	0.2536671	0.4123755	0.3672479	0.0806038	0.6000232	0.2875552	0.6331413	0.5960366	0.5130146	0.4374380	0.5554488	0.1484325	0.3307516	0.3363552	0.1956306	0.6544817	0.1808623	0.0156018	0.6912095	0.4444685	0.0186689	0.0294322	0.0989173	0.5865685	0.4527121	0.6173230	0.4918201	0.5460771	0.0645905	0.6288975	0.5398019	0.2705694	0.4486687	0.5099074	0.3918461	0.3657966	0.0054435	0.2373863	0.2535327	0.7023724	0.6899424	0.0400467	0.0873286	0.5136737	0.3965073	0.5044434	0.2365588	0.6285307	0.0747263	0.3516176	0.4636786	0.1648432	0.4470887	0.4991827	0.6034142	0.4724918	0.5232615	0.6781338	0.2921385	0.2578092	0.2281657	0.5999743	0.2352766	0.2810800	0.6338040	0.1987235	0.1488645	0.1252804	0.1268973	0.4760286	0.4432711	0.1273922	0.0004667	0.3456677	0.5592287	0.1844242	0.3527444	0.2400045	0.4170507	0.1475881	0.3747802	0.6445132	0.1688741	0.5646082	0.4907516	0.6972799	0.3806172	0.3649926	0.4655217	0.6005481	0.5769195	0.6503492	0.2734297	0.5875181	0.7272610	0.6890715
100.0	0.0945856	0.1627044	0.5795002	0.2736768	0.5342943	0.4478118	0.3811174	0.1668189	0.5529960	0.4451398	0.4607304	0.7068460	0.6077624	0.5861621	0.7576185	0.2298979	0.4723212	0.4951922	0.0767676	0.7244246	0.2324529	0.0361723	0.6658875	0.4016734	0.0229588	0.0220538	0.0913141	0.6416612	0.6443849	0.6020818	0.5509083	0.6672770	0.1413077	0.7864488	0.6451368	0.3205022	0.5035851	0.5645619	0.5268094	0.3298408	0.0086636	0.2771168	0.2189410	0.6970484	0.6879709	0.0117060	0.1655173	0.4629589	0.4038795	0.5306604	0.3596184	0.6607807	0.0836850	0.5315088	0.5533457	0.1007008	0.4728117	0.5951488	0.6503333	0.5547550	0.4879615	0.5910518	0.3174815	0.2672341	0.2274267	0.5507677	0.2456495	0.1995468	0.6719704	0.2083696	0.1206563	0.1193624	0.1361355	0.4150527	0.3870205	0.1275279	0.0018315	0.4754909	0.4206954	0.1555076	0.3167499	0.2861890	0.4921953	0.1248310	0.3492632	0.6253147	0.2297697	0.4813649	0.4249363	0.5901768	0.4173338	0.4731357	0.5197222	0.7380789	0.6595058	0.6914280	0.2707972	0.6017229	0.5523576	0.6242937
150.0	0.0229324	0.1901876	0.5051141	0.0926199	0.5417511	0.3915039	0.3396275	0.3368141	0.6499417	0.6491596	0.6144997	0.6246057	0.4486574	0.5149607	0.6851936	0.3233438	0.6247707	0.4106842	0.0927272	0.5664198	0.3344518	0.0907982	0.6665172	0.4323278	0.0117938	0.0225523	0.1495721	0.7479057	0.6010767	0.5528765	0.5580485	0.6157690	0.1203524	0.7559108	0.4718830	0.3223918	0.4692542	0.4378464	0.5924894	0.3342467	0.0170545	0.2354676	0.2277179	0.6883300	0.5881699	0.0160967	0.1864018	0.5793902	0.4383702	0.3614473	0.2355858	0.5569689	0.1329259	0.6225685	0.5653837	0.0697198	0.5261049	0.5159776	0.5171282	0.5290620	0.5243564	0.6828922	0.3334215	0.2821721	0.2869309	0.5931667	0.2700839	0.2172974	0.7218798	0.1533130	0.1626853	0.1260746	0.1415132	0.3119235	0.5208163	0.1148727	0.0018409	0.4464206	0.5147118	0.2551058	0.3285719	0.2696095	0.5333223	0.1473469	0.3810800	0.5403569	0.1763212	0.5026275	0.4212994	0.5828369	0.4071480	0.3468125	0.5255479	0.7795044	0.6165363	0.5993789	0.2758658	0.7203487	0.6148556	0.7166445
200.0	0.0261084	0.3539237	0.7729679	0.0691866	0.6330458	0.3018098	0.1814700	0.4161586	0.6660358	0.7434243	0.6342613	0.4971944	0.3771647	0.3568055	0.5949076	0.3641064	0.5507643	0.4613246	0.0308905	0.8126276	0.4175604	0.1134963	0.7840546	0.4306938	0.0107199	0.0232967	0.1204922	0.6630469	0.5073631	0.5849152	0.4612395	0.6678933	0.0845398	0.7606931	0.5673139	0.2857409	0.5010041	0.5750543	0.5291814	0.2940532	0.0744023	0.3900605	0.1445380	0.5896583	0.7402506	0.0023661	0.1676362	0.4676974	0.4696911	0.2772441	0.3717363	0.5223653	0.1938042	0.5966628	0.5702996	0.1034774	0.5681874	0.6081631	0.5744530	0.5597981	0.4794528	0.5881174	0.3247616	0.2876489	0.3275012	0.5392558	0.2760974	0.2181254	0.6422471	0.2098073	0.1817751	0.1237586	0.1409049	0.4080264	0.4247437	0.1265270	0.0035003	0.3931218	0.5676739	0.1888975	0.2779710	0.3036368	0.4500970	0.1250684	0.3390465	0.6799058	0.2306196	0.4821542	0.4938075	0.5865333	0.4267270	0.3083707	0.4253736	0.7697192	0.7472830	0.6491394	0.2828369	0.5653147	0.6170380	0.7573388
250.0	0.0112684	0.3827231	0.5381650	0.0479861	0.6153196	0.2550136	0.1870389	0.3903344	0.6315911	0.8302483	0.6389738	0.5732045	0.2441287	0.4229548	0.5220912	0.3800728	0.6483646	0.4283279	0.0067517	0.4443203	0.3620194	0.1434878	0.7649005	0.3904216	0.0113441	0.0228237	0.1234621	0.6730659	0.5351057	0.5850984	0.4257051	0.5848724	0.0673466	0.7663978	0.5030488	0.3248432	0.3529357	0.4493104	0.6584292	0.3021264	0.0757095	0.4661845	0.1611126	0.6640063	0.6627256	0.0033877	0.0922375	0.4751590	0.4794424	0.2649467	0.3700356	0.6810897	0.1662948	0.5164487	0.7219114	0.0583377	0.5400526	0.4649159	0.5911339	0.4767108	0.6073804	0.5959374	0.4243289	0.2283161	0.2285637	0.4652099	0.2092649	0.1957753	0.7568365	0.1985111	0.1226210	0.1892369	0.1594813	0.3091946	0.3414021	0.1538988	0.0042649	0.3998714	0.4516145	0.1934676	0.4021087	0.2531701	0.5038760	0.1404649	0.4095048	0.6716830	0.1900539	0.5254545	0.3659839	0.6152965	0.4958290	0.4003113	0.4874937	0.6805426	0.6293692	0.7286654	0.3061105	0.7170261	0.6189763	0.6413371
300.0	0.0010939	0.5702113	0.6570562	0.0384712	0.7569227	0.3049347	0.1893086	0.4668031	0.6357295	0.7407393	0.5619081	0.6770127	0.2406698	0.3069546	0.5142338	0.3574119	0.5120875	0.4223140	0.0040205	0.1497341	0.3783740	0.1570112	0.7093720	0.3997147	0.0140213	0.0279910	0.0680850	0.8095264	0.4872017	0.6292929	0.5427695	0.7133263	0.0611851	0.6625260	0.5612919	0.3445759	0.4835875	0.4622352	0.4891732	0.3388019	0.1086517	0.3434025	0.1668014	0.6562616	0.7369093	0.0102343	0.1457210	0.5269482	0.4255842	0.2514110	0.3369374	0.6052637	0.1837264	0.5800343	0.6203017	0.0649892	0.4896813	0.5098941	0.7209643	0.4962709	0.6458334	0.6743038	0.3381572	0.2290665	0.2514300	0.5905654	0.2669413	0.2539301	0.6891946	0.1637638	0.1264452	0.1781320	0.1967621	0.4121102	0.3682232	0.1316298	0.0007903	0.3977021	0.5498456	0.2024505	0.2838383	0.2568823	0.5516032	0.1966794	0.3811635	0.8002840	0.2039231	0.5176033	0.3892984	0.6516379	0.3871916	0.3903593	0.5527001	0.7330287	0.6050486	0.7020575	0.2572001	0.6744774	0.6022518	0.7567101
350.0	0.0008533	0.5255113	0.6564657	0.0286143	0.6276947	0.2711752	0.1563394	0.4100672	0.7755883	0.6342551	0.6186167	0.6494956	0.2994423	0.2761208	0.5728305	0.3667795	0.6442782	0.3717940	0.0023532	0.0813768	0.5332040	0.3206079	0.6439153	0.3690194	0.0162509	0.0132034	0.0567855	0.6335085	0.4036676	0.6278802	0.5807359	0.6908910	0.0663329	0.6679863	0.6572416	0.2732996	0.3833075	0.5187816	0.4798435	0.3085550	0.1359856	0.3355606	0.1587951	0.6292015	0.6632751	0.0074370	0.1438309	0.5618563	0.4580203	0.2282574	0.3436487	0.6477770	0.2310539	0.6217232	0.6260745	0.0829893	0.4706116	0.5706424	0.5594725	0.4955835	0.5438013	0.7809942	0.3717148	0.2383140	0.2358533	0.5162691	0.3033531	0.2240813	0.6726345	0.2516780	0.1453831	0.2147623	0.1800418	0.3965097	0.3258216	0.1524840	0.0005386	0.5762541	0.4966486	0.1688757	0.3134946	0.2726812	0.5612169	0.1082856	0.3209271	0.8283975	0.2424372	0.6828690	0.4491876	0.7025320	0.3843344	0.4519394	0.4696251	0.6336249	0.6091579	0.8380784	0.2913690	0.6374363	0.6200615	0.7541441
400.0	0.0018109	0.4739446	0.7715655	0.0359112	0.6941025	0.3384146	0.1619931	0.4126501	0.7548245	0.7000975	0.7831413	0.5661890	0.3346396	0.2540274	0.5265158	0.3083669	0.6787944	0.3970036	0.0000545	0.0075407	0.4167865	0.3133430	0.6260650	0.3653472	0.0161581	0.0196184	0.1178470	0.5841616	0.4031442	0.6138367	0.4336247	0.6663970	0.1093400	0.7888286	0.5471571	0.3054684	0.3082554	0.6063371	0.6067287	0.3551139	0.2193242	0.4320543	0.1452888	0.5887585	0.6733653	0.0024587	0.1796873	0.6338379	0.3641306	0.1750630	0.3555126	0.6569294	0.2502707	0.6599099	0.4596683	0.1026240	0.5313939	0.5548383	0.5947967	0.4899991	0.6637888	0.6443587	0.3783944	0.2092139	0.2151678	0.5199275	0.3876583	0.1986140	0.5364176	0.2090442	0.1364635	0.2017639	0.2352979	0.4859311	0.3164323	0.1172374	0.0000000	0.5076275	0.4930296	0.1653003	0.3172959	0.1768319	0.4836849	0.1416280	0.2774072	0.6355019	0.2012053	0.5113787	0.4590143	0.6887263	0.3840034	0.4333497	0.4944566	0.6218128	0.6443053	0.6706311	0.3383568	0.6649476	0.6572036	0.6134869
