"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.7351534	0.0802888	0.4672079	0.4050761	0.3431157	0.4658928	0.3971627	0.0640590	0.5131394	0.2620653	0.5336124	0.6161336	0.5499795	0.3760885	0.6154577	0.2053964	0.3954034	0.3728478	0.1936229	0.7816292	0.3344198	0.0102569	0.7031857	0.4246361	0.0211913	0.0314607	0.1367029	0.6415861	0.5506960	0.7467324	0.4537030	0.6209388	0.0927511	0.6115092	0.6015169	0.3123872	0.4221881	0.4633324	0.5515531	0.3921486	0.0092225	0.2662857	0.3095230	0.5302167	0.6045313	0.0100957	0.1044003	0.4844412	0.3706776	0.4648339	0.2272866	0.5529562	0.0805595	0.5094102	0.6446036	0.1003752	0.2995480	0.5989890	0.6468405	0.5390229	0.5847571	0.6976318	0.3046518	0.2259360	0.2980808	0.5217359	0.2491376	0.2345650	0.7475554	0.1684812	0.1131281	0.1136830	0.1185776	0.3572147	0.3346310	0.1147617	0.0007989	0.4896886	0.5075382	0.2848543	0.3035934	0.2763970	0.4225199	0.1810316	0.2670432	0.7614747	0.2816015	0.5517639	0.3912270	0.5364649	0.4581402	0.3996156	0.4957591	0.5865353	0.6186145	0.6804891	0.3097803	0.6306484	0.6717792	0.6278912
50.0	0.5075326	0.0421673	0.4633480	0.4460287	0.2256742	0.4452049	0.7211438	0.0816187	0.7064233	0.1608220	0.4749304	0.6177373	0.4335921	0.2555327	0.4564721	0.0422583	0.1099028	0.5400973	0.3260028	0.5762677	0.1969628	0.0065694	0.4804453	0.3628352	0.0636563	0.1179452	0.1287277	0.4876158	0.6950379	0.4657937	0.6111502	0.6571925	0.0825521	0.6610051	0.5826600	0.3127281	0.6085960	0.5568247	0.3753274	0.4064999	0.0398626	0.1622696	0.3377579	0.6676606	0.6520524	0.0164331	0.2091296	0.3787760	0.4566065	0.4775409	0.1544356	0.6034172	0.0407534	0.4077244	0.4347933	0.0955976	0.4353461	0.5042496	0.6806240	0.4837764	0.5720985	0.5522840	0.4426962	0.3584938	0.2428433	0.5373402	0.3117182	0.2530617	0.5856012	0.1797471	0.1049530	0.0847507	0.0644700	0.3348754	0.3437346	0.0784482	0.2851890	0.4511711	0.4215319	0.2332476	0.2285979	0.2207381	0.4235294	0.1919191	0.0935813	0.6370329	0.1220067	0.4887210	0.4428187	0.5615269	0.3929911	0.5323703	0.5342467	0.7162412	0.7370690	0.5061001	0.2358633	0.6114339	0.5262074	0.4331464
100.0	0.5981673	0.0193813	0.5525194	0.3383718	0.2553883	0.6113394	0.8046324	0.0440103	0.6691762	0.1494543	0.4092697	0.4913911	0.6209586	0.3570708	0.6370277	0.0225838	0.0357981	0.5984321	0.4267187	0.7556564	0.2723342	0.0037605	0.4817710	0.3868598	0.0922536	0.1737274	0.1138349	0.4403497	0.6584516	0.4417963	0.5389899	0.6292408	0.0742822	0.6921175	0.6696364	0.3731209	0.6040043	0.4957628	0.3989171	0.4046600	0.0259907	0.1236942	0.3689298	0.7169326	0.5326159	0.0237383	0.1716779	0.4572833	0.3760231	0.3727462	0.1090649	0.6887361	0.0101855	0.4128534	0.4285805	0.0858630	0.5022816	0.5158099	0.5622649	0.4575625	0.5768278	0.7016478	0.3884940	0.4156856	0.2477803	0.4373943	0.2560882	0.2520741	0.6842582	0.1438483	0.0957022	0.0612938	0.0501334	0.2992307	0.2431192	0.0611827	0.3518388	0.4868930	0.6367021	0.1347162	0.3201606	0.1876202	0.5842235	0.1357196	0.0787781	0.5928481	0.1413844	0.5304266	0.5889728	0.5630393	0.3198455	0.4296300	0.5456508	0.6465137	0.7036339	0.4712118	0.1909760	0.7072945	0.5443508	0.4287411
150.0	0.6738111	0.0095700	0.4439310	0.3096079	0.2542662	0.5113711	0.5488728	0.0810060	0.6156271	0.1962256	0.4165690	0.5507421	0.5277271	0.3080357	0.6128752	0.0074520	0.0563753	0.5171400	0.3696849	0.7793863	0.1452928	0.0024964	0.4593734	0.3601926	0.1014807	0.1976082	0.0920692	0.4714034	0.5466117	0.4281145	0.6032040	0.6440436	0.0581876	0.6199035	0.5486629	0.3086746	0.5950440	0.4504043	0.4335866	0.2546057	0.0355403	0.1767287	0.3404790	0.7397198	0.5483451	0.0096923	0.2189824	0.5030824	0.4373521	0.4355980	0.1474110	0.7663070	0.0265028	0.4460182	0.3283602	0.1270277	0.4998944	0.4514844	0.6612915	0.5387880	0.5071047	0.7815361	0.3479403	0.4357868	0.2682706	0.4314176	0.2301606	0.2415914	0.6203815	0.1562918	0.0998025	0.1300435	0.0771769	0.3438558	0.4116140	0.0573405	0.3259557	0.3649708	0.4228262	0.1202827	0.2499219	0.1568031	0.4949106	0.0943784	0.0138950	0.4826307	0.1622452	0.5998489	0.5197446	0.6035170	0.2728433	0.5060928	0.4705717	0.6290979	0.6029604	0.4041499	0.1684251	0.6470503	0.5578321	0.4744639
200.0	0.6713209	0.0146455	0.5700662	0.2740156	0.2464582	0.6318730	0.6934142	0.1593123	0.6498032	0.1674084	0.3485257	0.4539318	0.5226529	0.2551711	0.6621301	0.0070853	0.0870453	0.5214340	0.3166450	0.7424074	0.1460588	0.0008038	0.4388316	0.3493799	0.0841410	0.2498801	0.1380886	0.4213707	0.6042352	0.3071100	0.6035461	0.5870341	0.0747550	0.6446262	0.4980831	0.3392489	0.6688685	0.4877616	0.3950809	0.2972277	0.0450385	0.1691440	0.3196809	0.6544803	0.5712044	0.0057779	0.1870716	0.4627685	0.3523170	0.3240205	0.1153601	0.7777859	0.0293853	0.4869628	0.3661538	0.1083939	0.4584920	0.4311060	0.6223040	0.5426743	0.5729272	0.7441476	0.3381750	0.4651391	0.2521695	0.6134409	0.3335464	0.2178175	0.6406632	0.2050337	0.1208726	0.0752316	0.0981537	0.3220871	0.3754929	0.0741299	0.2742993	0.4188175	0.6641677	0.0884070	0.2081708	0.1855531	0.4774403	0.0898415	0.0332810	0.4159361	0.1032749	0.5010984	0.4341032	0.6206883	0.2425599	0.6362509	0.4428295	0.5744983	0.5883791	0.5005625	0.2610326	0.7065908	0.5661309	0.4947176
250.0	0.6650452	0.0083770	0.4968275	0.2889084	0.2355371	0.5689708	0.6031438	0.1381696	0.7060908	0.2548340	0.3819984	0.4624680	0.4781142	0.2801202	0.6182920	0.0085128	0.0314730	0.4743685	0.4013232	0.7159219	0.1927115	0.0008346	0.5367757	0.3333307	0.0953799	0.2101369	0.0984641	0.4220592	0.5322562	0.3496367	0.6522955	0.6336668	0.0826962	0.8548634	0.5211785	0.3511515	0.6753608	0.4206655	0.4015428	0.3301165	0.0821894	0.1897836	0.3467760	0.6688191	0.5166686	0.0058763	0.3016512	0.5124346	0.4417074	0.3834604	0.1535167	0.6109552	0.0213020	0.4512554	0.3972332	0.1049635	0.4879456	0.5326883	0.6299930	0.4680559	0.5258635	0.6674189	0.4376941	0.4424665	0.2694983	0.4331322	0.2966498	0.2306927	0.6265386	0.2161425	0.1115521	0.1042184	0.1022821	0.3579208	0.3221910	0.0999795	0.3041771	0.4810529	0.4554040	0.1337604	0.2150849	0.2036259	0.3391084	0.0384310	0.0057385	0.4922706	0.1328567	0.4307726	0.5623175	0.6881633	0.2877409	0.5222154	0.4074154	0.6227942	0.6326444	0.4274439	0.1797642	0.7929996	0.4867465	0.5456237
300.0	0.6766339	0.0154004	0.4794361	0.3344233	0.2381841	0.5238308	0.6703898	0.1062775	0.5641058	0.2307938	0.4925224	0.5061593	0.4688513	0.2777408	0.6191325	0.0184947	0.0437946	0.5324795	0.3370921	0.7123873	0.2290631	0.0004687	0.5127855	0.3427912	0.1100260	0.2175346	0.0986522	0.4047432	0.5473226	0.3573460	0.6488364	0.7007536	0.1062548	0.6482661	0.5246257	0.3126938	0.5630212	0.4466884	0.4019328	0.3635377	0.0616981	0.1992149	0.3039246	0.7324303	0.6624790	0.0034991	0.3443189	0.6140680	0.4343609	0.4086748	0.1119560	0.5878271	0.0200963	0.5947412	0.3291285	0.1034002	0.4258970	0.4402312	0.6557002	0.4077991	0.5872969	0.6210949	0.3218039	0.4322176	0.2179143	0.5060284	0.4560691	0.2078962	0.7005036	0.3116505	0.0722672	0.1028030	0.0737150	0.3122571	0.3442130	0.0815866	0.2683222	0.4959508	0.5673628	0.1414923	0.2521209	0.1955722	0.4835197	0.0880671	0.0214012	0.5660924	0.1365449	0.5127433	0.5722816	0.6866347	0.2829800	0.4651721	0.4880679	0.6665544	0.6894370	0.4586201	0.1889764	0.6685533	0.4698577	0.4730923
350.0	0.6086073	0.0121566	0.4483259	0.5344625	0.2695988	0.5641647	0.5447028	0.0963892	0.5817600	0.1856815	0.3698253	0.2904715	0.5360225	0.2470724	0.6814155	0.0027179	0.0871817	0.5481679	0.2321450	0.5830347	0.2442254	0.0033163	0.3849543	0.3556011	0.1080554	0.1859410	0.0875947	0.4551400	0.6501786	0.3415428	0.5340239	0.5926471	0.1139998	0.6260725	0.4986334	0.3230447	0.5636382	0.3974448	0.4384545	0.3612375	0.0835841	0.1286963	0.2542127	0.6584429	0.5791994	0.0024149	0.3086179	0.5523220	0.4597435	0.2990846	0.1619181	0.6874525	0.0540723	0.5136397	0.4063053	0.0440300	0.5532352	0.5210214	0.6232667	0.4826614	0.5130661	0.7241473	0.3997352	0.4168349	0.2209467	0.5226788	0.3292512	0.2270448	0.6414132	0.2084090	0.0717045	0.0822073	0.0676541	0.3048121	0.3114183	0.0551511	0.3352857	0.5228048	0.4882184	0.1128877	0.2413872	0.2624710	0.4755024	0.0982064	0.0083589	0.5796402	0.2005956	0.6089943	0.5234216	0.6842572	0.2267165	0.6680267	0.5291026	0.6074284	0.5852597	0.5059087	0.1415101	0.7166007	0.5066295	0.5104887
400.0	0.6561355	0.0141199	0.4794015	0.3677774	0.2359316	0.6001828	0.6152974	0.0601462	0.4685607	0.2080150	0.4327604	0.5242024	0.5042990	0.2258613	0.6003545	0.0053783	0.0322562	0.5472350	0.3396600	0.5643690	0.2151758	0.0006770	0.4843919	0.3997524	0.1366730	0.2763131	0.0801702	0.3280958	0.6267705	0.4128230	0.6049501	0.6991946	0.0884445	0.5520843	0.4970212	0.3185823	0.5189113	0.3814277	0.4244373	0.2916974	0.0842734	0.2077528	0.4130676	0.7699473	0.5084252	0.0029564	0.2651416	0.4925306	0.4081128	0.2924428	0.1475040	0.5546560	0.0507190	0.4760065	0.3787597	0.0558997	0.4079199	0.3575560	0.5761430	0.4731251	0.5400682	0.5710843	0.3434642	0.4214769	0.2903853	0.5757724	0.3418108	0.2500422	0.5928183	0.1063302	0.0962126	0.0668565	0.0531646	0.2864955	0.3236030	0.0584169	0.1994960	0.4295310	0.5965317	0.1215753	0.2590694	0.1928894	0.5184387	0.0839193	0.0132734	0.4414592	0.1701234	0.6705793	0.5997463	0.5542762	0.2912333	0.5865676	0.3726801	0.6132459	0.7274067	0.4661080	0.1608529	0.5687095	0.4500798	0.4892613
450.0	0.5793092	0.0175857	0.4510106	0.3890578	0.2902356	0.5478085	0.7284962	0.1315838	0.6506540	0.2292850	0.4596614	0.3998534	0.4512050	0.2951772	0.6230285	0.0152878	0.0423236	0.4903886	0.2774113	0.7119714	0.1751767	0.0012276	0.5259244	0.3051194	0.0959668	0.2595237	0.1752286	0.4807781	0.5616062	0.3984589	0.6999229	0.6833553	0.0911149	0.6717888	0.5312919	0.3001254	0.5815051	0.4246816	0.4732156	0.3080686	0.0481062	0.3212484	0.3819504	0.7146364	0.6150984	0.0006793	0.2075872	0.4866950	0.4118454	0.3389212	0.1168313	0.5675494	0.0109066	0.5670720	0.4555527	0.0342043	0.4423012	0.5096708	0.6164991	0.4965684	0.5215334	0.7105582	0.4191298	0.5894122	0.2786172	0.6348362	0.2913842	0.2387788	0.6827817	0.2060779	0.1145491	0.1388810	0.0811483	0.4074135	0.3473425	0.0743644	0.2946154	0.5853933	0.5173365	0.1253706	0.2792667	0.1718051	0.4989357	0.1442709	0.0053699	0.5184989	0.1916037	0.6130721	0.5234084	0.6422613	0.2785109	0.5776594	0.4482389	0.5871128	0.6828090	0.4539648	0.1192073	0.6457639	0.5384065	0.5047211
500.0	0.6901835	0.0436353	0.5285209	0.4901594	0.2364607	0.5772148	0.5715168	0.0677226	0.5292789	0.1913384	0.4168914	0.4358354	0.4187784	0.2461753	0.6206052	0.0043924	0.0508511	0.5215432	0.3795592	0.7707205	0.3009892	0.0002150	0.5275229	0.3053491	0.1087280	0.2156966	0.1194906	0.3844711	0.5338385	0.3289726	0.6252507	0.6885248	0.1044749	0.6470855	0.5276013	0.3330575	0.4976920	0.3650666	0.3483192	0.2720404	0.0742605	0.1671310	0.3019705	0.6489657	0.7160820	0.0016330	0.2684516	0.5312835	0.4361120	0.3163900	0.0872632	0.6265239	0.0334337	0.4467649	0.4577523	0.0561881	0.5082760	0.4146000	0.5056523	0.4475747	0.7111995	0.7448250	0.3533973	0.4807949	0.2551879	0.6025142	0.3960084	0.2320594	0.5731013	0.1860883	0.0816457	0.0815721	0.0788703	0.4003384	0.4118439	0.1116157	0.2418383	0.4332722	0.5185138	0.0990742	0.2677274	0.2201384	0.5628887	0.1004085	0.0246187	0.4930250	0.1414402	0.5266655	0.5274460	0.6794807	0.2657265	0.5815028	0.4756940	0.5878609	0.6519620	0.4477303	0.1048854	0.7420680	0.5297783	0.5671221
550.0	0.7039166	0.0255902	0.4439516	0.4128831	0.2526785	0.5398884	0.6676094	0.0878733	0.6735968	0.1578601	0.4036623	0.3902572	0.4045639	0.2492472	0.6896169	0.0040115	0.0490557	0.5187921	0.3618221	0.5843786	0.2453005	0.0012554	0.4406190	0.4235146	0.0723774	0.2247060	0.1382429	0.4046550	0.5792863	0.3042269	0.6431414	0.6732767	0.1101649	0.6915454	0.5670651	0.2402002	0.4573560	0.3907597	0.3203082	0.3735864	0.0569235	0.2201831	0.3596891	0.7250812	0.6738220	0.0012858	0.2750368	0.4664466	0.5200332	0.2835731	0.1395085	0.5633325	0.0172350	0.4107302	0.4031483	0.1158202	0.5355450	0.5662463	0.6464977	0.4662951	0.5376625	0.6812786	0.3219888	0.4819882	0.2933714	0.5440824	0.3391298	0.2239719	0.8065532	0.1775349	0.0858297	0.0593892	0.0383105	0.4285267	0.3796580	0.1141356	0.3059890	0.4682886	0.5888259	0.1105225	0.3073374	0.2153373	0.5675327	0.0977085	0.0031764	0.5220419	0.1252343	0.6342027	0.5065833	0.7884269	0.2526513	0.5800681	0.4117376	0.6651190	0.6161061	0.3886780	0.1555267	0.6076244	0.5361386	0.4694922
600.0	0.7658368	0.0252545	0.4914877	0.2499031	0.1970803	0.5891292	0.6581938	0.0706253	0.6506682	0.1565179	0.5575991	0.4655171	0.3763353	0.2912107	0.7038267	0.0069185	0.0404930	0.5499382	0.3348825	0.7431592	0.1559310	0.0005838	0.4221351	0.3014372	0.1107160	0.2075828	0.1929577	0.5117832	0.5050505	0.3701110	0.6876584	0.7273799	0.1256863	0.7009833	0.5374929	0.3813712	0.5147985	0.3693453	0.3263138	0.3176790	0.0618139	0.2219532	0.3424408	0.6489025	0.6378202	0.0029983	0.4519570	0.5454032	0.4693922	0.3786695	0.1280144	0.6598376	0.0068905	0.3926661	0.3879192	0.0796204	0.4843140	0.4660908	0.5430432	0.5733232	0.5470960	0.7605293	0.3505461	0.5275558	0.2442671	0.5154395	0.2953023	0.3157579	0.6906594	0.2054222	0.0812436	0.0667491	0.1041289	0.3961121	0.3991297	0.0413593	0.2761549	0.3424010	0.6718445	0.1070869	0.2606224	0.2275494	0.5045158	0.0958074	0.0081044	0.4092464	0.1601661	0.4444901	0.5533629	0.5998391	0.2926388	0.4956471	0.3750244	0.6020570	0.6354857	0.3732688	0.1481628	0.6243059	0.5496165	0.5322869
