"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.6681316	0.0460469	0.4783644	0.5461505	0.2930896	0.4305678	0.4612545	0.0629665	0.6925079	0.3067149	0.5907714	0.4878863	0.3778275	0.3153919	0.5236079	0.1479367	0.4254258	0.4670545	0.1928087	0.7621560	0.2481564	0.0286679	0.8361584	0.3675931	0.0120569	0.0137025	0.1622886	0.5772933	0.5217829	0.6528110	0.4176905	0.6885895	0.0624196	0.6325925	0.6238582	0.2315587	0.3676259	0.5995827	0.4162012	0.2930366	0.0345174	0.2556732	0.2387636	0.6805039	0.6226712	0.0043387	0.1648506	0.6710022	0.4986902	0.4442187	0.2555052	0.7211999	0.1012671	0.6475467	0.4852968	0.0937531	0.3812800	0.5063836	0.5733020	0.4318534	0.5885528	0.6681147	0.3846106	0.1634081	0.2784454	0.4991031	0.2257813	0.2315096	0.6605718	0.1758156	0.1461720	0.2200107	0.1376567	0.3673499	0.3660282	0.1955690	0.0056989	0.4189850	0.4936031	0.1517561	0.3130433	0.1926457	0.4627012	0.1295363	0.2666600	0.7440325	0.2629470	0.5305336	0.4058055	0.5520688	0.3396035	0.3843935	0.4973695	0.7508577	0.5716427	0.6272499	0.2714421	0.6688005	0.7255473	0.7378697
50.0	0.8092227	0.0810984	0.4174164	0.4388566	0.3145235	0.3504144	0.4786233	0.0709328	0.7261894	0.2308968	0.4965610	0.6126098	0.5234106	0.3079574	0.6185019	0.1668339	0.3966406	0.4766077	0.2710717	0.7017599	0.2555179	0.0263881	0.6490640	0.3789666	0.0082536	0.0087667	0.1242614	0.6638005	0.5131991	0.6228547	0.4639893	0.6411723	0.1161312	0.7677458	0.5302612	0.3599879	0.4500974	0.4818107	0.5196198	0.2565194	0.0208923	0.2346513	0.2135545	0.7784453	0.6738873	0.0087151	0.1551935	0.4550773	0.4382405	0.5848722	0.2199360	0.6802634	0.0624632	0.5191679	0.6231761	0.1130825	0.4580575	0.5741580	0.6807884	0.5201653	0.5677111	0.5644638	0.3209707	0.1917545	0.2745772	0.4707293	0.3005179	0.1864782	0.6867407	0.1727405	0.1691873	0.2673682	0.1509255	0.3165420	0.3980199	0.1210077	0.0026416	0.5480519	0.2902990	0.0937335	0.3290406	0.2374519	0.4492145	0.0989506	0.2797980	0.6690948	0.3104024	0.5601799	0.4778651	0.6002897	0.3697280	0.3560708	0.4385721	0.7090785	0.6509332	0.6832862	0.3602465	0.6303194	0.7226817	0.6245154
100.0	0.6885088	0.0686310	0.4441428	0.4789978	0.2490471	0.2951027	0.4094176	0.0434928	0.3090461	0.2111687	0.4931683	0.5602843	0.5709708	0.3214157	0.6033791	0.1916100	0.4280194	0.4905899	0.2496327	0.5104402	0.2262925	0.0145019	0.7135620	0.4629369	0.0165217	0.0311350	0.1542497	0.7666583	0.5634124	0.5667361	0.4151373	0.6508608	0.0923621	0.6873108	0.5355719	0.2902034	0.4603904	0.4490463	0.3770222	0.3203048	0.0201630	0.2401936	0.2576316	0.7577675	0.5669160	0.0167329	0.2690133	0.5797159	0.4339020	0.5765149	0.2520171	0.4784050	0.1080287	0.4585757	0.5275394	0.1205964	0.4034231	0.4973579	0.6240409	0.5397490	0.5715888	0.7702914	0.3214755	0.2163854	0.3464123	0.4829260	0.2599132	0.2260490	0.7672284	0.2081204	0.1601021	0.1280063	0.1423952	0.2911626	0.3756919	0.1104944	0.0027612	0.4911881	0.1605232	0.0588336	0.2076541	0.1680247	0.4546323	0.0535751	0.2942088	0.5401042	0.2769978	0.4414588	0.2439605	0.6466444	0.3493299	0.3188929	0.3959771	0.7270366	0.6625463	0.7605896	0.2834468	0.5946086	0.6391028	0.6866602
150.0	0.6103506	0.0962804	0.3799899	0.4432485	0.3282171	0.3612598	0.4236231	0.0360026	0.2152275	0.1684178	0.6647480	0.7264773	0.4436827	0.3710412	0.5455715	0.1513355	0.4141659	0.3091377	0.3621762	0.5440945	0.2343023	0.0287851	0.5776650	0.3518756	0.0137860	0.0193564	0.1231348	0.5909855	0.6585668	0.6068052	0.4246657	0.6491838	0.1121598	0.6483462	0.5388632	0.3778582	0.4306057	0.4978692	0.4480736	0.2685319	0.0145607	0.3309047	0.3063368	0.6827753	0.6870688	0.0049209	0.3126264	0.5091514	0.5155142	0.4339546	0.2044875	0.6602430	0.1129597	0.6041924	0.4533677	0.0958185	0.3000358	0.5680778	0.6249936	0.5822513	0.4325621	0.6784095	0.3927057	0.2925431	0.3091205	0.5903703	0.2314510	0.1679524	0.6512568	0.1626664	0.2479833	0.1730244	0.1125355	0.3562800	0.5406976	0.1185936	0.0004820	0.4427061	0.0583204	0.0158511	0.2057276	0.1165043	0.3780731	0.0557140	0.2704054	0.6121067	0.2839728	0.4310160	0.1101700	0.6826232	0.1284668	0.2724469	0.4877791	0.7237221	0.6486115	0.6395104	0.2396794	0.6747596	0.7476223	0.5796014
200.0	0.5315122	0.1116446	0.4518304	0.4874120	0.3078166	0.4848771	0.4481147	0.0390758	0.0909638	0.2298017	0.6581855	0.7177110	0.4752860	0.4708443	0.6436109	0.1677070	0.2633982	0.4285560	0.4006095	0.6790280	0.2437690	0.0307873	0.6656243	0.3856647	0.0156695	0.0297394	0.1879937	0.6599667	0.4803595	0.7179720	0.5516585	0.7479035	0.1212110	0.6787565	0.5087169	0.3315427	0.4190996	0.5673487	0.5280864	0.2574458	0.0128770	0.3093776	0.1893174	0.7109188	0.6407499	0.0064556	0.3164083	0.6570165	0.3974441	0.4776309	0.1819859	0.6074086	0.0615193	0.5502895	0.4218166	0.0674516	0.2719660	0.4834560	0.5795062	0.5869927	0.4400751	0.5327550	0.3374624	0.2149644	0.2410826	0.5812395	0.2657226	0.2171304	0.6636908	0.1778673	0.1465274	0.1538475	0.1195395	0.3084919	0.4362023	0.0969423	0.0044938	0.4717367	0.0272373	0.0083023	0.0648101	0.1029414	0.1934903	0.0165916	0.4591905	0.7179268	0.5693926	0.2378974	0.0576570	0.6352959	0.0982830	0.1873487	0.4613483	0.7142969	0.6762554	0.7042936	0.2613090	0.5401823	0.6507436	0.6446441
250.0	0.5066926	0.1136558	0.4949152	0.4633595	0.3845480	0.3454155	0.4751421	0.0335649	0.0682875	0.2729822	0.7088755	0.6775022	0.5648204	0.4841705	0.7230760	0.1677674	0.4413195	0.4382442	0.4441072	0.6397116	0.2306265	0.0638894	0.6783452	0.3830929	0.0167674	0.0469714	0.1392892	0.6103732	0.4993881	0.6347654	0.4318890	0.7072445	0.0632509	0.6758331	0.3923429	0.3470017	0.4291720	0.4553941	0.3903195	0.3649739	0.0379708	0.2869472	0.1987781	0.6943692	0.4122626	0.0103912	0.4437128	0.7165506	0.3690586	0.5013998	0.1975155	0.6363796	0.0768461	0.5970489	0.3719669	0.0697904	0.2543337	0.4434324	0.4973021	0.4869705	0.3549771	0.6661633	0.3244441	0.2402745	0.2590795	0.5105074	0.2097984	0.1839939	0.6516892	0.1835664	0.1158985	0.1330642	0.1337846	0.2677919	0.5298698	0.0939683	0.0003241	0.3193388	0.0040215	0.0062634	0.1150834	0.0645489	0.1155444	0.0714503	0.4750008	0.6308439	0.7348731	0.1287518	0.0272603	0.7253019	0.0421968	0.1386605	0.3916871	0.6906924	0.6272508	0.7026884	0.2718424	0.6769185	0.6297513	0.8539046
300.0	0.6835738	0.1834677	0.4690047	0.4405258	0.2514839	0.3754842	0.4484906	0.0330487	0.0255446	0.2310657	0.6555281	0.6471584	0.5095056	0.4251186	0.4999266	0.2035993	0.3631431	0.4770466	0.4458543	0.6676960	0.2535483	0.0267834	0.6827106	0.3615060	0.0244911	0.0484589	0.1783171	0.8047627	0.5336649	0.6518291	0.4352656	0.7508526	0.0691558	0.7663103	0.5754297	0.3534419	0.3871208	0.4598323	0.4367115	0.3295357	0.0127769	0.2871943	0.2688432	0.7369140	0.3979766	0.0049384	0.4091387	0.6904280	0.2937176	0.3472669	0.3120458	0.6028362	0.0784755	0.4920288	0.3599078	0.0812883	0.1796993	0.4010901	0.6082865	0.5017995	0.2024081	0.6937963	0.4125294	0.2651906	0.2229377	0.5985360	0.3614186	0.1998492	0.4791030	0.2349706	0.1705092	0.1936041	0.0995011	0.4051958	0.6661580	0.0993075	0.0032922	0.1996824	0.0009346	0.0059066	0.0824552	0.0526013	0.0607106	0.0230503	0.5140114	0.7349984	0.7469816	0.1279732	0.0140843	0.6704660	0.0113324	0.0826134	0.3652973	0.6436859	0.5960439	0.6259683	0.2917467	0.5865210	0.5982931	0.7323876
350.0	0.5625132	0.0813060	0.4398272	0.5650644	0.3744250	0.3834112	0.3638496	0.0251244	0.0741910	0.2420221	0.5702279	0.5497838	0.5175831	0.5505896	0.6385675	0.1519653	0.3768456	0.3841170	0.5069849	0.6787887	0.2958253	0.0352382	0.6008431	0.3630650	0.0528417	0.0284827	0.2281439	0.6689115	0.5151655	0.5993864	0.3799399	0.6459021	0.0923643	0.6150392	0.5247554	0.4405673	0.3320749	0.5854238	0.4691929	0.2742451	0.0124056	0.3372318	0.2364989	0.6449915	0.3790770	0.0030702	0.4273814	0.7161895	0.2563925	0.4029842	0.1770306	0.6652031	0.0637128	0.6003826	0.2647564	0.0533782	0.1609275	0.4790774	0.6661884	0.5341762	0.1208713	0.6250197	0.3222422	0.2163112	0.2289808	0.6309343	0.2992625	0.1173890	0.3161888	0.1663042	0.1162009	0.1147765	0.1032622	0.3510585	0.6020728	0.0922958	0.0042126	0.1394896	0.0022329	0.0010721	0.0982734	0.0449461	0.0123541	0.0093432	0.6156438	0.6439848	0.8381814	0.0611625	0.0189976	0.5435002	0.0080164	0.0533659	0.3956666	0.5941260	0.5586280	0.7563239	0.2454344	0.7080430	0.6279107	0.7255536
400.0	0.6936463	0.0703450	0.4487970	0.5863433	0.2811479	0.4635988	0.4244384	0.0108095	0.1056697	0.2479202	0.5320355	0.6441089	0.4321020	0.5141561	0.6666722	0.1410781	0.3733121	0.4114221	0.5770714	0.5744146	0.3573290	0.0335744	0.6004301	0.3612452	0.0201539	0.0312123	0.2162179	0.6942669	0.5361538	0.6780143	0.4365505	0.6780569	0.0916718	0.6269862	0.4993683	0.3566823	0.4479149	0.5587580	0.4803971	0.3040104	0.0246213	0.4162864	0.2785939	0.6760951	0.4628048	0.0075213	0.5436958	0.6476441	0.1876043	0.5098657	0.2310656	0.5896152	0.0929023	0.5862335	0.4535036	0.0913688	0.2225587	0.3928579	0.6636873	0.5460022	0.0527722	0.5712485	0.3092529	0.1942432	0.2488505	0.4818455	0.2148176	0.1231943	0.2826564	0.1941537	0.1356027	0.1379263	0.1146404	0.3702462	0.6721107	0.1256540	0.0002292	0.0426155	0.0009258	0.0010610	0.0802635	0.0621243	0.0114293	0.0063724	0.6355497	0.7969097	0.6120210	0.0475382	0.0392612	0.5922774	0.0027621	0.0681668	0.3219343	0.6857084	0.4856986	0.4920800	0.2088932	0.7109909	0.6303240	0.5082505
