"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.9751789	0.1202267	0.6836203	0.7871607	0.4535698	0.6530792	0.7158527	0.0646216	0.9169529	0.3452123	0.8214979	0.8359533	0.7521006	0.4982090	0.9844203	0.2364730	0.5525680	0.5842844	0.3422581	0.9497373	0.3523622	0.0385769	1.0309252	0.5948203	0.0314217	0.0338991	0.1951923	1.0338695	0.7476951	0.9871828	0.6750336	0.9748420	0.1327738	1.0157460	0.8653385	0.4712242	0.6924277	0.7356045	0.6438728	0.4275085	0.0288549	0.4102949	0.3930147	1.0052376	0.9856063	0.0075432	0.1752464	0.7855719	0.6735789	0.7877977	0.3668869	0.9620474	0.1396154	0.9351620	0.9633615	0.1931981	0.6292701	0.7482117	1.0106696	0.7640999	0.8951445	1.0234867	0.5264048	0.3327516	0.3686747	0.6869038	0.4695276	0.3642869	0.9769782	0.2686540	0.2622841	0.2751132	0.2877138	0.5761465	0.5744095	0.2279501	0.0030257	0.5899804	0.8523186	0.2484057	0.5069646	0.3322610	0.7258240	0.1637525	0.4987062	1.0451827	0.3488768	0.7526958	0.6941756	0.9448623	0.5969796	0.5975554	0.7155936	1.0939573	1.0014324	1.0559439	0.4252959	1.0520832	1.0105029	0.9443200
50.0	1.0073965	0.1210767	0.6609796	0.7793577	0.4303890	0.5947210	0.6213142	0.0729061	0.9147561	0.3012377	0.8720115	0.8396806	0.7423984	0.4627591	0.9406109	0.2551901	0.5278009	0.5547913	0.3517415	0.9655980	0.3564594	0.0335983	1.0450951	0.5867514	0.0143218	0.0399592	0.2286491	1.0280625	0.7645174	0.9734601	0.6667433	0.9789007	0.1452500	0.9961222	0.8132967	0.4926266	0.6297348	0.7506199	0.6924496	0.4160426	0.0389315	0.4160324	0.3952003	1.0736497	0.8815718	0.0086949	0.2869760	0.8417323	0.6947486	0.7066918	0.3161917	0.9502141	0.1550689	0.7857816	0.8526461	0.1430242	0.6678772	0.7695908	0.8966523	0.8358428	0.8179189	1.1336828	0.5218180	0.3333087	0.3789839	0.7612057	0.4559406	0.3399541	0.9017678	0.3441504	0.2809241	0.3012032	0.3091856	0.5086242	0.5461474	0.1825525	0.0037454	0.6726967	0.1258871	0.0874576	0.4039958	0.2929203	0.7184826	0.0970360	0.4805630	0.9938755	0.3801342	0.7691065	0.5004399	0.9584150	0.5490755	0.5348264	0.7485999	1.0808076	1.0471872	0.9402950	0.4254550	0.9839113	0.9064295	0.9354210
100.0	1.0172531	0.1276979	0.7098815	0.7532865	0.4376053	0.6027978	0.6544257	0.0742384	0.5325827	0.3054269	0.9641467	0.8775016	0.7365761	0.5696987	0.9983710	0.2509132	0.5500873	0.6111487	0.4514640	0.9802123	0.3317416	0.0376623	1.0137199	0.5272354	0.0180223	0.0388839	0.1971161	1.0872870	0.7905972	0.9835734	0.7403234	1.0690918	0.1146374	1.0521900	0.7821919	0.4519778	0.6257510	0.6853758	0.6193635	0.4092985	0.0322990	0.4797243	0.3405252	0.9767070	0.8266710	0.0038633	0.4555282	0.9773631	0.6187172	0.6844357	0.3537565	0.8818837	0.1380494	0.7744755	0.7564426	0.1487959	0.4502733	0.7889412	0.8875728	0.8844065	0.7137445	1.0711701	0.4958508	0.4072216	0.3561214	0.7550263	0.3781906	0.3682894	0.9274933	0.2505817	0.2711020	0.2063020	0.2095962	0.5665649	0.5948234	0.1656427	0.0008796	0.6261090	0.0225945	0.0339815	0.2621651	0.1413848	0.6418654	0.0540318	0.4932199	0.8837401	0.4702461	0.5773751	0.2204251	1.1570175	0.3848347	0.4415360	0.6074363	1.0263038	0.9890310	0.9814935	0.4135004	0.9435434	0.9888384	0.9864259
150.0	0.9682743	0.1422510	0.6666408	0.6865186	0.4129445	0.6838315	0.7185491	0.0543252	0.2565357	0.3073007	0.8512684	0.9649026	0.7127775	0.6985134	0.9285586	0.2521973	0.5652460	0.6398506	0.5794966	0.9850670	0.3898287	0.0449328	0.9593817	0.5545253	0.0355798	0.0469648	0.2330044	1.0410623	0.7621480	1.0253490	0.6409477	1.0005137	0.1316720	0.9254747	0.7882379	0.5216095	0.5898148	0.7088863	0.6576509	0.4933675	0.0427728	0.5120076	0.3451798	0.9860276	0.8670099	0.0044063	0.5351771	0.9869626	0.6516867	0.6738801	0.3296058	0.9010157	0.1452344	0.8815045	0.5568767	0.1510228	0.3639936	0.7404740	0.8195313	0.7567940	0.6742423	0.9951995	0.5558489	0.3667317	0.3895172	0.8287400	0.3388997	0.3469928	0.9948354	0.1844056	0.2581829	0.1937640	0.1509774	0.5516988	0.7420411	0.1971877	0.0034815	0.5591840	0.0043631	0.0141279	0.1477120	0.0978952	0.3946710	0.0423371	0.5019621	1.0713341	0.7222474	0.4213888	0.0923431	1.0781132	0.1240328	0.2814461	0.6752547	1.0054889	1.0249262	1.1421513	0.4146304	0.9288612	1.0189766	0.9750032
200.0	0.9625709	0.1348577	0.7489132	0.7297889	0.4985166	0.6438480	0.7401119	0.0308371	0.1078668	0.3346909	0.9347306	1.0701112	0.7163639	0.7783821	0.9907667	0.3007902	0.5411148	0.6472657	0.6746437	0.9476646	0.4220074	0.0575189	1.0744256	0.5043543	0.0347501	0.0636984	0.3022467	0.9641297	0.7703533	1.0027561	0.7294494	1.0031788	0.1411142	0.9696014	0.7686214	0.4399780	0.6088109	0.7689273	0.6718718	0.4695980	0.0415103	0.4663854	0.3833902	0.9533547	0.6903799	0.0174644	0.6579866	1.0348018	0.6051831	0.6236476	0.3714586	0.8711340	0.1378568	0.7905802	0.4347220	0.1312720	0.3623098	0.6814143	0.8714959	0.7454677	0.5219314	0.9707384	0.5850294	0.3690589	0.3878717	0.8504820	0.4007695	0.2906136	0.8728232	0.2446390	0.2584727	0.1794455	0.1667769	0.5820157	0.8642064	0.2049909	0.0004297	0.4280984	0.0000874	0.0063696	0.0883058	0.0725605	0.2008977	0.0495353	0.7400771	1.1094588	0.9188013	0.2852740	0.0378560	0.9561396	0.0457297	0.1890783	0.7106991	1.0116666	0.9846185	0.9813039	0.4366637	0.9388757	0.9558708	1.0246845
250.0	0.9589407	0.1276139	0.6633501	0.7129835	0.4970930	0.5845471	0.6313536	0.0253303	0.0884241	0.3745762	0.9042447	0.9985064	0.7904971	0.8057698	1.0422214	0.3167700	0.6396941	0.6915358	0.7098539	1.0310990	0.4169371	0.0388322	1.0568700	0.5747758	0.0228009	0.0562904	0.2896202	0.9722302	0.7906887	1.0301592	0.6719355	0.9487899	0.1282415	1.0127924	0.8257610	0.5157651	0.6945204	0.6883367	0.7294430	0.5097079	0.0315823	0.4590517	0.3309845	1.0154377	0.6098456	0.0124523	0.6285053	0.9171639	0.4949931	0.6483145	0.3995868	1.0413169	0.1419020	0.8397798	0.4650731	0.1087471	0.3589537	0.6708463	0.8675363	0.7953896	0.2590271	0.9996786	0.5154428	0.3695924	0.3965962	0.8245797	0.4539489	0.2196643	0.7105560	0.2386762	0.2373688	0.1818395	0.1615595	0.5671986	0.9153367	0.1747534	0.0006500	0.2524652	0.0000000	0.0009391	0.1133519	0.0672332	0.0785082	0.0500676	0.8984286	1.0422165	1.0399997	0.1499763	0.0230221	0.9779189	0.0300794	0.1458896	0.6405973	1.0664345	1.0656974	1.0488406	0.3939188	0.9741601	0.9125671	1.0437919
300.0	0.9888449	0.1458912	0.6440927	0.8834877	0.4933781	0.5845274	0.7578938	0.0318287	0.0595674	0.3410396	0.8506696	0.9776966	0.7346907	0.7258526	0.9257859	0.2871505	0.5961333	0.5992025	0.7652752	1.0233986	0.4506123	0.0440085	1.0531391	0.5784571	0.0338782	0.0585280	0.3088771	1.0195159	0.7141535	0.9496639	0.6322902	0.9863872	0.1594029	1.0065161	0.9225239	0.4795004	0.6368056	0.7353404	0.7390613	0.4839749	0.0395723	0.4467636	0.3070127	1.0006964	0.6092599	0.0112527	0.7257752	1.0772754	0.4055170	0.6221538	0.3391341	0.9246900	0.1440571	0.9262189	0.5298580	0.1246081	0.2996706	0.7448522	0.8587920	0.8078536	0.1303368	0.9570356	0.5404340	0.4065612	0.3514089	0.8285026	0.3744570	0.1984623	0.6169445	0.2795389	0.2488787	0.2212578	0.2146796	0.6322327	0.9639139	0.1604639	0.0048689	0.1353950	0.0000000	0.0012690	0.1335463	0.0683227	0.0361631	0.0378403	0.8950398	1.0512257	1.0502011	0.1062321	0.0273142	1.0710266	0.0172044	0.0941755	0.6159782	1.0702606	0.9734788	0.9621384	0.3996406	0.9939988	0.9240441	1.0261386
350.0	1.0163336	0.1112376	0.7174623	0.8233194	0.5081240	0.6047317	0.6224714	0.0269452	0.0760477	0.3725876	0.8676356	0.9340636	0.8068992	0.7246543	1.0052916	0.2295656	0.5480978	0.5524409	0.7767070	0.9222208	0.5112256	0.0426005	0.9962423	0.5454012	0.0219908	0.0610789	0.3304069	1.0180107	0.7060960	1.0175660	0.7041631	0.9232013	0.1342623	1.0530635	0.8916921	0.5088771	0.6224181	0.7504713	0.7662270	0.4758277	0.0413743	0.5348830	0.3089737	1.0145281	0.6389869	0.0069156	0.7523700	1.0510491	0.3373058	0.6075107	0.3783876	0.9374739	0.1502321	0.8806633	0.5360606	0.1187414	0.3147466	0.7316260	0.9881127	0.7676096	0.1140701	1.0123383	0.5258874	0.3458785	0.3786056	0.7889068	0.3966514	0.1653727	0.5631713	0.2904992	0.2336196	0.1713160	0.1934886	0.6311359	0.9642343	0.1772727	0.0012987	0.0472778	0.0000000	0.0000000	0.1381766	0.0991557	0.0126840	0.0504502	1.0075397	0.9589125	1.0690587	0.0772359	0.0397265	1.0735397	0.0083617	0.0780244	0.6212630	0.9465352	0.9018165	1.0578781	0.4263089	0.9563240	0.9977672	1.0020608
400.0	1.0892076	0.1314578	0.6716514	0.8343370	0.4130480	0.6349389	0.6935635	0.0191767	0.0791419	0.3144052	0.8910950	1.0519909	0.7725212	0.6913676	0.9974631	0.2655305	0.5475859	0.5495757	0.8500257	0.9388861	0.4787541	0.0377626	0.9870348	0.4991325	0.0274651	0.0636558	0.3835570	1.0232463	0.7358315	0.9613838	0.6490128	0.9686558	0.1409790	1.0230831	0.8606003	0.4658127	0.6937195	0.7529848	0.7041825	0.4786483	0.0394644	0.5064816	0.2797010	0.9443398	0.5871826	0.0103181	0.7597530	0.9927628	0.3719363	0.5890260	0.3683766	0.8794072	0.1599157	0.9102216	0.6009160	0.1317055	0.3877280	0.6327086	0.8952149	0.7359731	0.0504850	0.9884228	0.5544438	0.2999212	0.4235530	0.7910525	0.2951649	0.2030439	0.4979208	0.2541822	0.2480048	0.1697195	0.1817045	0.6117975	0.9495210	0.1615116	0.0009043	0.0480343	0.0000000	0.0000000	0.1330905	0.0795495	0.0168614	0.0387154	1.0379657	1.0300608	1.1215686	0.0697144	0.0258675	0.9715347	0.0256303	0.0774912	0.6145511	0.9683256	0.9689676	1.0045876	0.3957084	0.9575526	0.9424543	1.0028855
