"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.5167983	0.2328106	0.8226003	0.3682375	0.8975820	0.4527187	0.5934747	0.3956988	1.0069382	0.8447032	0.8545716	0.3351029	0.3702345	0.3626136	0.8903495	0.4178453	0.8980455	0.5994762	0.1836854	1.0672318	0.6085059	0.3348114	0.9622049	0.5346897	0.0316274	0.0555523	0.1953671	0.9769576	0.8198580	1.0610966	0.6679750	1.0602425	0.1480087	1.0948822	0.8974929	0.5147595	0.6242499	0.7165346	0.8123468	0.4995894	0.2843159	0.6729040	0.2046538	1.0545222	0.9651021	0.0038728	0.2388946	0.9320651	0.6678398	0.3545383	0.5102957	0.9795192	0.4571984	0.9596080	1.0022198	0.1038569	0.7773254	0.8384563	0.9914094	0.8327673	0.8427940	1.0608693	0.6372700	0.4007550	0.4166277	0.8176523	0.4326665	0.3874716	0.9596286	0.3031032	0.2633560	0.2550378	0.2059758	0.6247519	0.6577470	0.2062987	0.0054240	0.6950403	0.8102773	0.2399786	0.5266689	0.4068187	0.7426244	0.2612055	0.5060482	1.0433964	0.3342945	0.7798302	0.7847699	0.9727521	0.4841810	0.5608898	0.7470636	1.0558709	1.0002742	0.9846890	0.4313649	1.0620761	1.0484970	0.9783225
0.9666759	0.0676345	0.7008030	0.5052225	0.3345124	0.7527991	0.6579867	0.0862653	0.9300873	0.3839547	0.9046232	0.8860545	0.7041401	0.5132038	1.0172615	0.2598469	0.4448353	0.6352285	0.3478290	1.0206197	0.3457133	0.0216787	0.9653576	0.5985152	0.0334020	0.0452591	0.1492122	1.0284946	0.7674571	0.9673754	0.6095305	0.9799755	0.1227612	1.0017611	0.7965838	0.5010173	0.6762560	0.7929550	0.6338173	0.4934912	0.0342976	0.3687914	0.3720186	1.0284382	0.9758507	0.0125641	0.1986628	0.7021497	0.6644486	0.8842295	0.3232077	0.8286897	0.1193151	0.6579939	0.8852134	0.1996562	0.5468557	0.8276974	0.9889454	0.8027844	0.8562555	1.0327443	0.5278048	0.2861252	0.4414216	0.7314115	0.5126464	0.4092710	1.0260359	0.2758211	0.2365849	0.3670577	0.3280715	0.6506507	0.5751770	0.3016037	0.0007615	0.6618742	0.8132113	0.2354055	0.5461873	0.4564187	0.8127966	0.2494368	0.5008125	0.9421608	0.3138313	0.8103888	0.8481190	0.9109883	0.5523606	0.5668862	0.7467076	1.0154373	1.0565984	0.9714375	0.4397344	0.9770034	1.0866771	1.0184742
0.9378194	0.1450276	0.3749365	0.7926285	0.4928360	0.6490004	0.6294110	0.1368275	0.9655664	0.4070731	0.8355436	0.8704477	0.8264176	0.6045437	0.8689792	0.2848626	0.6238655	0.6196564	0.2695362	0.9771641	0.3707927	0.0441343	1.0994295	0.6114754	0.0471346	0.0385463	0.1999210	0.9960339	0.7449877	1.0049756	0.6603535	0.9947841	0.1372734	0.9917078	0.7613476	0.4373231	0.6066220	0.6995713	0.6936461	0.4690167	0.0249698	0.2993221	0.5014668	1.0019467	1.0692235	0.0163703	0.1725331	0.6359516	0.5782058	0.7491296	0.3090033	0.9968840	0.1458243	0.6526434	0.9299039	0.1624252	0.6183807	0.8408474	1.0434191	0.8928215	0.8588234	1.0400780	0.5885435	0.3176570	0.3506640	0.7618525	0.5243557	0.3998035	1.0322040	0.2440890	0.3032556	0.2875306	0.3181673	0.5993693	0.5374823	0.2390521	0.0061933	0.7367887	0.7128344	0.2901304	0.5209826	0.4834564	0.8093638	0.2341654	0.5131686	0.9643746	0.2901049	0.7058394	0.7142436	0.6994826	0.6980409	0.6744704	0.7270840	1.0184927	1.0303287	1.0177884	0.3483030	1.0464445	0.9766138	1.0057090
1.0162338	0.0955103	0.7650709	0.2830335	0.4351312	0.6471730	0.7070242	0.1091729	0.9556060	0.3144390	0.8778553	0.8409039	0.7424205	0.4593594	1.0134373	0.2850699	0.4686125	0.6012802	0.3560254	1.0887741	0.3432437	0.0354916	1.0267118	0.5899093	0.0296372	0.0206404	0.2458841	1.0312547	0.7183134	0.9458217	0.7089848	1.0138422	0.2144504	1.0846323	0.7897027	0.4941000	0.6281454	0.7737968	0.7029765	0.4916868	0.0425357	0.3515271	0.5428564	1.0353509	1.0244750	0.0091657	0.1698589	0.6805423	0.7015333	0.7954295	0.3041124	0.9176731	0.1282093	0.6241475	0.9820748	0.1933204	0.5521923	0.7863156	1.0112219	0.7690475	0.8309951	0.9910277	0.5639300	0.3268178	0.3725883	0.8732304	0.4795135	0.3469616	1.0157502	0.2619447	0.1964095	0.3191363	0.2809608	0.6340084	0.5734563	0.2091978	0.0119122	0.6789215	0.7821608	0.3536102	0.4851859	0.4093158	0.8279984	0.2042363	0.5210931	1.0697829	0.3653729	0.8293865	0.6460901	0.7664996	0.6575212	0.6034065	0.7361893	0.9898656	0.9354970	1.0258294	0.4632361	1.0203494	0.9713881	1.0755729
0.8628494	0.1196003	0.7914426	0.1862116	0.2278718	0.7145150	0.6679515	0.1027707	0.9433020	0.4458156	0.9637018	0.9801395	0.8241434	0.6429577	1.0554651	0.2538660	0.2079945	0.6031792	0.4374952	1.0061306	0.1584215	0.0435339	1.1753281	0.5325468	0.0349119	0.0418010	0.2427609	0.9229706	0.7885934	1.0662134	0.7340632	0.9417949	0.1889312	1.0403512	0.5303848	0.5172794	0.6789983	0.7402987	0.6107669	0.4202735	0.0212609	0.2371877	0.4486525	0.9916717	0.9977445	0.0088093	0.1327758	0.6830133	0.6548004	0.9554683	0.2225286	1.0081873	0.0618192	0.4547304	0.8691673	0.2714031	0.4928603	0.6911663	1.0726183	0.8157239	0.8571384	1.1333444	0.5031701	0.3644761	0.3894501	0.8228219	0.4161608	0.3339447	0.9532966	0.2834222	0.2420869	0.2858822	0.2151886	0.5740353	0.5895844	0.2026251	0.0056404	0.7161613	0.8266096	0.2998464	0.4814450	0.4706037	0.7927456	0.2626653	0.4845424	1.0280988	0.2941670	0.7888828	0.7712513	0.9066662	0.6726449	0.5853279	0.8093076	1.0837396	1.0379189	1.0325511	0.4346015	0.9849279	1.0495775	1.0104464
0.9979365	0.0925317	0.6354861	0.7313264	0.4553386	0.3454796	0.7663404	0.0958769	0.8827453	0.2811625	0.7991853	0.8819747	0.7760444	0.5515413	1.0719117	0.2496030	0.5153960	0.6138731	0.3793542	0.9312326	0.3891586	0.0411365	1.0944312	0.5485574	0.0330563	0.0479167	0.2361467	1.0327082	0.8442728	0.9196395	0.6902482	1.0193241	0.0977022	1.1066044	0.8416436	0.3999909	0.6681794	0.7448717	0.7455244	0.5130699	0.0379285	0.3703897	0.3535533	0.9559346	1.0305969	0.0090067	0.1793634	0.7435425	0.5933297	0.7302037	0.3652701	0.9919724	0.1203653	0.7268370	0.8442973	0.2028516	0.6519019	0.8969373	1.0831999	0.7219462	0.8727869	0.9389113	0.5017312	0.3523566	0.4330212	0.8362393	0.4154360	0.3267250	0.9815998	0.2818633	0.2229137	0.1863067	0.2425772	0.5716062	0.5787841	0.1822895	0.0050930	0.6679161	0.7798886	0.3236447	0.3830951	0.3998937	0.8089670	0.1444096	0.5358974	0.9325348	0.3724456	0.8243631	0.6399641	0.9271264	0.6094388	0.5595360	0.6255275	1.0500081	1.0230149	0.9923797	0.3588898	0.9440366	0.9968889	1.0135308
0.9882719	0.0854177	0.7250916	0.8361742	0.5038104	0.5373717	0.3389639	0.1057718	0.8851461	0.3708694	0.7152402	0.6442409	0.7289932	0.3709305	0.9913285	0.2753873	0.6047622	0.6164365	0.2947888	0.9834759	0.4957034	0.0693718	0.9450359	0.6104687	0.0364444	0.0326322	0.1922808	0.8952796	0.6994059	1.0254587	0.6614323	1.0208710	0.1318800	0.9875982	0.8957903	0.5101319	0.6271165	0.8167484	0.7284932	0.4186803	0.0823188	0.4543797	0.3517258	0.9756981	1.0167369	0.0150742	0.1834153	0.7871595	0.6566273	0.5646202	0.4005357	0.9655398	0.1858473	0.8282951	0.9681352	0.1727252	0.6563899	0.8000345	0.9390447	0.7524480	0.8539913	1.0032862	0.5543264	0.3612397	0.3873050	0.7862934	0.4468860	0.3870835	1.0273504	0.3025256	0.2817555	0.3274368	0.3461857	0.6874267	0.5306747	0.2416434	0.0057289	0.7023775	0.8573999	0.2941440	0.5284709	0.4388922	0.7588027	0.2017816	0.5551616	0.9784712	0.3486822	0.7523493	0.7076266	0.8540054	0.5994439	0.5534840	0.7634801	1.0452458	1.0211460	1.0157615	0.4286054	0.9685271	0.9504916	1.0589217
0.9938054	0.1400903	0.6853813	0.5685283	0.4685974	0.6433790	0.7036070	0.0493597	0.8690487	0.3564484	0.8294327	0.9637567	0.7457320	0.5445020	1.0433351	0.2738821	0.4597131	0.6110069	0.3039735	1.0285248	0.2848060	0.0505055	1.0444506	0.4964955	0.0331656	0.0456179	0.2194654	1.0139300	0.7121530	0.9572500	0.6827243	1.0646551	0.1427555	1.0032180	0.7910742	0.4471923	0.5944025	0.7409234	0.6724300	0.4483340	0.0215909	0.3537118	0.4323392	1.0246727	0.9939781	0.0077101	0.1672751	0.7289284	0.6286184	0.7513800	0.3338778	1.0009026	0.1241523	0.6645199	0.8390907	0.1905552	0.5367725	0.8521788	0.9807539	0.7776923	0.8960125	1.0293226	0.4989517	0.3656111	0.3537838	0.7694205	0.4385284	0.3364083	0.9602442	0.2624016	0.2219073	0.2396679	0.2488427	0.5486860	0.5490236	0.2298833	0.0085754	0.5937399	0.8542929	0.3042666	0.5017162	0.3456380	0.7581927	0.2452311	0.5405151	1.0084811	0.3259141	0.8369851	0.7625120	0.8722732	0.6143560	0.5643824	0.7565859	0.9553107	1.0249421	1.0741128	0.4440894	1.0537784	1.0933292	1.0330775
1.0199221	0.1118650	0.7261878	0.7061285	0.3768159	0.6654096	0.6926149	0.0879805	0.4982986	0.3773510	0.8726648	0.7833885	0.8233737	0.4733886	1.0090298	0.2970118	0.6336097	0.6401065	0.2785271	1.1454866	0.3789540	0.0526343	1.0294423	0.4896591	0.0356623	0.0723899	0.2224273	1.0078333	0.7360532	1.0643275	0.6251891	1.0311496	0.1244654	1.0834593	0.8181928	0.5247823	0.6238820	0.8041479	0.6250655	0.4655878	0.0445157	0.3356985	0.4599307	1.0313545	0.9333513	0.0147666	0.1758252	0.6849494	0.6565552	0.7511659	0.3399285	0.9858761	0.1643574	0.6654368	0.9071300	0.1973452	0.6034872	0.7703862	0.9614365	0.8419773	0.8224119	1.0458847	0.5327813	0.3818782	0.3673539	0.7214050	0.3995514	0.2852584	1.0556059	0.2774255	0.2875614	0.2319002	0.2059323	0.6207778	0.5663056	0.1874624	0.0106800	0.6795117	0.7131395	0.3690172	0.4549555	0.3381938	0.7782911	0.2237771	0.4909078	1.0316962	0.3990116	0.7785130	0.5526028	0.8273250	0.5773469	0.5711331	0.7593054	1.0067332	0.9282768	0.9698361	0.4306420	1.0472603	0.9975997	1.0386064
0.9724973	0.1273315	0.7256253	0.6591652	0.4346259	0.6200802	0.6630748	0.1034281	0.8860252	0.1583131	0.8843950	0.8415642	0.9035336	0.4883822	0.8691597	0.2888791	0.5565153	0.6882211	0.3508971	1.0218644	0.3454942	0.0245978	1.0002586	0.5605254	0.0465039	0.0805920	0.2532161	1.0870067	0.9036758	1.1053149	0.6277357	0.9192647	0.1902475	0.9823557	0.7841603	0.5343968	0.6076616	0.7509363	0.6633581	0.4746283	0.0531333	0.3368071	0.4030451	1.0199375	1.0608909	0.0096581	0.1459743	0.7246990	0.5976870	0.7079172	0.3069963	1.0183365	0.1062545	0.7760784	0.8227106	0.1923337	0.5282082	0.8304860	0.8336993	0.8191763	0.8436038	0.9316478	0.4780239	0.3717595	0.3696255	0.7461185	0.3666877	0.3672887	0.9741120	0.2351187	0.2426712	0.2489872	0.1676094	0.5934157	0.6440462	0.2258427	0.0046890	0.6647159	0.7558186	0.3232711	0.4531012	0.3652676	0.8244149	0.1817389	0.5234705	0.9894674	0.2854579	0.7060831	0.6196309	0.8169539	0.6335701	0.5938061	0.8741363	0.9519714	0.9715423	1.0149887	0.4174430	1.0579471	0.9914593	0.9174302
