"Index"	"Gene"
G1	YBR049C
G2	YGL181W
G3	YLR223C
G4	YMR280C
G5	YNL169C
G6	YNL216W
G7	YOR272W
G8	YPL180W
G9	YBR182C
G10	YER188CA
G11	YHL027W
G12	YKL185W
G13	YLR390W
G14	YLR392C
G15	YOR140W
G16	YCL067C
G17	YCL066W
G18	YDL020C
G19	YCR092C
G20	YLR422W
G21	YML007W
G22	YDR123C
G23	YMR070W
G24	YDR216W
G25	YLR366W
G26	YDR451C
G27	YCR096C
G28	YER076C
G29	YDR501W
G30	YDL082W
G31	YDL210W
G32	YIL131C
G33	YFL021W
G34	YJL110C
G35	YLR048W
G36	YML098W
G37	YML099C
G38	YGL162W
G39	YGR249W
G40	YKL062W
G41	YMR037C
G42	YPL177C
G43	YEL072W
G44	YGL254W
G45	YCR107W
G46	YDR370C
G47	YMR319C
G48	YPR065W
G49	YIL101C
G50	YJR145C
G51	YJR146W
G52	YJR147W
G53	YLR131C
G54	YPR104C
G55	YKR034W
G56	YKR039W
G57	YPR139C
G58	YKL020C
G59	YAL005C
G60	YBR244W
G61	YDR353W
G62	YJL098W
G63	YLR438CA
G64	YOL007C
G65	YLR098C
G66	YDR155C
G67	YER127W
G68	YNL097CA
G69	YLR451W
G70	YNL103W
G71	YPL202C
G72	YPL111W
G73	YML113W
G74	YMR021C
G75	YLR213C
G76	YPR123C
G77	YER077C
G78	YOR344C
G79	YMR042W
G80	YEL060C
G81	YHL015W
G82	YPL135W
G83	YJL089W
G84	YIR017C
G85	YGR033C
G86	YGR118W
G87	YHR021WA
G88	YPL131W
G89	YPR080W
G90	YOR032C
G91	YHR006W
G92	YOR113W
G93	YCR045C
G94	YGR225W
G95	YIR007W
G96	YOR363C
G97	YPL038W
G98	YFL043C
G99	YLL045C
G100	YLR337C
