"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.5442242	0.0184367	0.9998171	0.4411706	0.2868133	0.6714544	0.2310681	0.3403612	0.5036196	0.7847811	0.7911940	0.7053611	0.6660908	0.5636749	0.5637378	0.0537276	0.7281901	0.6726899	0.9990038	0.3979710	0.8622062	1.0000000	0.9968388	0.6474541	0.5213591	0.5925944	0.4801200	0.9962260	0.9993907	0.4975331	0.4355320	0.0546143	0.1724616	0.0551821	0.0022708	0.6664376	0.1200148	0.0572053	0.9224769	0.5676315	0.9999997	0.9999999	0.4191891	0.0859129	0.5472998	0.8514260	0.9966011	0.0603920	0.4209384	0.5094783	0.8297826	0.6661935	0.9992586	0.9993630	0.0303329	0.9868702	0.9491775	0.8401369	0.5427240	0.2131241	0.1043138	0.4306466	0.9880920	0.1308019	1.0000000	0.7187075	0.9999633	0.9641283	1.0000000	0.9999955	0.0670085	0.2423421	1.0000000	1.0000000	0.2044375	0.9934896	0.9406324	0.0210971	1.0000000	0.3114686	0.9989727	0.0008280	0.6473573	0.9894594	0.0184899	0.2503435	0.4526117	0.4792984	0.8135511	0.0438398	0.9931691	1.0000000	0.0489803	0.0361092	0.0181096	1.0000000	1.0000000	0.1127954	0.9350865	0.3223500
50.0	0.4722413	0.0122152	0.9114183	0.4638898	0.2982291	0.6818821	0.0734854	0.5099016	0.4592504	0.7328672	0.8029961	0.7025489	0.6562329	0.4350572	0.6036276	0.0133769	0.7378180	0.7199071	0.9994360	0.4798861	0.8407108	0.9168945	0.8426902	0.6451128	0.4867280	0.6327981	0.2269493	0.9963468	0.9162011	0.3083521	0.6211235	0.0220561	0.4248615	0.0171228	0.0010646	0.5344451	0.2280551	0.0429187	0.9587135	0.3264985	0.9999998	0.7558317	0.4225789	0.0425118	0.6139570	0.8405314	0.9990474	0.2418606	0.7451193	0.4757802	0.9247397	0.8450674	0.9475336	0.9995843	0.0081505	0.9896136	0.7834176	0.8214247	0.5677444	0.1026560	0.1153298	0.4362394	0.9771812	0.0557021	0.9949712	0.8454722	0.9691360	0.9565972	0.6387593	0.9717748	0.0438778	0.2167123	1.0000000	1.0000000	0.1865595	0.9833434	0.9480245	0.0210859	0.4040001	0.1941773	0.9154501	0.0221789	0.5034747	0.9885406	0.0029131	0.3159167	0.1833235	0.4790377	0.9360107	0.0506693	0.7437505	1.0000000	0.0209932	0.4879233	0.3393388	0.8680274	0.8674953	0.2593118	0.9186588	0.3223415
100.0	0.4368995	0.0076591	0.8880172	0.4379828	0.3280841	0.7135125	0.0233702	0.5727689	0.3981105	0.6021092	0.8011515	0.6943795	0.6738601	0.3953605	0.6257056	0.0051399	0.7335331	0.8392467	0.9998211	0.5163275	0.7909788	0.9083113	0.7949813	0.6102453	0.4699462	0.7753370	0.1233200	0.9971929	0.9026857	0.2457146	0.6822668	0.0103277	0.4221382	0.0053689	0.0006196	0.3466168	0.3305910	0.1916314	0.9790855	0.2564034	0.9999995	0.6945016	0.4313705	0.0357916	0.6349211	0.8499757	0.9996585	0.2957937	0.7619011	0.4619889	0.9608339	0.9120770	0.9314807	0.9998346	0.0021869	0.9949410	0.7219124	0.8112555	0.6126685	0.0538711	0.1456920	0.4814562	0.9685069	0.0399812	0.9929531	0.8780241	0.9552112	0.9509471	0.5209898	0.9628162	0.0393133	0.1830325	1.0000000	1.0000000	0.1456997	0.9818092	0.9505664	0.0209643	0.3228712	0.1684292	0.9082527	0.0293706	0.4628867	0.9855398	0.0006273	0.3301400	0.1605778	0.4761949	0.9697249	0.1306693	0.6414597	1.0000000	0.0093750	0.5714809	0.4301642	0.8584612	0.8311187	0.2902668	0.9152002	0.3222801
150.0	0.4071961	0.0051080	0.8817856	0.4032543	0.3571202	0.7499921	0.0074324	0.6067537	0.3694385	0.4929337	0.7842139	0.6829578	0.7100213	0.3936541	0.6513451	0.0035113	0.7176333	0.9205923	0.9999481	0.5477069	0.7609638	0.9074248	0.7800183	0.5338768	0.4507092	0.8836438	0.0772848	0.9984069	0.9005819	0.2253311	0.7019096	0.0061228	0.3971656	0.0016350	0.0004413	0.2457117	0.3968996	0.3655714	0.9848564	0.2985496	0.9999872	0.6790967	0.4388928	0.0367323	0.6411730	0.8598097	0.9997928	0.3122713	0.7593226	0.4571807	0.9719680	0.9329813	0.9264586	0.9999405	0.0005865	0.9981198	0.6989112	0.8000636	0.6574418	0.0291120	0.1669075	0.5044098	0.9582037	0.0372999	0.9921433	0.9023315	0.9489207	0.9472385	0.4825953	0.9599612	0.0416384	0.1528781	1.0000000	1.0000000	0.1147195	0.9815773	0.9514403	0.0206970	0.3118277	0.1722734	0.9073391	0.0318126	0.4539424	0.9831082	0.0002918	0.3368099	0.1588016	0.4698254	0.9809043	0.2256721	0.5241743	1.0000000	0.0045453	0.5869331	0.4558444	0.8577677	0.8211323	0.2945535	0.9144957	0.3221892
200.0	0.3824824	0.0042602	0.8800850	0.3703568	0.3799736	0.7839513	0.0023638	0.6305890	0.3594137	0.4450960	0.7486773	0.6740188	0.7438365	0.4023967	0.6705924	0.0031956	0.6941228	0.9558037	0.9999851	0.5744554	0.7657192	0.9073332	0.7752574	0.4618455	0.4198271	0.9407974	0.0614846	0.9991560	0.9003250	0.2184603	0.7081050	0.0045929	0.3897091	0.0004872	0.0003676	0.2017105	0.4260489	0.4699645	0.9845664	0.3302012	0.9999196	0.6752273	0.4432729	0.0380368	0.6429310	0.8649712	0.9998060	0.3196002	0.7575616	0.4556133	0.9751335	0.9384546	0.9248869	0.9999788	0.0001573	0.9993998	0.6902493	0.7914082	0.6758417	0.0197260	0.1684262	0.5112630	0.9518531	0.0376587	0.9918183	0.9176266	0.9460791	0.9452788	0.4700781	0.9590448	0.0446752	0.1356842	1.0000000	1.0000000	0.1038713	0.9815422	0.9517401	0.0203820	0.3103245	0.1799009	0.9070925	0.0326679	0.4566679	0.9818533	0.0002425	0.3427137	0.1588409	0.4619548	0.9859642	0.2949606	0.3538113	1.0000000	0.0025258	0.5897893	0.4631053	0.8577175	0.8183907	0.2955065	0.9143645	0.3221135
250.0	0.3654141	0.0043456	0.8795786	0.3422705	0.3969431	0.8127181	0.0007519	0.6487367	0.3564416	0.4341063	0.7065979	0.6688977	0.7668858	0.4104320	0.6811597	0.0031354	0.6674708	0.9665150	0.9999957	0.5928619	0.7811550	0.9073238	0.7737166	0.4142791	0.3831359	0.9690647	0.0567495	0.9995108	0.9003411	0.2160412	0.7100495	0.0040281	0.3877037	0.0001438	0.0003402	0.1832187	0.4363315	0.5234558	0.9831227	0.3440310	0.9997926	0.6742554	0.4453902	0.0387252	0.6434266	0.8666630	0.9997811	0.3271843	0.7566606	0.4551240	0.9759775	0.9396478	0.9243950	0.9999923	0.0000422	0.9998257	0.6869674	0.7889486	0.6761911	0.0178823	0.1635026	0.5107259	0.9506084	0.0385837	0.9916878	0.9259160	0.9447955	0.9443787	0.4659974	0.9587488	0.0453732	0.1284230	1.0000000	1.0000000	0.1049431	0.9815369	0.9518406	0.0200981	0.3101199	0.1849002	0.9069996	0.0329837	0.4644271	0.9813374	0.0002352	0.3481584	0.1590217	0.4543938	0.9888340	0.3375632	0.2289170	1.0000000	0.0016687	0.5903157	0.4651583	0.8577138	0.8176380	0.2968713	0.9143458	0.3220652
300.0	0.3554012	0.0046193	0.8793930	0.3208369	0.4087907	0.8348443	0.0002394	0.6618336	0.3557162	0.4354129	0.6717694	0.6664789	0.7801275	0.4154323	0.6859344	0.0031243	0.6414486	0.9665157	0.9999987	0.6033992	0.7937534	0.9073228	0.7732079	0.3872868	0.3499679	0.9827809	0.0553769	0.9996673	0.9003800	0.2151549	0.7106592	0.0038175	0.3870324	0.0000423	0.0003353	0.1756366	0.4392570	0.5552451	0.9820068	0.3496748	0.9996592	0.6740112	0.4463127	0.0390100	0.6435667	0.8667914	0.9997362	0.3372973	0.7560535	0.4549775	0.9761822	0.9398106	0.9242411	0.9999969	0.0000113	0.9999525	0.6857174	0.7907321	0.6712502	0.0185567	0.1592547	0.5078399	0.9517429	0.0393664	0.9916355	0.9310633	0.9442158	0.9440002	0.4646670	0.9586529	0.0443492	0.1258015	1.0000000	1.0000000	0.1074137	0.9815361	0.9518705	0.0198743	0.3100920	0.1875334	0.9069643	0.0331025	0.4741654	0.9811510	0.0002341	0.3527896	0.1591807	0.4480174	0.9906073	0.3642346	0.1598827	1.0000000	0.0012947	0.5904112	0.4657387	0.8577136	0.8174314	0.2978710	0.9143458	0.3220388
350.0	0.3503979	0.0046976	0.8793050	0.3063117	0.4164223	0.8502650	0.0000764	0.6704151	0.3556388	0.4387192	0.6469262	0.6654849	0.7869589	0.4180307	0.6878070	0.0031224	0.6187859	0.9631219	0.9999996	0.6084127	0.8011387	0.9073227	0.7730359	0.3729757	0.3250124	0.9893775	0.0550089	0.9997360	0.9004082	0.2148172	0.7108504	0.0037383	0.3867175	0.0000124	0.0003408	0.1726872	0.4397468	0.5806382	0.9813178	0.3519744	0.9995505	0.6739499	0.4466898	0.0391147	0.6435971	0.8664752	0.9996797	0.3488891	0.7555044	0.4549364	0.9762186	0.9397595	0.9241929	0.9999985	0.0000030	0.9999876	0.6852391	0.7936475	0.6665825	0.0196015	0.1567307	0.5051693	0.9533420	0.0398660	0.9916145	0.9353135	0.9439539	0.9438499	0.4642333	0.9586217	0.0429697	0.1249298	1.0000000	1.0000000	0.1067864	0.9815360	0.9518756	0.0197118	0.3100882	0.1890050	0.9069513	0.0331408	0.4837470	0.9810887	0.0002339	0.3564005	0.1592996	0.4431129	0.9917148	0.3839853	0.1243032	1.0000000	0.0011240	0.5904274	0.4659028	0.8577136	0.8173747	0.2978390	0.9143475	0.3220256
400.0	0.3483878	0.0045695	0.8792573	0.2975595	0.4209113	0.8600349	0.0000246	0.6754843	0.3557389	0.4412657	0.6291736	0.6651273	0.7902156	0.4192291	0.6884414	0.0031221	0.6009151	0.9596566	0.9999998	0.6102203	0.8046865	0.9073227	0.7729761	0.3656414	0.3083618	0.9925332	0.0549528	0.9997667	0.9004258	0.2146826	0.7109103	0.0037084	0.3865327	0.0000037	0.0003502	0.1716632	0.4395754	0.6043011	0.9808688	0.3529489	0.9994631	0.6739345	0.4468378	0.0391506	0.6435940	0.8661414	0.9996197	0.3601705	0.7549739	0.4549265	0.9762120	0.9396715	0.9241778	0.9999991	0.0000008	0.9999969	0.6850553	0.7960514	0.6634219	0.0203954	0.1554207	0.5034139	0.9546492	0.0401366	0.9916061	0.9393611	0.9438356	0.9437926	0.4640919	0.9586115	0.0419068	0.1246538	1.0000000	1.0000000	0.1036070	0.9815360	0.9518727	0.0196013	0.3100877	0.1899717	0.9069467	0.0331459	0.4916965	0.9810690	0.0002339	0.3589898	0.1593808	0.4396295	0.9923948	0.4013028	0.1055269	1.0000000	0.0010414	0.5904293	0.4659492	0.8577136	0.8173591	0.2970743	0.9143485	0.3220194
