"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.5442184	0.0184374	0.9998171	0.4411680	0.2868139	0.6714465	0.2310681	0.3403636	0.5036256	0.7847824	0.7911936	0.7053618	0.6660937	0.5636789	0.5637357	0.0537279	0.7283620	0.6726835	0.9990038	0.3979779	0.8622087	1.0000000	0.9968388	0.6474618	0.5213677	0.5925861	0.4801207	0.9962257	0.9993906	0.4975334	0.4355320	0.0546143	0.1724872	0.0551828	0.0022728	0.6662675	0.1200953	0.0572063	0.9224724	0.5676398	0.9999997	0.9999999	0.4191891	0.0859129	0.5472994	0.8514248	0.9966010	0.0603942	0.4209327	0.5094785	0.8297786	0.6661864	0.9992586	0.9993630	0.0303329	0.9868702	0.9491775	0.8401376	0.5427227	0.2131252	0.1043129	0.4306430	0.9880920	0.1308021	1.0000000	0.7187077	0.9999633	0.9641283	1.0000000	0.9999955	0.0670081	0.2422389	1.0000000	1.0000000	0.2044413	0.9934896	0.9406324	0.0210994	1.0000000	0.3114636	0.9989727	0.0008281	0.6473590	0.9894594	0.0184899	0.2503343	0.4526102	0.4793150	0.8134164	0.0438416	0.9931685	1.0000000	0.0489818	0.0361093	0.0181096	1.0000000	1.0000000	0.1128078	0.9350865	0.3223500
50.0	0.5442228	0.0184369	0.9998171	0.4411733	0.2868123	0.4519067	0.2310681	0.3403586	0.5036185	0.7847823	0.7911933	0.7053606	0.6660937	0.5636778	0.5637396	0.0537278	0.7370699	0.6726827	0.9990038	0.3979728	0.8622101	1.0000000	0.9968388	0.6474495	0.5213587	0.5925927	0.4801028	0.9962262	0.9986096	0.4971862	0.4355320	0.0546149	0.1749753	0.0551834	0.0025009	0.6661081	0.1200900	0.0572051	0.9224761	0.5678824	0.9999997	0.9999999	0.4191891	0.0859129	0.5472997	0.8514280	0.9966011	0.0603927	0.4209399	0.5025449	0.8278553	0.6617350	0.9992586	0.6905584	0.0303329	0.9868702	0.9491775	0.8401367	0.5427223	0.2131256	0.1043107	0.4306371	0.9880920	0.1308019	1.0000000	0.7187075	0.9999633	0.9641283	1.0000000	0.9999955	0.0670086	0.2423585	1.0000000	1.0000000	0.2044383	0.9934896	0.9406324	0.0222737	1.0000000	0.3114669	0.9986384	0.0008281	0.6528098	0.9894594	0.0185535	0.2566002	0.4833392	0.4980696	0.7658998	0.0438392	0.9931718	1.0000000	0.0489847	0.0361104	0.0181096	1.0000000	1.0000000	0.1128001	0.9265088	0.3359862
100.0	0.5442338	0.0184366	0.9998171	0.4411786	0.2868104	0.2188706	0.2310681	0.3403539	0.5036130	0.7848602	0.7911921	0.7053591	0.6660975	0.5636795	0.5637436	0.0537284	0.7726993	0.6722161	0.9990034	0.3979580	0.8623981	1.0000000	0.9968388	0.6474424	0.5213509	0.5925935	0.4796856	0.9962265	0.9354923	0.4673098	0.4355322	0.0547006	0.1949099	0.0552192	0.0074491	0.6561326	0.1219185	0.0572044	0.9224247	0.5718997	0.9999996	0.9999999	0.4191891	0.0859129	0.5473000	0.8514253	0.9966012	0.0603920	0.4209441	0.4604071	0.8142470	0.6197551	0.9992583	0.3438350	0.0303329	0.9868702	0.9491802	0.8401392	0.5426307	0.2132096	0.1041768	0.4301622	0.9880965	0.1308020	1.0000000	0.7187074	0.9999633	0.9641283	1.0000000	0.9999955	0.0670073	0.2422735	1.0000000	1.0000000	0.2044379	0.9934896	0.9406324	0.0377578	1.0000000	0.3114683	0.9911582	0.0008281	0.6918702	0.9894594	0.0197746	0.3218179	0.6567102	0.6185362	0.4913446	0.0438377	0.9932453	1.0000000	0.0491743	0.0361667	0.0181097	1.0000000	1.0000000	0.1127973	0.8237673	0.4465803
150.0	0.5444265	0.0184353	0.9998172	0.4412044	0.2868015	0.0947466	0.2310681	0.3403303	0.5036093	0.7856840	0.7911907	0.7053578	0.6661024	0.5636823	0.5637467	0.0537319	0.8068968	0.6670167	0.9989905	0.3976909	0.8642025	1.0000000	0.9968388	0.6474505	0.5213451	0.5924945	0.4764349	0.9962264	0.8477829	0.3013107	0.4355339	0.0559842	0.2399639	0.0553896	0.0740211	0.6125407	0.1318015	0.0572041	0.9221482	0.6006798	0.9999893	0.9999999	0.4191891	0.0859129	0.5473010	0.8513703	0.9966013	0.0603918	0.4209461	0.3826010	0.7881711	0.5141689	0.9992427	0.1507548	0.0303331	0.9868700	0.9492008	0.8401937	0.5416580	0.2140741	0.1029032	0.4253271	0.9881475	0.1308021	1.0000000	0.7187074	0.9999633	0.9641282	1.0000000	0.9999955	0.0669807	0.2407437	1.0000000	1.0000000	0.2044274	0.9934896	0.9406323	0.1181172	1.0000000	0.3114713	0.8847936	0.0008280	0.7665542	0.9894594	0.0225613	0.4452207	0.7613230	0.7975942	0.2550790	0.0438368	0.9937696	1.0000000	0.0525206	0.0376234	0.0181204	1.0000000	1.0000000	0.1127889	0.5435775	0.6374068
200.0	0.5461030	0.0184202	0.9998174	0.4414924	0.2867021	0.0389493	0.2310681	0.3400663	0.5036071	0.7900091	0.7911895	0.7053565	0.6661069	0.5636850	0.5637459	0.0537439	0.8280929	0.6366634	0.9989308	0.3953977	0.8726030	1.0000000	0.9968388	0.6475883	0.5213468	0.5920309	0.4596313	0.9962223	0.9320449	0.1765602	0.4355354	0.0565190	0.2982818	0.0557629	0.3047750	0.5286053	0.1571844	0.0572039	0.9216122	0.6960389	0.9993247	0.9999999	0.4191891	0.0859129	0.5473045	0.8511811	0.9966013	0.0603918	0.4209458	0.3000460	0.7589044	0.3905645	0.9991794	0.0617486	0.0303336	0.9868690	0.9493113	0.8405921	0.5365091	0.2182131	0.0967968	0.3978340	0.9884103	0.1308023	1.0000000	0.7187074	0.9999633	0.9641263	1.0000000	0.9999955	0.0667865	0.2354809	1.0000000	1.0000000	0.2043089	0.9934896	0.9406293	0.2951541	1.0000000	0.3115010	0.5122386	0.0008274	0.8482043	0.9894594	0.0206458	0.5273714	0.6761034	0.9205795	0.1423262	0.0438363	0.9951435	1.0000000	0.0876074	0.0634748	0.0195952	1.0000000	1.0000000	0.1127002	0.2742988	0.7991313
250.0	0.5542532	0.0183284	0.9998192	0.4434396	0.2860277	0.0155877	0.2310681	0.3382895	0.5036066	0.8002555	0.7911886	0.7053554	0.6661104	0.5636873	0.5637402	0.0537693	0.8392081	0.5544555	0.9988465	0.3845779	0.8879968	1.0000000	0.9968388	0.6479443	0.5213820	0.5915831	0.4171894	0.9962108	0.9813970	0.1547598	0.4355348	0.0557733	0.3507504	0.0562776	0.5623942	0.4305510	0.1987949	0.0572039	0.9208803	0.8183126	0.9891315	0.9999999	0.4191892	0.0859129	0.5473113	0.8508535	0.9966013	0.0603918	0.4209405	0.2388010	0.7349000	0.3023136	0.9991425	0.0242409	0.0303347	0.9868671	0.9497871	0.8420148	0.5242114	0.2264765	0.0845887	0.3279327	0.9890316	0.1308024	1.0000000	0.7187074	0.9999633	0.9641216	1.0000000	0.9999955	0.0660970	0.2267474	1.0000000	1.0000000	0.2037057	0.9934896	0.9405435	0.5123974	1.0000000	0.3116743	0.2384670	0.0008241	0.9127104	0.9894594	0.0190700	0.5573570	0.5575644	0.9740916	0.0979029	0.0438361	0.9967036	1.0000000	0.2106876	0.1918765	0.0529152	1.0000000	1.0000000	0.1121881	0.1256683	0.8988239
300.0	0.5765175	0.0180191	0.9998261	0.4511239	0.2833656	0.0061466	0.2310681	0.3313410	0.5036088	0.8130333	0.7911881	0.7053547	0.6661124	0.5636887	0.5637358	0.0538072	0.8445703	0.4422208	0.9987521	0.3566799	0.9004068	1.0000000	0.9968388	0.6482750	0.5214729	0.5915136	0.3658942	0.9961982	0.9958793	0.2297742	0.4355337	0.0551499	0.3876095	0.0567942	0.7321914	0.3461870	0.2479138	0.0572038	0.9185048	0.9068414	0.9405800	0.9999999	0.4191894	0.0859129	0.5473236	0.8502422	0.9966013	0.0603916	0.4209259	0.2019868	0.7189167	0.2541919	0.9991612	0.0092445	0.0303363	0.9868642	0.9511347	0.8445297	0.5093309	0.2350165	0.0726647	0.2463695	0.9898481	0.1308025	1.0000000	0.7187074	0.9999633	0.9641174	1.0000000	0.9999955	0.0648875	0.2179668	1.0000000	1.0000000	0.2023313	0.9934896	0.9397650	0.7073058	1.0000000	0.3122230	0.1356770	0.0008141	0.9541800	0.9894594	0.0184886	0.5649233	0.4932563	0.9923904	0.0819169	0.0438361	0.9978466	1.0000000	0.3962068	0.4117202	0.2089575	1.0000000	1.0000000	0.1105992	0.0609122	0.9518054
350.0	0.6152207	0.0173875	0.9998413	0.4697922	0.2769487	0.0024034	0.2310681	0.3147617	0.5036155	0.8239369	0.7911882	0.7053549	0.6661124	0.5636888	0.5637354	0.0538506	0.8470331	0.3415440	0.9986707	0.3121839	0.9057179	1.0000000	0.9968388	0.6483651	0.5215902	0.5917152	0.3243399	0.9961929	0.9991827	0.3273083	0.4355327	0.0548327	0.4095980	0.0572097	0.8181374	0.2849068	0.2935042	0.0572038	0.9096079	0.9562432	0.8423517	0.9999999	0.4191899	0.0859129	0.5473609	0.8480818	0.9966013	0.0603913	0.4209035	0.1822277	0.7096959	0.2313845	0.9991972	0.0034521	0.0303382	0.9868608	0.9534061	0.8471336	0.4994782	0.2412091	0.0654206	0.1883155	0.9905854	0.1308026	1.0000000	0.7187073	0.9999633	0.9641167	1.0000000	0.9999955	0.0636410	0.2115623	1.0000000	1.0000000	0.2010727	0.9934896	0.9366052	0.8445166	1.0000000	0.3132567	0.1038453	0.0007961	0.9774831	0.9894594	0.0183172	0.5662647	0.4688711	0.9979010	0.0764598	0.0438359	0.9985325	1.0000000	0.5695430	0.6092575	0.4483162	1.0000000	1.0000000	0.1076887	0.0355472	0.9778393
400.0	0.6640809	0.0164960	0.9998633	0.5006897	0.2665396	0.0009352	0.2310681	0.2881820	0.5036264	0.8314411	0.7911891	0.7053563	0.6661092	0.5636870	0.5637359	0.0538914	0.8481293	0.2699741	0.9986222	0.2616561	0.9066380	1.0000000	0.9968388	0.6482409	0.5216775	0.5919867	0.2933309	0.9961955	0.9998479	0.3922907	0.4355318	0.0546959	0.4213758	0.0574962	0.8545697	0.2444293	0.3291108	0.0572037	0.8875066	0.9805197	0.7291229	0.9999999	0.4191910	0.0859129	0.5474848	0.8410122	0.9966013	0.0603910	0.4208810	0.1722392	0.7048864	0.2213446	0.9992259	0.0012687	0.0303399	0.9868576	0.9558725	0.8489668	0.4994744	0.2449513	0.0632827	0.1564282	0.9910988	0.1308026	1.0000000	0.7187073	0.9999633	0.9641188	1.0000000	0.9999955	0.0627619	0.2076809	1.0000000	1.0000000	0.2011906	0.9934896	0.9291782	0.9248626	1.0000000	0.3145772	0.0945052	0.0007743	0.9894494	0.9894594	0.0182712	0.5663572	0.4610721	0.9994441	0.0746601	0.0438358	0.9989062	1.0000000	0.6951498	0.7363466	0.6487881	1.0000000	1.0000000	0.1040899	0.0261231	0.9900500
