"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.3491821	0.0038324	0.8792194	0.2907741	0.4245686	0.8698592	0.0000004	0.6794484	0.3568026	0.4450687	0.5493207	0.6652604	0.7917645	0.4195239	0.6880322	0.0031222	0.5690959	0.9537452	0.9999999	0.6087651	0.8064764	0.9073227	0.7729418	0.3583987	0.2849851	0.9953979	0.0550599	0.9997931	0.9004469	0.2145805	0.7109377	0.0036897	0.3862801	0.0000000	0.0004622	0.1716686	0.4386832	0.7358991	0.9788816	0.3541776	0.9987486	0.6739294	0.4469277	0.0391678	0.6435805	0.8647938	0.9991314	0.4248129	0.7521936	0.4549350	0.9760787	0.9390775	0.9241709	0.9999994	0.0000000	1.0000000	0.6849397	0.7989486	0.6591305	0.0215140	0.1540862	0.5015684	0.9566441	0.0403196	0.9916004	0.9628177	0.9437382	0.9437594	0.4640235	0.9586067	0.0407298	0.1245427	1.0000000	1.0000000	0.0917170	0.9815359	0.9518176	0.0194441	0.3100876	0.1917807	0.9069442	0.0331180	0.5037618	0.9810604	0.0002339	0.3627495	0.1594886	0.4345531	0.9932582	0.5138524	0.0679378	1.0000000	0.0009452	0.5904272	0.4659675	0.8577136	0.8173532	0.2941898	0.9143493	0.3220146
0.4058894	0.2906673	0.9997164	0.2795802	0.2064404	0.8170829	0.2310681	0.4184979	0.3225198	0.7102360	0.7939304	0.8642070	0.8474314	0.6984233	0.8869943	0.3672518	0.6435003	0.7664415	0.9992036	0.3831685	0.7860924	0.4975120	0.9999723	0.5130538	0.3886804	0.7491047	0.6915946	0.9996208	0.9998496	0.2030090	0.1441933	0.0546088	0.1704112	0.2965923	0.0005531	0.4979176	0.3229713	0.0007505	0.9982567	0.4611525	1.0000000	0.3450292	0.3333716	0.0546597	0.6420146	0.9424796	0.9998303	0.0291578	0.8757396	0.7416906	0.9902190	0.7953175	0.6321316	0.9993632	0.0652982	0.9422227	0.7865163	0.8170970	0.3380691	0.0647450	0.1259396	0.3081531	0.9954741	0.1171961	1.0000000	0.7109787	0.9997954	0.8222761	1.0000000	0.9999973	0.0500148	0.5195073	0.6276642	1.0000000	0.1306687	0.9815359	0.9402987	0.0197420	0.7697059	0.1278839	0.9993694	0.0000002	0.7222651	0.9144257	0.0707659	0.4038162	0.1570936	0.4448147	0.8470048	0.0049752	0.9999956	0.8032326	0.0009791	0.0001297	0.4696143	1.0000000	0.9520778	0.0290328	0.9419713	0.0748778
0.4035818	0.0015162	0.9996098	0.4292952	0.5757083	0.1384104	0.0000002	0.3169823	0.6578340	0.6710882	0.9039015	0.5453761	0.5056403	0.4766941	0.5494995	0.1624055	0.5834485	0.5078759	0.2438580	0.5976366	0.8875630	0.6762917	0.8923445	0.9361355	0.8849166	0.2568160	0.5990437	0.6279539	0.2432259	0.9865086	0.1936879	0.7713228	0.8266707	0.0000000	0.0319597	0.0668594	0.6758914	0.0045596	0.9998413	0.6529228	0.8598765	1.0000000	0.3710893	0.0859129	0.8204341	0.9295981	0.6999419	0.0519615	0.2324311	0.9430146	0.7293827	0.4565689	0.2172984	0.6558643	0.0000000	0.5070013	0.5131819	0.8614663	0.6278741	0.2202162	0.0035709	0.0495688	0.9997635	0.1591389	0.6681459	0.9999757	0.9895028	0.4577157	0.5415079	0.9586358	0.0299577	0.1310476	0.7442713	0.9586721	0.0469828	0.9800701	0.9269754	0.2008837	1.0000000	0.1237976	0.9972324	0.1554844	0.8399138	0.9999974	0.2009158	0.2756534	0.5551850	0.6212375	0.3684366	0.0629284	0.9898058	0.4221123	0.2937310	0.0745719	0.0368703	0.7777881	1.0000000	0.0046888	0.7828409	0.3242285
0.8585459	0.0527894	0.9999773	0.6776992	0.1680009	0.3796725	0.2310686	0.0973058	0.1565392	0.6357457	0.1400678	0.6088058	0.9237433	0.5204688	0.7712914	0.5099153	0.8264579	0.1475065	0.9985017	0.3291501	0.9879542	1.0000000	0.9968317	0.7737863	0.5877071	0.4594560	0.1340451	0.8888673	0.9319424	0.1673259	0.0428983	0.0556200	0.4490637	0.1614392	0.0003973	0.1897850	0.3519097	0.9216941	0.9727266	0.9990079	0.9702701	0.9380188	0.0441594	0.0473344	0.3969897	0.8617091	0.8604144	0.8702323	0.5481948	0.6784598	0.9819694	0.9301867	0.9991795	0.9993326	0.1675332	0.8546079	0.9491349	0.8969315	0.1401022	0.0000189	0.0562375	0.1247849	0.9756485	0.1451453	1.0000000	1.0000000	0.9999645	0.9803553	0.2745700	0.9582310	0.0275200	0.2057545	1.0000000	0.7356629	0.0214589	0.9598585	0.9378574	0.0359554	1.0000000	0.1115822	0.9990316	0.5094897	0.6527011	0.9161625	0.1529065	0.0181136	0.8584798	0.3465485	0.1510131	0.9027214	0.2245788	1.0000000	0.0036836	0.3453088	0.0000012	1.0000000	1.0000000	0.0034574	0.9142267	0.1884591
0.7116439	0.0063999	0.8797799	0.6514642	0.2367034	0.4376224	0.2310681	0.3907883	0.3293816	0.8971333	0.6918143	0.6589148	0.5476266	0.5610345	0.4376674	0.2007001	0.9415853	0.0725712	0.9178634	0.0212244	0.9011139	1.0000000	0.5003508	0.2428366	0.2840705	0.9551058	0.5963578	0.9997958	0.7988433	0.1068480	0.6745926	0.0595698	0.4045723	0.6387778	0.0068693	0.2299257	0.3034024	0.3919495	0.4810176	0.9893989	1.0000000	0.6786589	0.4273999	0.0351214	0.9237734	0.2022532	0.7309726	0.0000026	0.8488141	0.8882850	0.8005755	0.8403379	0.9987986	0.9992046	0.6570382	0.3918252	0.9491415	0.8229823	0.7218272	0.0000159	0.0564969	0.1330225	0.9730202	0.1368848	1.0000000	0.7109153	0.9793058	0.9551835	1.0000000	0.9586712	0.0625454	0.1839720	1.0000000	0.5063373	0.0511585	0.8376538	0.9562310	0.0009404	0.2529622	0.5890774	0.8997141	0.2206028	0.6658700	0.9138359	0.0002344	0.2034316	0.2897509	0.5678251	0.8589165	0.0000000	0.9066416	0.5365922	0.0000011	0.1112670	0.5142733	0.9918741	0.9379539	0.3935664	0.9142032	0.3224333
0.7410470	0.0014551	0.8797892	0.8188941	0.2303191	0.2908014	0.2310681	0.1455131	0.3904749	0.8084192	0.1475728	0.9845327	0.7779146	0.4839836	0.5502538	0.0005736	0.7794765	0.1874232	0.9565764	0.0780147	0.8746398	1.0000000	0.7514657	0.2827427	0.3025120	0.4658112	0.1142763	0.8899797	0.3494990	0.9827062	0.0850236	0.1590823	0.0223275	0.0000000	0.0007877	0.9974279	0.0008228	0.8459164	0.7255497	0.8024496	0.9999429	0.9997879	0.1077105	0.0791238	0.6325869	0.6315640	0.3649742	0.4643582	0.6533119	0.5479794	0.9820511	0.7325650	0.7911222	0.9902644	0.0000000	1.0000000	0.8575489	0.8167990	0.1713416	0.4392641	0.0321560	0.2365177	0.9681259	0.0153103	1.0000000	0.9329853	0.9436881	0.9100203	0.8172473	0.9999920	0.0374132	0.9956984	1.0000000	1.0000000	0.2759157	0.9815359	0.9445297	0.0079192	1.0000000	0.1746199	0.9984102	0.2894322	0.4142687	0.9942867	0.2323945	0.1339203	0.6830768	0.6246069	0.1613505	0.6354891	0.1119155	1.0000000	0.1549103	0.0000106	0.0000000	1.0000000	0.7719926	0.0103887	0.9535571	0.3271880
0.8947969	0.0046778	0.9999660	0.6974602	0.2634508	0.3545620	0.1930714	0.2070151	0.3307226	0.9588431	0.9826580	0.6592986	0.8397721	0.6914209	0.5422630	0.0009384	0.9171156	0.1085571	0.8890611	0.0372307	0.8930498	0.8756713	0.7369735	0.5855410	0.6094696	0.6608945	0.1850058	0.9986268	0.9454784	0.3925501	0.4549371	0.0031293	0.1153709	0.0362856	0.0012934	0.5453585	0.0284155	0.2907416	0.9521491	0.9767761	0.9991534	0.8666849	0.4192032	0.0378897	0.6104093	0.8705609	0.9999772	0.0162469	0.8436851	0.5214523	0.9040714	0.9004234	1.0000000	0.9999996	0.2753999	0.3299283	0.2780331	0.8211404	0.1374335	0.1941956	0.0573956	0.0929310	0.9989891	0.0417650	1.0000000	0.7109235	0.9999766	0.9840485	0.8734424	0.9586685	0.0634176	0.7623293	0.8377191	1.0000000	0.2567150	0.9815359	0.9510915	0.0389251	1.0000000	0.3499676	0.9065534	0.0004212	0.4705450	0.9522631	0.0002336	0.0512626	0.5592312	0.6157219	0.0560354	0.0015446	0.6997054	1.0000000	0.0043895	0.2305875	0.0000018	0.9920131	1.0000000	0.0655994	0.9710486	0.3220145
0.7650021	0.0056266	0.8797957	0.6190062	0.1769218	0.4532400	0.2310681	0.3181044	0.5743429	0.8632015	0.8972222	0.7189912	0.4353915	0.5211196	0.2435059	0.7584868	0.9736184	0.2610082	0.9985846	0.1196110	0.9061390	1.0000000	0.8786671	0.4493310	0.4310226	0.7189712	0.6252205	0.9988185	0.9900793	0.9865838	0.1750079	0.0547289	0.5890484	0.4552050	0.0003895	0.1164274	0.4882100	0.1853606	0.6078033	0.6721049	0.9999174	0.9999990	0.1521710	0.0967796	0.8808086	0.4936152	0.9719019	0.0311848	0.3223176	0.4695040	0.9325233	0.5610063	0.9992501	0.8598707	0.7778852	0.2122608	0.5672752	0.8241121	0.4293825	0.1041951	0.0477572	0.3406572	0.9723776	0.0309962	1.0000000	0.7109961	0.9999655	0.9642372	0.9656898	0.9586706	0.0620153	0.0239922	1.0000000	1.0000000	0.4947086	0.9815359	0.9520796	0.0318317	0.6263516	0.3558174	0.9065446	0.5100496	0.5503470	0.9999897	0.5547532	0.4810675	0.2120662	0.4108172	0.8977769	0.0056960	0.8818539	0.5384271	0.0395761	0.0004783	0.0000007	0.7747177	0.6356897	0.0608388	0.8804794	0.2225781
0.8494494	0.0009112	0.8798136	0.7404660	0.2116921	0.3862643	0.2310681	0.2590820	0.3827835	0.6303729	0.5566937	0.6853603	0.7892240	0.6491532	0.8456868	0.2056391	0.6461741	0.0860400	0.7398126	0.0269473	0.8926332	1.0000000	0.9519591	0.5886925	0.4314719	0.3831148	0.5049558	0.8632150	0.8587585	0.3244931	0.6619604	0.0335695	0.7449438	0.5426342	0.0098831	0.0055727	0.7287810	0.7882129	0.6193714	0.9720816	0.6390715	0.9999950	0.4192034	0.0531201	0.9418075	0.5284436	0.9366739	0.2339655	0.6742732	0.4348465	0.9867154	0.6650207	0.4046496	0.9998168	0.8752559	0.1231807	0.0688563	0.9325804	0.5027138	0.0860542	0.0720060	0.1402842	0.9527185	0.0265942	0.4715401	0.7815770	0.9726091	0.4777694	0.5409273	0.9586357	0.0345678	0.1652967	1.0000000	1.0000000	0.0701232	0.9815359	0.9319507	0.0110399	0.8296324	0.3356305	0.9988680	0.0001088	0.6239227	0.9977122	0.0002338	0.2110423	0.6690963	0.4798430	0.2206547	0.3761319	0.1832701	0.8738049	0.0672638	0.1637036	0.0000000	1.0000000	1.0000000	0.0303978	0.9501020	0.1601592
0.7973419	0.0653489	0.9999877	0.7072038	0.4439197	0.4263224	0.2310681	0.5040595	0.6958585	0.8651023	0.5259273	0.7435113	0.4883346	0.4584105	0.3921217	0.7720712	0.8080771	0.1423858	0.9985642	0.3505811	0.8874161	0.6126468	0.9486578	0.8591643	0.6879637	0.3640887	0.5302357	0.8505658	0.9778191	0.5093856	0.5146117	0.0548917	0.4267997	0.5224817	0.0102139	0.0912843	0.3279305	0.9936274	0.2859293	0.9164018	0.7033395	0.4077390	0.0125475	0.0859129	0.4075435	0.0214116	0.4614846	0.5956499	0.1981648	0.6927109	0.8430486	0.5464380	0.9992375	0.9993547	0.5144121	0.4564692	0.8011096	0.8198328	0.6091158	0.0000813	0.0711553	0.1657497	0.9941005	0.1266734	0.8068493	0.9919805	0.9774387	0.9669402	1.0000000	0.9586712	0.0640427	0.3086928	0.6776863	0.8693825	0.1638543	0.9874805	0.9562931	0.0162781	0.8101225	0.3294451	0.9080772	0.2078029	0.6618295	0.9993202	0.0002343	0.5748874	0.4502644	0.4532453	0.4854702	0.6834586	0.1456106	1.0000000	0.0006370	0.3155281	0.4789012	0.9754811	1.0000000	0.0677945	0.9142308	0.1772725
