"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.5442184	0.0184374	0.9998171	0.4411680	0.2868139	0.6714465	0.2310681	0.3403636	0.5036256	0.7847824	0.7911936	0.7053618	0.6660937	0.5636789	0.5637357	0.0537279	0.7283620	0.6726835	0.9990038	0.3979779	0.8622087	1.0000000	0.9968388	0.6474618	0.5213677	0.5925861	0.4801207	0.9962257	0.9993906	0.4975334	0.4355320	0.0546143	0.1724872	0.0551828	0.0022728	0.6662675	0.1200953	0.0572063	0.9224724	0.5676398	0.9999997	0.9999999	0.4191891	0.0859129	0.5472994	0.8514248	0.9966010	0.0603942	0.4209327	0.5094785	0.8297786	0.6661864	0.9992586	0.9993630	0.0303329	0.9868702	0.9491775	0.8401376	0.5427227	0.2131252	0.1043129	0.4306430	0.9880920	0.1308021	1.0000000	0.7187077	0.9999633	0.9641283	1.0000000	0.9999955	0.0670081	0.2422389	1.0000000	1.0000000	0.2044413	0.9934896	0.9406324	0.0210994	1.0000000	0.3114636	0.9989727	0.0008281	0.6473590	0.9894594	0.0184899	0.2503343	0.4526102	0.4793150	0.8134164	0.0438416	0.9931685	1.0000000	0.0489818	0.0361093	0.0181096	1.0000000	1.0000000	0.1128078	0.9350865	0.3223500
50.0	0.5442693	0.2597467	0.9998171	0.6805829	0.2868117	0.4715419	0.2310681	0.4407336	0.4942871	0.7846955	0.7910980	0.8161632	0.6664159	0.5110685	0.5640804	0.0537278	0.7864119	0.6693733	0.9991709	0.4216530	0.9117665	1.0000000	0.9968388	0.6465501	0.5076533	0.6038449	0.4069183	0.9974552	0.9987612	0.4847760	0.4355320	0.0276484	0.1877931	0.0551992	0.0024153	0.6615079	0.1208777	0.0572051	0.8764666	0.5678514	0.9999997	0.9999999	0.2759317	0.0621843	0.5477917	0.8447570	0.9966011	0.0603929	0.5480390	0.5084299	0.8338514	0.6744537	0.9994309	0.9994329	0.0303329	0.9868702	0.6098621	0.8414019	0.5429138	0.1509676	0.1043111	0.4298640	0.9882866	0.1292123	1.0000000	0.7187075	0.9999650	0.9641297	1.0000000	0.9999959	0.0664029	0.2423230	1.0000000	1.0000000	0.2043116	0.9934896	0.9443773	0.0214667	1.0000000	0.3114947	0.9989727	0.0008275	0.6432362	0.9930642	0.3811197	0.2439988	0.4513341	0.3068333	0.7720859	0.2906732	0.8302965	1.0000000	0.1288746	0.0361095	0.1313491	1.0000000	1.0000000	0.3008138	0.9536928	0.3177146
100.0	0.5453695	0.5408389	0.9998173	0.8802304	0.2867615	0.2593376	0.2310681	0.5216884	0.4593548	0.7832443	0.7893013	0.9207530	0.6724567	0.4409572	0.5707392	0.0537300	0.8668910	0.6508703	0.9995788	0.4459109	0.9513259	1.0000000	0.9968388	0.6300958	0.4892016	0.6620308	0.3782014	0.9985907	0.9569706	0.4732785	0.4355321	0.0116574	0.2194405	0.0553197	0.0043223	0.6299590	0.1275936	0.0572057	0.8389452	0.5708649	0.9999997	0.9999999	0.1304487	0.0458164	0.5501891	0.8170858	0.9965999	0.0604276	0.6218052	0.5064084	0.8472062	0.7100313	0.9997457	0.9996492	0.0303330	0.9868701	0.2822524	0.8473450	0.5438179	0.0783149	0.1042026	0.4265077	0.9891883	0.1230206	1.0000000	0.7187076	0.9999674	0.9641444	1.0000000	0.9999964	0.0636180	0.2414558	1.0000000	1.0000000	0.2018325	0.9934896	0.9482311	0.0270030	1.0000000	0.3120854	0.9989730	0.0008161	0.6517793	0.9967483	0.6398891	0.2106663	0.4398753	0.1807869	0.5131189	0.5290303	0.4767508	1.0000000	0.2270262	0.0361255	0.2519192	1.0000000	1.0000000	0.5290089	0.9718744	0.3117516
150.0	0.5495442	0.7039130	0.9998184	0.9595546	0.2863575	0.1462282	0.2310681	0.5522001	0.4265393	0.7797399	0.7839149	0.9687548	0.6902003	0.3969899	0.5870940	0.0537384	0.9218220	0.6219477	0.9998335	0.4546318	0.9663526	1.0000000	0.9968388	0.5848889	0.4728611	0.7406111	0.3695279	0.9992292	0.5662421	0.4889981	0.4355346	0.0081958	0.2640659	0.0555890	0.0137078	0.5663294	0.1449208	0.0572270	0.8250390	0.5868470	0.9999989	1.0000000	0.0552314	0.0403797	0.5531762	0.7902496	0.9965893	0.0607018	0.6418776	0.5051412	0.8587944	0.7476688	0.9999068	0.9998259	0.0303334	0.9868694	0.1235637	0.8543202	0.5444335	0.0359400	0.1033718	0.4206826	0.9902789	0.1171033	1.0000000	0.7187105	0.9999691	0.9641704	1.0000000	0.9999966	0.0604044	0.2376349	1.0000000	1.0000000	0.1943691	0.9934896	0.9501906	0.0549332	1.0000000	0.3140101	0.9989737	0.0007813	0.7020721	0.9986359	0.7274737	0.1675967	0.4036938	0.1529213	0.2696651	0.6431169	0.2706881	1.0000000	0.2883479	0.0363562	0.3152438	1.0000000	1.0000000	0.6674504	0.9806787	0.3078411
200.0	0.5575603	0.7821922	0.9998216	0.9855415	0.2851048	0.0951387	0.2310681	0.5600324	0.4073815	0.7772183	0.7763164	0.9869921	0.7146429	0.3770879	0.6051116	0.0537569	0.9519769	0.5837146	0.9996939	0.4515699	0.9719621	1.0000000	0.9968388	0.5287356	0.4536843	0.8012486	0.3606801	0.9995774	0.2338926	0.6460787	0.4355433	0.1201526	0.3130374	0.0559935	0.0389076	0.4819268	0.1752088	0.0573334	0.8211040	0.6338265	0.9999803	1.0000000	0.0225061	0.0388384	0.5554479	0.7756074	0.9965559	0.0614815	0.6460747	0.5044870	0.8654314	0.7722132	0.9995349	0.9998389	0.0303342	0.9868680	0.0579894	0.8592903	0.5424923	0.0154488	0.1000621	0.4054809	0.9911855	0.1135840	1.0000000	0.7187247	0.9999701	0.9641932	1.0000000	0.9999968	0.0581328	0.2304305	1.0000000	1.0000000	0.1840407	0.9934896	0.9510211	0.1107015	1.0000000	0.3169050	0.9989743	0.0007328	0.7730187	0.9994550	0.7522987	0.1360795	0.3403528	0.1621271	0.1488513	0.6891866	0.2341128	1.0000000	0.3235506	0.0386946	0.3428122	1.0000000	1.0000000	0.7366632	0.9842677	0.3056895
250.0	0.5703374	0.8164988	0.9998278	0.9933454	0.2826545	0.0732864	0.2310681	0.5588431	0.3985443	0.7793266	0.7690828	0.9930726	0.7375482	0.3707944	0.6137458	0.0537864	0.9668977	0.5251899	0.9317138	0.4400147	0.9760233	1.0000000	0.9968388	0.4849749	0.4298918	0.8329515	0.3422113	0.9997518	0.1306083	0.8157868	0.4355513	0.4419903	0.3570930	0.0564604	0.0755340	0.3974726	0.2158412	0.0576037	0.8202618	0.7081241	0.9998175	0.9999990	0.0093473	0.0384263	0.5568042	0.7697983	0.9964922	0.0627837	0.6459190	0.5099493	0.8679101	0.7825604	0.7732494	0.9882692	0.0303354	0.9868658	0.0325047	0.8621743	0.5356884	0.0063804	0.0928553	0.3691152	0.9917936	0.1118939	1.0000000	0.7187604	0.9999688	0.9613407	1.0000000	0.9999968	0.0568192	0.2220029	1.0000000	1.0000000	0.1744697	0.9934896	0.9513440	0.1644001	1.0000000	0.3198429	0.9989700	0.0006873	0.8358090	0.9997871	0.7588270	0.1190790	0.2763676	0.1760083	0.1004078	0.7065983	0.2891068	1.0000000	0.3517157	0.0489599	0.3539491	1.0000000	1.0000000	0.7680598	0.9855995	0.3048473
300.0	0.5907201	0.8307325	0.9998374	0.9956195	0.2786376	0.0636984	0.2310681	0.5529569	0.3951820	0.7860863	0.7636693	0.9906289	0.7546280	0.3702192	0.5842729	0.0538239	0.9738546	0.4470595	0.6750786	0.4194937	0.9805856	1.0000000	0.9968387	0.4590324	0.4050940	0.8489664	0.3138174	0.9998320	0.1108886	0.9036685	0.4355557	0.6174601	0.4200599	0.0569304	0.1090561	0.3239407	0.2624744	0.0580621	0.8201012	0.7820987	0.9992854	0.9999966	0.0042658	0.0383189	0.5574979	0.7679636	0.9964036	0.0643503	0.6443244	0.5536931	0.8607384	0.7639666	0.4548593	0.9281607	0.0303371	0.9868629	0.0228704	0.8638576	0.5246387	0.0025691	0.0836526	0.3139272	0.9906699	0.1111970	1.0000000	0.7188204	0.9999140	0.9072810	1.0000000	0.9999968	0.0560591	0.2148469	1.0000000	1.0000000	0.1673911	0.9934896	0.9514565	0.1998695	1.0000000	0.3222312	0.9988952	0.0006530	0.8795643	0.9999175	0.7604778	0.1145928	0.2384200	0.1856696	0.0828062	0.7130811	0.3586959	1.0000000	0.3820789	0.0692352	0.3587351	1.0000000	1.0000000	0.7814371	0.9855954	0.3089074
350.0	0.6208524	0.8364085	0.9998511	0.9963393	0.2725015	0.0587068	0.2310681	0.5429453	0.3943246	0.7945400	0.7602416	0.9707401	0.7655369	0.3712769	0.5331448	0.0538668	0.9769767	0.3669597	0.4382417	0.3899785	0.9856453	1.0000000	0.9968386	0.4454330	0.3836952	0.8557191	0.2804771	0.9998673	0.1194885	0.9403823	0.4355577	0.6860548	0.5338977	0.0574954	0.1302039	0.2539645	0.3237263	0.0586536	0.8198437	0.8384002	0.9983699	0.9999945	0.0023455	0.0382912	0.5578057	0.7674117	0.9963052	0.0658561	0.6422889	0.6216037	0.8396831	0.7172768	0.3033194	0.8438922	0.0303389	0.9868595	0.0192762	0.8650432	0.5125386	0.0010202	0.0755149	0.2586095	0.9860276	0.1111124	1.0000000	0.7188956	0.9993805	0.7099301	1.0000000	0.9999968	0.0555346	0.2097534	1.0000000	1.0000000	0.1626796	0.9934896	0.9514757	0.2206083	1.0000000	0.3239547	0.9986175	0.0006297	0.9063029	0.9999678	0.7608865	0.1233472	0.2348444	0.1913140	0.0767611	0.7155942	0.4111345	1.0000000	0.4121156	0.0929236	0.3614344	1.0000000	1.0000000	0.7868501	0.9838257	0.3269865
400.0	0.6589152	0.8385857	0.9998684	0.9966665	0.2640756	0.0550565	0.2310681	0.5289944	0.3945074	0.8020379	0.7583505	0.9297645	0.7716866	0.3723550	0.4942456	0.0539190	0.9783412	0.3002032	0.2988533	0.3553308	0.9902301	1.0000000	0.9968385	0.4396843	0.3677565	0.8532681	0.2468389	0.9998819	0.1406551	0.9538047	0.4355589	0.7092945	0.6589544	0.0582160	0.1368218	0.1888324	0.4091175	0.0592768	0.8193092	0.8760787	0.9972746	0.9999934	0.0016282	0.0382841	0.5579174	0.7670281	0.9962130	0.0670831	0.6403489	0.6762195	0.8151558	0.6652540	0.2464419	0.7752121	0.0303411	0.9868555	0.0179443	0.8660612	0.5020866	0.0004054	0.0697133	0.2166475	0.9786177	0.1117437	1.0000000	0.7189692	0.9971709	0.4573390	1.0000000	0.9999968	0.0550944	0.2062685	1.0000000	1.0000000	0.1595255	0.9934896	0.9514466	0.2333614	1.0000000	0.3251516	0.9980936	0.0006143	0.9217916	0.9999870	0.7609864	0.1419209	0.2546300	0.1946688	0.0747591	0.7166848	0.4442976	1.0000000	0.4374782	0.1135794	0.3634092	1.0000000	1.0000000	0.7889035	0.9801855	0.3617594
