"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.1666232	0.0200437	0.6362320	0.1442602	0.1609928	0.5392727	0.1713467	0.3852776	0.2930404	0.5847827	0.5609244	0.4051136	0.4243189	0.3166802	0.4302656	0.0291416	0.4888092	0.5396951	0.6503169	0.2394718	0.5353939	0.6640834	0.6177919	0.4382031	0.3283377	0.4527863	0.3192997	0.6614958	0.7547639	0.3900289	0.2439102	0.0666560	0.1204592	0.0211510	0.0019581	0.4917910	0.0907505	0.0165541	0.5179599	0.3282972	0.7666126	0.6762495	0.2709026	0.0592460	0.3220337	0.4931206	0.6518757	0.0533631	0.2549671	0.3990982	0.6439639	0.5774436	0.7479068	0.8370736	0.0198315	0.6355694	0.5944488	0.5314292	0.3302556	0.1269363	0.0526705	0.3230243	0.6754047	0.0789268	0.6466477	0.5242361	0.6174986	0.6272912	0.5751528	0.6744548	0.0418066	0.1606753	0.6968918	0.5578167	0.0545199	0.6316942	0.6549407	0.0040816	0.7139297	0.2465161	0.6487051	0.0029944	0.5447633	0.7294994	0.0172446	0.2187701	0.3114538	0.3072535	0.6302064	0.0307000	0.6983245	0.6371522	0.0212737	0.0374788	0.0102951	0.7290190	0.6193740	0.0458510	0.6054964	0.2430883
0.4534658	0.0210803	0.6940290	0.3517704	0.1749077	0.3229621	0.1792243	0.1921492	0.3101899	0.5718569	0.4561033	0.4606891	0.3014420	0.3728992	0.3357189	0.0379795	0.3924604	0.3026891	0.5486332	0.1316143	0.5936750	0.6730504	0.6737067	0.5381126	0.3344024	0.3771064	0.2168987	0.7388877	0.5928195	0.3031890	0.2545150	0.0364389	0.1844657	0.0416726	0.0046144	0.4070179	0.0746825	0.0388311	0.5991642	0.3799638	0.6486858	0.8821271	0.2536523	0.0395040	0.3729369	0.4448628	0.8604129	0.0222634	0.2415735	0.3864194	0.6027718	0.3675283	0.6309515	0.5762627	0.0246761	0.8265397	0.5604419	0.5799916	0.3239834	0.1441773	0.0389110	0.2654274	0.5742122	0.1481151	0.6354342	0.4159914	0.6145130	0.6272252	0.6243071	0.5822472	0.0396071	0.1753965	0.6543205	0.4877255	0.1406248	0.6432882	0.5204571	0.0179548	0.6103924	0.1562481	0.5222765	0.0001743	0.4152958	0.6329690	0.0206303	0.1291148	0.2466603	0.3762119	0.4837367	0.0256724	0.5475743	0.6034478	0.0375975	0.0416452	0.0071857	0.6674939	0.6766519	0.1325313	0.6257033	0.1817492
0.4622627	0.0110706	0.2864120	0.3241391	0.2901235	0.4009875	0.1568949	0.1617523	0.3487030	0.5163288	0.4975694	0.5581815	0.4677226	0.3928508	0.2987854	0.0259985	0.4584471	0.4199813	0.6047711	0.2486582	0.5555270	0.6812651	0.8004267	0.4340221	0.4338542	0.4259920	0.3114567	0.6512685	0.6195756	0.3514163	0.3713242	0.0593104	0.1023052	0.0512303	0.0085701	0.5057019	0.0952255	0.0468579	0.6236337	0.4343950	0.5965153	0.7168915	0.3044716	0.0570262	0.4847150	0.5234272	0.6143817	0.0441168	0.2158928	0.3044103	0.5082455	0.5292604	0.5749642	0.6388789	0.0351577	0.7026693	0.7530916	0.5187557	0.3090298	0.1945097	0.0719436	0.3646384	0.6129957	0.0625722	0.7522709	0.3886602	0.6536225	0.6739657	0.8128776	0.5797469	0.0606561	0.1544507	0.7708549	0.6941691	0.1118343	0.6358692	0.6639969	0.0295507	0.6787712	0.2207897	0.7000286	0.0051181	0.3196813	0.6466788	0.0265707	0.1233997	0.3276139	0.4053057	0.4107016	0.0221534	0.5490417	0.6558371	0.0530112	0.0258218	0.0180446	0.5976501	0.5552808	0.0737988	0.6726491	0.2251321
0.3979066	0.0245196	0.6244630	0.1317756	0.1193039	0.4530398	0.1551626	0.2340574	0.3472023	0.4774487	0.4331857	0.3716296	0.5042574	0.4257960	0.3036606	0.0458353	0.4850257	0.3481908	0.5934414	0.1866542	0.5222234	0.7972805	0.7425385	0.3920379	0.3694438	0.3101622	0.1907968	0.7040571	0.7099458	0.3596606	0.2567661	0.0252802	0.1434305	0.0135593	0.0089464	0.5752465	0.0885212	0.0436331	0.6055805	0.4070130	0.6458233	0.6874347	0.2440333	0.0685305	0.3719344	0.6192005	0.7863890	0.0706678	0.2849971	0.3270384	0.4637050	0.5207505	0.6837146	0.6408053	0.0341721	0.6197195	0.5855123	0.4500388	0.3535108	0.1822290	0.0473095	0.1792460	0.6333270	0.1329534	0.9291651	0.4478736	0.5444810	0.7145301	0.8407775	0.4772995	0.0502588	0.1787276	0.6691119	0.5947812	0.1207820	0.5810741	0.6744077	0.0170894	0.6361481	0.1997219	0.6365529	0.0001004	0.3886292	0.6228273	0.0134929	0.2087343	0.2846286	0.3052023	0.5717608	0.0180125	0.5633313	0.6632314	0.0358884	0.0487774	0.0069214	0.5453391	0.5582688	0.0707385	0.5336108	0.2070503
0.3210229	0.0149860	0.6379196	0.3372565	0.1125028	0.4447284	0.1533108	0.1765006	0.3523964	0.4446875	0.5972757	0.5232587	0.5298612	0.3187818	0.3278991	0.0370359	0.4892019	0.4408533	0.6886590	0.2288054	0.5320236	0.6899015	0.6817189	0.5366295	0.3894953	0.4044440	0.3396495	0.5769810	0.6221398	0.3169627	0.2404478	0.0172798	0.1030094	0.0375378	0.0090992	0.4008762	0.1114247	0.0481796	0.5337403	0.4242617	0.6834597	0.6201956	0.2030179	0.1253460	0.2684497	0.5208332	0.7211631	0.0210808	0.2542621	0.4122670	0.5690919	0.4416172	0.7918219	0.6736191	0.0141313	0.6367062	0.5966122	0.5500139	0.3384502	0.1063014	0.0693047	0.2852566	0.6432173	0.0895145	0.6587144	0.4290654	0.6284047	0.5295588	0.8850893	0.6008755	0.0472182	0.1984997	0.6793245	0.7600972	0.1483875	0.5978167	0.6335166	0.0426571	0.6646810	0.2044137	0.6396531	0.0032033	0.4322381	0.5870051	0.0179768	0.1154382	0.3290547	0.2578664	0.3485735	0.0190064	0.6583643	0.8201630	0.0200754	0.0127002	0.0220373	0.6596865	0.6255136	0.1060228	0.6286183	0.2236360
0.3683959	0.0048730	0.6091126	0.3809666	0.1677455	0.2609760	0.2442825	0.1655336	0.3709996	0.5198835	0.3960253	0.6378800	0.4927884	0.4019594	0.3737368	0.0647814	0.5145513	0.4432725	0.7101552	0.2351400	0.5776174	0.6690594	0.7166770	0.3722397	0.2631254	0.4434147	0.3539399	0.7343986	0.5906826	0.3256738	0.2978143	0.0749556	0.0709802	0.0526946	0.0259467	0.4752502	0.0621330	0.0779911	0.6142796	0.5159600	0.6050903	0.6113453	0.2835108	0.0596957	0.2876318	0.6534596	0.7419800	0.0344847	0.2949415	0.3230366	0.5899646	0.4614573	0.6146179	0.8328969	0.0176657	0.5902042	0.6022728	0.5068461	0.4668716	0.1895553	0.0601090	0.2438419	0.5619993	0.0831119	0.6281300	0.4850225	0.6654173	0.6005490	0.6284077	0.7080724	0.0659350	0.1568978	0.6869362	0.6793702	0.1938578	0.5138755	0.5371008	0.0251821	0.7213040	0.2301923	0.5394857	0.0006872	0.5158668	0.5292962	0.0221346	0.1245784	0.2854566	0.4126423	0.0533753	0.0643547	0.6429575	0.6981603	0.0411612	0.0210461	0.0050461	0.5399444	0.6163499	0.0626538	0.5703536	0.2026739
0.2818017	0.0484779	0.6089425	0.2928238	0.1469839	0.4811132	0.0807896	0.2186015	0.3241044	0.4996564	0.5392340	0.4327757	0.5214697	0.3774451	0.3792517	0.0586240	0.3646537	0.4742166	0.6610321	0.3622060	0.5143505	0.6052061	0.7513511	0.4926836	0.3063685	0.4218873	0.4549305	0.6669617	0.5688582	0.3131221	0.2173641	0.0325477	0.0609547	0.0332555	0.0031280	0.4540993	0.0554450	0.0382257	0.5850762	0.4438458	0.7263289	0.6798098	0.2319543	0.0296189	0.3883623	0.5359232	0.7985432	0.0408949	0.2661882	0.2795577	0.5259859	0.4151725	0.7278280	0.6283645	0.0039248	0.7236764	0.6235624	0.6050172	0.3741457	0.1641629	0.1398596	0.2612417	0.6469497	0.0681669	0.6568968	0.4272175	0.6775579	0.5833455	0.6024514	0.7388761	0.0292247	0.1602284	0.6782860	0.7145182	0.1576460	0.6608970	0.6252974	0.0236174	0.5927011	0.1467459	0.6261024	0.0034821	0.4322053	0.6733659	0.0208198	0.1928131	0.2752772	0.2829759	0.5440580	0.0218476	0.6618175	0.6530654	0.0311642	0.0258727	0.0177131	0.5746147	0.6376974	0.1445630	0.7006080	0.2112663
0.4555224	0.0011764	0.5649865	0.3876629	0.2330299	0.5193101	0.1957188	0.0956309	0.3238941	0.4128099	0.4698318	0.5088626	0.4448537	0.3734920	0.2986852	0.0393815	0.4780166	0.2809982	0.6072787	0.2716487	0.5947750	0.5924097	0.5484554	0.4770775	0.3794674	0.3279424	0.3592238	0.7424394	0.6208385	0.2917368	0.1955116	0.0173997	0.1523610	0.0283628	0.0039986	0.3661530	0.1052287	0.0528261	0.5235978	0.4156959	0.6653528	0.6752866	0.2844375	0.0533211	0.3731323	0.5731500	0.6315609	0.0358952	0.2613020	0.3754910	0.5447786	0.3826363	0.6370202	0.7208809	0.0208130	0.6557415	0.6999205	0.4293418	0.3213015	0.1955835	0.0903062	0.2004128	0.6329263	0.0875191	0.5492328	0.6106419	0.5267760	0.6578351	0.5714613	0.6426874	0.0588643	0.1343206	0.7024533	0.7370297	0.1558304	0.5854018	0.5104839	0.0085554	0.7085357	0.2137283	0.6497644	0.0010565	0.5043506	0.7323929	0.0235038	0.1474332	0.2941611	0.2614860	0.4665515	0.0770603	0.5454395	0.7127658	0.0427951	0.0195555	0.0147903	0.6366604	0.4796793	0.1757158	0.6975921	0.2300703
0.4215897	0.0148756	0.5942004	0.3752644	0.1368300	0.3527580	0.1099276	0.1301596	0.1476026	0.4397402	0.4241557	0.3843391	0.6339237	0.5451628	0.5837648	0.0893601	0.4374488	0.3041963	0.6389057	0.2112337	0.5753950	0.6331909	0.6821592	0.4884228	0.4064037	0.2583374	0.3331419	0.6223857	0.7919642	0.2946014	0.2940267	0.0534226	0.1399222	0.0260604	0.0060701	0.4749344	0.1314893	0.0538473	0.6081841	0.3329514	0.6279261	0.6485692	0.2868079	0.0914953	0.4057273	0.5946093	0.6480444	0.0547123	0.3043862	0.3657377	0.4913875	0.3053209	0.7469447	0.6933598	0.0171173	0.6315545	0.6433809	0.6050215	0.3299497	0.1145353	0.0875055	0.2738701	0.5908722	0.1006719	0.7824308	0.4395893	0.5830162	0.6882140	0.5950740	0.6128156	0.0630207	0.1869497	0.6755154	0.5766495	0.1225303	0.5177633	0.6427102	0.0163993	0.5511291	0.1936726	0.7818347	0.0004254	0.4113680	0.6143274	0.0111803	0.1707055	0.2594658	0.3160699	0.3952158	0.0203814	0.6135998	0.6496230	0.0366199	0.0267624	0.0251172	0.7970562	0.6329566	0.1280236	0.5694319	0.1650464
0.3831760	0.0098740	0.6979612	0.3429841	0.2153136	0.3660820	0.1149933	0.1125454	0.4151290	0.2803303	0.4736530	0.4703350	0.4270009	0.4152503	0.3487031	0.0273213	0.3084308	0.4109382	0.6190355	0.3535483	0.5533858	0.5603658	0.7002627	0.5033085	0.4401136	0.4124869	0.3863808	0.7908055	0.6781870	0.3475469	0.3832988	0.0273637	0.0815394	0.0623991	0.0082054	0.4423910	0.0416272	0.0285290	0.5243302	0.2785025	0.6709196	0.5488522	0.2621403	0.0427840	0.3412808	0.5081970	0.6979989	0.0504490	0.3111929	0.2854501	0.6568453	0.4039526	0.6946134	0.7168716	0.0159482	0.5898899	0.5855323	0.6024034	0.4084516	0.1245609	0.0302190	0.3352114	0.6397474	0.0993193	0.6240797	0.4561863	0.9139173	0.6604662	0.5610606	0.8837737	0.0305423	0.1620321	0.6635432	0.6714832	0.0923532	0.6651228	0.6027568	0.0173131	0.6772634	0.1784877	0.6532949	0.0026220	0.3655949	0.5891414	0.0043804	0.2025169	0.2857943	0.3347673	0.5434631	0.0595456	0.6401360	0.7460257	0.0191845	0.0474594	0.0476739	0.6452926	0.7774258	0.1075471	0.6493176	0.2219436
