"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.2131053	0.0046437	0.5960729	0.2013647	0.2619639	0.7143379	0.0001819	0.4579557	0.2120853	0.2395595	0.3059852	0.2992346	0.4727622	0.2417340	0.5094727	0.0070010	0.3762010	0.5542116	0.7435317	0.3649252	0.5952164	0.5706848	0.3995611	0.2382954	0.1733786	0.7742079	0.0496275	0.6114385	0.6118018	0.1183387	0.4535353	0.0057399	0.1982432	0.0063217	0.0004537	0.1162992	0.2908502	0.5242260	0.5585855	0.2431046	0.6571195	0.3593651	0.3017753	0.0127293	0.4516316	0.5788429	0.5896847	0.3054801	0.3969157	0.2634268	0.5824473	0.6701825	0.5055935	0.6258784	0.0005336	0.7286204	0.4407757	0.5196105	0.4319027	0.0171337	0.1122952	0.3274462	0.6260384	0.0424797	0.5602252	0.6829218	0.5595176	0.4353032	0.3474833	0.6797091	0.0258727	0.1129653	0.6839869	0.6728842	0.0681108	0.6578912	0.6118754	0.0310046	0.2114363	0.1544827	0.6096079	0.0090354	0.3611074	0.7263212	0.0015471	0.1845639	0.0772545	0.3005480	0.6558768	0.4519841	0.0602469	0.5774145	0.0007090	0.3126365	0.2932849	0.5665278	0.5605825	0.2255289	0.6107356	0.2140002
0.2165915	0.2295535	0.6346137	0.1724281	0.1112697	0.6521629	0.1392744	0.2288136	0.2289375	0.4942142	0.4993893	0.4915988	0.5275291	0.4767988	0.5477604	0.2017684	0.4550933	0.4855609	0.5736349	0.1763183	0.5076370	0.3264716	0.6445389	0.2380038	0.2613995	0.4551777	0.4765059	0.6299817	0.5743024	0.1064434	0.1387068	0.0221394	0.1321813	0.2141361	0.0024682	0.2721809	0.2717224	0.0025508	0.6076257	0.3256526	0.6313848	0.2163650	0.2694087	0.0434920	0.4374081	0.6610152	0.5860278	0.0441746	0.5503909	0.5157197	0.6909836	0.6191708	0.3446253	0.7287346	0.0257383	0.5573432	0.6050124	0.5915497	0.1727689	0.0746517	0.0888441	0.2071249	0.6706869	0.0673637	0.6682559	0.4472614	0.6029274	0.5270945	0.5751118	0.4942903	0.0302287	0.3064950	0.5558999	0.5442050	0.1284015	0.5592552	0.6382424	0.0116562	0.4219147	0.0534339	0.6869257	0.0013159	0.5590723	0.5338389	0.0574320	0.3050260	0.0721494	0.3004980	0.6026891	0.0116010	0.6608566	0.4893254	0.0017985	0.0011832	0.3585883	0.7299308	0.6324447	0.0146661	0.5876178	0.0399208
0.2516479	0.0021057	0.5235253	0.2811500	0.4619400	0.0521938	0.0083765	0.1747286	0.4183282	0.4213525	0.5176597	0.3500720	0.3845001	0.3065680	0.3420933	0.1425484	0.4087251	0.3906131	0.1472029	0.3509917	0.6043136	0.4097180	0.6510815	0.5729373	0.5239363	0.1598340	0.4124603	0.5416278	0.1890315	0.6233120	0.1381338	0.5027131	0.5295008	0.0003685	0.0671133	0.0695434	0.4460340	0.0187317	0.6009972	0.3604358	0.6010197	0.6732490	0.2526154	0.0768381	0.5361624	0.5451490	0.5072164	0.0522594	0.2137515	0.6858792	0.4645578	0.3212095	0.1463291	0.3731116	0.0012262	0.2730399	0.3333301	0.6038666	0.4293906	0.1689508	0.0016842	0.0183837	0.6317355	0.0812256	0.4786215	0.5634405	0.5682626	0.4718276	0.4130735	0.6253117	0.0284150	0.0798397	0.4498878	0.6603921	0.0140444	0.7110327	0.5797623	0.1176769	0.6033906	0.0949194	0.7097759	0.0815183	0.5250006	0.6695234	0.0908391	0.1883004	0.3431394	0.3552838	0.2189164	0.0236463	0.6885046	0.2913238	0.2255116	0.0497399	0.0146647	0.3774286	0.6961240	0.0014041	0.5535626	0.2169312
0.5495339	0.0489553	0.8435988	0.4422961	0.1516769	0.3015994	0.1289297	0.0651725	0.0803016	0.3558177	0.0973200	0.4494816	0.6074454	0.3367591	0.4619311	0.3065564	0.5023320	0.1246756	0.7624914	0.2111573	0.6267658	0.6909148	0.5948027	0.4729200	0.3617949	0.3014952	0.0895620	0.5750396	0.6566303	0.1010223	0.0352347	0.0249544	0.3180296	0.0878317	0.0011737	0.1947063	0.1802871	0.7904403	0.7149467	0.6165271	0.6210089	0.4708271	0.0412947	0.0277658	0.2674206	0.5940562	0.4894947	0.7264407	0.3002862	0.3958105	0.5620891	0.6088645	0.6677706	0.6300668	0.0762116	0.4213679	0.5553633	0.4959001	0.0883685	0.0010665	0.0389434	0.1246782	0.7685358	0.0688043	0.4862517	0.6522179	0.6146524	0.5807720	0.2129392	0.6556746	0.0189919	0.1854492	0.6698003	0.4731335	0.0250704	0.6544025	0.5260751	0.0574547	0.6849804	0.0641138	0.5006791	0.2981654	0.4103167	0.5543403	0.0911284	0.0045829	0.5298928	0.1902301	0.1829131	0.7080441	0.2182939	0.7125125	0.0022806	0.2468402	0.0008744	0.6101703	0.8300926	0.0030266	0.5425272	0.1268943
0.4729380	0.0049543	0.7336643	0.4960180	0.1527262	0.2074465	0.1680277	0.3060221	0.2201410	0.6162004	0.4910316	0.4756788	0.4370367	0.4318424	0.2087074	0.1126844	0.6189544	0.0699081	0.5601874	0.0255821	0.5938984	0.7166809	0.3196983	0.1552050	0.2229067	0.5966697	0.3876560	0.5956077	0.6394865	0.0326977	0.4426971	0.0380209	0.2961321	0.3630200	0.0012984	0.1010064	0.2288685	0.2528631	0.4191150	0.7424891	0.7726539	0.5437899	0.2731800	0.0086557	0.6011459	0.1947593	0.4286922	0.0000745	0.5123562	0.4599769	0.5314516	0.5674572	0.6355025	0.6536354	0.4498540	0.2649495	0.6600058	0.5364717	0.5274498	0.0014052	0.0271298	0.0767904	0.5945219	0.0798921	0.7496130	0.5596947	0.7533731	0.6283631	0.7155228	0.7256068	0.0653731	0.1224298	0.6248363	0.2589786	0.0268194	0.7290106	0.7133908	0.0062184	0.1768521	0.2973389	0.4777239	0.1561165	0.4294547	0.6270280	0.0006733	0.0920406	0.1872242	0.4715418	0.6065084	0.0017668	0.5625665	0.4041535	0.0032862	0.0734065	0.2986775	0.5939148	0.5250667	0.2147214	0.6690246	0.1878226
0.5008757	0.0016992	0.5997893	0.4735527	0.1354486	0.2067664	0.1115240	0.0950534	0.2255386	0.5264338	0.1209311	0.5857297	0.5702187	0.3656370	0.2328135	0.0052788	0.4823781	0.0784144	0.3511466	0.0347586	0.6482567	0.6705888	0.4342437	0.2720822	0.1395028	0.2176850	0.0864952	0.6448664	0.1840652	0.6220969	0.0543350	0.1624876	0.0695169	0.0093725	0.0031963	0.4921125	0.0152017	0.7046585	0.4560591	0.4992292	0.6628496	0.6970134	0.0712821	0.0849417	0.4710149	0.3245273	0.2565861	0.2693558	0.5019290	0.4421928	0.6934451	0.4796255	0.1616911	0.6903132	0.0053780	0.6919146	0.4155902	0.6103337	0.0897798	0.3273907	0.0283336	0.1673478	0.5843517	0.0203955	0.6995409	0.7567543	0.5435138	0.0755198	0.4829610	0.6382392	0.0069476	0.4697009	0.6837993	0.6259167	0.1190723	0.5437785	0.6536841	0.0217832	0.6404197	0.1210234	0.6499787	0.2008863	0.2350191	0.6396347	0.1806860	0.1169669	0.4762169	0.4856004	0.0802705	0.5433029	0.1033458	0.6463225	0.1404257	0.0004447	0.0003635	0.5230046	0.4351299	0.0059058	0.4646035	0.3082732
0.6070135	0.0006991	0.6916824	0.5134948	0.2235998	0.2808759	0.1102023	0.1264791	0.2273961	0.7527902	0.6022621	0.4649882	0.5309215	0.4688955	0.3242738	0.0003278	0.5927822	0.1254882	0.5096633	0.0406535	0.4998801	0.6205573	0.3677289	0.3811690	0.3852439	0.3819532	0.0723916	0.6723901	0.5976030	0.2404038	0.3646227	0.0010864	0.0308921	0.0065920	0.0009343	0.3724512	0.0062028	0.1844801	0.5460538	0.6063443	0.6367003	0.5767329	0.2655927	0.0438978	0.3929335	0.5870001	0.8020889	0.0078829	0.5030895	0.3687416	0.6545775	0.6746715	0.6288344	0.6205248	0.2220380	0.2633532	0.2138749	0.5633690	0.0938395	0.1152606	0.0417126	0.0447982	0.7027037	0.0077850	0.6931763	0.4856442	0.6460321	0.7135896	0.5961637	0.6388005	0.0271901	0.5365508	0.6119789	0.6102704	0.1017141	0.6748771	0.6436036	0.0166814	0.5917504	0.1802136	0.6287409	0.0031262	0.3086248	0.7065768	0.0018510	0.0523110	0.3484734	0.4634955	0.1366876	0.0001876	0.5993515	0.7572357	0.0015210	0.1467841	0.0000447	0.7228480	0.7232598	0.0062200	0.4881592	0.2807770
0.5266170	0.0025568	0.6655214	0.3483050	0.1337073	0.2723742	0.1638716	0.2285343	0.4131039	0.5562934	0.5983666	0.4989965	0.2528186	0.3944694	0.1369145	0.4909273	0.6558121	0.1361639	0.6380890	0.0716609	0.6307474	0.6458399	0.6698258	0.2009916	0.3370757	0.5447245	0.4066406	0.6484050	0.7203765	0.7251239	0.0861902	0.0699602	0.3600843	0.2701692	0.0006937	0.0998525	0.3413898	0.1534441	0.3476278	0.4955677	0.6239420	0.5512892	0.1025343	0.1151929	0.5695898	0.2833575	0.6937635	0.0183986	0.2238631	0.3618724	0.6405309	0.3345842	0.6603452	0.5860875	0.5948458	0.0774077	0.4465161	0.4551923	0.3338941	0.0920276	0.0281553	0.2692584	0.7217308	0.0213313	0.7380518	0.4619363	0.5762499	0.5358295	0.6662792	0.7559783	0.0206220	0.0087419	0.7410295	0.6742940	0.2826394	0.7116808	0.5982795	0.0443861	0.3614004	0.2283607	0.4813166	0.3220951	0.3485339	0.5802052	0.3413968	0.2697578	0.1846060	0.2684036	0.6771399	0.0227071	0.6764826	0.2981598	0.0306607	0.0063171	0.0000498	0.5401078	0.4214780	0.0192335	0.6322721	0.1542146
0.5194456	0.0071511	0.5809816	0.4559361	0.1875453	0.1984746	0.1102626	0.1478215	0.2179546	0.3756413	0.3016016	0.4303675	0.5084567	0.4538538	0.5529230	0.1389202	0.3311811	0.0336127	0.5176742	0.0269019	0.4571068	0.6480335	0.6442831	0.4567221	0.2750510	0.2921798	0.4093248	0.4712194	0.5003301	0.1686933	0.5298934	0.0406332	0.5466524	0.3176671	0.0026944	0.0026054	0.4309734	0.5095030	0.4545761	0.7732176	0.4351282	0.7117466	0.2994077	0.0112642	0.6380874	0.4324851	0.6403263	0.1395153	0.4220148	0.2602563	0.6326184	0.4814278	0.2238442	0.6299984	0.5133175	0.1224781	0.0136679	0.5618664	0.2993426	0.0768850	0.0360971	0.1232376	0.7587938	0.0138053	0.3561402	0.5104991	0.5871344	0.3680427	0.3283783	0.6011063	0.0203419	0.1108645	0.6763642	0.6186597	0.0518609	0.5812339	0.5567603	0.0032912	0.6228248	0.1811156	0.8512822	0.0085514	0.3984281	0.6830307	0.0000546	0.1102081	0.6172151	0.3324293	0.1747524	0.3350320	0.0988774	0.6257906	0.0680509	0.1105743	0.0011001	0.7048295	0.6149444	0.0264667	0.7637924	0.0780699
0.5287783	0.0587903	0.7392386	0.3668136	0.2933381	0.2099681	0.1936001	0.3546483	0.5562287	0.5609614	0.2896112	0.4857544	0.3412529	0.3907274	0.2106535	0.4915207	0.4397682	0.0761353	0.5995161	0.2538847	0.6377596	0.4200918	0.7132549	0.5879241	0.3124302	0.2291168	0.3372564	0.6039857	0.6326980	0.3127228	0.3178976	0.0335285	0.3444620	0.3181101	0.0196438	0.0756414	0.2168735	0.6724384	0.1679473	0.5218254	0.4761787	0.2157474	0.0170197	0.0713697	0.3865845	0.0206372	0.3220067	0.3580101	0.1095809	0.5521605	0.4975680	0.4287120	0.6066685	0.4332909	0.2581770	0.3726000	0.5257729	0.4214787	0.4584535	0.0020954	0.0510602	0.1274544	0.6349883	0.0738480	0.4609233	0.6958913	0.5470211	0.5962870	0.6512400	0.6703445	0.0286170	0.2325121	0.4102731	0.4489857	0.1420467	0.6586377	0.6569132	0.0134394	0.4759756	0.2134967	0.5163936	0.1427341	0.3540890	0.5335244	0.0005031	0.3779215	0.2977278	0.3606671	0.2591001	0.3557967	0.1148039	0.7008406	0.0009917	0.3024858	0.3125092	0.7070091	0.6844921	0.0291921	0.5854176	0.1557779
