"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.4649577	0.5888033	0.6607902	0.6481207	0.1182725	0.0222895	0.1649601	0.3550073	0.3360655	0.4629571	0.4967063	0.6036844	0.5076387	0.2715540	0.2924130	0.0640743	0.6113969	0.0552432	0.1759799	0.2637884	0.5739496	0.7557786	0.6190658	0.3965167	0.2828707	0.4769509	0.1830101	0.6541611	0.1830738	0.6467583	0.3161165	0.3764008	0.5230656	0.0538107	0.0712040	0.0698170	0.6072710	0.0555629	0.5497019	0.6683738	0.6273238	0.6138311	0.0023925	0.0150223	0.5178175	0.4184159	0.6880335	0.0684515	0.3884946	0.4508404	0.4629762	0.3967926	0.1678662	0.5391459	0.0205339	0.6277796	0.0185212	0.5215485	0.3475082	0.0010331	0.0728136	0.1092483	0.6158442	0.0565882	0.6230812	0.4765477	0.7598249	0.0512643	0.6316175	0.6601057	0.0514771	0.1739177	0.6063572	0.6547125	0.0748144	0.6020174	0.6615516	0.2081155	0.5787455	0.2479221	0.7503091	0.0005022	0.6686642	0.6656624	0.4885674	0.1605446	0.1513359	0.1129719	0.0454511	0.4679175	0.3564235	0.7226312	0.3743786	0.1640741	0.2277696	0.6990761	0.6623657	0.4826325	0.5437692	0.3682082
0.5560763	0.5087702	0.9743826	0.4253102	0.1717067	0.2479200	0.1035135	0.5617546	0.0728960	0.1124296	0.0607994	0.0143734	0.5679262	0.5446189	0.3094079	0.2557683	0.6059061	0.1388130	0.0393836	0.3523854	0.6722572	0.7126281	0.6553402	0.6231164	0.4864841	0.0208301	0.3597702	0.0696858	0.0644269	0.2499919	0.2965757	0.5981026	0.5273760	0.4380194	0.2657733	0.0188546	0.4417013	0.5287020	0.5327746	0.5010029	0.7290534	0.9107002	0.0691390	0.0392977	0.4565183	0.4845490	0.5861865	0.3793639	0.1499720	0.3007193	0.3993999	0.4999871	0.0002322	0.1140224	0.5272001	0.2492366	0.7099087	0.4602644	0.2646471	0.2408190	0.0818864	0.0191946	0.5343826	0.2684200	0.6457597	0.4329081	0.0353126	0.0048608	0.5382483	0.7604938	0.0276254	0.2990332	0.7672755	0.6676254	0.4271431	0.5642610	0.5548065	0.0044451	0.6423700	0.2415446	0.4890529	0.0059725	0.3771609	0.6682020	0.0860896	0.5036896	0.6944063	0.6115254	0.1247042	0.4127438	0.0417739	0.6885965	0.0163490	0.0202770	0.0050274	0.6706457	0.6060201	0.0284065	0.2311696	0.7091330
0.7279413	0.0025827	0.7651542	0.6425070	0.0834627	0.0734151	0.1610498	0.1098069	0.1114855	0.2256366	0.3112692	0.0859528	0.5485057	0.4758449	0.2651487	0.0387500	0.5045963	0.0122103	0.1265899	0.2745061	0.5247363	0.6680283	0.5779401	0.1776914	0.1658618	0.0185082	0.1389884	0.3093775	0.1387725	0.5029086	0.3004550	0.5485029	0.4996881	0.0466450	0.0815498	0.0044487	0.4203398	0.5387107	0.2786434	0.6706259	0.0525913	0.6605574	0.2520878	0.0082034	0.4197968	0.0360165	0.5570993	0.0266132	0.2401654	0.4677496	0.5277731	0.3546747	0.0022624	0.4788433	0.0281078	0.7044118	0.6350373	0.4749021	0.5543755	0.5416256	0.0676722	0.0623359	0.6731209	0.5325377	0.7593598	0.0095327	0.0460828	0.0023526	0.7438557	0.6360846	0.0083867	0.1427448	0.8168288	0.4736456	0.0263688	0.6221796	0.0606195	0.0220190	0.6314007	0.1893283	0.6095798	0.0005908	0.1720840	0.5491465	0.0754615	0.1615250	0.2564371	0.5162747	0.0601236	0.4342648	0.0581547	0.6574551	0.0611793	0.0076089	0.0144435	0.6593155	0.7061895	0.5996237	0.5456070	0.1861391
0.4585625	0.0016409	0.6917558	0.2472882	0.1560527	0.2860320	0.1622579	0.1634640	0.1056699	0.6517779	0.4478498	0.0367592	0.6354624	0.5903945	0.4047408	0.1307025	0.4508393	0.3082353	0.0833516	0.2179730	0.7808167	0.5128005	0.7056047	0.3025618	0.2720719	0.0284362	0.1174160	0.4938818	0.1226065	0.6488020	0.3933049	0.7344678	0.7236818	0.0216744	0.0123755	0.0393651	0.4718083	0.1054873	0.5587755	0.4994634	0.6829528	0.6779322	0.0508089	0.1087744	0.3837045	0.4564433	0.6369876	0.1062012	0.3461453	0.5591108	0.4750887	0.5683663	0.0003992	0.3112292	0.0215690	0.7146028	0.6448167	0.7363955	0.6024737	0.1502298	0.0732173	0.2120367	0.4812606	0.6705521	0.5843981	0.5678314	0.0427419	0.0045079	0.6822916	0.5967672	0.0423335	0.0936933	0.6121553	0.6888450	0.5296827	0.6483672	0.5780032	0.0027454	0.5223146	0.0241545	0.6506023	0.0041753	0.1563931	0.6589457	0.0106909	0.3168794	0.4579338	0.4121923	0.5029338	0.0795899	0.6837575	0.7300353	0.1975180	0.0410346	0.5647990	0.6721157	0.3108960	0.2000113	0.4387081	0.3878264
0.5372309	0.0161026	0.6301113	0.3954112	0.0106676	0.2084436	0.1697632	0.1617680	0.6234231	0.5668548	0.2752547	0.5750497	0.0055469	0.2267554	0.0739828	0.0372282	0.7159150	0.1677393	0.1031627	0.1263456	0.5624998	0.6442090	0.5856842	0.2521907	0.3341985	0.4469667	0.3173035	0.6069213	0.1833434	0.5677554	0.2652334	0.4232593	0.4140292	0.0619109	0.0005727	0.0294345	0.5160008	0.1174713	0.3089893	0.6531503	0.7637188	0.7720056	0.0758962	0.0454371	0.4094040	0.1415412	0.7564749	0.0830119	0.0106983	0.5572586	0.0597974	0.4297581	0.1604109	0.4557003	0.0107490	0.6774573	0.6094110	0.5698765	0.1825698	0.1258619	0.0432295	0.1194831	0.4476320	0.0845115	0.8540990	0.5163217	0.5869823	0.5108022	0.5923513	0.7171613	0.0596320	0.1215079	0.6401370	0.4328881	0.1448551	0.6797168	0.6421598	0.0033126	0.5588464	0.1586273	0.8201403	0.0060295	0.5609380	0.6375800	0.0157020	0.1611037	0.4279998	0.4420795	0.2268697	0.1140783	0.3181108	0.1278586	0.0604435	0.0156745	0.4289263	0.0051674	0.7059672	0.6010801	0.4925015	0.3202760
0.2663282	0.2987465	0.6361805	0.2083773	0.2040525	0.0942252	0.1374433	0.2225727	0.3390121	0.4537153	0.6177139	0.1518066	0.4096505	0.3513252	0.3675117	0.3741944	0.5448820	0.1420359	0.1400475	0.6150872	0.6328020	0.6172784	0.6646651	0.0183689	0.1024178	0.0070410	0.4449746	0.0731631	0.1641736	0.6514971	0.1090698	0.4584639	0.3615225	0.5057118	0.0005018	0.0562530	0.2049020	0.0639010	0.5963058	0.4085934	0.6050975	0.6319319	0.0064728	0.0053472	0.3637540	0.5658413	0.7100640	0.0284986	0.3521365	0.5883258	0.6963386	0.3252330	0.0012081	0.3679997	0.5639702	0.3120133	0.6247232	0.5303712	0.4134914	0.0017782	0.0318115	0.2244597	0.5339558	0.2366325	0.5492384	0.0138479	0.0316374	0.5149249	0.4836857	0.5699408	0.0452064	0.1772229	0.7101872	0.7678792	0.1795071	0.5991044	0.5171582	0.1161329	0.5272391	0.1590174	0.6601558	0.0042249	0.4559852	0.5003627	0.0706841	0.1458394	0.0982491	0.4809667	0.0314832	0.0128995	0.5667929	0.8132874	0.1132471	0.0383072	0.0249176	0.6885943	0.5896626	0.0775652	0.6061821	0.2659012
0.5466419	0.0019787	0.7245013	0.5833167	0.0011587	0.0640961	0.1378179	0.0587333	0.3685167	0.4915746	0.3772472	0.2688335	0.3134272	0.2789296	0.3701875	0.3137494	0.2441409	0.0890306	0.0496817	0.2822334	0.6417936	0.5351650	0.1745711	0.6896921	0.4711819	0.1394044	0.1737841	0.5066725	0.2601467	0.5245730	0.2094888	0.5280364	0.6598605	0.3859268	0.0255855	0.0025900	0.6864769	0.5224567	0.4103638	0.5568439	0.1229019	0.6066652	0.3292782	0.0880274	0.3104880	0.4004636	0.4973712	0.3054634	0.2047929	0.5443049	0.3987131	0.5347493	0.2071813	0.4085075	0.3415540	0.2749563	0.0021568	0.5131447	0.4756833	0.2143911	0.2858859	0.0065775	0.6652072	0.1893895	0.0347204	0.6234374	0.6630553	0.0988490	0.6113302	0.7169760	0.0083467	0.1089317	0.3113013	0.5465672	0.7078083	0.6383194	0.4310298	0.1698300	0.5611732	0.5966369	0.2687987	0.0600410	0.5022161	0.6913931	0.5103529	0.1717589	0.3034154	0.5910052	0.0470631	0.4860195	0.2948569	0.7542940	0.2407450	0.1098539	0.0168134	0.5516856	0.5854634	0.0746426	0.5137863	0.4478573
0.4543386	0.0028458	0.6247583	0.4922337	0.3452210	0.0721670	0.0537687	0.1491275	0.3690963	0.7339615	0.4939389	0.3078072	0.1151182	0.2524892	0.2032400	0.3209503	0.7099222	0.0946275	0.0788359	0.2301860	0.6031238	0.1706312	0.3895338	0.0387733	0.0739284	0.0180859	0.3445009	0.0654651	0.1346413	0.5978684	0.2023416	0.4464091	0.5372841	0.4131403	0.0559068	0.0434771	0.4662983	0.0463891	0.5739558	0.4089735	0.5763292	0.5571436	0.1154566	0.0669877	0.3250927	0.5639249	0.6377086	0.0171287	0.2634117	0.6303514	0.4910540	0.5578481	0.1453959	0.4811638	0.4736389	0.1303598	0.6561153	0.5875957	0.3599798	0.1361698	0.0855150	0.2155837	0.5224749	0.1585822	0.7457246	0.7442171	0.6120497	0.1026641	0.5688986	0.7057569	0.0217347	0.0983934	0.7200699	0.8476507	0.3258609	0.7283909	0.6504512	0.0206244	0.3825349	0.4318972	0.6155847	0.0036613	0.4685988	0.6432068	0.0109583	0.2233636	0.6103464	0.2755512	0.0194866	0.3252964	0.0524135	0.7154666	0.0346800	0.0409219	0.0015301	0.2348288	0.5881168	0.0349465	0.6446135	0.3484134
0.4658230	0.0170295	0.6779378	0.3632929	0.1253479	0.3092753	0.0001090	0.1447350	0.0916128	0.2811230	0.0988657	0.0292049	0.5838058	0.3773160	0.3496538	0.4437161	0.5788159	0.2196473	0.0484094	0.1632399	0.5915079	0.5807665	0.7610977	0.7010903	0.3559325	0.0158023	0.1701785	0.0523115	0.1518557	0.4280383	0.1213874	0.6100832	0.5402549	0.3317805	0.2415916	0.0165607	0.4688080	0.5807573	0.2997454	0.6557966	0.0590625	0.0194995	0.2736308	0.0937689	0.2826114	0.3357708	0.5063797	0.3319604	0.3363262	0.3547103	0.5443726	0.1854675	0.0033799	0.0576437	0.2675973	0.4369769	0.5823071	0.6459593	0.4031479	0.3106882	0.0323340	0.0082126	0.6260416	0.5830509	0.7192562	0.3655723	0.0204690	0.2226264	0.6946928	0.6975441	0.0297483	0.1512847	0.5212105	0.6701370	0.3044997	0.5638449	0.1876714	0.3026159	0.6060072	0.0168908	0.0962191	0.0004186	0.1003799	0.5813808	0.4527079	0.5805912	0.5811973	0.5416483	0.1157352	0.3627768	0.5398412	0.0700990	0.3112281	0.3006643	0.1181542	0.6273092	0.7689646	0.0829467	0.0229005	0.7042094
0.4672425	0.0020474	0.6934012	0.3745786	0.1503538	0.1022397	0.1127652	0.6801153	0.3177154	0.1398873	0.5378917	0.2825666	0.5126991	0.0008258	0.2516443	0.0545289	0.5269963	0.2668138	0.0325513	0.3868576	0.5274573	0.5894779	0.7662572	0.3715005	0.3818336	0.0814295	0.3524539	0.3002159	0.0716851	0.6057104	0.1935067	0.5644689	0.6287280	0.0414092	0.0048302	0.0592266	0.5155064	0.0351595	0.7350315	0.3718033	0.7451122	0.6606786	0.2688177	0.0735800	0.3290267	0.6265566	0.7543413	0.0237621	0.3628006	0.6575749	0.4817065	0.3103016	0.0017583	0.4595111	0.0229353	0.5962830	0.4351640	0.5470266	0.3005240	0.0008509	0.0460987	0.1031300	0.6667952	0.0063534	0.7790794	0.3810687	0.0657227	0.0101174	0.3387981	0.6733670	0.0285165	0.1186490	0.8169944	0.6337345	0.5511798	0.6746745	0.6226307	0.1121665	0.6104366	0.2155559	0.6514071	0.1200568	0.1899603	0.5873328	0.0094704	0.1908143	0.3465446	0.5569436	0.0581357	0.0402159	0.6468296	0.7369515	0.1343288	0.0322618	0.0123104	0.7484531	0.7081277	0.0569569	0.5484167	0.4053582
