"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.3397534	0.0063348	0.9066495	0.2983186	0.4011146	0.7804797	0.0015363	0.6547750	0.3339047	0.4272804	0.5533090	0.6987708	0.7898753	0.4362093	0.6926047	0.0023728	0.6255614	0.9274167	0.9796482	0.6140554	0.8195193	0.8633380	0.8211722	0.3738840	0.3060351	0.9911389	0.0797203	1.0936151	0.8990790	0.1712859	0.7353687	0.0004447	0.3961266	0.0001648	0.0007453	0.1529447	0.4313857	0.7999955	1.0000496	0.3806120	1.0859380	0.6838857	0.4344376	0.0399236	0.6708682	0.8335812	0.9012713	0.4899492	0.7254341	0.4248469	0.9463457	1.0067095	0.9881564	1.0798492	0.0015560	1.0519659	0.6260018	0.7897931	0.6053183	0.0184724	0.1658860	0.5159954	0.8994854	0.0690964	0.9360296	0.9376675	0.9621752	0.9024521	0.4568749	0.9457711	0.0405143	0.1542482	1.0570603	1.0223343	0.0832149	0.9925300	0.8996958	0.0213443	0.3290007	0.2145969	0.8548199	0.0247760	0.5142097	0.9947134	0.0021694	0.3728623	0.1436188	0.3866854	1.0440159	0.6079195	0.0882051	1.0100955	0.0003182	0.5675882	0.4530900	0.9139154	0.8671805	0.3106646	0.8795507	0.3271735
0.3947727	0.3099656	1.0453585	0.2871247	0.1890378	0.9144546	0.2175921	0.4602160	0.3448087	0.7143005	0.7856082	0.8515440	0.8407446	0.6782881	0.8813409	0.3586032	0.6316434	0.7519196	0.9855217	0.3822885	0.8246609	0.5263893	1.0674607	0.4791318	0.3657957	0.7895596	0.7168021	1.0641661	1.0974332	0.2138675	0.1708695	0.0497120	0.1688292	0.2713579	0.0050887	0.4268388	0.3258579	0.0089004	0.9916946	0.4944530	0.9325314	0.3717919	0.3356006	0.0593145	0.6444842	0.9196706	0.9394433	0.0322743	0.8644153	0.8176984	0.9909687	0.8687869	0.6005065	1.0049653	0.0881941	0.8867537	0.8439117	0.8402086	0.3180158	0.0490931	0.1224821	0.3035044	1.0388998	0.1253365	1.0670987	0.7812175	0.9882327	0.7934741	1.0617995	1.0556007	0.0473219	0.5569272	0.7014795	0.9142190	0.1454651	0.8630437	0.9311625	0.0179140	0.7760979	0.1096941	1.1032554	0.0002084	0.8039487	0.8880125	0.0771922	0.4076330	0.1678252	0.4490993	0.8661418	0.0081329	1.0485800	0.8398383	0.0039308	0.0000838	0.4739419	1.0731279	1.0042750	0.0286926	0.9563950	0.0720762
0.4156069	0.0017529	0.9922068	0.5194108	0.5894445	0.1451721	0.0012443	0.2772820	0.5786157	0.6000265	0.8851631	0.4864039	0.6387917	0.5912620	0.6608069	0.1758819	0.5625479	0.6136062	0.2538590	0.5777737	0.9655515	0.7362114	0.9001089	1.0020751	0.9354201	0.2901571	0.5757229	0.8479006	0.2247627	0.9272905	0.1833945	0.8106150	0.8320844	0.0005342	0.0451788	0.1134230	0.7035041	0.0256065	1.0221769	0.6358171	0.9373557	1.0949419	0.4278469	0.0840344	0.7669978	0.8991133	0.6979379	0.0750284	0.1759630	0.9551298	0.8426338	0.4578493	0.2354422	0.6463408	0.0000015	0.4536104	0.5823860	0.9182130	0.5384624	0.2222864	0.0049170	0.0455400	1.0050361	0.1722765	0.7233183	0.9321770	1.0068148	0.5607595	0.5367679	0.9823675	0.0313240	0.1271530	0.7534038	0.9709937	0.0225878	1.0233350	0.9491030	0.2079437	1.0030453	0.1407714	1.1119366	0.1667609	0.8583889	1.0800748	0.1987156	0.2670024	0.4615575	0.5618213	0.3425090	0.0822428	1.0792719	0.4215347	0.2396938	0.1182873	0.0215057	0.7914158	1.0430405	0.0035173	0.8255688	0.3215011
0.7885366	0.0619723	1.0137297	0.6847391	0.1712944	0.4349923	0.2181775	0.1284065	0.1468974	0.6213755	0.1463380	0.6742939	0.9111360	0.5323584	0.7890235	0.5442992	0.8132584	0.2060692	1.0501554	0.3423871	0.9919239	1.0548297	0.9995017	0.7273161	0.5085761	0.4564185	0.1339584	0.9554560	0.9570015	0.1651304	0.0482542	0.0656593	0.4613949	0.1372549	0.0005525	0.2724115	0.2946617	1.0267173	0.9589370	1.0561663	0.9564140	0.9887320	0.0543384	0.0745125	0.4348385	0.9134404	0.8966424	0.9096234	0.6090125	0.6708867	0.9728558	0.9881054	1.1219737	1.0468417	0.2015676	0.7984672	0.9007448	0.7902233	0.1562398	0.0001914	0.0551599	0.1998705	1.0129328	0.1812425	0.9409954	1.0107076	1.0071939	0.9663244	0.2684029	1.0230144	0.0197930	0.2322211	1.0082416	0.7586764	0.0103216	0.9897554	0.9575011	0.0490352	0.9757789	0.1070545	0.9978218	0.5027759	0.6363345	0.9946169	0.1477687	0.0169457	0.8970310	0.2931662	0.1489356	0.9454396	0.3057948	1.0542744	0.0080154	0.4157954	0.0006746	0.9789079	0.9748561	0.0044728	1.0069307	0.1851259
0.7521836	0.0126991	0.8906415	0.6685956	0.2407523	0.4011092	0.2204056	0.3873964	0.3374935	0.8255501	0.8165379	0.6054621	0.6115999	0.5522719	0.4114549	0.2038680	0.9460318	0.0983243	0.8620563	0.0273753	0.9079106	1.0092244	0.5032239	0.2579871	0.3272147	0.9685975	0.6812053	1.0400962	0.8179706	0.0996030	0.6866414	0.0536592	0.4205560	0.6668749	0.0047257	0.1754939	0.3996890	0.3589203	0.4979982	1.0348394	1.0672713	0.6967501	0.4474337	0.0498687	0.9578584	0.2529514	0.7470310	0.0000113	0.7900358	0.8875607	0.7781614	0.8281185	1.0122152	0.9841853	0.7335441	0.3952334	1.0209407	0.7603672	0.7222840	0.0005204	0.0752096	0.1443362	0.9777422	0.1293331	1.1317514	0.8377592	0.9805575	1.0190083	1.0237217	1.0155803	0.0555010	0.1543090	1.0263696	0.4908568	0.0738774	0.8527882	1.0075942	0.0011101	0.2973522	0.5667522	0.8958430	0.2107465	0.6528774	0.9411745	0.0004074	0.2100924	0.2831151	0.6263640	0.8696619	0.0014050	0.9692204	0.5068208	0.0002561	0.0947827	0.4963238	1.0511368	1.0067695	0.4201875	1.0394293	0.3724366
0.7435733	0.0000622	0.8811321	0.7958808	0.2234628	0.3168509	0.2332250	0.1639625	0.3672736	0.8155081	0.1317835	0.8801997	0.7904407	0.4979454	0.4455348	0.0072501	0.7854184	0.1726322	0.6256243	0.0594389	0.9902605	1.0247063	0.8048225	0.3463357	0.3112093	0.3865422	0.1294075	0.8829943	0.4297138	0.9984185	0.1019266	0.2758476	0.1255409	0.0017413	0.0013963	0.7439867	0.0504494	0.8922681	0.6636550	0.8213580	0.9955554	1.0236093	0.1010520	0.0901695	0.6383720	0.5621864	0.3956247	0.4696712	0.7180266	0.7066983	1.1086521	0.6200353	0.2272827	0.9111801	0.0000780	1.0084083	0.8243769	0.8652224	0.1812027	0.4760865	0.0350688	0.2942061	0.9479795	0.0194359	1.0886870	0.8950844	0.9422480	0.1177624	0.8550298	1.0790163	0.0183076	0.6697219	1.0532649	1.0743686	0.2337327	1.0613434	1.0046291	0.0153869	1.0073626	0.1919342	0.9300333	0.2923126	0.4170269	1.0627478	0.2834520	0.1622763	0.7506116	0.6164396	0.1551444	0.7366918	0.1805385	0.9597610	0.1513890	0.0007308	0.0007551	0.9336586	0.7997198	0.0014878	1.0024586	0.4106357
0.8834422	0.0032022	0.9899590	0.6525546	0.3225481	0.3427669	0.2189765	0.2336102	0.3871077	0.9992565	1.0214711	0.6968180	0.7756499	0.7230983	0.5028117	0.0008238	0.8645552	0.1762265	0.9257302	0.0478757	0.8471774	0.9188804	0.6937390	0.5999431	0.6533078	0.6789881	0.1493531	1.0397362	0.9683896	0.3954184	0.4795987	0.0016308	0.1202530	0.0166093	0.0019377	0.5857043	0.0188439	0.3209291	0.9190707	1.0087721	1.0146626	0.9014124	0.4224211	0.0482824	0.6506913	0.8910427	1.0861429	0.0234267	0.7456593	0.4630193	0.9502222	0.9451374	0.9025198	1.0349905	0.2607827	0.3316895	0.2745514	0.8185513	0.1026261	0.1822552	0.0588927	0.1273325	1.0194746	0.0347756	1.0120408	0.7834791	1.1148211	0.9616409	0.8789585	0.9943128	0.0407220	0.8651808	0.9272723	0.9635040	0.2064482	1.0141689	0.9010308	0.0305414	0.9393307	0.3384020	0.9100767	0.0016492	0.4636464	0.9426291	0.0002731	0.0820214	0.5428128	0.6054899	0.1472855	0.0013414	0.6774549	1.0118898	0.0028114	0.1859425	0.0000717	1.0425519	1.0756062	0.0166103	0.9856739	0.3792468
0.8926069	0.0033125	0.8899146	0.6191000	0.2058611	0.4141499	0.2355105	0.3423727	0.5817361	0.8638826	0.9406252	0.7151044	0.4297229	0.5037870	0.2508830	0.8365855	0.9334569	0.1921629	1.0188213	0.0785848	0.9877739	1.0452647	0.8864639	0.3700950	0.4340417	0.8668248	0.6269268	1.1481930	1.0121573	0.9697030	0.1232571	0.0364555	0.6158820	0.4522043	0.0019802	0.1162100	0.5187422	0.2083940	0.5886813	0.6777087	1.0127022	1.0591281	0.1750741	0.1410238	0.9303214	0.3543268	0.9640417	0.0427063	0.4184753	0.5132209	0.9367031	0.6258791	0.9665302	0.8771399	0.7873712	0.1832214	0.6118120	0.8184274	0.4629828	0.1054802	0.0570339	0.3157482	1.0392059	0.0236455	1.0189677	0.6495528	1.0449745	1.0469572	0.8892911	0.9605188	0.0559453	0.0253636	1.1126258	0.9624911	0.4959718	0.9285990	1.0184074	0.0321556	0.6543679	0.4272037	0.9273484	0.5014256	0.6025137	0.9807654	0.5784405	0.4476599	0.2133844	0.4453037	0.8748391	0.0099872	0.9409134	0.5042569	0.0487037	0.0003898	0.0002813	0.7185048	0.6695430	0.0383328	0.8472429	0.2219486
0.8423724	0.0012704	0.9786896	0.7895563	0.1924996	0.4438110	0.1802695	0.2542582	0.4197220	0.6355307	0.5297825	0.6841390	0.8311782	0.7307112	0.8450357	0.2193003	0.5249023	0.1135891	0.8024011	0.0248694	0.8332937	1.0096576	0.9193224	0.6324277	0.4533754	0.3837557	0.5066580	0.7977325	0.8516758	0.3118830	0.6707224	0.0396573	0.7280533	0.4915591	0.0075072	0.0027809	0.6141077	0.8003880	0.6997153	0.9301183	0.7157935	0.9036783	0.4162815	0.0603459	1.0059585	0.5784356	0.9930757	0.2553024	0.7203928	0.4368567	0.9705620	0.6093463	0.4664079	1.0377824	0.8515739	0.1437515	0.0460576	0.9446874	0.4377207	0.0874593	0.0637438	0.1715447	0.9732951	0.0106459	0.4518139	0.7524789	0.9749396	0.5300266	0.5344543	1.0037183	0.0468413	0.1625198	1.0371287	0.9906888	0.1064738	0.9941586	0.9212552	0.0062305	0.8611357	0.3480524	0.9577599	0.0008262	0.6350949	0.9930325	0.0005514	0.2251594	0.6766760	0.4716592	0.3138459	0.4502785	0.1652353	0.8524722	0.0660755	0.1682711	0.0001820	1.0221301	1.0389255	0.0383271	0.9437184	0.1782143
0.7903668	0.0661694	1.0497087	0.7241120	0.4130123	0.5023386	0.2603527	0.4968028	0.7254802	0.8911425	0.5476094	0.7726520	0.5521247	0.4473270	0.3803871	0.7608914	0.8614926	0.1590110	1.0026936	0.3877996	0.8284936	0.6799159	0.9098970	0.8583844	0.7116982	0.3964773	0.5554586	0.8167288	0.9387040	0.4957803	0.5050648	0.0524011	0.4211206	0.4431836	0.0184197	0.1194767	0.2810929	1.0420615	0.2268929	0.9059125	0.7045548	0.4288758	0.0168126	0.0983744	0.5144175	0.0402426	0.4902446	0.6224491	0.1989798	0.6596762	0.9048412	0.5992165	0.9894127	0.9165851	0.4442600	0.4967228	0.8937471	0.7690557	0.6603671	0.0005027	0.1016074	0.1556823	0.9999405	0.1460859	0.8052275	1.1019641	0.9820068	1.0107228	0.9926208	0.9402398	0.0684453	0.3407611	0.6826321	0.8532006	0.1263175	1.0236674	1.0011651	0.0172735	0.7608016	0.3175471	0.9273508	0.2174678	0.7304892	0.9913370	0.0017177	0.6417860	0.5306453	0.4485402	0.5044997	0.7008180	0.1714353	0.9354960	0.0012148	0.3505300	0.5141415	1.0272211	1.0017924	0.0540309	0.9638244	0.2425548
