"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.4852826	0.2179431	0.0289750	0.0091876	0.4220385	0.7771619	0.1766960	0.0521478	0.6891581	0.2853795	0.6570174	0.9534903	0.4481017	0.1725611	0.7685892	0.9998763	0.1454625	0.9466681	0.5213923	0.9734613	0.0930256	0.5601552	0.2545014	0.5829306	0.4586691	0.2142190	0.4420337	0.4057950	0.9297113	0.7183062	0.4040748	0.9766500	0.6462556	0.8664379	1.0000000	0.3414603	0.6781149	0.9999994	0.5668179	0.6301583	0.3279546	0.7921566	0.6596602	0.8775309	0.7732400	0.1842180	0.5195655	0.0586099	1.0000000	0.4994882	0.9930664	0.4149775	0.1388807	0.4810740	0.4631839	0.3668162	0.4468032	0.0108392	0.3126744	0.1491348	0.4849088	0.7864330	0.9308970	0.7870124	0.2760839	0.9249765	0.5433379	0.7733412	0.5027811	0.4508289	0.4052915	0.3413653	0.7569594	0.1055598	0.2567769	0.8388710	0.1048517	0.4971868	0.3985391	0.9998933	0.2797092	0.5180535	0.0198119	0.0257459	0.9973840	1.0000000	0.3708531	0.3900681	0.6315077	0.0971026	0.9872391	1.0000000	0.8834385	1.0000000	0.4359254	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
0.6785261	0.0836476	0.1031598	0.0108649	0.3325566	0.7765202	0.4453582	0.0472070	0.5400680	0.2853797	0.6570199	0.9534903	0.4481017	0.1725611	0.7564002	0.9998763	0.1454624	0.9466680	0.5213927	0.9734613	0.0930256	0.5601552	0.2545065	0.5829307	0.4600292	0.2142189	0.4420336	0.4057894	0.4715048	0.7183062	0.4040734	0.9766494	0.6462620	0.8664411	1.0000000	0.3414601	0.6781149	0.9999993	0.5668176	0.6301584	0.3271613	0.7895518	0.6596601	0.8775308	0.7732400	0.1842180	0.5195656	0.0586100	1.0000000	0.4994882	0.9930664	0.4149775	0.1388806	0.4810738	0.4631837	0.3668161	0.4468030	0.0108394	0.3126746	0.1491349	0.4849087	0.7864330	0.9308970	0.7870116	0.2760840	0.9249766	0.5433382	0.7733414	0.5027799	0.4508288	0.4052900	0.3413643	0.7569594	0.1055599	0.2567770	0.8388709	0.1048518	0.4971869	0.3985394	0.9998933	0.2797093	0.5180535	0.0198776	0.2611245	0.9601144	1.0000000	0.3708529	0.3900683	0.6315054	0.0971026	0.9872391	1.0000000	0.8822325	1.0000000	0.4359255	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
0.7789192	0.1496093	0.0812891	0.0052860	0.2910166	0.7764228	0.4685923	0.0343425	0.5999489	0.2853796	0.6570181	0.9534903	0.4481017	0.1725611	0.7575866	0.9998763	0.1454625	0.9466681	0.5213923	0.9734613	0.0930255	0.5601552	0.2545029	0.5829306	0.4594272	0.2142190	0.4420337	0.4057934	0.5395296	0.7183062	0.4040744	0.9766498	0.6462575	0.8664388	1.0000000	0.3414603	0.6781149	0.9999993	0.5668178	0.6301583	0.3275011	0.7906562	0.6596601	0.8775308	0.7732400	0.1842180	0.5195655	0.0586100	1.0000000	0.4994882	0.9930664	0.4149775	0.1388807	0.4810738	0.4631839	0.3668162	0.4468032	0.0108393	0.3126744	0.1491348	0.4849088	0.7864329	0.9308970	0.7870121	0.2760839	0.9249766	0.5433379	0.7733412	0.5027808	0.4508289	0.4052911	0.3413650	0.7569594	0.1055598	0.2567769	0.8388710	0.1048517	0.4971868	0.3985391	0.9998933	0.2797092	0.5180535	0.0198266	0.1402987	0.9755251	1.0000000	0.3708532	0.3900680	0.6315071	0.0971026	0.9872391	1.0000000	0.8827474	1.0000000	0.4359254	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
0.6785757	0.1672879	0.1031276	0.0054330	0.3325875	0.7765203	0.4453281	0.0472121	0.5400856	0.2853797	0.6570199	0.9534903	0.4481017	0.1725611	0.7564004	0.9998763	0.1454625	0.9466680	0.5213924	0.9734613	0.0930256	0.5601552	0.2545065	0.5829307	0.4600291	0.2142189	0.4420336	0.4057894	0.4715027	0.7183062	0.4040734	0.9766494	0.6462621	0.8664411	1.0000000	0.3414602	0.6781149	0.9999993	0.5668176	0.6301583	0.3271614	0.7895513	0.6596601	0.8775308	0.7732400	0.1842180	0.5195656	0.0586100	1.0000000	0.4994882	0.9930664	0.4149775	0.1388807	0.4810737	0.4631838	0.3668162	0.4468031	0.0108394	0.3126745	0.1491348	0.4849088	0.7864330	0.9308970	0.7870116	0.2760840	0.9249766	0.5433381	0.7733413	0.5027799	0.4508288	0.4052900	0.3413643	0.7569594	0.1055599	0.2567769	0.8388709	0.1048517	0.4971869	0.3985392	0.9998933	0.2797093	0.5180535	0.0198776	0.2611341	0.9601121	1.0000000	0.3708530	0.3900682	0.6315054	0.0971026	0.9872391	1.0000000	0.8822323	1.0000000	0.4359254	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
0.6785210	0.1672837	0.1031396	0.0108672	0.1662902	0.7765202	0.4453480	0.0472124	0.5400574	0.2853797	0.6570199	0.9534903	0.4481017	0.1725611	0.7564000	0.9998763	0.1454625	0.9466680	0.5213925	0.9734613	0.0930256	0.5601552	0.2545065	0.5829307	0.4600291	0.2142189	0.4420336	0.4057894	0.4714905	0.7183062	0.4040734	0.9766494	0.6462621	0.8664411	1.0000000	0.3414601	0.6781149	0.9999993	0.5668176	0.6301584	0.3271614	0.7895515	0.6596601	0.8775308	0.7732400	0.1842180	0.5195656	0.0586100	1.0000000	0.4994882	0.9930664	0.4149775	0.1388806	0.4810737	0.4631838	0.3668161	0.4468031	0.0108394	0.3126745	0.1491348	0.4849088	0.7864330	0.9308970	0.7870116	0.2760840	0.9249766	0.5433381	0.7733413	0.5027799	0.4508288	0.4052900	0.3413643	0.7569594	0.1055599	0.2567769	0.8388709	0.1048518	0.4971869	0.3985393	0.9998933	0.2797093	0.5180535	0.0198776	0.2611668	0.9601097	1.0000000	0.3708530	0.3900682	0.6315054	0.0971026	0.9872391	1.0000000	0.8822324	1.0000000	0.4359254	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
0.6785210	0.1672837	0.1031396	0.0108672	0.3325800	0.3882655	0.4453480	0.0472124	0.5400574	0.2853797	0.6570199	0.9534903	0.4481017	0.1725611	0.7564000	0.9998763	0.1454625	0.9466680	0.5213925	0.9734613	0.0930256	0.5601552	0.2545065	0.5829307	0.4600291	0.2142189	0.4420336	0.4057894	0.4714905	0.7183062	0.4040734	0.9766494	0.6462621	0.8664411	1.0000000	0.3414601	0.6781149	0.9999993	0.5668176	0.6301584	0.3271614	0.7895515	0.6596601	0.8775308	0.7732400	0.1842180	0.5195656	0.0586100	1.0000000	0.4994882	0.9930664	0.4149775	0.1388806	0.4810737	0.4631838	0.3668161	0.4468031	0.0108394	0.3126745	0.1491348	0.4849088	0.7864330	0.9308970	0.7870116	0.2760840	0.9249766	0.5433381	0.7733413	0.5027799	0.4508288	0.4052900	0.3413643	0.7569594	0.1055599	0.2567769	0.8388709	0.1048518	0.4971869	0.3985393	0.9998933	0.2797093	0.5180535	0.0198776	0.2611668	0.9601097	1.0000000	0.3708530	0.3900682	0.6315054	0.0971026	0.9872391	1.0000000	0.8822324	1.0000000	0.4359254	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
0.6786148	0.1672843	0.1031333	0.0108632	0.3325767	0.7765202	0.2226923	0.0472083	0.5401110	0.2853797	0.6570199	0.9534903	0.4481017	0.1725611	0.7564007	0.9998763	0.1454625	0.9466680	0.5213923	0.9734613	0.0930255	0.5601552	0.2545065	0.5829307	0.4600291	0.2142190	0.4420336	0.4057894	0.4715203	0.7183062	0.4040734	0.9766494	0.6462621	0.8664412	1.0000000	0.3414602	0.6781149	0.9999993	0.5668176	0.6301583	0.3271613	0.7895513	0.6596601	0.8775308	0.7732400	0.1842180	0.5195655	0.0586100	1.0000000	0.4994882	0.9930664	0.4149775	0.1388807	0.4810736	0.4631839	0.3668162	0.4468032	0.0108394	0.3126744	0.1491348	0.4849088	0.7864330	0.9308970	0.7870116	0.2760840	0.9249766	0.5433380	0.7733413	0.5027799	0.4508288	0.4052900	0.3413643	0.7569594	0.1055598	0.2567769	0.8388710	0.1048517	0.4971869	0.3985392	0.9998933	0.2797093	0.5180535	0.0198776	0.2610843	0.9601168	1.0000000	0.3708531	0.3900681	0.6315054	0.0971026	0.9872391	1.0000000	0.8822323	1.0000000	0.4359254	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
0.6785210	0.1672837	0.1031396	0.0108672	0.3325800	0.7765202	0.4453480	0.0236096	0.5400574	0.2853797	0.6570199	0.9534903	0.4481017	0.1725611	0.7564000	0.9998763	0.1454625	0.9466680	0.5213925	0.9734613	0.0930256	0.5601552	0.2545065	0.5829307	0.4600291	0.2142189	0.4420336	0.4057894	0.4714905	0.7183062	0.4040734	0.9766494	0.6462621	0.8664411	1.0000000	0.3414601	0.6781149	0.9999993	0.5668176	0.6301584	0.3271614	0.7895515	0.6596601	0.8775308	0.7732400	0.1842180	0.5195656	0.0586100	1.0000000	0.4994882	0.9930664	0.4149775	0.1388806	0.4810737	0.4631838	0.3668161	0.4468031	0.0108394	0.3126745	0.1491348	0.4849088	0.7864330	0.9308970	0.7870116	0.2760840	0.9249766	0.5433381	0.7733413	0.5027799	0.4508288	0.4052900	0.3413643	0.7569594	0.1055599	0.2567769	0.8388709	0.1048518	0.4971869	0.3985393	0.9998933	0.2797093	0.5180535	0.0198776	0.2611668	0.9601097	1.0000000	0.3708530	0.3900682	0.6315054	0.0971026	0.9872391	1.0000000	0.8822324	1.0000000	0.4359254	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
0.6786148	0.1672843	0.1031333	0.0108632	0.3325767	0.7765202	0.4453220	0.0472083	0.2700560	0.2853797	0.6570199	0.9534903	0.4481017	0.1725611	0.7564007	0.9998763	0.1454625	0.9466680	0.5213923	0.9734613	0.0930255	0.5601552	0.2545065	0.5829307	0.4600291	0.2142190	0.4420336	0.4057894	0.4715203	0.7183062	0.4040734	0.9766494	0.6462621	0.8664412	1.0000000	0.3414602	0.6781149	0.9999993	0.5668176	0.6301583	0.3271613	0.7895513	0.6596601	0.8775308	0.7732400	0.1842180	0.5195655	0.0586100	1.0000000	0.4994882	0.9930664	0.4149775	0.1388807	0.4810736	0.4631839	0.3668162	0.4468032	0.0108394	0.3126744	0.1491348	0.4849088	0.7864330	0.9308970	0.7870116	0.2760840	0.9249766	0.5433380	0.7733413	0.5027799	0.4508288	0.4052900	0.3413643	0.7569594	0.1055598	0.2567769	0.8388710	0.1048517	0.4971869	0.3985392	0.9998933	0.2797093	0.5180535	0.0198776	0.2610843	0.9601168	1.0000000	0.3708531	0.3900681	0.6315054	0.0971026	0.9872391	1.0000000	0.8822323	1.0000000	0.4359254	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
0.6769640	0.1675918	0.1035162	0.0109790	0.3332503	0.7765223	0.4449948	0.0474398	0.5392157	0.1426985	0.6459733	0.9979514	0.4481017	0.1725611	0.7563859	0.9998763	0.1454625	0.9466680	0.5213923	0.9734613	0.0930255	0.5601552	0.2545066	0.5829307	0.4600361	0.2142190	0.4420336	0.4057893	0.4707607	0.7183062	0.4040734	0.9766494	0.6462622	0.8664412	1.0000000	0.3414602	0.6781149	0.9999993	0.5668176	0.6301583	0.3271564	0.7895341	0.6596601	0.8775308	0.7732400	0.1842180	0.5195655	0.0586100	1.0000000	0.4994882	0.9930664	0.4149775	0.1388807	0.4810736	0.4631839	0.3668162	0.4468032	0.0108394	0.3126744	0.1491348	0.4849088	0.7864330	0.9308970	0.7870116	0.2760840	0.9249766	0.5433380	0.7733413	0.5027799	0.4508288	0.4052899	0.3413643	0.7569594	0.1055598	0.2567769	0.8388710	0.1048517	0.4971869	0.3985392	0.9998933	0.2797093	0.5180535	0.0198790	0.2633009	0.9598722	1.0000000	0.3708531	0.3900681	0.6315053	0.0971026	0.9872391	1.0000000	0.8822243	1.0000000	0.4359254	1.0000000	1.0000000	0.1425159	1.0000000	1.0000000
