"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.1082432	0.4148606	0.4219544	0.6931688	0.5853605	0.7971512	0.5266366	0.4547812	0.9286175	0.3118362	0.6556534	0.9381919	0.4481018	0.5180069	0.8929071	0.9998763	0.1454625	0.9466680	0.5213926	0.9736309	0.4284325	0.5601552	0.5474523	0.0863441	0.0386568	0.2142189	0.7279248	0.0380827	0.0058787	0.6165889	0.0726081	0.4997208	0.9966069	0.2385669	1.0000000	0.1885354	0.6781149	0.9999994	0.6798869	0.6301585	0.6935566	0.7762540	0.6596602	0.9714391	0.7732412	0.0831501	0.5195662	0.0586099	1.0000000	0.2104280	0.9930664	0.4149776	0.2604139	0.8468714	0.4631838	0.3668153	0.4468030	0.5803913	0.3126745	0.2406729	0.4849087	0.9199750	0.9801968	0.3175128	0.0670127	0.9997692	0.5433387	0.6910909	0.0361109	0.6930688	0.6688963	0.9712293	0.7569594	0.2609878	0.2567770	0.8388705	0.0274979	0.4971869	0.5940919	0.9999997	0.2743878	0.8436549	0.9206694	0.9808071	0.8079999	1.0000000	0.3708522	0.3900692	0.6303898	0.0971021	0.9872392	1.0000000	0.9651331	1.0000000	0.8370370	0.3379549	1.0000000	0.0801544	1.0000000	1.0000000
0.6324439	0.1771416	0.1133862	0.0402540	0.3533243	0.4122955	0.9536337	0.1616102	0.6160212	0.0001216	0.7407336	0.7675353	0.4695680	0.5560801	0.0934579	0.9999060	0.1407098	0.1412808	0.6574660	0.9736300	0.5787084	0.8713828	0.9601372	0.1691972	0.1804428	0.0331547	0.3537002	0.3366113	0.4520484	0.9999334	0.3826484	0.9665468	0.7289664	0.7760932	1.0000000	0.2852303	0.7269572	0.2234125	0.2996122	0.7166613	0.4405812	0.2559939	0.7077583	0.0057055	0.9996855	0.0894704	0.6413928	0.9137049	1.0000000	0.4994882	0.9971236	0.4353389	0.0607331	0.5593052	0.3891519	0.2224600	0.3607171	0.1458799	0.3834055	0.2117249	0.1157631	0.9128182	0.9804429	0.7732721	0.2742913	0.9262984	0.6867766	0.8204796	0.4774965	0.4347461	0.4747234	0.7134839	0.1437611	0.3654815	0.5204027	0.7271098	0.0098953	0.5050940	0.1394051	0.9999273	0.2968855	0.6694095	0.0199319	0.3328564	0.9181047	0.7766074	0.3263482	0.2775027	0.6785784	0.0551258	0.9941327	0.5086560	0.9998767	1.0000000	0.6751184	1.0000000	1.0000000	0.1425159	0.3269494	0.7041441
0.2659341	0.1804492	0.1528477	0.0304105	0.5098168	0.5491798	0.8714815	0.1629527	0.7311471	0.0817247	0.3445283	0.9998830	0.9792582	0.8845412	0.2643971	0.9999987	0.1083956	0.0510905	0.9888191	0.3992723	0.0642354	0.5477532	0.4399520	0.4403667	0.8117797	0.3912604	0.5680729	0.8027984	0.6210788	0.9999995	0.4361923	0.9938437	0.1172164	0.3707352	1.0000000	0.7796481	0.8628080	0.3259602	0.9513097	0.0979049	0.1784295	0.1452601	0.2650709	0.0144015	0.3379672	0.9053037	0.0811300	0.7176441	1.0000000	0.4994882	0.1122901	0.8501819	0.7664002	0.4962942	0.9883418	0.9967883	0.9950462	0.0078320	0.0154356	0.7646193	0.7121548	0.3858892	0.6134958	0.6212201	0.1934139	0.4302245	0.1197832	0.1060192	0.5042567	0.3106367	0.4528488	0.6016619	0.0369570	0.4129167	0.0056754	0.9082233	0.0823835	0.2451253	0.2218469	0.9999822	0.4724981	0.8044194	0.0099879	0.2292211	0.8764845	0.9695232	0.5781966	0.0390115	0.7197042	0.9260126	0.8608883	1.0000000	0.9999923	0.6526680	0.8818637	1.0000000	1.0000000	0.0422976	0.1057646	1.0000000
0.0586557	0.4401230	0.6477129	0.9252439	0.8300033	0.9467758	0.5662950	0.6270093	0.5759428	0.0004387	0.7462021	0.4343980	0.4420555	0.1687494	0.8500151	0.9998660	0.1469607	0.4771643	0.5060548	0.8789114	0.6810375	0.5601552	0.5197346	0.5829304	0.1205819	0.0416332	0.2731595	0.1105959	0.0002955	0.7075268	0.2220484	0.9498970	0.9667863	0.4076914	0.2886902	0.4576669	0.3385559	0.9999996	0.5161889	0.6247030	0.8320620	0.7885476	0.6596603	0.9549049	0.9072880	0.0930635	0.6195755	0.0586099	1.0000000	0.3080662	0.9926392	0.4094228	0.1405017	0.4987439	0.2087958	0.2798977	0.3419399	0.0713989	0.8323392	0.4943264	0.4887207	0.0479925	0.9789955	0.6182626	0.2952363	0.3367711	0.8362177	0.5569135	0.1955311	0.4420176	0.4730336	0.1933157	0.5193874	0.0021665	0.2981974	0.8559663	0.0985908	0.5025435	0.3838307	0.9999998	0.5019788	0.7784302	0.8808312	0.9939956	0.9465570	0.0555391	0.2229475	0.4792062	0.6931387	0.0112715	0.9921251	1.0000000	0.9553159	1.0000000	0.8147657	1.0000000	1.0000000	0.0472511	1.0000000	0.2383468
0.0805901	0.3694567	0.5129824	0.8513060	0.7092682	0.9719956	0.9328929	0.5370761	0.4617043	0.0028368	0.6575630	0.8086503	0.0984919	0.0399618	0.5589954	0.5480256	0.2610159	0.9999167	0.0468040	0.8739591	0.5978095	0.5601552	0.9436988	0.5829311	0.1192474	0.1948464	0.4518443	0.3776731	0.3156343	0.9999802	0.4211533	0.9731794	0.6792420	0.8981049	0.3033481	0.6468538	0.2249921	0.9999987	0.5787402	0.6836835	0.8470607	0.7563430	0.6620327	0.8964120	0.4226658	0.1973051	0.4614747	0.0586100	1.0000000	0.1334950	0.9960287	0.1265733	0.0912085	0.8083585	0.4157082	0.5049523	0.2106255	0.3112293	0.3566841	0.1499942	0.4497028	0.7628491	0.7086593	0.8020457	0.2919026	0.9639252	0.3878705	0.4049731	0.8434800	0.8906624	0.4244966	0.5247281	0.7721930	0.0919787	0.6128762	0.8890649	0.0878952	0.4757171	0.4158546	0.9999094	0.2707633	0.4987992	0.6315093	0.9718142	0.8233629	1.0000000	0.3548191	0.2200561	0.7543350	0.7504525	0.9244937	1.0000000	0.8764874	0.5493530	0.4009345	1.0000000	1.0000000	0.1425159	0.6840534	0.4787118
0.0802767	0.4300306	0.5143628	0.5709856	0.9822231	0.8951928	0.5468263	0.5381597	0.6913786	0.0000412	0.4306278	1.0000000	0.8216309	0.8022452	0.0416727	0.9999988	0.1116948	0.5710184	0.9476559	0.3769869	0.0642354	0.5601552	0.0631467	0.5829469	0.5270378	0.2057805	0.7495265	0.3969296	0.3871080	0.9553336	0.4907065	0.9756281	0.2505457	0.8631864	1.0000000	0.0176367	0.6785838	0.9999788	0.3862933	0.6525199	0.2890242	0.6667944	0.6596491	0.9636854	0.7904068	0.9923292	0.8098132	0.0586124	0.3623050	0.9767313	0.9945315	0.4395314	0.1339795	0.9384200	0.4427602	0.2632770	0.4227702	0.0044883	0.3310604	0.0347579	0.4698071	0.5263282	0.0435057	0.8952464	0.0082259	0.9999833	0.4347036	0.9074701	0.5532496	0.9786122	0.4958055	0.4571744	0.7227999	0.0029073	0.3718880	0.7694431	0.0010996	0.0005012	0.3474759	1.0000000	0.2869152	0.0468271	0.6353879	0.3187310	0.4173796	1.0000000	0.7020616	0.0820761	0.7421827	0.0905515	0.9880519	0.2429228	0.9972060	0.0595042	0.0256476	0.0083820	1.0000000	0.0684469	0.4100061	1.0000000
0.0802769	0.4300291	0.5143627	0.8644338	0.7384601	0.9767279	0.9459194	0.7202220	0.6913852	0.0000582	0.6607789	1.0000000	0.7418691	0.1028304	0.1709332	0.9999935	0.0088786	0.6723197	0.9181204	0.9736297	0.4821079	0.5601552	0.2828250	0.5829315	0.0814547	0.0120366	0.4079013	0.3761074	0.3870519	0.7181165	0.6857412	0.9729612	0.6811322	0.8768812	1.0000000	0.0580773	0.6805344	0.9999983	0.3862970	0.7805903	0.3682255	0.9447473	0.6596596	0.8860301	0.7652960	0.0842753	0.7477824	0.0586101	1.0000000	0.4807435	0.9990395	0.2840275	0.0668740	0.6646831	0.1454310	0.3579386	0.3091271	0.0010648	0.4337068	0.2955723	0.0560725	0.9173891	0.9823798	0.9621753	0.0016716	0.9999998	0.5656077	0.7686142	0.6450003	0.9990138	0.6185660	0.5091730	0.7735691	0.2590756	0.9176742	0.8343760	0.1065590	0.4979777	0.3656227	1.0000000	0.2754410	0.5187461	0.8611945	0.9896684	0.5958604	1.0000000	0.9512506	0.0367344	0.6875102	0.1005170	0.9868335	0.1129998	0.7076256	1.0000000	0.9414169	0.3405611	1.0000000	0.1425159	0.7585740	1.0000000
0.0802770	0.0244292	0.5143625	0.7580114	0.6700990	0.9664150	0.5468244	0.3484984	0.7416471	0.0001551	0.6374085	0.3984639	0.4456033	0.7674073	0.7461579	0.9999864	0.1460799	0.9478918	0.6764584	0.9546957	0.0644907	0.5601552	0.2362102	0.4631735	0.0879571	0.2151110	0.4417933	0.3305904	0.3868383	0.7305397	0.9109587	0.9653762	0.6235012	0.9091440	1.0000000	0.3603247	0.6780657	1.0000000	0.6158471	0.6279081	0.6818413	0.8977360	0.6596605	0.8775313	0.6647929	0.4101686	0.5095498	0.0586099	1.0000000	0.4994882	0.9948697	0.4126503	0.1395374	0.8032451	0.4653224	0.3819209	0.4493300	0.0002615	0.3107944	0.0882520	0.2003278	0.2146385	0.6574239	0.9817284	0.2682357	0.2256930	0.5309843	0.7907830	0.6121002	0.4589935	0.9624164	0.6015520	0.9290387	0.0146642	0.2963645	0.8460654	0.0756400	0.3106127	0.2677321	0.1120028	0.2725609	0.3253659	0.6784103	0.8485933	0.9972016	0.6092013	0.3872124	0.5253598	0.5804189	0.1718550	0.9799130	1.0000000	0.9347507	1.0000000	0.1270103	1.0000000	1.0000000	0.1425159	0.0410884	1.0000000
0.4497451	0.3705592	0.0212692	0.0000310	0.4384175	0.4066693	0.1167179	0.0579598	0.6667535	0.3555260	0.7423351	0.7167850	0.2812490	0.0891837	0.0969783	0.9996455	0.2337879	0.9924461	0.5069489	0.4594426	0.0000024	0.9859349	0.7506888	0.9993430	0.0164412	0.1258310	0.5865145	0.4004250	0.9706153	0.9999996	0.3851663	0.9760433	0.6524321	0.8678059	1.0000000	0.3038656	0.6966894	0.1705199	0.0789820	0.9868817	0.8397649	0.4041424	0.0695508	0.8630641	0.2936702	0.9999624	0.3422251	0.9672131	1.0000000	0.1056471	0.9996803	0.2753636	0.2179178	0.6075532	0.2357836	0.3113600	0.1967332	0.0069925	0.5766847	0.6886226	0.3059339	0.5258847	0.2497817	0.6802251	0.0302852	0.9997819	0.6308726	0.9384370	0.7812054	0.2802265	0.1823942	0.3274810	0.7701424	0.0023736	0.2476535	0.8950820	0.0861099	0.0003318	0.1839706	1.0000000	0.2673858	0.0468255	0.0198119	0.0228725	0.9903126	0.9765808	0.0449637	0.9845613	0.5058981	0.9653803	0.8012012	1.0000000	0.8857382	0.4506672	0.0256476	1.0000000	0.4410715	0.0871175	0.7332621	0.8990258
0.1651024	0.4384625	0.3233776	0.9892265	0.5419069	0.8312964	0.4945178	0.3347152	0.6926462	0.2960557	0.6638757	0.9890924	0.1795977	0.6343040	0.9444516	0.9745488	0.2438192	0.5532678	0.0587181	0.9736325	0.9999398	0.3352793	0.7778983	0.5735357	0.5395131	0.0744784	0.0938435	0.0426971	0.0161623	0.7273797	0.1316578	0.3360816	0.9956548	0.9989154	1.0000000	0.6457519	0.6599627	0.9999903	0.4620410	0.3040604	0.2796845	0.6557178	0.9729030	0.8775251	0.6965968	0.0315764	0.4434809	0.0079503	0.6350501	0.8392279	0.5196235	0.1961305	0.4495656	0.9976643	0.8357541	0.6459291	0.1500524	0.2600713	0.0775052	0.2002096	0.2113140	0.9554994	0.9970653	0.4511713	0.3668668	0.9834615	0.6691887	0.6733526	0.2545722	0.7047414	0.1934774	0.5188154	0.9699623	0.0000629	0.4664806	0.9179802	0.0204009	0.4304778	0.3721667	0.9998168	0.3365544	0.7187324	0.1010860	0.9907280	0.2518241	1.0000000	0.6193234	0.8099727	0.3705041	0.1422096	0.9825349	1.0000000	0.7660695	0.1268821	0.7327696	1.0000000	0.6821494	0.2757730	1.0000000	1.0000000
