"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.4414373	0.0990688	0.0665834	0.0071221	0.2066694	0.5806610	0.3111330	0.0245499	0.3198912	0.2124283	0.4163733	0.4838644	0.2405776	0.1140001	0.5245208	0.6741283	0.1075483	0.6841155	0.1875282	0.7001861	0.0946865	0.3253592	0.1387460	0.3197587	0.2326659	0.1027896	0.2859320	0.2785029	0.2883626	0.3975715	0.2079582	0.7096404	0.2987048	0.5907127	0.6047054	0.2909916	0.4489570	0.6399303	0.2948139	0.3527498	0.3026471	0.6458265	0.4073127	0.5373700	0.4941084	0.1285473	0.2986015	0.0059308	0.5169045	0.4294199	0.4805107	0.2332050	0.0729269	0.3325878	0.3303737	0.2467185	0.2266549	0.0055480	0.1907398	0.1026743	0.2571877	0.5082714	0.6156556	0.5495261	0.2503534	0.5275860	0.4027668	0.4220944	0.4194954	0.2277034	0.2822175	0.2274400	0.5449891	0.0804927	0.1436342	0.4756172	0.0953779	0.4144459	0.2435034	0.6410813	0.1270992	0.3259255	0.0306371	0.1547253	0.7609462	0.6662222	0.3635077	0.1827802	0.3326806	0.0756548	0.6653086	0.4947895	0.5498677	0.6166493	0.2994846	0.5766254	0.6956492	0.0700680	0.6587887	0.7212916
50.0	0.2455967	0.1146464	0.0673469	0.0145631	0.1656987	0.4201571	0.2540057	0.0196395	0.2725829	0.1591393	0.3650039	0.6151970	0.2761088	0.0970018	0.5251015	0.5685641	0.0966924	0.6448915	0.2733319	0.4964801	0.0682662	0.3137229	0.1689746	0.3884787	0.2944064	0.1523441	0.3371079	0.2680491	0.2322827	0.3553773	0.2481441	0.6795122	0.3001113	0.6055443	0.6338139	0.2508365	0.4736698	0.6614592	0.3111184	0.4187677	0.2144887	0.4177724	0.4291400	0.5204318	0.5688750	0.1032047	0.3344379	0.0479698	0.6194671	0.3118700	0.6150221	0.2279988	0.0734725	0.3014996	0.2132913	0.2556439	0.2537741	0.0061934	0.2199475	0.1399600	0.3516056	0.4467222	0.5286122	0.5079763	0.1876481	0.5823782	0.3362569	0.5992503	0.2799787	0.2424162	0.2776432	0.2567968	0.4913711	0.0695815	0.2285142	0.5771769	0.0534831	0.3362776	0.2322787	0.6790326	0.1254454	0.3542325	0.0211121	0.1604692	0.6265576	0.6710161	0.2311954	0.1992250	0.4840469	0.0300577	0.5295114	0.5909163	0.6879141	0.6996355	0.3378912	0.7632270	0.6983256	0.1370367	0.6691858	0.6271425
100.0	0.0473739	0.1496382	0.0403326	0.0768735	0.2767690	0.6144879	0.2213589	0.0785199	0.3872444	0.2052168	0.4042674	0.5916928	0.2862689	0.1170136	0.4423999	0.5704851	0.1650040	0.6211212	0.2400061	0.5202800	0.1143369	0.3841260	0.1293954	0.4964603	0.2964509	0.1230366	0.2515215	0.2405188	0.4084883	0.4964993	0.3293759	0.5443932	0.3676974	0.5116045	0.6291108	0.1624381	0.4342009	0.5868930	0.3575125	0.3719197	0.2081831	0.5800665	0.4578336	0.4702960	0.5115121	0.0703616	0.2595761	0.0465029	0.5768356	0.4156141	0.6697983	0.2501808	0.0522819	0.3237870	0.2351199	0.1696981	0.2102874	0.0074600	0.1631977	0.1171041	0.3136564	0.4545790	0.6660264	0.5466994	0.1434333	0.6285522	0.3391786	0.5766505	0.2545818	0.2843789	0.3350497	0.1898014	0.6675247	0.0451353	0.2050111	0.5949211	0.0488269	0.3512449	0.2438706	0.5937440	0.2261002	0.2998715	0.0132860	0.1328585	0.6172043	0.6199225	0.2459060	0.3120957	0.5789731	0.0591776	0.6093685	0.6232952	0.4796659	0.6964273	0.2943738	0.6619890	0.6108472	0.0778665	0.5222010	0.5850847
150.0	0.0100234	0.2043103	0.0086713	0.2301228	0.3653294	0.5890960	0.1345953	0.1273296	0.4949779	0.2170677	0.4142978	0.6209383	0.3758701	0.1294889	0.5240258	0.7111478	0.1384842	0.5653712	0.2061831	0.6246890	0.1379206	0.3805200	0.1762990	0.3894830	0.2756906	0.1367119	0.3015686	0.2823289	0.3448519	0.4253118	0.1918401	0.5816318	0.4376879	0.6733094	0.7115137	0.2752945	0.3817442	0.5394208	0.3055099	0.2974723	0.2380679	0.5205856	0.5384413	0.4391977	0.5119778	0.1063886	0.3497901	0.0403385	0.6042297	0.3673465	0.7376531	0.2031775	0.0958133	0.2360145	0.2981177	0.2206619	0.2337177	0.0106252	0.2551819	0.0953756	0.3323827	0.5831351	0.5875357	0.4681822	0.1550793	0.5742069	0.3219767	0.5265342	0.3025244	0.3471392	0.2522884	0.3074057	0.4926127	0.0723662	0.1340503	0.4851333	0.0732385	0.3489123	0.2310094	0.6778400	0.1535038	0.2821780	0.0122379	0.1227413	0.6056419	0.6835791	0.2429504	0.3146756	0.4970007	0.0213032	0.6441876	0.6972508	0.4994666	0.5841400	0.2504850	0.6987237	0.7394628	0.1343889	0.5063171	0.6695051
200.0	0.0078656	0.2427605	0.0266907	0.2090001	0.4614387	0.5013038	0.1423519	0.1765462	0.3934856	0.1577545	0.3583553	0.5883985	0.2819830	0.0815184	0.4136798	0.6205261	0.1415174	0.6087001	0.3677004	0.6188014	0.0967290	0.3792372	0.2496684	0.3545219	0.3436114	0.1577196	0.2130326	0.3130698	0.4099248	0.4704787	0.2231265	0.7285115	0.4803792	0.6720907	0.6916107	0.2921052	0.3431813	0.6561337	0.3652949	0.3586944	0.2393606	0.5789495	0.4033559	0.5718799	0.5300763	0.1275514	0.3973648	0.0518729	0.7119005	0.3300927	0.8258525	0.2527503	0.0847706	0.2508382	0.2284937	0.2048340	0.3042482	0.0225263	0.1957428	0.0991512	0.3527838	0.5551701	0.5748911	0.5281916	0.1488861	0.6982846	0.3212929	0.5193884	0.2380731	0.2206439	0.2811665	0.2037816	0.3697099	0.0958780	0.1104911	0.5289056	0.0792534	0.3205462	0.3333286	0.5509879	0.1759321	0.2707451	0.0079851	0.0485538	0.6413995	0.6611648	0.2099700	0.2457722	0.4187764	0.0695093	0.6108484	0.7292420	0.5828987	0.6119585	0.3192425	0.5903771	0.6247913	0.1152717	0.7558131	0.7346173
250.0	0.0021701	0.2843570	0.0076922	0.3177601	0.4083663	0.6929505	0.0541284	0.2315022	0.3530517	0.1513939	0.4133289	0.5891790	0.2699734	0.1099636	0.4886813	0.7123212	0.0949898	0.5655787	0.3995988	0.7104084	0.0793136	0.4105063	0.2164391	0.3196553	0.2276746	0.1950070	0.2680218	0.2885612	0.5356146	0.3849689	0.2782981	0.6130979	0.4387978	0.4550653	0.7200919	0.2279577	0.5053293	0.5909414	0.4034935	0.4106328	0.1901948	0.5236984	0.4332366	0.5537138	0.5153687	0.1481753	0.4352914	0.0295780	0.5273584	0.3710760	0.5404907	0.1999321	0.0971000	0.3864627	0.2145055	0.2377332	0.3499972	0.0092141	0.1691676	0.1255233	0.3753766	0.5382055	0.5794370	0.5011747	0.2110517	0.7741229	0.3705963	0.5503185	0.3106570	0.2557853	0.2686537	0.2197587	0.4594606	0.0664733	0.2075414	0.5023983	0.1183904	0.3378799	0.3329638	0.6719818	0.1282995	0.4009430	0.0047947	0.0394906	0.6101383	0.6267796	0.2082984	0.2593206	0.4993637	0.0484095	0.6286096	0.5900189	0.6090963	0.7771438	0.2507655	0.5751692	0.6177616	0.1265747	0.6553773	0.6695819
300.0	0.0000000	0.3473422	0.0029715	0.2945991	0.2917098	0.6916355	0.0863779	0.2135845	0.3822195	0.1436735	0.4137961	0.6183034	0.2136638	0.0987141	0.5145184	0.5626660	0.1497036	0.5152982	0.4421845	0.5631821	0.0821751	0.4005444	0.1812201	0.3375734	0.2478955	0.1498421	0.3419159	0.3284627	0.4218309	0.3592817	0.3223568	0.7958110	0.3842606	0.4683978	0.6886967	0.1820418	0.3816323	0.7160981	0.4472181	0.4266176	0.2240723	0.5439483	0.3941520	0.5613603	0.6118323	0.0936076	0.3488375	0.0354685	0.6497514	0.2955120	0.6145765	0.1844100	0.0824392	0.2930844	0.2747986	0.1778289	0.3326799	0.0084242	0.1780561	0.1194591	0.3574398	0.4441706	0.4787729	0.7707385	0.1380943	0.7566105	0.2950391	0.5048382	0.3357270	0.3346832	0.2645546	0.2988840	0.3977462	0.0639825	0.1933423	0.6023683	0.1228003	0.2606692	0.3186924	0.6876421	0.1922738	0.3341165	0.0090056	0.0116468	0.5706873	0.6820408	0.2161739	0.2874476	0.3389199	0.0471711	0.5952069	0.6014574	0.5011638	0.6701593	0.2319201	0.5669161	0.5535173	0.0966933	0.6114332	0.7061954
350.0	0.0000000	0.2610494	0.0054792	0.3426930	0.3146540	0.7112743	0.0422757	0.1628180	0.4903274	0.1969901	0.3481980	0.5193603	0.2309752	0.1403734	0.4756630	0.5419813	0.1291704	0.6015529	0.2613704	0.6376413	0.0482001	0.3433635	0.1690305	0.3525798	0.2835165	0.1786958	0.3411303	0.3346101	0.6741826	0.4887844	0.3225502	0.6456989	0.4395456	0.5253505	0.6565710	0.2153021	0.4514615	0.6925792	0.2822370	0.4127529	0.1806487	0.5137784	0.4129915	0.5870307	0.5677361	0.0737860	0.3955567	0.0425263	0.7066570	0.3448258	0.5957063	0.3660493	0.1363287	0.3072684	0.3844089	0.2268168	0.2215232	0.0020134	0.2111313	0.1031499	0.2731207	0.4771409	0.5580444	0.5096444	0.1277714	0.6274544	0.3092756	0.3966197	0.2737507	0.2848036	0.1861407	0.2199923	0.5843965	0.0608628	0.1528254	0.5189843	0.0871627	0.2707028	0.2524940	0.5688824	0.2203557	0.3492428	0.0044640	0.0204382	0.4979386	0.6948599	0.2058000	0.3395046	0.3185891	0.0560687	0.7031393	0.8114022	0.5478337	0.6860526	0.2941106	0.7790668	0.6722133	0.1204935	0.5605865	0.5587379
400.0	0.0000000	0.3035369	0.0070518	0.3339339	0.3882174	0.5977083	0.0759603	0.1581825	0.4430178	0.1767201	0.4606387	0.6561377	0.2810688	0.1195540	0.5326271	0.5666822	0.0885900	0.6298772	0.2342045	0.7001545	0.0669443	0.3547074	0.1744988	0.3971149	0.3039915	0.1257330	0.4479872	0.2353240	0.5243532	0.3504598	0.2676789	0.6256869	0.4269318	0.6657371	0.6492468	0.2117033	0.3978090	0.5718455	0.3870630	0.4039786	0.3050651	0.4345544	0.5355856	0.4902822	0.5432930	0.1038312	0.3534283	0.0225849	0.6484355	0.4678393	0.5365565	0.2850002	0.0896265	0.3033248	0.1914918	0.2298624	0.1762737	0.0048807	0.2334113	0.0872195	0.2411224	0.5104451	0.5627442	0.4946333	0.2809137	0.6560540	0.3965947	0.4844941	0.3277606	0.2786453	0.2341160	0.1790153	0.5055622	0.0771732	0.1301381	0.5425362	0.0753637	0.3474918	0.2663484	0.6049751	0.1363675	0.2897009	0.0116499	0.0204946	0.5079373	0.6932443	0.1816865	0.3463871	0.3696269	0.1166414	0.6475642	0.6424756	0.5465704	0.5510167	0.3236234	0.6695357	0.6643774	0.0991844	0.6529350	0.5960374
