"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.6781709	0.1464534	0.1010925	0.0186295	0.3142591	0.8304559	0.4667241	0.0403434	0.5013935	0.2561169	0.6293211	0.9148743	0.4046947	0.1650050	0.7435162	0.9150290	0.1434634	0.9713935	0.4026809	0.9440405	0.0846876	0.5794416	0.1998179	0.5629886	0.4126036	0.2198095	0.4587963	0.3988429	0.4760949	0.6512222	0.4379533	1.0802109	0.5912059	0.8570961	0.9843518	0.3978428	0.6949949	1.0400081	0.5628186	0.6066199	0.3329935	0.7929438	0.6514309	0.8570141	0.8233692	0.1709317	0.5440563	0.0378780	0.9928846	0.5312878	0.9378796	0.3760369	0.1016735	0.5400109	0.4065666	0.3344364	0.4198757	0.0114297	0.3044188	0.1982217	0.5182614	0.7959325	0.8814595	0.8862254	0.3039005	0.9291000	0.5739028	0.8050049	0.4945091	0.4628700	0.4234818	0.3762194	0.7131940	0.0787964	0.2524810	0.7819160	0.0855510	0.5460973	0.3816492	0.9656199	0.2779642	0.5652722	0.0308870	0.2729781	1.0073494	1.0095997	0.4272014	0.3143100	0.6023868	0.0651279	0.8852621	1.0364756	0.8993319	1.0585706	0.4261294	1.0190276	0.9774941	0.1517268	1.0577113	1.0244442
50.0	0.0251313	0.2054855	0.0744137	0.0317467	0.4152063	0.7320656	0.4207048	0.0716185	0.6034051	0.2533082	0.6319185	0.9641734	0.3621851	0.1523766	0.7120487	0.9666371	0.1440375	0.9524390	0.3988134	0.9177620	0.1073581	0.5632726	0.1925275	0.6238118	0.4681865	0.1960466	0.4456060	0.3795696	0.5201140	0.6621775	0.4353605	1.0260513	0.5960720	0.8060877	0.9098234	0.2989366	0.6994102	1.0555866	0.5861798	0.5822530	0.3320480	0.7531539	0.6562908	0.9141746	0.8033877	0.1601362	0.5830386	0.0570192	0.9265592	0.5603628	0.9338513	0.3896760	0.1313095	0.5229393	0.3906587	0.3147044	0.4300883	0.0132091	0.3240538	0.1618855	0.4580161	0.7835451	0.9593145	0.8768470	0.2602965	0.9490093	0.6299681	0.8076498	0.4525514	0.4554916	0.4296583	0.3663518	0.7188350	0.0761955	0.2994077	0.8148140	0.1016271	0.4988317	0.3636662	1.0377304	0.2810975	0.6419715	0.0302924	0.2908830	0.9383605	1.0123537	0.3922159	0.4001493	0.6415069	0.0961627	0.9475742	1.0462864	0.8713507	1.0857538	0.4588645	1.0907751	1.0197956	0.1446228	1.0032610	0.8947791
100.0	0.0000000	0.3093641	0.0283418	0.3021976	0.4963384	0.8360968	0.3101455	0.1673885	0.6777732	0.2611701	0.6180961	0.9980443	0.3668519	0.1530406	0.8068398	0.9503109	0.1716525	0.9713273	0.3948289	0.9457954	0.2828658	0.5942453	0.1981505	0.6729701	0.4748166	0.1685954	0.4400257	0.3474286	0.5751529	0.7002366	0.4283245	0.9902058	0.6347641	0.9008545	0.9737929	0.3387065	0.6608382	0.9877630	0.5740996	0.6221208	0.3553713	0.7787402	0.6567820	0.8606634	0.7271217	0.1746559	0.5051581	0.0624334	1.0152393	0.5278357	1.0427285	0.3944346	0.0922342	0.5435127	0.4167371	0.3317584	0.4033105	0.0069770	0.3454330	0.1791830	0.4932722	0.8063863	1.0015888	0.7583915	0.2524271	0.9488904	0.6106423	0.8092103	0.4962102	0.4197185	0.4325854	0.3836632	0.7903797	0.1169098	0.2938752	0.7721545	0.1030016	0.4982472	0.3716331	1.0336689	0.2718203	0.5284477	0.0282438	0.1408037	0.9573562	1.0886514	0.3320827	0.4753717	0.7105198	0.0638151	0.9883935	1.0198993	0.7951371	1.0539556	0.5238190	1.0871075	1.0348443	0.1763546	0.9888925	1.0638043
150.0	0.0000000	0.4095728	0.0096597	0.4552316	0.5712452	0.9748662	0.2001493	0.2200519	0.6422239	0.2987212	0.6772431	0.9558278	0.4466330	0.1812595	0.7092948	0.9865030	0.1662866	0.9984339	0.4703766	0.9998532	0.1814394	0.5766082	0.3105118	0.6137349	0.4730750	0.1922862	0.4046603	0.3708055	0.7004543	0.7464580	0.3928539	0.9731717	0.5920605	0.9398678	0.9823526	0.3565898	0.6127742	1.0419547	0.5163718	0.5990730	0.3247087	0.7582190	0.6744755	0.8661007	0.7330104	0.2220090	0.5121779	0.0670459	1.0029254	0.5731832	1.0212701	0.3820568	0.1593336	0.4407759	0.4259067	0.3417248	0.4498822	0.0020441	0.2998998	0.1594132	0.5150973	0.8103209	1.0485437	0.7734099	0.2730721	0.9502832	0.5440451	0.7387028	0.5335453	0.4840318	0.4465760	0.3389214	0.7261222	0.1361050	0.2109071	0.8397174	0.0985192	0.5018964	0.3819770	0.9545098	0.2431224	0.5505836	0.0260501	0.0717212	0.9083175	1.0025709	0.3793313	0.4102004	0.6571770	0.0824176	1.0302932	0.9523635	0.7666127	1.0387419	0.4727896	1.0741433	0.9958604	0.1572406	1.0439532	1.1005848
200.0	0.0000000	0.5226267	0.0038814	0.4961260	0.5735073	1.0054367	0.1330902	0.3245690	0.6756123	0.3077863	0.6431456	0.9091150	0.4953267	0.1572471	0.7629926	1.0220524	0.1524783	0.9858942	0.5938340	1.0237009	0.1150452	0.5240776	0.2830222	0.6054721	0.4404041	0.2471425	0.4085912	0.4689686	0.9210889	0.7248719	0.3928782	1.0060692	0.7080462	0.8919043	1.1303705	0.3168028	0.6693289	1.0481695	0.5766387	0.6316840	0.3008482	0.8212262	0.6756715	0.8325185	0.8488879	0.1799025	0.5246322	0.0795080	0.9660632	0.5329418	0.9824604	0.4390432	0.1470641	0.4713266	0.4759758	0.3715859	0.4709713	0.0220958	0.2705848	0.1593052	0.4844466	0.7784528	0.9433564	0.7443019	0.2716748	1.0001983	0.5415796	0.7905730	0.4587043	0.4522376	0.3931279	0.3591483	0.8134738	0.1105611	0.2275453	0.7517836	0.1093544	0.5554254	0.4502295	1.0245882	0.2879423	0.5225660	0.0225711	0.0280288	0.9265982	1.0691550	0.3249322	0.4348918	0.6368278	0.0966419	1.0222713	0.9499323	0.8396094	1.0228687	0.4434428	0.9552084	0.9819403	0.1670698	1.0152707	1.0491095
250.0	0.0000000	0.4600838	0.0036589	0.4644524	0.5589071	0.9876455	0.0805060	0.3269556	0.6274688	0.2698733	0.7335668	0.9236888	0.4165140	0.1738236	0.8108628	1.0456968	0.1660757	0.9604603	0.6310713	0.9104031	0.1099376	0.5151654	0.3659671	0.5605418	0.4428890	0.1979254	0.4229542	0.3517115	1.0300640	0.6867999	0.4336135	1.0708460	0.6127904	0.8229751	1.0930827	0.2855324	0.6667602	1.0534373	0.5113411	0.7216272	0.3235100	0.7751769	0.6813158	0.8866033	0.8451752	0.1614465	0.4845197	0.0412104	1.0114182	0.5387494	0.9308563	0.4629465	0.1894585	0.4606615	0.5380664	0.3851690	0.5094132	0.0048416	0.2682281	0.1676041	0.5357446	0.8088314	0.9045809	0.8210057	0.2633619	1.0573263	0.5186267	0.7691429	0.4765287	0.4542268	0.3599635	0.3189090	0.7307130	0.0911232	0.2483118	0.8231715	0.1521545	0.4985493	0.4701635	0.9444053	0.3073449	0.5343078	0.0176009	0.0172217	0.9629861	1.0486656	0.3681951	0.3731569	0.6752457	0.0865275	1.0034336	0.9732816	0.8478884	1.0069266	0.3832807	0.8788271	1.0236575	0.1706880	0.9763735	1.0464024
300.0	0.0000000	0.4537807	0.0010611	0.4561475	0.5146542	1.0213361	0.0885442	0.3144086	0.6672279	0.2849997	0.7221621	0.9454569	0.4321133	0.1826224	0.8581665	1.0698335	0.1659813	0.9966022	0.6290402	0.9512773	0.0767185	0.4291825	0.2987934	0.5659443	0.4236950	0.2365235	0.4931096	0.4528835	0.9986781	0.6711639	0.4135259	1.0116105	0.6434039	0.8244040	1.0178707	0.2974856	0.6521757	1.0812871	0.5744384	0.7423222	0.3716036	0.8044063	0.6851559	0.8491784	0.8127490	0.1812536	0.4757189	0.0549676	0.9953082	0.4443040	0.9331021	0.5013471	0.1161251	0.4736676	0.3758364	0.3781821	0.4114295	0.0041269	0.3395056	0.1679989	0.4419748	0.7453581	0.9018480	0.9076676	0.2748236	0.9843207	0.5618222	0.8248959	0.4639129	0.4205524	0.3699536	0.3400845	0.7333356	0.0727805	0.2209608	0.8595968	0.1696138	0.4948462	0.4178972	0.9424668	0.2785763	0.6118338	0.0176340	0.0183976	0.9663384	1.0674625	0.3712219	0.4254250	0.6333489	0.1102098	0.9711833	1.1157516	0.8984220	0.9279578	0.4036297	0.9569695	0.9610726	0.1588548	0.9066711	1.0234570
350.0	0.0000000	0.4154934	0.0006678	0.5632870	0.5135046	0.9976182	0.0682640	0.3009847	0.6584650	0.2482238	0.6580018	0.8943377	0.4944376	0.2251514	0.7515344	0.9425698	0.1638126	0.9971731	0.3530155	0.9340800	0.1010094	0.5278646	0.2526813	0.5421264	0.4441525	0.1829156	0.4993501	0.4058819	1.0389965	0.6675438	0.4197322	0.9155973	0.6397938	0.8258332	0.9886591	0.3560647	0.6684376	0.9594078	0.6203979	0.6166524	0.3776696	0.7649929	0.7091016	0.8111230	0.7965467	0.1614194	0.4968140	0.0444126	0.9764606	0.5299129	1.0380339	0.4650840	0.1021214	0.5247533	0.3657673	0.3503898	0.3658425	0.0040160	0.3287722	0.1609882	0.4410624	0.8443692	0.9121504	0.8585099	0.3127531	0.9640539	0.6261071	0.7690466	0.4958197	0.4510314	0.3723678	0.3041424	0.7600808	0.1029692	0.2158328	0.7980077	0.1237537	0.4673228	0.3976813	0.9342567	0.2659942	0.5355765	0.0269039	0.0230751	0.9003179	1.0589148	0.3356767	0.4393581	0.5180727	0.1115468	0.9860429	1.0614716	0.8772214	0.8576638	0.4923275	1.0480773	1.0241116	0.1129906	0.8993941	0.9827921
400.0	0.0000000	0.4366871	0.0010456	0.5515604	0.5208500	0.9734180	0.0614772	0.2971055	0.6785673	0.2783573	0.5995729	0.9166636	0.4251398	0.1975092	0.8103040	1.0105771	0.1480853	0.9021396	0.4668255	1.0498214	0.1283710	0.5443498	0.2572551	0.5658271	0.4225974	0.2070201	0.5411323	0.3971716	0.9613505	0.7067310	0.4201288	1.0247632	0.6166259	0.8014648	0.9610988	0.3412016	0.6198822	1.0581251	0.6716225	0.6147917	0.3687338	0.7113661	0.6295444	0.8568533	0.8294131	0.1962725	0.5365989	0.0566795	1.0340891	0.5013512	0.9841233	0.4065791	0.1246074	0.4870666	0.4138642	0.3216636	0.3269141	0.0019380	0.3661032	0.1842820	0.4500054	0.7181961	0.9476241	0.7453965	0.2226422	0.9797333	0.5734363	0.8165999	0.4708753	0.4217787	0.4319566	0.3684142	0.7847807	0.1342433	0.2310863	0.8392485	0.1342248	0.4996180	0.4278628	0.9156952	0.3525973	0.4804496	0.0193689	0.0265546	0.8827088	0.9911296	0.2629673	0.4595779	0.5591371	0.0864992	0.9633646	0.9981123	0.8579236	0.9338886	0.4680772	1.0280323	0.9864893	0.1373710	0.9195736	1.0639423
