"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.0000000	0.4623124	0.0005806	0.4729074	0.5309856	1.0464278	0.0512219	0.3396689	0.6633495	0.3185309	0.6870709	0.9815168	0.4114546	0.1718682	0.7963348	1.0293869	0.0974550	0.9937755	0.5650571	0.9637346	0.0944482	0.6202657	0.2350605	0.6227411	0.4001184	0.2353210	0.3770384	0.4376905	1.0670618	0.6722545	0.4218044	0.9027443	0.6907071	0.9165877	0.9392477	0.4730318	0.7501893	0.9819515	0.5736591	0.6059677	0.3389700	0.8060625	0.7112465	0.8706714	0.7425997	0.2521101	0.5263544	0.0713607	0.9722870	0.5056025	1.0096100	0.3797302	0.1598575	0.4657772	0.5031687	0.5246621	0.5254871	0.0116463	0.3208184	0.1291188	0.5970969	0.7650712	0.9490281	0.9002414	0.2647829	0.8704894	0.4932552	0.8120689	0.5013231	0.5341681	0.4203102	0.3919165	0.7258238	0.1192723	0.2807101	0.8564182	0.0861696	0.4210824	0.3500293	0.9967441	0.2914483	0.4295807	0.0083964	0.0243984	0.9062308	0.9073080	0.5115963	0.3361707	0.6985906	0.1025553	1.0779811	0.9704562	0.9616642	0.9746987	0.3443053	1.0083284	1.0634480	0.1277466	1.0178377	1.0651260
0.5662418	0.0000000	0.1092680	0.0289108	0.3958705	0.8831277	0.4998497	0.1025691	0.4933693	0.3277515	0.6438383	0.9025120	0.4038486	0.1471138	0.9016688	1.1391093	0.1663207	0.8866923	0.4370467	1.0980326	0.1166921	0.5002396	0.1837211	0.5430868	0.5329678	0.2199335	0.4662427	0.5165367	0.4206776	0.7326062	0.4183743	1.0261236	0.6136819	0.9384819	1.0220870	0.3398175	0.6632308	1.0695834	0.6131311	0.6370656	0.3150468	0.7628925	0.6766103	0.9185953	0.8029747	0.2223780	0.4943509	0.0637994	1.0259523	0.4110749	1.1041860	0.4404223	0.1572589	0.5119070	0.4726763	0.3379967	0.4211727	0.0114321	0.3665328	0.1226520	0.4788832	0.8005259	0.9401606	0.8136415	0.2928854	0.9941795	0.5542300	0.7432668	0.5158551	0.4880390	0.3981187	0.3457212	0.7205855	0.1060332	0.2638434	0.8456641	0.0964179	0.4291525	0.4171751	1.0657350	0.3082016	0.4730748	0.0169967	0.4520109	0.9294651	1.0731163	0.3927836	0.3947822	0.7035370	0.0937616	1.0077264	1.0086593	0.8500036	1.0918164	0.3097773	1.0682530	0.9372313	0.1830035	1.0488036	0.9735294
1.1107652	0.1340985	0.0000000	0.0006579	0.2362822	0.7756677	0.4322204	0.0140666	0.7056609	0.2690796	0.6762631	0.9022943	0.4005673	0.1792479	0.8958440	1.0756703	0.1687886	0.9141055	0.7047127	0.9243025	0.0771607	0.5986935	0.3195913	0.5797215	0.4354036	0.1811295	0.4352291	0.3667625	0.9354479	0.7363593	0.3463179	0.9530108	0.6350319	0.8032986	0.9911286	0.3108014	0.7053494	1.1070381	0.5588995	0.6240076	0.3511570	0.7249426	0.6349025	0.8281603	0.8083050	0.1961234	0.5001497	0.0497144	0.9962855	0.5062904	0.9826522	0.4268035	0.1081851	0.4999276	0.4237669	0.3421207	0.3862839	0.0103241	0.3058177	0.1835814	0.5022080	0.7559963	0.9283972	0.7739561	0.3183700	0.9032055	0.5396328	0.7634717	0.5225511	0.5230391	0.4475242	0.3285361	0.7305947	0.0773528	0.2526797	0.7590102	0.1140549	0.5577665	0.4175582	1.0162236	0.2853978	0.5391803	0.0173031	0.0497522	0.9573259	0.9373443	0.4152406	0.3798465	0.6346193	0.0963440	1.0153053	1.1219047	0.8039403	0.9740525	0.4526205	0.9703822	1.0269193	0.1749820	0.8988145	1.0506474
0.8122934	0.1857879	0.0827668	0.0000000	0.3336940	0.7854877	0.4821778	0.0385416	0.5650121	0.2821620	0.6791970	0.9970644	0.4392417	0.1694059	0.7214086	0.8977620	0.1427217	1.0000867	0.4766145	1.0275747	0.0761069	0.5681001	0.2154197	0.7137866	0.6000579	0.2159546	0.4720821	0.3800359	0.5954300	0.7586000	0.4648303	0.8759888	0.5977935	0.9263119	1.1261101	0.3736033	0.7538139	0.9640628	0.5534718	0.5490426	0.3811946	0.7382085	0.6310260	0.8110203	0.7076878	0.2203436	0.4557138	0.0753743	0.9757207	0.4383467	0.9090969	0.4063731	0.1844105	0.4266246	0.5401884	0.3776202	0.5586862	0.0206166	0.2848179	0.1095231	0.5310623	0.6921820	0.9975945	0.8015781	0.2836940	0.8727261	0.5686331	0.7515452	0.5447039	0.5106136	0.4103512	0.4195160	0.7816603	0.0949379	0.2486130	0.8140814	0.0786855	0.4359920	0.4122255	0.9748111	0.2891928	0.5233052	0.0260996	0.1606171	0.9820257	1.0797182	0.3900936	0.3786845	0.7461172	0.0917667	1.0034701	1.0623241	0.9135763	0.9433631	0.4675493	0.9312240	0.9750241	0.1902440	0.9636500	1.0342977
0.5441840	0.1701613	0.0941072	0.0128533	0.0000000	0.7795870	0.4447796	0.0555155	0.5185313	0.3225025	0.6365987	0.9488471	0.4397499	0.1585892	0.7541102	1.0024798	0.1360547	1.0113405	0.4710855	0.9377274	0.1156835	0.4961474	0.3190412	0.6355268	0.4788220	0.2774463	0.4588722	0.4529796	0.4819159	0.7209660	0.3771315	0.9784736	0.6736083	0.8120671	0.9908137	0.4352457	0.6597130	0.9720000	0.6318331	0.5696048	0.2429757	0.7790749	0.6293111	0.8347330	0.7773430	0.1717284	0.5075242	0.0468104	0.9788121	0.5829534	1.0201300	0.4092470	0.1290320	0.4114501	0.6153469	0.4159449	0.5765639	0.0299577	0.2746779	0.1660955	0.5599583	0.7628099	0.8942597	0.7984629	0.2698229	0.9850264	0.5235454	0.7463215	0.5155547	0.4656010	0.4174297	0.3571607	0.7637425	0.1136756	0.2700179	0.8413114	0.0686840	0.5162789	0.3476433	1.0854705	0.2610628	0.5746330	0.0120247	0.3615852	0.8813024	1.0473288	0.3626823	0.3666330	0.6418554	0.1099659	0.9847772	1.0095950	0.9075589	1.0634869	0.4843501	1.1208290	0.9935760	0.1912951	1.0146831	1.0120065
0.5892727	0.2027139	0.0709960	0.0419663	0.4211403	0.0000000	0.4414594	0.0894941	0.5922406	0.2828987	0.7305859	0.9708398	0.5195002	0.1553165	0.7649863	1.0319324	0.1259732	0.8847689	0.6498653	0.9154949	0.1449597	0.6279218	0.3410637	0.5618214	0.4101074	0.1635287	0.4357671	0.4305368	0.4967158	0.7083942	0.4563915	1.0332132	0.7059537	0.9444069	0.9954593	0.3728311	0.6846250	1.0336984	0.5654283	0.5976102	0.3694475	0.7797914	0.6486024	0.8857707	0.8453000	0.2074517	0.5872989	0.0663191	0.9955536	0.5787795	1.0135464	0.3940385	0.1687610	0.4930526	0.4391131	0.3931004	0.4494305	0.0166471	0.4279149	0.1881325	0.4239029	0.8467269	1.0572733	0.7739624	0.2719160	0.9137110	0.6009340	0.8216862	0.5391823	0.4746855	0.4352952	0.3156082	0.7865548	0.1446769	0.2551447	0.8376899	0.1189058	0.4863605	0.4154215	1.0816355	0.2748562	0.4827555	0.0230695	0.4391199	0.9458813	1.0286316	0.3782585	0.4565651	0.6588396	0.1067597	1.0058066	1.0726785	0.8194328	1.0196462	0.5213667	0.9893794	1.0045053	0.1435263	0.9606041	1.1537356
0.6936413	0.1822041	0.1005844	0.0381418	0.3428350	0.7814905	0.0000000	0.0538290	0.5313110	0.2772109	0.6577420	1.0003814	0.4392913	0.1886857	0.7009606	1.1443344	0.1788875	0.8645647	0.5378179	0.9499961	0.5868827	0.5378611	0.2925856	0.6309384	0.3752288	0.2479333	0.5085034	0.3977300	0.4617194	0.6721729	0.4012942	0.9871327	0.7132603	0.9155232	0.9854344	0.2496828	0.6564927	1.0338222	0.6075305	0.6306758	0.3056908	0.7608402	0.6225192	0.8104094	0.8185954	0.1499938	0.6594870	0.0713939	0.8733679	0.5689784	1.0893547	0.4882962	0.1217869	0.5063180	0.4287756	0.2955599	0.4147632	0.0170910	0.4138710	0.1930434	0.5068698	0.8647628	1.0219017	0.7670170	0.2711164	0.9742241	0.6513111	0.7906595	0.4843034	0.5311393	0.3668169	0.3360713	0.7689055	0.2207789	0.3304329	0.7482603	0.0953807	0.4883436	0.4013851	1.0518400	0.3029244	0.5487191	0.0331542	0.3256482	0.9438314	1.0440126	0.2914826	0.4813416	0.5670891	0.1013710	0.9773880	0.9873168	0.9323753	1.0309828	0.5280414	0.9684306	1.0680454	0.1689244	0.9759774	0.9477769
0.5491974	0.1499080	0.1718196	0.0135593	0.2818003	0.7888401	0.5536981	0.0008308	0.4658865	0.3201148	0.7162987	0.9355436	0.4948193	0.2045517	0.7319177	0.9392065	0.1436127	0.9252333	0.6418728	0.9345270	0.0874772	0.6131278	0.2488366	0.6199641	0.4475612	0.2020181	0.4012821	0.3708860	0.5272724	0.7179922	0.4287250	0.9737242	0.7527900	0.8677737	0.9972429	0.2582295	0.6316470	1.0513077	0.6313852	0.7041639	0.3288389	0.8099090	0.6518740	0.9342986	0.7352015	0.1745236	0.5518226	0.0635019	0.9473222	0.4080011	1.0205898	0.4131451	0.1781167	0.4839827	0.4910066	0.2888040	0.4447903	0.0083591	0.3002049	0.1681917	0.4737920	0.7620002	0.9940462	0.8174246	0.3016376	0.9582708	0.5483522	0.8394105	0.5239830	0.3729954	0.4433987	0.3721418	0.7606146	0.1045239	0.2640519	0.7958497	0.1397692	0.5608606	0.4124869	1.0447924	0.2861184	0.4718121	0.0190444	0.4018141	0.9486560	1.0312825	0.3659467	0.4020991	0.6309977	0.1042640	1.0348491	1.0312825	0.9078402	1.0505853	0.4956208	1.1416507	0.9604273	0.1579713	0.9581093	1.0802492
0.7045938	0.1509104	0.1063956	0.0033525	0.3683492	0.7839137	0.4601651	0.0418973	0.0000000	0.2878895	0.6406717	0.9550797	0.3915554	0.1785486	0.9156759	0.9688944	0.1390517	0.9215736	0.5348746	1.0081441	0.0704823	0.4879593	0.2920119	0.4843593	0.3126971	0.1995424	0.5055252	0.4657697	0.5147166	0.7030565	0.4004558	1.0140434	0.7303231	0.9083651	1.0452164	0.4361395	0.6783105	1.0320350	0.5795164	0.5639723	0.3668810	0.7942138	0.7706519	0.9544006	0.8306457	0.2474268	0.5604083	0.0485715	1.0030835	0.4692661	0.9937901	0.3799900	0.0824518	0.5513086	0.4645632	0.4336623	0.4554203	0.0220234	0.4331749	0.1450444	0.5043631	0.7456233	0.9244077	0.8354426	0.2713158	0.9982034	0.5644400	0.7675450	0.4998599	0.5082043	0.3586590	0.3481012	0.7918527	0.0666203	0.2987153	0.8730274	0.0773145	0.4898994	0.3563606	0.9595836	0.2622124	0.5377001	0.0300037	0.2089591	0.9733918	1.0175490	0.4377966	0.3209325	0.6708737	0.1178082	1.0380190	0.9284900	0.9089128	0.9972088	0.4345987	1.0072192	1.0108139	0.1714562	1.1353954	0.9934856
0.0518049	0.4221179	0.5727644	0.9702556	0.6442602	0.8908067	0.5563697	0.5436129	0.7188390	0.0000000	0.6469736	1.0612285	0.4319278	0.1720134	0.8365146	1.0120643	0.1372556	0.9983188	0.4460923	0.9936232	0.2564978	0.5856479	0.2401755	0.6624084	0.4348428	0.2213338	0.4238861	0.3714899	0.4040999	0.7379381	0.4004336	0.9923963	0.6654425	0.8414440	0.9737820	0.2596986	0.7408363	0.9999817	0.6323896	0.6207857	0.3598454	0.8065040	0.6511846	0.8404913	0.8534385	0.1488355	0.5102009	0.0879431	1.0253777	0.5559533	1.1035465	0.4038212	0.0978576	0.5445296	0.4823643	0.3988607	0.4146954	0.0160907	0.3209390	0.1564214	0.4819363	0.9372200	0.9349195	0.6757381	0.2892659	0.9011980	0.5565895	0.7437136	0.4489473	0.4484036	0.3799344	0.3397328	0.7752429	0.1535058	0.2184885	0.8280685	0.0832833	0.5316204	0.3811708	0.9644911	0.2893872	0.5948270	0.7554424	1.0778382	0.8869057	0.9963494	0.3778559	0.4231436	0.6775613	0.1064987	1.0581367	1.0222308	0.8788752	1.0182782	0.5044045	0.9777668	1.0213134	0.1408800	0.9705911	1.0377283
