"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.6487279	0.2073310	0.0500405	0.0320079	0.3966589	0.7863027	0.3372534	0.0719098	0.5727844	0.2810109	0.6985600	0.9505663	0.5419997	0.2383840	0.7825059	1.0186954	0.1296201	0.9889886	0.6156240	0.9468487	0.0665643	0.5623199	0.2087674	0.5295044	0.3881677	0.1933304	0.4829369	0.4311021	0.4235873	0.7062692	0.3564908	0.9452473	0.6938158	0.8950183	0.9945221	0.3934679	0.6678410	0.8949625	0.5827949	0.6173107	0.3545609	0.7619743	0.6755012	0.8745787	0.7675953	0.1807390	0.5121241	0.0496033	0.9927244	0.4648482	0.9723558	0.4645674	0.2137347	0.5115603	0.4934863	0.4058134	0.5120796	0.0008853	0.2714006	0.1359595	0.4826231	0.7455800	0.8614023	0.7616265	0.2567221	0.8707554	0.5488170	0.6553744	0.4361641	0.3804990	0.4612505	0.4363258	0.7736115	0.0714511	0.2617061	0.8189042	0.0804418	0.5401831	0.4954146	1.0352900	0.2656711	0.4982924	0.0304439	0.3592997	0.9717839	0.9628502	0.4320555	0.4083543	0.6312743	0.1099796	0.9969121	1.0511218	0.9158659	1.0611828	0.5054656	1.0371510	0.8627370	0.1448194	1.0714892	1.0287069
50.0	0.8647478	0.0684075	0.0487594	0.0408507	0.3001944	0.6266063	0.3348529	0.0444406	0.7578872	0.3009362	0.7689083	0.6775670	0.6003131	0.1902890	0.5067020	0.9651817	0.0448120	0.5771890	0.7088308	1.0277832	0.0632152	0.4674683	0.2455345	0.6447518	0.4437703	0.1482219	0.3606548	0.3996968	0.6114683	0.8877537	0.7949721	0.9936831	0.6363108	0.8927193	0.9556309	0.6366160	1.0038955	0.9111743	0.4818097	0.6505700	0.3507634	0.7352819	0.5871163	0.7775379	0.7924377	0.0966641	0.3738966	0.0829954	0.7942141	0.5183651	0.9685524	0.4265172	0.0865876	0.4593150	0.4130790	0.4006410	0.4500283	0.4291321	0.4243730	0.2758816	0.4969148	0.5680980	0.9508012	0.7699089	0.2809173	0.7504849	0.6889159	0.6956516	0.2537442	0.1844537	0.6602125	0.4783789	0.7997015	0.0348520	0.4184091	0.8418421	0.0878999	0.2475102	0.4436940	0.9874810	0.4036931	0.7878501	0.0090508	0.4578957	0.9243679	0.9352450	0.4510305	0.4143058	0.8356348	0.0746313	0.9664677	0.7969455	0.8840664	0.9549103	0.5734013	1.0168450	0.8845397	0.1889231	1.0217505	0.5958389
100.0	0.8503828	0.0287566	0.1097645	0.0274367	0.2530743	0.6135015	0.4760655	0.0285391	0.7748615	0.2994213	0.8131765	0.7103805	0.7016150	0.1608369	0.5046526	0.8832720	0.0229232	0.4245103	0.8490971	0.9699522	0.1259329	0.4839580	0.1983055	0.6495965	0.5377510	0.1627469	0.3271409	0.3705221	0.5530228	1.0409892	0.8739356	1.0407462	0.6336413	0.9056093	1.0250317	0.7116003	0.9513878	1.0208166	0.5282632	0.6787939	0.3183927	0.7430664	0.5843063	0.8122314	0.8423388	0.0679026	0.3690012	0.0710191	0.8133183	0.6489332	1.0056526	0.3765753	0.0803030	0.5626651	0.3461350	0.3837501	0.3652899	0.5094879	0.5265778	0.3382890	0.4497422	0.6787320	0.9362732	0.8485178	0.2634641	0.7489730	0.8434904	0.6886800	0.2248998	0.1508165	0.6818559	0.5790794	0.8717088	0.0166207	0.4732025	0.8139721	0.0962941	0.1348607	0.4666963	1.0427200	0.4816248	0.6965894	0.0025024	0.5265718	0.9647977	0.9573321	0.4026220	0.4188068	0.8633732	0.0373976	1.0217577	0.7658949	0.8146090	0.9973579	0.6619574	1.0762479	0.9232518	0.1666471	0.9995237	0.4846344
150.0	0.6552711	0.0239074	0.1019406	0.0172776	0.2548177	0.6128794	0.5093926	0.0229902	0.6620930	0.3011098	0.7275020	0.6925498	0.7601752	0.1237939	0.5080928	0.8567161	0.0165399	0.3050375	0.8760382	0.9290595	0.3378226	0.4437100	0.1923336	0.6094662	0.6345718	0.1866672	0.3542993	0.3480306	0.4571236	1.0669406	0.9280622	1.0453647	0.6840171	0.8711812	1.0358895	0.6947935	0.9292683	1.0065940	0.5513069	0.6424921	0.3033649	0.8515049	0.5438532	0.9221840	0.6859411	0.0802814	0.4671762	0.0765208	0.7335417	0.7015224	0.9770427	0.3561842	0.0824876	0.6022957	0.3517967	0.3839004	0.3456404	0.4685070	0.5416010	0.3192037	0.5374563	0.6500006	1.0197665	0.9008701	0.3261817	0.6637188	0.8715488	0.6691230	0.2210390	0.1430375	0.7237057	0.5339524	0.7550463	0.0063209	0.5156942	0.8453073	0.0749545	0.0977536	0.4579053	1.1595364	0.5533253	0.6269638	0.0053114	0.5598724	0.9579127	0.8655476	0.3671054	0.5087932	0.8765744	0.0279481	1.1009789	0.7331517	0.8579379	0.9010364	0.6337642	1.0444923	1.0562817	0.1280267	1.0031745	0.4740650
200.0	0.5844180	0.0088644	0.1031696	0.0251242	0.2723612	0.6486140	0.4804175	0.0251323	0.5221791	0.3265906	0.7627159	0.6551840	0.6881737	0.1159641	0.4725375	0.9450432	0.0123522	0.2673584	0.8853706	0.9503367	0.3147848	0.4571117	0.2023920	0.5600704	0.6160078	0.1997709	0.3360277	0.3294526	0.3757031	0.9886448	0.9026353	1.0099352	0.7017892	0.8564658	0.9974185	0.7069102	0.9663222	0.9703133	0.5630927	0.6566373	0.3814003	0.7983497	0.5581328	0.8698946	0.6907782	0.0707705	0.5091562	0.0531318	0.7396829	0.7540873	1.0260913	0.3947484	0.0482583	0.6716781	0.3132876	0.3712442	0.3533381	0.4987600	0.5025211	0.3240353	0.4868056	0.6893220	0.9038145	0.8643884	0.2920016	0.6664466	0.8811148	0.7009057	0.2307043	0.1682806	0.7784140	0.5509580	0.7470736	0.0004109	0.6385440	0.8986970	0.0809993	0.0640308	0.5347162	1.1145033	0.5352032	0.5657185	0.0020089	0.6786563	0.9854283	0.9262637	0.4004367	0.4619518	0.9256269	0.0667642	1.0447027	0.7953905	0.8573236	0.9432633	0.6143651	1.0087988	0.9770760	0.1242882	0.9734823	0.4439142
250.0	0.7247651	0.0108361	0.0936032	0.0512733	0.2392987	0.6426658	0.4839220	0.0246668	0.6071554	0.3188478	0.7155383	0.7191277	0.6725825	0.0844008	0.4705093	0.9471533	0.0086116	0.2737114	0.8603386	1.0018850	0.4699997	0.4969381	0.1778052	0.6382988	0.5438785	0.1322163	0.4214846	0.3056911	0.4012023	0.9997079	0.9622913	0.9333629	0.7231040	0.9051474	0.9605231	0.7420582	0.9823831	0.9938676	0.5159255	0.6969534	0.3396503	0.8223204	0.6361270	0.8778673	0.7344947	0.0870237	0.5109635	0.0742461	0.7339294	0.7357407	1.0356149	0.3830754	0.0623110	0.7422787	0.2506712	0.3863556	0.3132484	0.4685944	0.5616571	0.3177695	0.4125205	0.6637571	0.9945518	0.8638335	0.2447281	0.7032679	0.9387441	0.6192510	0.2269199	0.1799422	0.7764299	0.5930751	0.7504901	0.0000151	0.5883408	0.8065457	0.1218139	0.0963195	0.5562807	0.9896677	0.5117019	0.5115885	0.0010764	0.6148037	0.9384619	0.8828421	0.3737380	0.4143127	1.0091580	0.1119056	0.9197128	0.6889186	0.8476886	0.9001325	0.4840440	1.0914324	1.0418856	0.1286680	0.9703000	0.4439270
300.0	0.7880897	0.0181659	0.1389675	0.0436330	0.2238583	0.6040177	0.4924353	0.0215367	0.5630896	0.2560039	0.8162907	0.6647178	0.6398669	0.1256810	0.4692198	0.8620850	0.0014518	0.3027293	0.8479628	0.9477554	0.4185457	0.5548883	0.2422541	0.5765976	0.5387675	0.1692077	0.3944027	0.3648537	0.4428668	0.9592666	0.9136440	0.9876775	0.7211925	0.9067723	1.0367999	0.7573315	0.9116401	1.0353759	0.5147460	0.6942045	0.3438982	0.8037063	0.6629941	0.8894559	0.7306980	0.0794060	0.5092636	0.0727599	0.7270089	0.7356682	1.0767283	0.4048516	0.0403659	0.7377494	0.3191967	0.3788144	0.2665070	0.5158123	0.6687747	0.2808901	0.3887280	0.7453647	0.9437735	0.8506907	0.2929275	0.6882808	0.8474773	0.6962247	0.2312036	0.1488458	0.7512371	0.5574509	0.8354114	0.0006202	0.5379878	0.8148026	0.1680860	0.0918422	0.5830510	1.0378264	0.4999376	0.5903502	0.0001241	0.6080122	0.9943758	0.9615394	0.4628382	0.4083598	1.0417146	0.0781466	0.9784188	0.7040314	0.8448676	0.8675841	0.4972128	1.0242139	1.0385962	0.1169503	0.9557711	0.4253665
350.0	0.6838232	0.0073663	0.1442216	0.0401476	0.1917621	0.6617961	0.5418714	0.0208970	0.6015712	0.3023548	0.8434634	0.7019316	0.7395151	0.1402957	0.4495526	0.9516509	0.0108569	0.4125807	0.6900366	0.9489062	0.6587727	0.5290967	0.2313101	0.5607380	0.5640790	0.2133471	0.3614462	0.3571901	0.4986315	0.9670382	0.8682055	1.0299665	0.6943345	1.0040550	1.0370554	0.7504392	0.9318241	1.0152009	0.5352916	0.6586506	0.3018412	0.7948794	0.6786624	0.9173100	0.7366368	0.0816062	0.4831411	0.0794082	0.7827270	0.7501347	1.0094309	0.3923713	0.0653432	0.7308373	0.2717343	0.4468637	0.3189757	0.5432961	0.6258439	0.2735723	0.3958802	0.7007265	0.9796181	0.8168044	0.2843873	0.6675236	0.8773883	0.7189226	0.2082056	0.1403853	0.7976023	0.4988064	0.8384334	0.0022743	0.5821007	0.8564305	0.1654476	0.0762787	0.6357234	0.9882044	0.5201936	0.5868361	0.0000000	0.6617399	0.9777502	0.9469526	0.4342694	0.4220835	0.9932457	0.0827754	0.9225624	0.7762666	0.8305398	0.8967329	0.4097231	1.0066804	1.0318376	0.1360312	1.0503486	0.4538120
400.0	0.6043199	0.0107430	0.1013712	0.0476901	0.2300582	0.5952695	0.5457165	0.0190166	0.6234264	0.2852018	0.8559682	0.7067397	0.6909344	0.1541698	0.4711722	0.9221351	0.0081667	0.3803282	0.8516633	0.9790544	0.6919523	0.5426204	0.1690536	0.5930593	0.5890566	0.1850168	0.4416860	0.3619769	0.4031203	1.0592257	0.8861217	1.0297900	0.7025958	0.9152555	0.9821591	0.7865605	0.8778822	0.9849765	0.5652740	0.6409954	0.2946897	0.7640932	0.6409432	0.8453605	0.7374000	0.0730755	0.4546981	0.1009144	0.7026868	0.8342940	0.9434421	0.4102987	0.0700788	0.7260698	0.2941917	0.4436261	0.3111605	0.5164908	0.5891503	0.2773677	0.4778227	0.6799382	0.9983916	0.8505963	0.2758348	0.6606303	0.8451549	0.6763909	0.2109631	0.1545599	0.8063435	0.5371681	0.7630968	0.0000000	0.6051651	0.8721087	0.1640063	0.0655088	0.6644689	1.0762089	0.5325167	0.5854731	0.0000400	0.5753510	1.0517316	0.8832186	0.4259384	0.4305059	1.0215208	0.0890267	0.9710926	0.7871738	0.8646279	0.9227141	0.4141350	0.9977542	0.9817588	0.1350648	0.9347506	0.4771509
