"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.6927730	0.1694396	0.1025012	0.0222156	0.3464111	0.7624553	0.4471225	0.0399298	0.4213423	0.2445790	0.6495929	0.7732967	0.3979292	0.2190985	0.7819988	0.9470059	0.1577775	0.9987916	0.3644950	0.9885348	0.1307180	0.5889738	0.2243813	0.5976726	0.3935740	0.2051116	0.4828227	0.4342568	0.4296458	0.6242172	0.3934831	1.0314931	0.5805566	0.9059092	1.0760555	0.3742304	0.6504071	0.9945962	0.5836100	0.6665958	0.3114497	0.8029271	0.6712568	0.8968763	0.8395720	0.2122633	0.4365340	0.0215102	0.9138881	0.5564205	0.8797637	0.3701435	0.0953431	0.5547597	0.4225570	0.3653176	0.3871955	0.0027276	0.3383999	0.2028033	0.4743091	0.8267642	0.9741862	0.8288491	0.3627545	0.9389309	0.6502947	0.7041560	0.5266541	0.4465332	0.4073313	0.3257232	0.7484042	0.0896203	0.2710631	0.8174181	0.1213114	0.5687222	0.3246732	1.0334931	0.2604065	0.5343228	0.0254460	0.2253545	1.1034132	0.9704489	0.4625739	0.3072626	0.6187658	0.0926402	0.9544562	0.9022479	0.9332188	0.9996451	0.4393296	1.0110037	1.0182567	0.1276796	1.0348253	0.9856616
50.0	0.3239140	0.1724565	0.0943249	0.0131122	0.3445263	0.6839596	0.4295880	0.0451412	0.4643430	0.2303156	0.6405542	0.9368086	0.3818660	0.1886514	0.7696604	0.9645671	0.1381288	0.9920111	0.3318641	0.9121474	0.1271638	0.5083919	0.2326556	0.5695664	0.4149370	0.2080947	0.4635671	0.4083159	0.4521104	0.6258727	0.3901861	1.0730414	0.5881126	0.8803498	1.0121850	0.3315503	0.6515173	1.0151853	0.5423773	0.6350346	0.3740058	0.7569351	0.7041811	0.8373141	0.8334218	0.1661549	0.4594802	0.0464663	0.9569746	0.5382537	0.9824081	0.3826747	0.0934295	0.4772339	0.3690450	0.3077234	0.4351136	0.0105660	0.3278908	0.1980871	0.4541601	0.7781758	0.8780083	0.8304513	0.3043855	0.9191820	0.5660480	0.8090484	0.4822979	0.4302164	0.4426252	0.3728062	0.7287956	0.0761619	0.3177941	0.8505993	0.0904971	0.5458520	0.3988938	1.0545446	0.2404551	0.5971250	0.0252511	0.2005317	0.9955384	1.0108915	0.3680808	0.3408719	0.6890058	0.0745295	0.9049173	1.0115630	0.9589303	1.0916933	0.4668277	1.0909306	1.0060043	0.1689626	1.0098310	0.9790194
100.0	0.1039489	0.2059970	0.0534921	0.1245907	0.4244802	0.8499700	0.3792762	0.0790345	0.5982684	0.2526152	0.6497009	0.9444995	0.4055229	0.1407275	0.7403762	0.9888999	0.1401564	0.9440630	0.4006074	1.0109507	0.1844479	0.5116080	0.1636948	0.6967068	0.4217147	0.2041280	0.4023998	0.3599696	0.4692036	0.6666785	0.4394509	0.9777025	0.6764655	0.8518879	1.0149329	0.2986298	0.5932448	0.9007475	0.5900780	0.6699651	0.3280178	0.7548822	0.6502115	0.8523695	0.7927491	0.1388727	0.4783948	0.0657418	0.9212617	0.5448543	0.9828806	0.4104344	0.0934180	0.5941087	0.4284655	0.3425578	0.3855060	0.0124650	0.3161349	0.1686540	0.4565053	0.7783535	1.0058886	0.7910552	0.2514760	0.9784447	0.5931541	0.7920627	0.4578330	0.4940730	0.4788014	0.3963318	0.8377441	0.0835655	0.3067694	0.8632524	0.0710097	0.5419816	0.3838706	1.0190258	0.2739089	0.5615246	0.0280947	0.2214890	0.9858839	0.9943066	0.3602235	0.4368800	0.7511836	0.0675964	0.8900256	1.0276400	0.8680544	1.0523333	0.4695729	1.0979599	0.9980527	0.1434580	0.9683526	0.9650346
150.0	0.0272349	0.3360644	0.0267557	0.2962937	0.5552235	0.9053557	0.2641564	0.1640313	0.6811463	0.2939597	0.6828526	0.9685673	0.4503488	0.1535651	0.7382705	1.0822820	0.1977336	1.0018979	0.3610345	0.9329194	0.2129784	0.5927404	0.2531938	0.5993134	0.4972203	0.1821811	0.4438884	0.3275525	0.5623516	0.6549434	0.3978812	0.9380563	0.6524458	0.8438547	1.0313515	0.3613507	0.6567014	0.9924351	0.5603230	0.5628446	0.2909224	0.7859008	0.7313617	0.8014490	0.7463637	0.1858888	0.4912510	0.0641784	1.0298851	0.5871905	1.0871636	0.3621434	0.1220370	0.4441061	0.4406342	0.3261959	0.3884338	0.0098925	0.3197597	0.1550502	0.5596764	0.8316064	0.9574138	0.7849830	0.2811659	0.9577440	0.5881924	0.7675714	0.5241228	0.4795440	0.4400355	0.3547223	0.7476552	0.1216956	0.2579612	0.8384952	0.1102537	0.4986639	0.3866527	1.0146448	0.2855571	0.5041387	0.0270914	0.1722913	0.8551133	1.0404085	0.3595256	0.5060786	0.6765284	0.0661916	1.0222512	1.0152252	0.8013913	0.9904743	0.4558621	0.9801830	1.0552786	0.1613726	0.9203362	0.9996468
200.0	0.0081858	0.3844757	0.0139723	0.4006118	0.6949127	0.9005095	0.1669568	0.3184523	0.6518146	0.3159660	0.6330684	0.9214572	0.4791649	0.1691552	0.6525716	1.0210994	0.1952447	1.0668718	0.5673640	1.0553211	0.1623883	0.5293703	0.2976884	0.6055134	0.5239132	0.2506913	0.4159322	0.3974727	0.6996222	0.6823865	0.3100630	0.9566415	0.6833204	0.8513428	1.0513469	0.3812982	0.5491506	1.0267962	0.5886552	0.5958926	0.3422428	0.7676679	0.6467218	0.7822275	0.7922703	0.2195618	0.5607151	0.0683526	1.0385901	0.5674122	1.0003479	0.4228777	0.1429099	0.3999777	0.4432499	0.3344319	0.4779508	0.0156542	0.2878287	0.1735062	0.5697586	0.7901697	0.9350800	0.8628085	0.2566331	0.9954400	0.5447583	0.8031527	0.4489263	0.4926718	0.4056830	0.3728707	0.6731777	0.1122332	0.2097387	0.7683188	0.1151735	0.5131504	0.4394215	1.0012063	0.2390259	0.5003351	0.0227250	0.0936167	0.9830408	0.9781091	0.3093967	0.4048453	0.6458376	0.1038895	1.0822315	1.0221065	0.8753470	1.0770161	0.5099849	0.9245134	0.9915328	0.1915276	0.9980888	1.0556422
250.0	0.0010768	0.4860670	0.0136226	0.4827320	0.6086415	0.9870584	0.0870741	0.3263330	0.6092353	0.2994727	0.6589173	0.9428089	0.4786684	0.1695839	0.7668176	1.1334335	0.1705821	1.0349508	0.5698340	1.0275261	0.1159903	0.6108989	0.3185057	0.5880615	0.4529954	0.2431450	0.4327884	0.4193838	0.8031959	0.6752118	0.4166511	1.0003164	0.7026942	0.7928430	1.0616853	0.3490020	0.6133287	1.0815319	0.5376057	0.6273517	0.2959653	0.8418789	0.6585896	0.8552097	0.8155952	0.2377953	0.5652417	0.0369238	1.0297035	0.5136301	0.9386380	0.3834671	0.1356643	0.4830017	0.4344417	0.3665026	0.5322372	0.0145122	0.2402886	0.1767046	0.5345392	0.7840581	0.9112809	0.8153936	0.2542536	1.0611452	0.5664294	0.7902199	0.4313902	0.4536446	0.3939964	0.3923657	0.7274411	0.0906164	0.2932176	0.7768855	0.1271038	0.5232393	0.4872401	1.0200585	0.2488513	0.5685801	0.0110747	0.0539935	0.9420974	1.1083516	0.3714933	0.3941553	0.6770472	0.0880299	0.9991740	0.9191665	0.8468804	1.0838906	0.4032699	0.9111275	0.8916438	0.1701843	0.9917806	0.9962786
300.0	0.0000000	0.5362047	0.0072010	0.4868930	0.4925946	1.0701611	0.1240673	0.3245718	0.6507380	0.2970604	0.6356490	0.8767233	0.4713879	0.1395070	0.8165930	1.0627884	0.2145843	0.8999688	0.6322671	0.9054748	0.1029500	0.5391040	0.3129699	0.5471370	0.3981335	0.2160735	0.5062476	0.4344213	0.8240564	0.6792997	0.4322344	1.0682007	0.6287797	0.7707453	1.0557536	0.2946091	0.6230199	1.0442914	0.5205211	0.7209312	0.3610680	0.8274632	0.6578212	0.8786481	0.8386755	0.1704669	0.5922202	0.0304521	0.9605145	0.3800151	0.9105883	0.4020586	0.1474729	0.4774806	0.5059139	0.3457101	0.5254002	0.0174444	0.3173891	0.1811698	0.4417711	0.7886501	0.8160895	0.9474747	0.2741672	1.0528644	0.5624705	0.7463196	0.4547000	0.4685113	0.3753333	0.3651130	0.6990527	0.0773327	0.2544160	0.7870183	0.1395996	0.4668349	0.4845713	1.0149432	0.2571501	0.4955691	0.0211317	0.0287941	0.9089940	1.1027358	0.3516374	0.4320660	0.6333237	0.1085746	0.9281188	0.9969796	0.8666251	1.0296553	0.3761401	0.9881379	1.0201729	0.1955366	1.0461324	1.0327585
350.0	0.0000000	0.4684258	0.0058420	0.5290074	0.4699013	1.0601094	0.0821411	0.3201706	0.6902549	0.2660675	0.6301562	0.9451539	0.3936844	0.1638450	0.7951421	0.9620466	0.1675936	1.0327999	0.4667202	0.9460805	0.0686278	0.5797481	0.3098060	0.5913200	0.4467224	0.2289904	0.5373692	0.4711675	0.9199468	0.6879895	0.4516524	1.0350852	0.6232365	0.7774577	1.0484311	0.3390547	0.6615153	1.0654311	0.5858390	0.6393067	0.3151686	0.8795630	0.7010066	0.8681733	0.8204976	0.1537814	0.4939410	0.0489702	0.9969597	0.5167762	0.9486780	0.4810305	0.1424139	0.4953753	0.4452284	0.3406422	0.4017259	0.0050065	0.3557569	0.1649804	0.4142350	0.7970622	0.9231407	0.8429882	0.2723498	0.9970294	0.5459963	0.8203135	0.4402465	0.4595734	0.3719079	0.3025291	0.7887805	0.0887845	0.2706418	0.8092301	0.1348205	0.4989502	0.3779830	0.9671850	0.3174896	0.5633584	0.0106026	0.0246438	0.8885905	1.0602683	0.3779830	0.5140682	0.5912706	0.0941684	0.9855160	1.0591619	0.8316081	0.8917266	0.4530560	1.0861460	1.0122954	0.1693316	0.9488394	1.0161331
400.0	0.0000000	0.4633929	0.0062617	0.4888547	0.5462157	1.0389271	0.0852142	0.3196078	0.6898974	0.2641396	0.6528116	0.9327570	0.4543606	0.1797860	0.8166968	0.9575228	0.1759238	0.9042018	0.4189803	0.9948140	0.1226996	0.5475867	0.2496381	0.5404381	0.4507210	0.2409288	0.5809446	0.4390307	0.9358770	0.6408214	0.4066607	0.9708567	0.5612588	0.8037056	1.0620264	0.3344549	0.6325469	0.9341285	0.7206888	0.6684670	0.4207413	0.7742418	0.7456134	0.8252334	0.8405703	0.1565643	0.5836940	0.0322372	0.9714757	0.5951362	0.8830753	0.4538401	0.1136828	0.4561462	0.3960633	0.2998827	0.3022342	0.0058566	0.3726220	0.1694906	0.4239313	0.8577683	0.8475371	0.8113274	0.2973604	0.9244543	0.5614780	0.8423064	0.4809204	0.4167043	0.3977042	0.3209182	0.7659146	0.1103809	0.2285982	0.7627616	0.1430716	0.4869994	0.4511795	1.0028500	0.2737155	0.5615078	0.0176728	0.0187876	0.8688193	1.0488922	0.2969711	0.5359431	0.5797391	0.0968852	0.9815469	1.0973377	0.8641881	0.9230260	0.4566771	1.0896319	1.0009329	0.1220080	0.9344459	1.0537355
