"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.5594306	0.0243654	0.0899884	0.0686011	0.2372966	0.7017187	0.5404415	0.0508932	0.5396517	0.3364811	0.7822597	0.7216573	0.6902202	0.1222224	0.5236284	0.9683329	0.0062418	0.3891381	0.7854911	0.8189097	0.6589654	0.4832788	0.2394964	0.5489770	0.6678458	0.2040089	0.4356621	0.3079044	0.3965853	0.9534971	0.8835183	0.9950196	0.7211875	0.9788929	1.0435042	0.7202752	1.0096775	0.9838131	0.6307549	0.7375902	0.3234369	0.8762598	0.5405023	0.8706412	0.6822050	0.0698860	0.4986139	0.0907316	0.7988691	0.7246754	1.0395852	0.4475384	0.0773392	0.7303445	0.3450866	0.3239361	0.4278876	0.5457078	0.5386440	0.2279501	0.5037198	0.7255772	0.9872316	0.9380535	0.3053254	0.5845933	0.8998211	0.8283370	0.2390229	0.1722667	0.7515475	0.6002383	0.9138382	0.0091013	0.5330755	0.7315780	0.1250792	0.0998677	0.5757560	1.0422133	0.5460862	0.6699482	0.0043682	0.7443930	0.9314751	0.9179948	0.3049940	0.4778168	0.9679206	0.0540869	0.9895337	0.7587704	0.7583481	1.0154014	0.4229594	1.0004669	1.0447402	0.1948630	0.9528568	0.4224000
0.1415373	0.3045632	0.0065238	0.3115201	0.4253552	0.6783672	0.0153821	0.4071767	0.7832326	0.2743648	0.7924054	0.5494352	0.2968877	0.3655763	0.8965222	1.0708733	0.1036956	0.5825528	0.1047988	0.9770360	0.0169114	0.7364968	0.1302243	0.6250144	0.4184315	0.1397449	0.6759988	0.2531480	0.7650184	0.9267526	0.6052290	1.0319920	0.5640023	0.8591142	0.9657318	0.4018238	0.8070231	0.8776940	0.5580531	0.8707434	0.8687446	0.7211263	0.5644338	0.8879444	0.6901351	0.2096552	0.7659900	0.0291226	0.9552083	0.2009891	0.9044505	0.2502197	0.0282115	0.8050139	0.2611917	0.3352878	0.1453717	0.5824427	0.5894296	0.1678244	0.2673325	0.2959028	0.8802453	0.7207944	0.3370637	0.9256504	0.8049580	0.8464036	0.6615301	0.3279435	0.7999018	0.5569785	0.8347669	0.0872483	0.5482127	0.8677643	0.0710253	0.4260408	0.6170628	0.9881829	0.7021401	0.4245353	0.0001077	0.0019993	0.9571178	0.7754886	0.4526080	0.5596418	0.9922889	0.1405213	1.0276006	0.9222769	0.8779776	1.0664577	0.3073555	1.0901762	0.8706420	0.1442744	0.4911969	0.8368077
0.2213819	0.3503138	0.2009394	0.9750165	0.5141340	0.8160872	0.5726078	0.7082944	0.4291178	0.3003953	0.6973561	0.8840998	0.5043225	0.1221236	0.6349589	1.0061523	0.0863518	0.9064812	0.8007676	0.8374429	0.4186567	0.5905326	0.8155625	0.4726092	0.6882973	0.1952883	0.8390238	0.3916798	0.0124787	0.6827057	0.6779889	1.1535536	0.7148537	0.9140659	0.8857330	0.2306575	0.6404130	0.9733415	0.5630249	0.9003992	0.3490930	0.9379461	0.5469745	0.8811298	0.7247378	0.0956434	0.6744385	0.0569011	0.8478440	0.3341232	1.0901347	0.4466079	0.0567166	0.5000680	0.2217173	0.2629698	0.2641286	0.3010516	0.4831406	0.2196410	0.3073555	0.9062148	0.9519558	1.0841292	0.2320740	0.9389410	0.3013361	0.7940497	0.8009410	0.4976796	0.2533295	0.5317926	0.7994325	0.1597562	0.2185678	0.7857256	0.1819273	0.5344135	0.5965029	0.3919980	0.2122787	0.6135978	0.2953791	0.9299423	0.6776959	0.9876916	0.2048070	0.4221179	0.3128903	0.0282235	1.0812240	0.7792804	0.8766140	0.5654684	0.7456866	0.7832068	1.1083946	0.1328298	0.2545460	0.9929580
0.0870934	0.3819946	0.6235331	0.7737698	0.6191599	0.9165990	0.5360221	0.4755611	0.8367405	0.0026108	0.4551709	0.5347744	0.5608065	0.1946887	0.5069252	1.0613824	0.1374361	0.4944030	0.7130553	0.9438938	0.0140111	0.3840334	0.0743424	0.4292387	0.6329552	0.2715858	0.5643726	0.3527870	0.5010057	0.8916267	0.6499032	1.0139796	0.5120463	0.9072691	0.6267098	0.6166570	0.3617778	0.9158486	0.4840028	0.5372663	0.3784483	0.7671691	0.5996658	0.7991562	0.5566987	0.1404127	0.3803159	0.0457785	0.7813320	0.5633859	0.8666716	0.5685857	0.1749261	0.4831549	0.3095436	0.5756164	0.5624582	0.0159257	0.7390326	0.1540533	0.3588957	0.7890120	0.9804321	0.7847207	0.2813159	0.8752222	0.5231683	0.5705122	0.7237915	0.3788228	0.2553582	0.7712714	0.5189313	0.0654803	0.3329251	0.7485836	0.1131028	0.4371074	0.5499381	0.9806712	0.1498390	0.4760248	0.8826990	0.8869226	1.0359120	0.7582798	0.3194356	0.1987635	0.7018206	0.3654223	0.9722665	0.9659167	0.9353494	0.6625971	0.7916156	1.0875361	0.9110531	0.2401181	0.7642985	1.1327951
0.6892311	0.0813687	0.0816781	0.0074134	0.3558352	0.1546541	0.5607014	0.3628747	0.7318880	0.1923301	0.7944438	0.9172208	0.2338944	0.1076638	0.8801711	0.9739483	0.2781465	0.9061871	0.4446294	0.9970813	0.5648083	0.4499856	0.8847992	0.6528970	0.0827627	0.2532868	0.4234363	0.1416089	0.3995340	0.9460848	0.9000275	0.8637406	0.8742339	0.6759739	0.9313371	0.7349385	0.9808849	0.8620514	0.4447635	0.6534083	0.8015647	0.8382910	0.7669432	0.8447277	0.6132230	0.1310275	0.2205969	0.0355075	0.7854244	0.6117450	0.9963679	0.2444928	0.1101175	0.9142093	0.5193431	0.5177319	0.2418299	0.0019608	0.2484132	0.2573891	0.2577279	0.5817573	0.9833064	0.3762616	0.3785717	0.9665661	0.7065614	0.7193317	0.6690257	0.5076815	0.7261566	0.5688392	0.8349418	0.2136124	0.2569008	0.8073459	0.1065121	0.4801631	0.3054036	0.8933771	0.1184031	0.6420044	0.0002300	0.1737739	0.7628173	0.6355169	0.3388026	0.2206953	0.9959214	0.1643811	0.9772164	0.9279480	0.8881639	0.9492582	0.4465498	1.0147988	0.8720724	0.0551974	0.9524392	0.6817458
0.7621848	0.2399588	0.0958759	0.2776223	0.5705811	0.2165911	0.4286361	0.3685427	0.1565432	0.3297612	0.5398568	0.5516617	0.5342332	0.2588278	0.7801929	0.9063051	0.1540793	0.8399191	0.7288283	0.5755514	0.0711786	0.1126326	0.0564444	0.2088862	0.0842978	0.2364982	0.4402263	0.3826012	0.6380326	0.7049968	0.7998945	1.0842183	0.4382775	0.9876690	0.5868936	0.0767997	0.3971159	0.8427794	0.5196611	0.6783131	0.5067797	0.6669192	0.6225699	0.7247603	0.6041630	0.7149193	0.9569998	0.0553036	1.0204429	0.2390128	0.9096449	0.5028741	0.1309333	0.7388015	0.3960882	0.2288433	0.2970772	0.0038368	0.3276360	0.5486871	0.4655922	0.3847434	0.6328766	0.4231358	0.2624365	0.9286253	0.9578273	0.9348525	0.5796426	0.2264770	0.7625883	0.5639122	0.7631383	0.0123598	0.6766686	0.6496056	0.2564790	0.1594149	0.6738309	1.0600744	0.1325229	0.1170179	0.3484971	0.4890368	1.0361269	0.9321688	0.2317445	0.7109944	1.0186499	0.4563076	0.9810646	1.0813689	0.8459381	0.9273298	0.0028802	0.4999830	0.3566023	0.4959000	1.0951154	1.0358983
0.6014099	0.1282061	0.0747065	0.0019427	0.5984160	0.0011758	0.5888232	0.3200304	0.1078809	0.1139713	0.7366501	0.7039444	0.4108943	0.5261902	0.7485363	0.8552520	0.1231099	0.9527695	0.4602774	0.8347241	0.0640105	0.7806871	0.0496829	0.9346944	0.5319605	0.2536585	0.3985293	0.3413450	0.4392828	0.8695645	0.6544401	0.9638329	0.0000000	0.8105430	0.9386023	0.5461459	0.5966570	0.1847216	0.6445510	0.5382947	0.5943893	0.4449029	0.0257516	0.0038889	0.6731887	0.8825046	0.0719313	0.4165165	0.8046882	0.6991796	0.8789605	0.4129865	0.5203893	0.7916835	0.4823142	0.5183955	0.4863828	0.0042021	0.2619841	0.7675529	0.5473705	0.6153256	0.4254814	0.3706739	0.1096700	0.9718431	0.1831917	0.5967169	0.3106589	0.6841532	0.8840557	0.4896152	0.7286807	0.0050149	0.5320811	0.8238482	0.0122233	0.3459174	0.4138700	0.8835519	0.4107710	0.6293234	0.0014473	0.2369914	0.7562689	0.8999823	0.4168707	0.4407465	0.5872907	0.1068030	1.0403927	0.9742610	0.9118857	0.9990466	0.4533307	0.7554677	0.9851861	0.1662840	0.8964635	0.6389043
0.6543056	0.1681453	0.0868813	0.1647702	0.5460730	0.2002422	0.5180331	0.1903093	0.6329546	0.2100282	0.1072378	0.9419456	0.3609375	0.0979356	0.5549281	1.0354804	0.0498397	0.9113495	0.2024571	0.5242687	0.0979820	0.5441305	0.6849527	0.6626780	0.1658050	0.1022056	0.6889021	0.0629824	0.0719869	0.8792516	0.3641900	0.4894168	0.9611724	1.0751030	1.0007103	0.5450434	0.8969202	0.8957285	0.3236220	0.9788727	0.6018256	0.9229833	0.6383091	0.7374958	0.8018265	0.2079041	0.4798570	0.1020243	1.0216931	0.4918889	1.0224379	0.3228613	0.0844293	0.5709544	0.2272819	0.3848141	0.1537230	0.4125309	0.6985097	0.2653092	0.3044887	0.7775459	0.7221467	0.3134699	0.7534557	0.9926154	0.4355080	0.9129039	0.1229368	0.4131933	0.3965420	0.7938333	0.8968128	0.1203277	0.2388248	0.7185222	0.1680234	0.5553009	0.5783722	1.1191189	0.1312701	0.7735243	0.0006925	0.0953362	0.6756264	0.9431389	0.3615653	0.4026240	0.8356985	0.0292324	0.8594410	1.0476768	0.9319327	0.6676331	0.6792686	1.0703695	0.7493229	0.3011829	0.8086527	0.9925833
0.5227587	0.1627089	0.1179172	0.2985052	0.5504180	0.2742501	0.5570378	0.0533339	0.2036555	0.2924829	0.7719050	0.7990842	0.4312046	0.1557752	0.5724346	1.0489605	0.0296872	0.8807330	0.7854099	0.7164748	0.0006292	0.7017311	0.2395178	0.8729444	0.9617787	0.2043767	0.5899210	0.3837506	0.3189535	0.7696399	0.4384022	1.0347210	0.5631460	0.8628010	1.0269602	0.4200291	0.9851188	0.4933982	0.3491344	0.6560224	0.2704015	0.4547099	0.2969807	0.8302721	0.6915913	0.7000767	0.2879851	0.0805975	0.9904716	0.4104374	1.0363463	0.3661689	0.0490693	0.7443036	0.2541903	0.4155138	0.2837397	0.0188053	0.5993624	0.0560280	0.5149523	0.3694834	0.6792188	0.4504222	0.2774115	0.5877727	0.2778293	0.7469793	0.1816413	0.4386483	0.3471665	0.4699098	0.7889085	0.0034382	0.3183944	0.9592611	0.0910162	0.2573885	0.2883369	0.9392699	0.1082706	0.2357372	0.0572243	0.3983929	0.8310861	1.0590904	0.4586038	0.5306270	0.6509717	0.2177027	1.0004774	0.9502818	1.0875329	1.0341547	0.6499268	0.9158574	0.9293342	0.1211504	0.5392950	0.9604107
0.6982380	0.0494597	0.1007441	0.3219881	0.6797124	0.3922169	0.7625706	0.0102761	0.5855177	0.0842929	0.3106636	0.7708140	0.4100914	0.6070992	0.8855236	0.9913583	0.1384507	0.8570938	0.7593493	0.9678962	0.2604561	0.1899322	0.2011040	0.6000882	0.2584605	0.1057437	0.2784258	0.3830515	0.7287565	0.7017866	0.5861592	1.0260917	0.5154053	0.7506629	0.9717778	0.5384994	0.7739922	1.0495241	0.4018730	0.6257269	0.3751515	0.7089235	0.6245507	1.0622444	0.7339446	0.1516284	0.2774742	0.1084627	0.9231740	0.5734591	0.8385924	0.4071151	0.0047691	0.7197006	0.4757695	0.2762394	0.5495343	0.3744179	0.3712436	0.0761621	0.5201982	0.8712457	1.0170312	0.3219554	0.1644494	0.6394257	0.5736368	0.8263555	0.5323796	0.3291812	0.8098033	0.6571240	0.8047279	0.0554037	0.2878758	0.7798717	0.1500802	0.5104759	0.5316907	0.8681309	0.1512313	0.4411873	0.0011133	0.1821904	0.9712234	0.8460330	0.1938697	0.3761033	0.6926388	0.0947927	0.9914611	0.8134288	0.9042221	0.6700251	0.3333965	0.7098160	0.5111180	0.4329704	0.9718523	0.9805568
