"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.5668635	0.1127831	0.4225110	0.4188059	0.4026839	0.9698950	0.6094838	0.9970442	0.6341850	0.3435886	0.6272788	0.7178790	0.0154835	0.0529880	0.9971916	0.1270571	0.5660422	0.7802475	0.8000190	0.5724563	0.2971536	0.0023218	0.4732388	0.9999531	0.6028439	0.4728748	0.1903426	0.7470333	0.0644148	0.0000002	0.2671975	0.4172549	0.9837864	0.1326551	0.3206034	0.4009882	0.6344466	0.2060156	0.9120779	0.3213352	1.0000000	0.0000226	0.7514372	0.0782342	0.0839106	0.9995685	0.7450562	0.4486115	0.6666912	0.8242532	0.4076414	0.5570594	0.2853123	0.5970793	0.7310506	0.6434031	0.0419502	0.2759602	0.0556005	0.9999946	0.0078326	0.3085733	0.9055788	0.3781394	0.0853370	0.8548634	0.0494240	0.0694113	0.1871296	0.4428381	0.8826819	0.1675296	0.3535058	0.0634914	0.2258336	0.0011757	0.9619748	0.0630215	0.2707050	0.1597381	0.4449942	0.2227827	1.0000000	0.0247595	0.5706163	0.9749217	1.0000000	0.7657701	0.6519060	0.9673193	0.8987204	1.0000000	0.1243681	0.3041063	0.2560941	0.7130657	0.7366351	1.0000000	0.0258622	0.8627784
0.7340187	0.2268207	0.9918707	0.4753013	0.0673946	0.9341741	0.8036204	0.9619273	1.0000000	0.3250331	0.5193084	0.0055422	0.0630642	0.1703015	0.8072941	0.6472495	0.9076350	0.1215006	0.6762493	0.8831167	0.1992474	0.2459744	0.9036363	0.9099848	0.7744571	0.5328033	0.4463506	0.3632897	0.1224029	0.1506151	0.6045358	0.7245874	0.9952108	0.6551988	0.7726089	0.1745566	0.9987109	0.0066507	0.9723900	0.1955813	0.8279787	0.0936172	0.3220266	0.0674807	0.5091302	0.5830757	0.0204002	0.0973014	0.7220992	0.5371722	0.0266243	0.9998857	0.4724102	0.8592460	0.5608253	0.7278790	0.1042944	0.0001970	0.0856453	0.9998831	0.0241679	0.0802377	0.7455537	0.6855627	0.1535474	0.4139128	0.0000199	0.0234275	0.4009997	0.0000861	0.9747523	0.2646207	0.4802179	0.0584924	0.4267562	0.0009591	0.4185261	0.4263596	0.3552257	0.4651564	0.5010299	0.4266254	0.6926885	0.0209554	0.4253172	0.6967049	0.0506682	0.9994110	0.4091520	0.9673484	1.0000000	0.9065223	0.0892761	0.9014956	0.0092494	0.7377596	0.4416857	1.0000000	0.0415586	0.8509183
0.3154623	0.1232773	0.8470093	0.6821212	0.4441344	0.8328196	0.4922632	0.2103812	1.0000000	0.2662001	0.4198325	0.5040118	0.7959329	0.5301433	0.6717354	0.3824168	0.8349823	0.3871605	0.2055270	0.8209796	0.7909924	0.7374459	0.0482112	0.9191962	0.4152903	0.7464940	0.5581695	0.8974406	0.1221802	0.0000000	0.8812004	0.4968784	0.9998684	0.4737571	0.1811190	0.7976329	0.6956384	0.0065324	0.9783280	0.3857599	0.9536294	0.0729014	0.5948075	0.0054944	0.0072446	1.0000000	0.3495106	0.4757291	0.6049623	0.8377369	0.5168688	0.8138123	0.3868451	0.5677146	0.9908140	0.8963599	0.3089777	0.0001953	0.0022279	0.6961488	0.0240866	0.1365127	0.0000002	0.7406315	0.3477286	0.8237886	0.0026135	0.0888169	0.2856065	0.0050589	0.9976521	0.5031188	0.2587842	0.0121149	0.5967504	0.0000190	0.8063149	0.5004273	0.0795430	0.9434690	0.8921446	0.6084423	0.7821005	0.0233056	0.4267322	0.2614308	0.0000731	0.3615758	0.0052073	0.8175744	0.5901020	1.0000000	0.0404355	0.7764445	0.0034196	0.8095133	0.6702087	1.0000000	0.0410876	0.8541034
0.7633749	0.4025208	0.5392182	0.3234690	0.4533044	0.9872992	0.8046412	0.3930866	1.0000000	0.2753598	0.5193084	0.2387899	0.2311382	0.4100299	0.3324550	0.3854908	0.7562165	0.8398426	0.6131881	0.8812368	0.2585684	0.6839592	0.9290516	0.8355837	0.9991526	0.4772159	0.5140528	0.7932002	0.0936108	0.5845387	0.9061755	0.6162196	0.9955487	0.8192089	0.8985574	0.7352494	0.9672112	0.0213486	0.9026773	0.4079347	0.5618875	0.0000001	0.7115485	0.0704983	0.0033846	1.0000000	0.5610608	0.5463954	0.2964850	0.9045373	0.2830551	0.9251909	0.1128734	0.8303063	0.4991640	0.5640095	0.1609592	0.0000622	0.1045538	0.9694930	0.0151325	0.1762195	0.0858622	0.5732681	0.3076978	0.5238893	0.0423677	0.0904257	0.4865227	0.0233808	0.9962663	0.4903108	0.2911684	0.0575417	0.5496585	0.0009208	0.8820562	0.6789943	0.4340764	0.7183814	0.4937385	0.2087625	0.8205012	0.1222484	0.1595261	0.4144008	0.0010124	0.7777972	0.0015835	0.9673523	0.8533068	0.4340741	0.0708160	0.6424703	0.0216918	0.7821507	0.5466521	0.5780288	0.0038844	0.8539144
0.7155731	0.3878015	0.9917179	0.2963256	0.0621430	0.9963609	0.7368622	0.7991609	0.9700235	0.3400577	0.5264794	0.1967818	0.1834167	0.4255277	0.5610702	0.3610832	0.7548751	0.3238399	0.5895236	0.7187304	0.6593813	0.3494946	0.5077166	0.6845893	0.6440374	0.9998371	0.3332634	0.3883387	0.0209148	0.2363933	0.1997260	0.4832883	0.9982476	0.5335283	0.3782278	0.2751974	0.6492037	0.0107056	0.9018427	0.4081935	1.0000000	0.0040420	0.9225694	0.0081990	0.2447902	0.9723289	0.3321029	0.2559668	0.4064132	0.2520445	0.7955617	0.5920509	0.3896442	0.9978098	0.9974014	0.0069963	0.0077853	0.2023552	0.1155843	1.0000000	0.1456146	0.1011519	0.2141300	0.7237642	0.7904367	0.3901299	0.7553934	0.0841363	0.7428003	0.5456283	0.9995584	0.4375936	0.4559125	0.0331524	0.6185521	0.1639312	0.6784954	0.9597516	0.4342276	0.4842489	0.4939642	0.1913180	0.7374179	0.1482430	0.6966517	0.8990099	0.0074826	0.9950874	0.0977012	0.9673523	1.0000000	1.0000000	0.0812329	0.7628898	0.1201707	0.7472437	0.7843508	0.6324812	0.0025013	0.9121889
0.4565881	0.5778690	0.8843279	0.5327753	0.3553533	0.9465915	0.7998194	0.4032185	1.0000000	0.1817018	0.1904256	0.0204776	0.3520552	0.4617338	0.3901947	0.0426644	0.8377319	0.6878965	0.6307125	0.7983234	0.3739094	0.3936063	0.5940407	0.6294662	0.9358031	0.9800985	0.3958753	0.5879660	0.3356211	0.0000001	0.3984987	0.5509122	0.9946848	0.2802819	0.3014582	0.7341093	0.8046100	0.0287797	0.8812676	0.4146367	0.9013254	0.0722391	0.5637303	0.0686710	0.4677669	0.3793979	0.1341160	0.0439413	0.3357947	0.6279579	0.3288115	0.7871090	0.8648381	0.2911576	0.8462192	0.9967111	0.3467889	0.2029437	0.0759316	0.9392309	0.1298494	0.1068951	0.4219178	0.7036508	0.3974521	0.7881488	0.3183964	0.0874541	0.2761016	0.1847350	0.9973157	0.4906189	0.2907100	0.0574971	0.6179309	0.0009190	0.9730591	0.5334954	0.4333777	0.4269207	0.6508825	0.3835152	0.6440963	0.1876285	0.3819995	0.6199836	0.0041763	0.8340755	0.6581644	0.9673522	1.0000000	0.9960704	0.0403468	0.7455316	0.0997164	0.7423510	0.8479115	0.9005202	0.0410942	0.8540576
0.4283427	0.4055565	0.5450396	0.5968793	0.0524992	0.9124995	0.4528938	0.3248874	0.9365245	0.1224731	0.5296545	0.0891209	0.8092968	0.9897825	0.5403596	0.5378639	0.8374484	0.3896864	0.1006403	0.5331337	0.8689722	0.8132407	0.1351470	0.2622621	0.9997032	0.7960834	0.6081097	0.7558040	0.2851145	0.0000033	0.5745569	0.6677189	0.9998917	0.3978490	0.7776204	0.7643341	0.8275602	0.0610198	0.9152860	0.1948902	1.0000000	0.0803266	0.6204959	0.0686770	0.4632109	0.8709455	0.1832138	0.1122497	0.5961916	0.8908120	0.4118757	0.4757892	0.6601073	0.4882038	0.8410499	0.8796559	0.5180911	0.0564529	0.0002248	0.9933333	1.0000000	0.8885181	0.0143048	0.6382544	0.4472170	0.7525682	0.1707416	0.0023510	0.8734457	0.0175317	0.9900583	0.4884704	0.2909681	0.0578091	0.4206813	0.0009315	0.8386392	0.5688964	0.4344966	0.5584029	0.5872613	0.5740624	0.8335267	0.0902903	0.3968270	0.2786669	0.0000279	0.5540192	0.0376301	0.9999990	1.0000000	1.0000000	0.0363985	0.8140614	0.0088156	0.7247771	0.8009086	1.0000000	0.0026155	0.8530614
0.4832996	0.6844340	0.7850209	0.4317975	0.0502744	0.9653052	0.8541579	0.6297407	0.2769056	0.3514934	0.7002889	0.9823622	0.3745297	0.9374807	0.3036143	0.9125304	0.9677734	0.5468311	0.1808785	0.6038519	0.2667616	0.7299356	0.7618679	0.4674857	0.9526345	0.6750022	0.5927427	0.8903193	0.3757570	0.0000163	0.6984901	0.3125374	0.9998675	0.8460616	0.3895203	0.6450894	0.9995064	0.0925873	0.9052499	0.4071449	0.6740912	0.1393919	0.8331706	0.0666572	0.1540849	0.8547835	0.8007645	0.3440534	0.8306476	0.7161373	0.1812759	0.9846243	0.5980452	0.7422823	0.7642996	0.8831902	0.6801884	0.0239947	0.0761242	0.9755292	0.1543050	0.1292014	0.7556254	0.7201844	0.3058795	0.5968293	0.6012218	0.0089935	0.2596420	0.3447890	0.9865928	0.4874303	0.6510290	0.0579609	0.5332287	0.0009376	0.9999314	0.5957144	0.4347331	0.5121510	0.4992753	0.2933034	0.8574748	0.0246099	0.3067091	0.1849692	0.0009716	0.7031966	0.4779913	0.9999993	1.0000000	0.9498843	0.0412328	0.8218639	0.1203447	0.8673597	0.5337418	1.0000000	0.0015416	0.9170478
0.4645377	0.7728418	0.9884018	0.5535075	0.0564162	0.8853391	0.8248521	0.4399108	1.0000000	0.1863932	0.5193084	0.0906659	0.4032353	0.9035790	0.0703508	0.2669977	0.7680398	0.1082523	0.5541301	0.7348588	0.1877468	0.4877299	0.7635462	0.7443496	0.6574744	0.4184899	0.3433478	0.7762519	0.4269483	0.0005265	0.2070595	0.4648107	0.9935280	0.2835904	0.2669466	1.0000000	0.7049736	0.2323520	0.9851340	0.2623825	0.8189951	0.1974603	0.8331706	0.0570516	0.2695851	0.9983842	0.8019089	0.3311176	0.1490317	0.6377424	0.6061289	0.6033397	0.9087359	0.5309535	0.8899178	0.9992948	0.7620709	0.0408306	0.0773615	0.7189015	0.1900041	0.0486875	0.9715116	0.6437218	0.3058795	0.8534023	0.3704302	0.0184961	0.2038431	0.0026739	0.9865928	0.4874303	0.6317096	0.0579609	0.5697273	0.4226061	0.8768481	0.5494298	0.2636304	0.3802360	0.6227380	0.3458881	0.8534814	0.0274565	0.5732751	0.7131531	0.0018182	0.9642330	0.4220591	0.9999926	1.0000000	1.0000000	0.1003237	0.6899896	0.0028114	0.7982875	0.8441893	1.0000000	0.0413084	0.8525807
0.4728879	0.3169220	0.9932195	0.4912739	0.0551324	0.9545086	0.7205588	0.5412200	1.0000000	0.2282013	0.4379657	0.1518844	0.4724400	0.4664800	0.2126730	0.5255470	0.9999833	0.3983881	0.3140384	0.5618283	0.4284388	0.6091322	0.5777893	0.3276508	0.9713826	0.9769576	0.5083644	0.7019266	0.3448040	0.0000000	0.5081677	0.4448020	0.9996623	0.5947758	0.2656257	0.7047534	0.6778277	0.0087029	0.9120779	0.1892100	1.0000000	0.0001553	0.8331706	0.0033144	0.1248909	0.9997739	0.9905444	0.3328168	0.3583641	0.5573166	0.3922776	0.8104752	0.7791836	0.9999451	0.8707427	0.9959797	0.4427014	0.0167034	0.0000538	0.7231707	0.1353785	0.0900830	0.1391674	0.8050581	0.3697701	0.6682811	0.0037670	0.0031827	0.0425533	0.0068607	0.9887375	0.5937980	0.4719823	0.0124031	0.2392143	0.0932311	0.4006904	0.6047224	0.4350941	0.5771653	0.5103588	0.3742364	1.0000000	0.0907387	0.2522387	0.4586512	0.0011374	0.8756187	0.0001000	0.9673523	1.0000000	0.7905246	0.0687103	0.8208611	0.0042583	0.8247678	0.7648150	1.0000000	0.0412646	0.8545216
