"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.8159650	0.0093775	0.5053022	0.4483795	0.8260315	0.9895638	0.0546786	1.0000000	1.0000000	0.3250331	0.5193084	0.1806834	0.0000000	0.6247779	0.9926349	0.4203915	0.0647259	0.1651156	0.7247804	1.0000000	0.0056368	0.0055065	1.0000000	1.0000000	0.7422269	0.1099153	0.0343414	0.4706164	0.0414025	0.0061385	0.0604671	0.5664251	0.0127036	0.1316738	0.2346405	0.0371113	0.0734527	0.9837390	0.9878490	0.3831237	1.0000000	0.0664993	0.8331706	0.6384271	0.0754285	0.9999551	0.9920614	0.6835880	0.7536616	0.4728769	0.0045641	0.9999988	0.7236786	0.4524756	1.0000000	0.1886836	0.0812423	0.0389572	0.9919663	0.9999994	0.0081636	0.1112167	0.9999698	0.0368738	0.0095829	0.9995472	0.0563257	0.9080754	0.8766043	0.0494978	0.0300502	0.0000000	0.4071112	0.9914748	0.3958470	0.5772842	0.5662466	0.0528392	0.5991042	0.0354645	0.0926883	0.0092729	1.0000000	0.0420827	0.9997709	1.0000000	1.0000000	1.0000000	0.8562895	0.9999999	1.0000000	1.0000000	0.9985989	0.0001752	0.9999207	0.1725221	0.9517948	1.0000000	0.9999229	0.0985165
0.4934557	0.3631373	0.9422592	0.6330557	0.1544456	0.9473013	0.8121294	1.0000000	1.0000000	0.3250331	0.5193084	0.1810579	0.0000000	0.0303741	0.5770526	0.3236778	0.8133408	0.4419338	0.9166944	1.0000000	0.5412859	0.0663960	0.7112083	1.0000000	0.7912270	0.4850347	0.4112852	0.7561150	0.0853093	0.0964685	0.2943401	0.5792212	0.9989756	0.4057284	0.2725217	0.0531550	0.9411403	0.7065125	0.9878490	0.3831237	1.0000000	0.0665014	0.8331706	0.0691604	0.0776959	0.9999497	0.5564376	0.4519877	0.8496639	0.8633644	0.2025221	0.9796720	0.6830859	0.4109482	0.9972874	0.6061241	0.1224182	0.0389970	0.1089175	0.9999793	0.0174365	0.0679234	0.9510411	0.6557173	0.3170338	0.8455700	0.0578326	0.0899956	0.4178370	0.0526934	0.9949377	0.4899193	0.1036546	0.0575985	0.7894332	0.0728100	0.9540213	0.4325193	0.0000000	0.0610293	0.6202816	0.4150856	1.0000000	0.0693214	0.9780524	0.9998174	0.9914806	0.9999998	0.0639265	0.0326465	1.0000000	1.0000000	0.0968773	0.6986084	0.1245392	0.7762002	0.7587515	1.0000000	0.0411406	0.8755837
0.8156654	0.0093865	0.9941182	0.4485118	0.8258883	0.9895522	0.0547720	0.9531403	1.0000000	0.3250331	0.5193084	0.1806836	0.0697655	0.7348482	0.9667222	0.4216960	0.0649704	0.4746576	0.9987520	0.8725514	0.5412859	0.0064756	0.9978048	1.0000000	0.7436081	0.1102455	0.0343489	0.4706663	0.0414026	0.0061385	0.0604816	0.5664239	0.0127134	0.1316784	0.2346405	0.0371827	0.0734830	0.9839619	0.9878490	0.3831237	1.0000000	0.0664993	0.8331706	0.6366860	0.0754285	0.9999551	0.9920632	0.6831137	0.7536827	0.4728756	0.0045641	0.9999988	0.7236786	0.4524764	1.0000000	0.1886841	0.0812424	0.0389572	0.9918446	0.9999994	0.0081636	0.0679234	0.9999696	0.0368883	0.0095829	0.9995472	0.0563257	0.9080771	0.8766100	0.0494978	0.0300493	0.0000000	0.0379192	0.9914767	0.3957420	0.5772945	0.5618468	0.0528412	0.0000000	0.0381555	0.0926803	0.0092728	1.0000000	0.0420826	0.9996912	1.0000000	1.0000000	1.0000000	0.0639265	0.0326465	1.0000000	1.0000000	0.9985961	0.0001755	0.9999028	0.1726070	0.9517915	1.0000000	0.9999230	0.0984937
0.4934557	0.3631373	0.9415826	0.6330557	0.6727955	0.9473013	0.0546498	1.0000000	1.0000000	0.3250331	0.5193084	0.1806829	0.0000001	0.0303742	0.5708543	0.3236778	0.0646504	0.2032092	0.7658267	1.0000000	0.2516200	0.0000000	0.7108697	1.0000000	0.7422277	0.1394125	0.0343390	0.4706014	0.0414026	0.0063848	0.0604634	0.5664254	0.0127011	0.1316724	0.2346405	0.0370450	0.5810763	0.9826428	0.9878490	0.3831237	1.0000000	0.0664993	0.8331706	0.6389660	0.0754285	0.9999551	0.5570695	0.6479480	0.8513024	0.8679810	0.2025221	0.9796720	0.6830859	0.4524737	0.9995391	0.1886868	0.0812431	0.0389572	0.9781049	0.9999994	0.0081636	0.0951374	0.9999688	0.0368694	0.3170338	0.8455700	0.0578326	0.0899956	0.6035425	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.9555405	0.0728100	0.9540213	0.3670263	0.4341659	0.0355435	0.6202816	0.4150856	1.0000000	0.0693214	1.0000000	1.0000000	1.0000000	1.0000000	0.8545616	0.9999987	1.0000000	1.0000000	0.9985991	0.0001752	0.9999029	0.1725161	0.9518233	1.0000000	0.0411406	0.8755837
0.0091385	0.8343574	0.5447367	0.9985424	0.0963799	0.0511083	0.8121294	0.0000000	1.0000000	0.3250331	0.5193084	0.1810579	0.0000000	0.0303741	0.5770526	0.3236778	0.8133408	0.4418488	0.7658267	1.0000000	0.2516200	0.0663960	1.0000000	1.0000000	0.7912270	0.4798369	0.4112852	0.7561150	0.0853093	0.1044205	0.2943401	0.5792212	0.9989756	0.4057284	0.2725217	0.0505929	0.9411268	0.7379661	0.9878490	0.3831237	1.0000000	0.0665014	0.8331706	0.0691604	0.0776959	0.9999497	0.5564376	0.4533941	0.9409160	0.8633644	0.2025221	0.9796720	0.6830859	0.4109481	0.9972874	0.6061243	0.1224182	0.0389970	0.1103879	0.9999793	0.0174365	0.1850227	0.9510591	0.6557173	0.3170338	0.8455700	0.0578326	0.0899956	0.4178369	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.7917732	0.0728100	0.5746844	0.4301813	0.4341659	0.4794107	0.7841014	0.6093865	1.0000000	0.0693214	0.9780524	0.9998174	0.9914806	0.9999998	0.8220485	0.9999987	1.0000000	1.0000000	0.0968773	0.6986084	0.1245392	0.7762002	0.7582095	1.0000000	0.0411406	0.8755837
0.4867350	0.3651165	0.9381939	0.6378140	0.7528355	0.9449949	0.0606071	0.6578507	1.0000000	0.3250331	0.5193084	0.1870098	0.2480331	0.4237235	0.2238945	0.3466110	0.0784628	0.4243151	0.7614714	0.7115246	0.2516200	0.1926032	0.8122080	0.6876546	0.7940626	0.8911914	0.0000000	0.3842864	0.0413971	0.0061385	0.0389275	0.5663424	0.0040904	0.1157019	0.2346272	0.1435947	0.5827773	0.0600404	0.9878490	0.3831237	1.0000000	0.0664993	0.8331706	0.5480155	0.0754283	0.9999526	0.5570696	0.3866777	0.8536371	0.8679819	0.2025221	0.9796720	0.6830859	0.9687556	0.9995393	0.1886495	0.0812376	0.0389572	0.0894446	0.9999994	0.0081627	0.1040426	0.4529857	0.0000000	0.3170338	0.8455700	0.0578326	0.0899956	0.6035426	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6409822	0.0728100	0.9180298	0.7038867	0.4341659	0.5136861	0.6221253	0.4184076	1.0000000	0.0693214	0.8657125	0.9888698	0.1817981	0.9998659	0.1009407	0.9999987	1.0000000	1.0000000	1.0000000	0.0000120	0.9999993	0.0464543	0.9633744	1.0000000	0.0411406	0.8755837
0.4867349	0.3651166	0.9388666	0.6378140	0.6633133	0.9449948	0.0606071	0.6578490	1.0000000	0.3250331	0.5193084	0.1806829	0.2480341	0.4237241	0.1768980	0.3466112	0.0784629	0.4427730	0.9166944	0.7115247	0.5412862	0.0000000	0.8092389	1.0000000	0.7940804	0.6634676	0.0348414	0.4737578	0.0414028	0.0080653	0.0612879	0.5663428	0.0133001	0.1319759	0.2346411	0.0370450	0.5810893	0.5518492	0.9878490	0.3831237	1.0000000	0.0664993	0.8331706	0.5480191	0.0754285	0.9999551	0.5570695	0.4163503	0.8536375	0.8679816	0.2025221	0.9796720	0.6830859	0.4524750	0.9995392	0.1886837	0.0812421	0.0389572	0.1220399	0.9999994	0.0081636	0.0679234	0.9996471	0.0378368	0.3170338	0.8455700	0.0578326	0.0899956	0.6035424	0.0526934	0.9949377	0.4899193	0.1036546	0.0575985	0.7147958	0.0728100	0.9180290	0.5401892	0.0000000	0.1418466	0.6221258	0.4184078	1.0000000	0.0693214	1.0000000	1.0000000	1.0000000	1.0000000	0.0639265	0.0326465	1.0000000	1.0000000	0.9984790	0.0001898	0.9999371	0.1755177	0.9534116	1.0000000	0.0411406	0.8755837
0.4867193	0.3651214	0.9381856	0.6378252	0.7528170	0.9449893	0.0439920	0.6574730	1.0000000	0.3250331	0.5193084	0.1870099	0.2480340	0.4237240	0.2238939	0.3466111	0.0000000	0.4255541	0.7614713	0.7117536	0.2516202	0.1926047	0.8123760	0.6878084	0.7940784	0.8911818	0.0335900	0.4682374	0.0414021	0.0061386	0.0389334	0.5665196	0.0118624	0.1312220	0.2346395	0.1435960	0.5827773	0.0600433	0.9878490	0.3831237	1.0000000	0.0664993	0.8331706	1.0000000	0.0754285	0.9999526	0.5570695	0.3866791	0.8536429	0.8679817	0.2025221	0.9796720	0.6830859	0.9687490	0.9995392	0.1886794	0.0812415	0.0389572	0.0894419	0.9999994	0.0081635	0.0679234	0.4530247	0.0000000	0.3170338	0.8455700	0.0578326	0.0899956	0.6035426	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.6409873	0.0728100	0.9179677	0.7038777	0.4341659	0.5138187	0.6221302	0.4184156	1.0000000	0.0693214	0.8657110	0.9888695	0.1817920	0.9998659	0.1009640	0.9999987	1.0000000	1.0000000	1.0000000	0.0000120	0.9999997	0.0464539	0.9553066	1.0000000	0.0411406	0.8755837
0.4886759	0.4597340	0.9398682	0.6364358	0.1535265	0.9456738	0.8142670	1.0000000	1.0000000	0.3250331	0.5193084	0.2032419	0.0000000	0.0034758	0.6438037	0.1144725	0.8183259	0.0174490	0.6430553	1.0000000	0.3577221	0.3153809	0.7427555	1.0000000	0.7923269	0.9060197	0.4150217	0.7549126	0.0867111	0.0061388	0.2977356	0.5802825	0.9990180	0.4080606	0.2735670	0.2753002	0.9484495	0.0385971	0.9878490	0.3831237	1.0000000	0.0665015	0.8331706	0.0690568	0.0778199	0.9999393	0.5375783	0.3827161	0.8510196	0.8631136	0.5904754	0.7568209	0.5417587	0.8261126	0.9762505	0.6189157	0.1239000	0.0390000	0.0781445	0.9999776	0.0178101	0.1843937	0.3946744	0.6595415	0.5643640	0.6716655	0.1013067	0.0852136	0.6176695	0.1033217	0.9988564	1.0000000	0.5309534	0.0000000	0.6428766	0.0718869	0.9542696	0.7179365	0.4344137	0.4605594	0.6231522	0.4181466	1.0000000	0.0694041	0.7318288	0.9296648	0.0128818	0.9973543	0.0738509	0.9999987	1.0000000	1.0000000	0.0958291	0.7026600	0.1242211	0.7772587	0.8105812	1.0000000	0.0410644	0.8761183
0.4934557	0.3631373	0.9415826	0.6330557	0.1544456	0.9473013	0.8121294	1.0000000	1.0000000	0.3250331	0.5193084	0.1810579	0.0000000	0.0303741	0.5770526	0.3236778	0.8133408	0.2178658	0.8474774	1.0000000	0.2516200	0.0663960	0.7111406	1.0000000	0.7912270	0.4522904	0.4112852	0.7561150	0.0853093	0.1018327	0.2943401	0.5792212	0.9989756	0.4057284	0.2725217	0.0505929	0.9411268	0.7568907	0.9878490	0.3831237	1.0000000	0.0665014	0.8331706	0.0691604	0.0776959	0.9999497	0.5564376	0.4613788	0.8496639	0.8633644	0.0000000	1.0000000	0.7237181	0.4109482	0.9972874	0.6061241	0.1224182	0.0389970	0.1198849	0.9999793	0.0174365	0.1850227	0.9510685	0.6557173	0.3170338	0.8455700	0.0578326	0.0899956	0.4178370	0.0526934	0.9949377	0.4899193	0.3290449	0.0575985	0.8047050	0.0728100	0.9540213	0.4184833	0.4341659	0.0540442	0.6202816	0.4150856	1.0000000	0.0693214	0.9780524	0.9998174	0.9914806	0.9999998	0.8225466	0.9999987	1.0000000	1.0000000	0.0968773	0.6986084	0.1245392	0.7762002	0.7553282	1.0000000	0.0411406	0.8755837
