"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.5737775	0.0107346	0.3482755	0.2471306	0.5791263	0.7299598	0.0092771	0.5937147	0.7382816	0.1556716	0.2316986	0.0829920	0.0000000	0.3783703	0.6990424	0.2782299	0.0772435	0.1383156	0.4633452	0.6127476	0.0080972	0.0080543	0.6966907	0.7958620	0.5384740	0.0639469	0.0080972	0.2634442	0.0295242	0.0013851	0.0455202	0.3885109	0.0061494	0.0956153	0.1327842	0.0441422	0.0427751	0.6981961	0.5091711	0.2589298	0.6307544	0.0795500	0.4680083	0.5245465	0.0451077	0.7576804	0.7319564	0.4530845	0.3967062	0.3959339	0.0007525	0.5723652	0.5337332	0.2987888	0.6759005	0.1279855	0.0639740	0.0363763	0.6528074	0.7035479	0.0134103	0.0484987	0.6463814	0.0240995	0.0055915	0.5859158	0.0587045	0.5586341	0.6840868	0.0154101	0.0226709	0.0000000	0.2503474	0.5064573	0.2883858	0.4798768	0.3230829	0.0200952	0.4496345	0.0064363	0.0654951	0.0112405	0.5937360	0.0335387	0.6341361	0.6444206	0.7140969	0.6417913	0.5547229	0.5843667	0.6663102	0.6283112	0.6629271	0.0011358	0.5913797	0.1565133	0.5620711	0.6675281	0.6569430	0.0568755
0.3344778	0.3179149	0.6458037	0.4451146	0.1668711	0.6177953	0.7209110	0.6568149	0.6457522	0.2203324	0.2853363	0.1218971	0.0000000	0.0547810	0.3241943	0.2077938	0.5243050	0.2454793	0.4762447	0.7302077	0.2782571	0.0352429	0.4369664	0.6992772	0.5666330	0.3528824	0.2703427	0.5277834	0.0747921	0.0413974	0.2406755	0.4080777	0.4908896	0.2578855	0.1874300	0.0393515	0.6577875	0.3728100	0.6195950	0.2794533	0.6106669	0.0360906	0.5799753	0.0699266	0.0381801	0.6948766	0.2757149	0.3227255	0.5789832	0.6045778	0.1572293	0.6378672	0.4477104	0.4226692	0.5394222	0.3675584	0.0785730	0.0268112	0.0596745	0.6193179	0.0369843	0.0340540	0.6074981	0.4652544	0.2941637	0.5168331	0.0540864	0.0746197	0.1788955	0.0564533	0.6674119	0.2908823	0.0514160	0.0424077	0.4390708	0.0549515	0.6041821	0.3069000	0.0000000	0.0743160	0.3102726	0.2056373	0.5715439	0.0500616	0.4930663	0.5825479	0.5748789	0.7708594	0.0644879	0.0306901	0.9057914	0.6070757	0.0386974	0.4951303	0.0621298	0.4808857	0.4944115	0.6305703	0.0270750	0.6444760
0.5258743	0.0112971	0.6496888	0.2704754	0.5264090	0.6833130	0.0350306	0.6448801	0.7505730	0.2295539	0.4162400	0.1204079	0.0356657	0.4777375	0.6788237	0.3061369	0.0307249	0.2886101	0.6822453	0.5467809	0.3065793	0.0042353	0.6962715	0.7454209	0.5284672	0.0593988	0.0096916	0.3158367	0.0307402	0.0147208	0.0635129	0.4168989	0.0382210	0.0883306	0.1122258	0.0156487	0.0312147	0.6707159	0.6865536	0.2736388	0.7700779	0.0393531	0.4680062	0.2905084	0.0386597	0.6412274	0.6308748	0.4932923	0.4959259	0.3470318	0.0096936	0.6410605	0.4590620	0.3132662	0.7044051	0.1395049	0.0673497	0.0287359	0.7037427	0.6486439	0.0015430	0.0402716	0.6316648	0.0430235	0.0162679	0.6302694	0.0325679	0.6231026	0.5261659	0.0248778	0.0131745	0.0000000	0.0156337	0.6135655	0.3345990	0.3844023	0.3275036	0.0410505	0.0000000	0.0294088	0.0507552	0.0023460	0.8015940	0.0280041	0.5697685	0.6773933	0.6865672	0.6624049	0.0228367	0.0273161	0.5980942	0.5995806	0.7649990	0.0010607	0.7015618	0.0886079	0.6192347	0.5389842	0.6425267	0.1074535
0.3429619	0.2681338	0.5613549	0.4481091	0.4208272	0.5553424	0.0095217	0.6889752	0.5996454	0.2293154	0.3584048	0.1403601	0.0000000	0.0280554	0.3876883	0.2264467	0.0520875	0.1513706	0.4918115	0.6241615	0.2145190	0.0000000	0.4173046	0.6974377	0.4743026	0.0813463	0.0181184	0.2455073	0.0413530	0.0005345	0.0466056	0.3063184	0.0133838	0.1298501	0.1648644	0.0262316	0.3722559	0.7092815	0.7438729	0.2160373	0.6774484	0.0392366	0.5769958	0.3719238	0.0580604	0.7157668	0.3833158	0.4536655	0.4742710	0.4501780	0.0909480	0.5060272	0.3797267	0.3414602	0.8408737	0.1275605	0.0327144	0.0451244	0.5944744	0.5893362	0.0119599	0.0597521	0.6264081	0.0349645	0.1883413	0.5918586	0.0305917	0.0842575	0.3508446	0.0209417	0.8274543	0.3098424	0.1917245	0.0462974	0.8212784	0.0464978	0.6884923	0.2977102	0.3753825	0.0319421	0.3590531	0.1955543	0.5486768	0.0341382	0.7594215	0.7539565	0.6515743	0.6121533	0.5763286	0.5833387	0.6406354	0.6002046	0.6533892	0.0001058	0.6312632	0.0948968	0.7237836	0.6992055	0.0321097	0.5347658
0.0032813	0.4990992	0.3774128	0.6979609	0.0599706	0.0324849	0.5050201	0.0000000	0.6753008	0.2075431	0.2774733	0.0642869	0.0000000	0.0118702	0.5000216	0.2100085	0.4698648	0.2922842	0.4427364	0.6396425	0.1798635	0.0532665	0.7394955	0.7071475	0.5425277	0.3417486	0.3449891	0.5177845	0.0864785	0.0342577	0.1836685	0.3384503	0.6875220	0.2407958	0.2142746	0.0218646	0.5997293	0.4595004	0.6802841	0.2823329	0.7220025	0.0389022	0.4362046	0.0312283	0.0504859	0.6876591	0.3176865	0.2908539	0.6710295	0.5198077	0.2124436	0.5789756	0.4907662	0.2032216	0.6463741	0.4819475	0.0955995	0.0651215	0.0659949	0.5303326	0.0238003	0.1468518	0.4806368	0.4642532	0.2270043	0.6532274	0.0109103	0.0851287	0.3023844	0.0497131	0.5938217	0.2087419	0.3360420	0.0649802	0.4741789	0.0457214	0.3925654	0.2979764	0.3420777	0.4304313	0.6745098	0.3668493	0.7012174	0.0500858	0.5991819	0.6936427	0.7352224	0.6713549	0.5008894	0.6171877	0.6618269	0.7174302	0.1124515	0.4078798	0.1348064	0.5756921	0.4876240	0.5932739	0.0302915	0.6110479
0.3311017	0.2648516	0.5738929	0.5618841	0.4656539	0.6902728	0.0520972	0.3822012	0.6952755	0.2953088	0.3313739	0.1209864	0.1945419	0.3281607	0.1297330	0.1855830	0.1214706	0.2256715	0.4463576	0.4508303	0.1527129	0.2863439	0.4695832	0.3790634	0.5503312	0.5227599	0.0000000	0.2278909	0.0241031	0.0327000	0.0416145	0.3789422	0.0003566	0.0753387	0.1845032	0.1977498	0.3737297	0.0155697	0.5227058	0.2268848	0.6279052	0.0307464	0.6057548	0.3439362	0.0473964	0.8199086	0.3209503	0.2927653	0.4884219	0.5309640	0.2056988	0.5790076	0.4014865	0.6410264	0.6744993	0.0443222	0.0399819	0.0287999	0.1089320	0.6953411	0.0112996	0.0871520	0.2659156	0.0000000	0.3189137	0.5663156	0.0790007	0.0790459	0.4520871	0.0437218	0.7338116	0.3124562	0.2158771	0.0245264	0.3319032	0.0269803	0.6953311	0.4879737	0.2033093	0.3751767	0.4307899	0.2040510	0.7035542	0.0517998	0.4274607	0.5737499	0.0124807	0.5747960	0.0585184	0.5626289	0.5948864	0.7431045	0.6348728	0.0000178	0.6005887	0.0185362	0.6743217	0.5565670	0.0264118	0.5815895
0.2755220	0.2157337	0.6549547	0.4859433	0.3514849	0.5062968	0.0575161	0.4222821	0.5041544	0.2642266	0.2846052	0.1122702	0.1943019	0.2702595	0.1025956	0.2578570	0.0364226	0.2623233	0.5929235	0.4020768	0.3341100	0.0000000	0.4974793	0.7333374	0.5409699	0.5227281	0.0503289	0.3127467	0.0249777	0.0074702	0.0547797	0.4176149	0.0320230	0.0629801	0.1713582	0.0378867	0.3864461	0.3805402	0.6677534	0.2330641	0.6249322	0.0690691	0.5323075	0.2010390	0.0545302	0.5487781	0.4930477	0.2695683	0.5746590	0.7023533	0.1146311	0.7177125	0.4611604	0.2773418	0.6096612	0.1328298	0.0580289	0.0312127	0.0744520	0.7440022	0.0041649	0.0551214	0.6497026	0.0342247	0.2690192	0.4837121	0.0533765	0.0580146	0.3915079	0.0278760	0.6609702	0.2802689	0.0876769	0.0435089	0.5372738	0.0258990	0.6924291	0.3815265	0.0000000	0.0835932	0.3723468	0.2972612	0.5820711	0.0471026	0.6396108	0.6119094	0.6728596	0.6410653	0.0230377	0.0129773	0.8172797	0.6408864	0.5264587	0.0009483	0.5474126	0.1643286	0.6356146	0.7195025	0.0334980	0.4631493
0.2693637	0.2351370	0.6151630	0.4097292	0.5250984	0.5078106	0.0198205	0.4815977	0.6000452	0.1455145	0.3532474	0.1337403	0.1230040	0.2341114	0.1788399	0.2295044	0.0000000	0.2904006	0.4731329	0.3630413	0.1659863	0.0765900	0.5205593	0.4707545	0.4992427	0.4705710	0.0211729	0.2588914	0.0461844	0.0012447	0.0299005	0.3460913	0.0063063	0.1026271	0.1066016	0.0893763	0.4118348	0.0912024	0.6021013	0.2919341	0.7372641	0.0362537	0.5961449	0.6519852	0.0260789	0.5999986	0.3140951	0.2246160	0.5820450	0.5070450	0.1358750	0.6274969	0.4516554	0.5472373	0.5780687	0.1809754	0.0519667	0.0262576	0.0575744	0.6712420	0.0254923	0.0362854	0.3081401	0.0000000	0.2048731	0.5300894	0.0456663	0.0507158	0.3869618	0.0339386	0.6733512	0.2848210	0.2321351	0.0462386	0.3912374	0.0257263	0.6027082	0.4602580	0.2984413	0.3703290	0.3390097	0.2520878	0.5931569	0.0421336	0.6031688	0.6361492	0.2062171	0.7093676	0.0379469	0.7148396	0.6999473	0.7260743	0.7182368	0.0017162	0.6465725	0.0550300	0.5372227	0.5944035	0.0249335	0.5488928
0.3920258	0.4043955	0.6540227	0.3686014	0.1236416	0.6343331	0.5127466	0.5537963	0.6927216	0.1958486	0.3353513	0.1018226	0.0000000	0.0012996	0.4828210	0.0586411	0.5680614	0.0057032	0.5412325	0.5860293	0.2987480	0.1450501	0.4795931	0.6752632	0.5478814	0.5849580	0.2455038	0.4992435	0.0392651	0.0040386	0.2607674	0.3919228	0.6159649	0.2637444	0.1561073	0.2137033	0.5830588	0.0143555	0.6345397	0.2139639	0.7061410	0.0344647	0.4571066	0.0379522	0.0673448	0.6863497	0.3320357	0.2871076	0.5509693	0.5586184	0.3746410	0.3984935	0.3946525	0.4006282	0.5889736	0.6213534	0.1050297	0.0190112	0.0516544	0.6365981	0.0161765	0.1739182	0.2623671	0.3893826	0.3874825	0.5021188	0.1071591	0.0823330	0.3857582	0.0615682	0.6102710	0.6536541	0.2777878	0.0000000	0.4021529	0.0315763	0.6483278	0.4411219	0.2778109	0.2391730	0.4190825	0.2254470	0.7588829	0.1014411	0.3954606	0.5846957	0.0091521	0.7573122	0.0888913	0.9090220	0.5908043	0.6083681	0.0472904	0.3003582	0.0866080	0.4331492	0.4460997	0.6298505	0.0222579	0.6073364
0.4126380	0.2795011	0.6604503	0.4682453	0.0672367	0.5348863	0.6033471	0.8095237	0.6765160	0.2385683	0.3964460	0.1426475	0.0000000	0.0219628	0.4321633	0.2731599	0.4423687	0.1441185	0.5834668	0.6074267	0.0984337	0.0804365	0.4652718	0.6063128	0.4898678	0.3065123	0.2457341	0.4582750	0.0859810	0.0743898	0.1661714	0.3697162	0.6247306	0.3126286	0.1684402	0.0529473	0.5978798	0.4437466	0.5177133	0.3125142	0.7024048	0.0387161	0.5935819	0.0571458	0.0438704	0.7492373	0.3944505	0.2669310	0.4543674	0.5732301	0.0000000	0.7588312	0.4369885	0.2840520	0.6227839	0.3342179	0.0459950	0.0128958	0.0770189	0.6012807	0.0062735	0.1446144	0.6459348	0.3801797	0.1842529	0.5808995	0.0411659	0.0716779	0.2918166	0.0228350	0.6277545	0.3546830	0.2479083	0.0277434	0.4960663	0.0639645	0.5345279	0.2673421	0.3582668	0.0207321	0.4036319	0.2762248	0.7486294	0.0407594	0.5340753	0.7034237	0.7995583	0.6379416	0.5843129	0.6144700	0.6058356	0.5653750	0.0999893	0.3992629	0.0973611	0.5238584	0.5370168	0.6529845	0.0487507	0.4350368
