"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.3330086	0.2289931	0.5546283	0.3291466	0.1015551	0.5879653	0.4928505	0.4905922	0.6731722	0.2190960	0.2795098	0.1234825	0.2207257	0.2719013	0.2005432	0.2304089	0.5526904	0.2711776	0.4611086	0.5120988	0.1913992	0.1704560	0.4820259	0.4271753	0.5191839	0.6602629	0.2081591	0.5270136	0.0425125	0.0138150	0.2222905	0.4290376	0.5905023	0.2692260	0.2052531	0.1248837	0.6708488	0.0221007	0.6639894	0.2787022	0.6891950	0.0269411	0.6061367	0.0640424	0.0841734	0.6021573	0.3924975	0.2144069	0.5922198	0.5268751	0.1343364	0.6628258	0.3913555	0.5550081	0.6571200	0.3724636	0.0856270	0.0315832	0.1068504	0.6379735	0.0160956	0.1260557	0.2584797	0.4527601	0.1963646	0.5373758	0.0524649	0.0640731	0.2170793	0.0311589	0.6542609	0.3952723	0.2615664	0.0299914	0.3672903	0.0885446	0.5416140	0.3727457	0.2641756	0.3641447	0.4910506	0.2882440	0.6555419	0.0492808	0.5440019	0.4610338	0.0779020	0.6372952	0.0678706	0.6258677	0.5650532	0.7147243	0.0782560	0.4421637	0.0796486	0.5792325	0.4867927	0.5769962	0.0181949	0.5491280
50.0	0.2172257	0.2652308	0.6710275	0.4069390	0.1152854	0.5886705	0.4565684	0.4613936	0.6317782	0.2637931	0.3561275	0.1706325	0.2254650	0.2711985	0.1083731	0.2422814	0.5056098	0.1736813	0.6038653	0.4231053	0.1638324	0.2047226	0.4967732	0.3664176	0.6140037	0.7020871	0.2271997	0.4148661	0.0544323	0.0051906	0.1980367	0.3428683	0.6564033	0.2934970	0.2059144	0.0910988	0.6974216	0.0134493	0.5688903	0.1346601	0.6492571	0.0493519	0.5529436	0.0437875	0.0312712	0.7255533	0.4318713	0.2951259	0.4906775	0.4777018	0.1750051	0.6222232	0.4051929	0.5522228	0.6890444	0.3649991	0.1125131	0.0517211	0.0807240	0.7052681	0.0038048	0.1192510	0.2565547	0.4249931	0.1965976	0.4630074	0.0276941	0.0621579	0.3315348	0.0468477	0.6137031	0.3048564	0.2276342	0.0232210	0.4352565	0.1054173	0.6316827	0.5289723	0.2625050	0.3822652	0.4124251	0.2950518	0.6231810	0.0535035	0.4733810	0.6634943	0.0445192	0.6033245	0.0467207	0.8315911	0.6229996	0.7063578	0.0988205	0.4411195	0.0600934	0.5157313	0.5713067	0.6395830	0.0090544	0.6569354
100.0	0.1817424	0.2222768	0.5766569	0.4684110	0.1166081	0.5829525	0.5102234	0.4862891	0.7324087	0.2349451	0.3224345	0.1135167	0.2398520	0.3130961	0.1862133	0.2943710	0.5550536	0.2984064	0.3842405	0.5035627	0.1745574	0.1851041	0.4481490	0.3575909	0.6531709	0.5581473	0.2434250	0.5323003	0.0420590	0.0091600	0.1886541	0.5022381	0.7284453	0.2220960	0.1621703	0.1485150	0.6095471	0.0573384	0.8092888	0.2841456	0.7305654	0.0276995	0.5618539	0.0260883	0.0929110	0.6662381	0.3775795	0.2332666	0.6387420	0.5492700	0.2297922	0.6245029	0.4076439	0.6201786	0.7065735	0.2216482	0.0704791	0.0161468	0.0349229	0.7122135	0.0059131	0.1289749	0.2392133	0.3489213	0.2430130	0.5217928	0.0789194	0.0528903	0.3463646	0.0236069	0.6189741	0.2540928	0.2489750	0.0540362	0.3091178	0.0438765	0.5135709	0.4647982	0.3401063	0.3958647	0.3410641	0.3225779	0.6419142	0.0656440	0.4125712	0.6676018	0.0374700	0.6073226	0.0358839	0.6365480	0.6400292	0.5940765	0.0993969	0.3569059	0.0512269	0.4689148	0.5505653	0.6500799	0.0197758	0.5713834
150.0	0.1019884	0.3457346	0.3485680	0.5699126	0.0734044	0.5247762	0.4656287	0.4421561	0.6065653	0.2698292	0.2605655	0.1119593	0.2067813	0.2690462	0.1201032	0.1917829	0.4732730	0.2330247	0.4066333	0.5085969	0.1520575	0.1352218	0.4818370	0.3032518	0.5993940	0.5966373	0.2305906	0.6004826	0.0647928	0.0065238	0.2043241	0.4369769	0.6547710	0.2834029	0.1505732	0.1357217	0.6114194	0.0282815	0.5773022	0.2133211	0.5957627	0.0583597	0.4823219	0.0573782	0.0399426	0.5687756	0.2685237	0.2137818	0.5642288	0.6585747	0.2001046	0.5968215	0.4803305	0.5411800	0.6548720	0.2908013	0.0398557	0.0233255	0.0418596	0.7388260	0.0070647	0.1401575	0.1975111	0.3960942	0.2408085	0.4098922	0.0206458	0.0536695	0.3959594	0.0559893	0.6229826	0.3023975	0.2446846	0.0213555	0.4545684	0.0841257	0.5857230	0.4493740	0.2930796	0.4149541	0.3651438	0.3474113	0.6234334	0.0265892	0.4991335	0.5584927	0.0442725	0.5511686	0.0375001	0.5755338	0.6557836	0.5621660	0.0646500	0.4819817	0.0666973	0.5458586	0.6051432	0.5200057	0.0343339	0.4707818
200.0	0.1742952	0.3103040	0.4146834	0.6018734	0.0759213	0.3919643	0.4642623	0.4612253	0.5806874	0.2319931	0.2466679	0.1053468	0.1358373	0.2682343	0.1312509	0.2300528	0.5735190	0.2830572	0.4980603	0.3711091	0.1738053	0.1106850	0.4608272	0.3797906	0.5257083	0.6168883	0.2093594	0.4711319	0.0515721	0.0016264	0.1822681	0.3995385	0.5222761	0.2386874	0.2269355	0.1376233	0.6298596	0.0271705	0.6399521	0.3105139	0.5207667	0.0403602	0.5072032	0.0168991	0.0474824	0.7418549	0.3103362	0.2920953	0.7113897	0.4571113	0.2148077	0.5469510	0.4330779	0.6755977	0.5974714	0.1834025	0.0629356	0.0213813	0.0464740	0.6977258	0.0057765	0.1624985	0.2381531	0.3955809	0.2085143	0.6177125	0.0192934	0.0577759	0.3132343	0.0307450	0.6396008	0.3153620	0.2423247	0.0532876	0.4288102	0.0485912	0.6142475	0.5655877	0.2510994	0.2966461	0.3666921	0.3095455	0.5065261	0.0326545	0.4649844	0.6643361	0.0255932	0.6193145	0.0165998	0.6638804	0.6197203	0.6529412	0.0674636	0.4024210	0.0627939	0.5405069	0.4391849	0.5509436	0.0456766	0.5604141
250.0	0.1269364	0.3068877	0.4116502	0.4661786	0.0655772	0.4923665	0.5249019	0.4407562	0.7863010	0.2133610	0.4029947	0.1754226	0.1489164	0.2480070	0.1269147	0.2681961	0.4877451	0.2983571	0.4619890	0.3888643	0.2105770	0.0914446	0.5216153	0.4321785	0.5376622	0.6091826	0.2976270	0.4735641	0.0662769	0.0051686	0.1623442	0.3463513	0.5666025	0.2458931	0.2129632	0.0739677	0.6452706	0.0207986	0.6624686	0.2692777	0.7429675	0.0624676	0.5821021	0.0471103	0.0568665	0.5511065	0.4057007	0.1918599	0.4178569	0.5949692	0.1966100	0.6594302	0.3754945	0.6143769	0.6016079	0.2917420	0.0729618	0.0226769	0.0492840	0.6928112	0.0136521	0.1841145	0.3435278	0.3899728	0.1786224	0.5128103	0.0622580	0.0526589	0.2926948	0.0297894	0.5845657	0.1971038	0.2432181	0.0272004	0.4251394	0.0540840	0.6254648	0.4513927	0.2607090	0.2975989	0.4276362	0.2964269	0.6877398	0.0550962	0.4556514	0.6020087	0.1008830	0.6087277	0.0194262	0.5998071	0.6061535	0.6783134	0.0829344	0.4330316	0.1009068	0.4413665	0.3939918	0.4790482	0.0362412	0.4958221
300.0	0.1303806	0.4220136	0.3505537	0.5882123	0.0540614	0.4959789	0.4433761	0.4449569	0.7215777	0.1539757	0.2861245	0.1292408	0.1649063	0.2420352	0.1403009	0.2423758	0.4415472	0.2600599	0.4579788	0.3962794	0.1693657	0.0750125	0.5597605	0.4536215	0.6074689	0.6552713	0.2994222	0.4652101	0.0545203	0.0041478	0.1956186	0.3397988	0.5943474	0.3014773	0.1622372	0.0735245	0.4774631	0.0373500	0.5460104	0.2853348	0.7464610	0.0243673	0.5050007	0.0351771	0.0474460	0.6569230	0.3649458	0.2193565	0.7124141	0.5975941	0.1751505	0.6687459	0.3885875	0.5067139	0.6136800	0.4087458	0.0862513	0.0306777	0.0428980	0.5539832	0.0177213	0.1296701	0.2136104	0.3564406	0.1507508	0.5036276	0.0280804	0.0652043	0.2535025	0.0460993	0.7021435	0.3103520	0.1708939	0.0200106	0.3624671	0.0460223	0.6768485	0.4753855	0.3339757	0.3277570	0.3729911	0.3516092	0.6708315	0.0766232	0.5784968	0.5757919	0.1779552	0.5567732	0.0346395	0.6689232	0.5940963	0.6861590	0.0940236	0.3321907	0.0625055	0.5797674	0.5469849	0.5991187	0.0551620	0.7006075
350.0	0.1580054	0.4602255	0.3793359	0.5090609	0.0661751	0.4719600	0.5725987	0.4705652	0.6725144	0.1919606	0.3289626	0.1572281	0.1445153	0.4061662	0.1225799	0.2039256	0.5073994	0.1805062	0.5140313	0.4990556	0.1526447	0.1324958	0.5801855	0.3804946	0.5855077	0.5935885	0.2384722	0.5436843	0.0641252	0.0023912	0.1596232	0.2852328	0.5692446	0.1892810	0.1922358	0.0586467	0.8300249	0.0253910	0.6011696	0.2498720	0.6404340	0.0171729	0.5500119	0.0408100	0.0733544	0.6388784	0.2648271	0.2343640	0.5917905	0.5773785	0.2096662	0.7019868	0.4538058	0.5799113	0.6619733	0.5312876	0.0911781	0.0191202	0.0580243	0.6395746	0.0107245	0.1159687	0.2334834	0.4673498	0.2481878	0.5552765	0.0237574	0.0937948	0.2708220	0.0406197	0.6543113	0.3368702	0.1875053	0.0380576	0.4083714	0.0362330	0.6063839	0.5021550	0.2493146	0.3499385	0.3857516	0.3558447	0.5780046	0.0465925	0.4809707	0.6369550	0.1001742	0.6947694	0.0229305	0.7115950	0.5477200	0.7370543	0.1017503	0.4661875	0.0872474	0.4990965	0.4405563	0.6845546	0.0430862	0.6018957
400.0	0.1644786	0.3892539	0.4266876	0.5114696	0.1113599	0.4872784	0.3998389	0.3722896	0.6656621	0.1547107	0.2824253	0.1057999	0.2392029	0.2520420	0.1371821	0.1901998	0.5438305	0.2012971	0.4993984	0.4876074	0.2018384	0.1721199	0.4300227	0.3947815	0.5659245	0.6180525	0.2658175	0.5367458	0.0577506	0.0059715	0.1921396	0.4506771	0.6883127	0.2099778	0.1468073	0.1393254	0.5639073	0.0263318	0.5522242	0.3142105	0.5715896	0.0265276	0.5852527	0.0472598	0.0495780	0.7250576	0.3369267	0.2367580	0.6835126	0.5236303	0.1876090	0.6132998	0.4085252	0.5145745	0.6932198	0.4564385	0.0434801	0.0334737	0.0594677	0.6844994	0.0085181	0.1678487	0.2531276	0.5179106	0.2782357	0.4661929	0.0523882	0.0377103	0.2944244	0.0292778	0.5286114	0.2737462	0.1812293	0.0498859	0.3166866	0.0511215	0.5343916	0.3693627	0.2650749	0.4106066	0.3932467	0.3549600	0.7048270	0.0310932	0.5473712	0.7249648	0.0659286	0.6542303	0.0592474	0.5901351	0.5750509	0.7020383	0.0733199	0.4034431	0.0989313	0.5167898	0.4781390	0.6376992	0.0278800	0.4272184
