"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.3238225	0.1996898	0.5665148	0.4324617	0.0938909	0.6138680	0.4624013	0.4332289	0.6523116	0.1890570	0.2886075	0.1495642	0.1867644	0.2738235	0.1192448	0.2449438	0.7185450	0.2559539	0.5695334	0.4089895	0.1847595	0.1793013	0.4957998	0.4329489	0.6790741	0.6134794	0.3519426	0.4076060	0.1133539	0.0017234	0.3029402	0.3279042	0.5786409	0.3078849	0.1959577	0.2793873	0.6191014	0.0148795	0.5935547	0.2050977	0.6058306	0.0496484	0.4799353	0.0626467	0.0505694	0.7081416	0.3717088	0.3176569	0.5533140	0.4787887	0.0947015	0.7545647	0.4509760	0.5117511	0.6758199	0.4320213	0.0974612	0.0117224	0.0660157	0.6709596	0.0430023	0.0963571	0.2648795	0.4808238	0.1745285	0.4194672	0.0280381	0.0199707	0.2037645	0.0522519	0.6171782	0.2663445	0.1986855	0.0333693	0.4357802	0.0477875	0.6530640	0.4997726	0.3124572	0.2536169	0.4405370	0.3609649	0.5741635	0.0526963	0.4918018	0.6737394	0.0054961	0.7035928	0.0653701	0.6563944	0.6374851	0.6485990	0.0682450	0.5179073	0.0961226	0.4672690	0.6063778	0.6647032	0.0215961	0.6345449
50.0	0.3012157	0.2625291	0.5721621	0.4551203	0.2310611	0.6892331	0.4731452	0.4598991	0.5603008	0.1637864	0.3255948	0.1434369	0.1761893	0.2336305	0.0704476	0.1869406	0.6144522	0.2281131	0.4479875	0.4195913	0.1116732	0.1788490	0.4157826	0.4568805	0.5383604	0.6213559	0.2945762	0.4903765	0.0704876	0.0010385	0.4546919	0.3537441	0.6183683	0.2910115	0.2603371	0.1544934	0.5701003	0.0360352	0.5291169	0.1370066	0.8174523	0.1070143	0.3099261	0.0509206	0.0407212	0.7875134	0.4076173	0.1954907	0.5255619	0.5871606	0.0745787	0.6348285	0.3542893	0.4148351	0.7185912	0.5282986	0.1269109	0.1934630	0.0710581	0.6430877	0.0102972	0.1083288	0.1708140	0.4421107	0.2250302	0.3457770	0.0257093	0.0213502	0.2101160	0.0321747	0.6732874	0.3823025	0.2933195	0.0301567	0.4246406	0.0287145	0.7044067	0.4168683	0.2623205	0.1946137	0.4735341	0.2565867	0.5444121	0.0339027	0.4500785	0.6672851	0.0137204	0.6568741	0.1058023	0.5728369	0.5944753	0.6183599	0.0774921	0.5744007	0.0541270	0.4320520	0.5259244	0.4937752	0.0229117	0.5560504
100.0	0.2713060	0.2179118	0.6472065	0.4377847	0.3621869	0.6668147	0.5997216	0.4527958	0.3232089	0.1876611	0.4474472	0.1000347	0.1824409	0.2701073	0.1391482	0.1739107	0.5218372	0.2166314	0.6507837	0.5260862	0.0737516	0.1186735	0.1852391	0.4777009	0.4280445	0.6771321	0.2835775	0.4666188	0.0428631	0.0070246	0.5996335	0.4110643	0.7103226	0.3060137	0.2592252	0.3049399	0.6678608	0.0256691	0.6677629	0.1968273	0.6125076	0.1608810	0.2848657	0.0429630	0.0598321	0.6480480	0.4509088	0.2983690	0.4952539	0.6163074	0.1142431	0.6334944	0.2691911	0.3316021	0.5439216	0.5521803	0.1513613	0.3459703	0.0947950	0.6528525	0.0073677	0.1425979	0.1604481	0.4811961	0.2435329	0.1979704	0.0552690	0.0511480	0.1793529	0.0427412	0.7141339	0.3728947	0.4086905	0.0075024	0.3913920	0.0314881	0.5797295	0.2341179	0.3276393	0.1059023	0.5504339	0.3170825	0.5954330	0.0800305	0.4485678	0.5357054	0.0230752	0.6929747	0.3205411	0.5252516	0.5432572	0.6930968	0.0844608	0.6153067	0.0660042	0.5240854	0.4840215	0.4570517	0.0145655	0.4733143
150.0	0.3546174	0.2827461	0.6024323	0.3983988	0.5835563	0.5436328	0.4656083	0.3797008	0.3235048	0.2437629	0.3222959	0.2124771	0.1439109	0.2688695	0.1300664	0.1154763	0.5840466	0.2604787	0.4875590	0.4331652	0.0598462	0.1933782	0.1075375	0.4899048	0.4485355	0.5984727	0.2904974	0.4681023	0.0783625	0.0028648	0.5858156	0.4172015	0.6678614	0.3013118	0.3485978	0.1544459	0.5969356	0.0181665	0.7044736	0.1590922	0.7824375	0.2095149	0.3320703	0.0362133	0.0558852	0.5564235	0.4423491	0.2540523	0.5844915	0.5087041	0.1437883	0.6295632	0.3054637	0.3452692	0.6359664	0.7267857	0.1084457	0.5050229	0.0699065	0.5800149	0.0172889	0.1621134	0.0430061	0.4685499	0.1795198	0.0905656	0.0309125	0.0489222	0.2559133	0.0435746	0.6878634	0.5817872	0.4856983	0.0138412	0.4299253	0.0489894	0.6706987	0.3491443	0.2424183	0.0448552	0.6728805	0.2587756	0.6009862	0.0605863	0.4841854	0.5170804	0.0423987	0.5862741	0.4063246	0.6815158	0.6004513	0.8090576	0.0868231	0.4534294	0.0912257	0.4159405	0.5458174	0.3036958	0.0323526	0.5765024
200.0	0.3451650	0.2996460	0.6793076	0.3752368	0.4642248	0.5730637	0.6000555	0.5057466	0.3515327	0.3112077	0.3768562	0.2140715	0.2122289	0.2670471	0.1297345	0.1208223	0.5001794	0.2556402	0.4855484	0.3708076	0.0505359	0.3142107	0.0642966	0.3001451	0.5173274	0.6686467	0.2522265	0.4188258	0.0866840	0.0049413	0.5617229	0.4174489	0.6864283	0.2153340	0.1802070	0.2236655	0.6624721	0.0548610	0.6280466	0.1408864	0.6975461	0.2233678	0.3809114	0.0783342	0.0467688	0.6501396	0.3908468	0.1908506	0.5043235	0.5442251	0.1863128	0.5763092	0.1374693	0.3060742	0.6597861	0.5779772	0.1504908	0.4025800	0.0576092	0.5907813	0.0732382	0.0768975	0.0462903	0.4356558	0.3523828	0.0793943	0.0397432	0.0555585	0.2486147	0.0343767	0.6816105	0.5373350	0.6426357	0.0056822	0.3569038	0.0498618	0.6385517	0.2844934	0.2303388	0.0536285	0.5538275	0.2886988	0.5784566	0.2054507	0.3310198	0.6197010	0.0226640	0.6267425	0.3537082	0.5697099	0.6300504	0.7399464	0.0530707	0.4282692	0.0693278	0.3901664	0.5034744	0.2176977	0.0296853	0.5850399
250.0	0.2521669	0.4038985	0.5942245	0.3665915	0.5062126	0.5852739	0.4567566	0.3818087	0.3145598	0.3088291	0.4530536	0.2522474	0.2427178	0.2090104	0.1657676	0.0773679	0.4807245	0.2389124	0.3924891	0.3793108	0.0537674	0.4310258	0.0197614	0.2288784	0.4294086	0.4507062	0.2808527	0.4178113	0.1349187	0.0048447	0.5886815	0.3760660	0.6278846	0.2811002	0.2835593	0.3024520	0.7154591	0.0238426	0.6879244	0.1528164	0.6244084	0.2220371	0.3090779	0.0627890	0.0506906	0.5900971	0.3216537	0.2232616	0.6084026	0.5196857	0.2364157	0.6783991	0.1353100	0.3100203	0.6571329	0.6615473	0.1531738	0.5856629	0.0406937	0.5601399	0.0232310	0.0810392	0.0559794	0.3630710	0.3159453	0.0558427	0.0767169	0.1025217	0.2768769	0.0387696	0.6553249	0.6717518	0.5923979	0.0170975	0.4736481	0.0341541	0.5464807	0.2290731	0.2657203	0.0279631	0.5590437	0.2819672	0.6398982	0.2022430	0.2838856	0.4027970	0.0142637	0.5563323	0.4737163	0.6260130	0.6713673	0.5688645	0.0506098	0.5205540	0.0999596	0.4663828	0.4722529	0.2069358	0.0224879	0.5683864
300.0	0.2828792	0.2772409	0.5789573	0.4005872	0.6361239	0.5698927	0.3977547	0.3203879	0.3363484	0.3306480	0.4180680	0.3078881	0.2416232	0.2820734	0.2558924	0.0604354	0.5559838	0.1123161	0.3589165	0.3461285	0.1035483	0.3647602	0.0259828	0.1611113	0.5008705	0.5886414	0.3028250	0.4255008	0.1084620	0.0035908	0.5371674	0.4002640	0.7034308	0.3001109	0.3518742	0.2476144	0.6744091	0.0383422	0.6233989	0.1941751	0.6044064	0.2120202	0.3024182	0.1017279	0.0624816	0.7338215	0.3597450	0.3337477	0.5053111	0.4635353	0.3121133	0.5220649	0.0833093	0.3876590	0.5839980	0.6368791	0.1140120	0.4750756	0.0895461	0.6728484	0.0247730	0.1082750	0.0159963	0.5335861	0.3897848	0.0293777	0.0383249	0.0361128	0.2568542	0.0500241	0.6356685	0.5950151	0.7268428	0.0043153	0.5445375	0.0466116	0.6436914	0.2346310	0.2891140	0.0414972	0.5855273	0.2608414	0.5848783	0.1951479	0.2153395	0.3919006	0.0020587	0.8115048	0.5068939	0.7567715	0.6151615	0.6010695	0.0228346	0.5158543	0.0927232	0.4639131	0.4925577	0.2595764	0.0379800	0.4629174
350.0	0.2896194	0.3350874	0.5917624	0.4219185	0.6659922	0.6847689	0.4233731	0.3764260	0.4572661	0.2126892	0.4313845	0.3362037	0.3470990	0.3277633	0.1857025	0.0847106	0.4661596	0.2148403	0.2123858	0.4443631	0.1200027	0.5074443	0.0290617	0.1990337	0.4766807	0.6379058	0.2395289	0.4324057	0.1068559	0.0033440	0.5923019	0.4186561	0.6387869	0.2837944	0.2854966	0.2404194	0.6460342	0.0623750	0.6497862	0.1589145	0.6544140	0.2226018	0.3102269	0.0593278	0.0411640	0.6969945	0.4219656	0.3198204	0.6455717	0.4734607	0.3779142	0.5810091	0.0572010	0.3194896	0.6096232	0.7707467	0.1055919	0.3609449	0.1021507	0.6474665	0.0130677	0.1388259	0.0266815	0.4756030	0.3263462	0.0613717	0.0714154	0.0385947	0.2945605	0.0557285	0.6412342	0.6694908	0.6181787	0.0043560	0.4385371	0.0207403	0.5886615	0.2409198	0.2436657	0.0443825	0.5565363	0.2369596	0.6753610	0.2044331	0.2803194	0.3146296	0.0007801	0.5747985	0.4526413	0.5711102	0.5531769	0.5968864	0.0498201	0.5278725	0.0660215	0.4638962	0.4002078	0.1677876	0.0321915	0.5369629
400.0	0.4067687	0.3161646	0.6166817	0.4893634	0.5860007	0.6753417	0.4265103	0.3829640	0.4013383	0.2045230	0.3550663	0.3214474	0.4475816	0.3190270	0.1938134	0.0737506	0.7441296	0.1938680	0.1769740	0.4169262	0.1164860	0.4710527	0.0450430	0.1405607	0.5142747	0.4950526	0.2918890	0.4941107	0.0717080	0.0029643	0.5936967	0.3763708	0.6836853	0.2318238	0.2649005	0.3344553	0.6085823	0.0190034	0.5448846	0.1669497	0.7110587	0.2021414	0.3160844	0.0239567	0.0628469	0.7126494	0.3314591	0.3085742	0.5917769	0.5502511	0.3412251	0.6283969	0.0324449	0.3634118	0.6684534	0.6498506	0.0898202	0.3681980	0.0572519	0.6115223	0.0258058	0.1272760	0.0124200	0.4298281	0.3445253	0.0257992	0.0793427	0.0162658	0.3847624	0.0758231	0.6008667	0.5485233	0.5800729	0.0041073	0.4527326	0.0850812	0.6172250	0.2488712	0.2748030	0.0673512	0.5181852	0.2462319	0.7325324	0.1843829	0.2727192	0.2114173	0.0000257	0.5920036	0.5032374	0.6768291	0.6320073	0.5333864	0.0436993	0.5657423	0.0703003	0.4851488	0.5170379	0.1693371	0.0287467	0.5426963
