"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.2654270	0.3307763	0.6267520	0.5325709	0.6020667	0.5781971	0.3491342	0.3587913	0.4039106	0.2409583	0.4119793	0.3355856	0.3438541	0.3048626	0.2454238	0.0870865	0.5407881	0.2378302	0.1825759	0.3902882	0.0962330	0.5092322	0.0195154	0.1107524	0.4438240	0.6094917	0.2705029	0.5393945	0.1054564	0.0023395	0.4742890	0.3885878	0.5351274	0.3078895	0.2551700	0.4644808	0.6343536	0.0373979	0.7243095	0.1300257	0.6315552	0.2207919	0.3696736	0.0622890	0.0672657	0.6264818	0.3551963	0.2173510	0.5648427	0.6784441	0.4876788	0.4449748	0.0587776	0.3223980	0.5423351	0.6769995	0.1354420	0.4273524	0.0371003	0.6489073	0.0163129	0.1050240	0.0813018	0.4493934	0.4012086	0.0404734	0.0795750	0.0479544	0.2765038	0.0416959	0.5362484	0.7456976	0.6630282	0.0219990	0.4515708	0.0407020	0.6735902	0.1501545	0.2322521	0.0655391	0.7117156	0.2444154	0.7011201	0.2778529	0.2184706	0.1670159	0.0005265	0.4202920	0.3805685	0.6541406	0.5757057	0.6476874	0.0777872	0.5865153	0.0714658	0.5216918	0.4816408	0.1602793	0.0376037	0.6248753
0.6188826	0.3148892	0.5567233	0.3447476	0.5158527	0.5855538	0.0308559	0.6989108	0.7297765	0.2122979	0.3645027	0.3836896	0.0823372	0.0870652	0.3299741	0.2222077	0.0544200	0.2804609	0.0151370	0.1318917	0.3272848	0.0077981	0.6845524	0.3611432	0.4866832	0.1414446	0.0148232	0.2889893	0.0252069	0.0004750	0.0588336	0.3257332	0.3926288	0.0811175	0.2006063	0.0153779	0.3804230	0.6576276	0.7254386	0.0917012	0.1075994	0.0436006	0.5476546	0.5124419	0.1008470	0.6621839	0.3890509	0.4614595	0.5283224	0.5161823	0.1154672	0.6053974	0.5494321	0.2623582	0.4711972	0.0974220	0.0668391	0.2027666	0.6227296	0.8262309	0.0051506	0.0540420	0.7960296	0.0263802	0.2197694	0.4413923	0.0335298	0.0494071	0.0458060	0.0055741	0.5345059	0.0453304	0.0265591	0.0021972	0.3320893	0.4038157	0.6042875	0.0583341	0.0350263	0.0215846	0.3582208	0.0868906	0.7404461	0.2799430	0.3220306	0.4403141	0.6531724	0.6213046	0.0857378	0.0488239	0.6946709	0.1513034	0.7351596	0.0010052	0.7286933	0.3137422	0.6682687	0.7019841	0.0328030	0.5518979
0.4939221	0.1212129	0.6460364	0.2835612	0.4493534	0.6397248	0.4616561	0.2930124	0.7171708	0.2154671	0.0270949	0.1853228	0.3607035	0.5858851	0.2521958	0.3558805	0.5653166	0.4217097	0.3016679	0.4120781	0.1685127	0.4586798	0.1634296	0.2948730	0.5998567	0.5349293	0.2957430	0.4562804	0.6112393	0.0057782	0.3287268	0.2356448	0.7003999	0.2392781	0.1420392	0.2912108	0.2760949	0.0003049	0.1730627	0.5659632	0.6145799	0.5834472	0.4766976	0.0343558	0.4713010	0.0049169	0.0301480	0.1337060	0.0933359	0.3532134	0.0375755	0.6315269	0.3490478	0.5355394	0.4592546	0.6305431	0.6903543	0.4141935	0.0846570	0.2738212	0.2599226	0.0964195	0.3135829	0.3798079	0.1767915	0.5651059	0.0660631	0.0535926	0.2249624	0.0513624	0.6900642	0.1924100	0.4695540	0.0905196	0.4109455	0.0514069	0.6499567	0.3143759	0.3226487	0.3855867	0.5226276	0.4833816	0.0519489	0.0456059	0.2658727	0.4173287	0.0002201	0.5923490	0.0507573	0.6333344	0.7353585	0.5970099	0.0141665	0.6683019	0.0686361	0.5777190	0.3738735	0.7324560	0.0131473	0.6474741
0.4994841	0.0072668	0.6519665	0.3382096	0.1053941	0.5638583	0.4984224	0.5765273	0.5443320	0.1867236	0.3166743	0.3083416	0.1991962	0.7310224	0.4975516	0.3338617	0.5782457	0.4232345	0.4984829	0.3871853	0.3584341	0.7460696	0.6468510	0.7309544	0.5592205	0.3724324	0.2773983	0.4066655	0.2063506	0.6301296	0.2086678	0.3201565	0.5710413	0.3527548	0.1471338	0.5133079	0.5519931	0.0164404	0.7082799	0.1126761	0.8545998	0.0378350	0.5734989	0.0250329	0.0795739	0.5819960	0.4323712	0.2058486	0.4205882	0.1234298	0.0203484	0.5945587	0.3040013	0.3993862	0.2694697	0.7108026	0.5317454	0.0173892	0.0002245	0.6547524	0.0875774	0.0268946	0.3125500	0.3464934	0.0008122	0.5930790	0.0383733	0.6381080	0.4222704	0.0652214	0.0399679	0.0001101	0.0198203	0.6123644	0.1477888	0.2899200	0.3826540	0.2111918	0.0188060	0.3572291	0.3117542	0.0007602	0.5588672	0.5146237	0.2864155	0.1094822	0.0002701	0.3050088	0.0418200	0.4479943	0.3749966	0.6651424	0.0018763	0.4859727	0.0011706	0.5405972	0.4701696	0.1346798	0.6746719	0.1750821
0.1479433	0.4277309	0.4456921	0.5418022	0.0776245	0.4713012	0.5364890	0.1098827	0.2102318	0.3822349	0.5560707	0.4415558	0.3846659	0.2809018	0.4038545	0.1635940	0.4884961	0.3006077	0.1606530	0.5482404	0.3132801	0.4153006	0.0381453	0.4297478	0.7083786	0.6671512	0.7076858	0.4577170	0.4130981	0.0013492	0.5509045	0.4778905	0.7258302	0.5869027	0.4616063	0.3000991	0.6975852	0.0100609	0.6126352	0.2332149	0.1543789	0.2099008	0.5589339	0.0578585	0.2869006	0.6545369	0.0102410	0.0084966	0.3037442	0.1010469	0.4101582	0.4553919	0.4008365	0.3138381	0.1627353	0.5745718	0.4094481	0.1193785	0.0000563	0.4918804	0.2088316	0.0808381	0.2225676	0.6187828	0.3441418	0.4640487	0.0692695	0.0009261	0.2420535	0.0887733	0.5634431	0.3475202	0.1820446	0.0642852	0.4637639	0.5518057	0.4419505	0.5442366	0.3277915	0.5234234	0.4693191	0.3203620	0.6189345	0.0361493	0.1550054	0.2913769	0.0007569	0.5804980	0.0431387	0.7310362	0.6952292	0.6293495	0.0251310	0.6426064	0.0007177	0.4436360	0.4950522	0.7762647	0.0145830	0.4594318
0.2855881	0.4903195	0.5878491	0.4400517	0.2333319	0.6324668	0.4028013	0.3325314	0.3052780	0.3969788	0.1183128	0.3947908	0.4565288	0.3338090	0.2095672	0.2722888	0.5856195	0.4440354	0.1762630	0.4206462	0.4155381	0.4647062	0.1761308	0.7281562	0.5021346	0.5741399	0.3335502	0.5804763	0.0834583	0.2341574	0.2608336	0.5403972	0.6608835	0.4575371	0.2068808	0.4365509	0.5083641	0.0392410	0.1015076	0.3557537	0.6563207	0.0225425	0.3004622	0.0244991	0.0859252	0.7449996	0.4204520	0.0167518	0.1581653	0.6014287	0.1112834	0.6056271	0.3895798	0.3376266	0.6000191	0.7112892	0.2470087	0.2549670	0.0829576	0.3842707	0.1806022	0.0523787	0.2537731	0.3689107	0.2652261	0.3398831	0.0380383	0.0255357	0.3229417	0.2873230	0.6350840	0.2857424	0.0534437	0.0550165	0.3942246	0.0489630	0.6332556	0.5481178	0.0130097	0.4239126	0.6265704	0.2002870	0.0879533	0.0890660	0.3404595	0.2412998	0.0009895	0.4414610	0.0536390	0.0282187	0.2302694	0.6477381	0.0377048	0.5468874	0.0284736	0.5738683	0.4407906	0.6890064	0.0211921	0.6326504
0.3143850	0.1490793	0.6163411	0.4335892	0.1085382	0.5992791	0.3892179	0.2122067	0.6846514	0.1312579	0.3644539	0.2370623	0.4054044	0.4117252	0.1559737	0.3541534	0.5852397	0.4395351	0.0202652	0.2694128	0.7517781	0.4808829	0.2200087	0.6196900	0.2759106	0.4194850	0.7801628	0.4826333	0.3302258	0.0021369	0.6872047	0.3895070	0.7006657	0.3256988	0.3353245	0.4208990	0.6178337	0.0366810	0.6009519	0.1851560	0.6308935	0.4180756	0.4929670	0.0240064	0.2613429	0.7258462	0.0090739	0.0147025	0.1711314	0.3741224	0.1811624	0.7023685	0.5906019	0.3080088	0.4411147	0.6614824	0.3776276	0.1144058	0.0387687	0.0061034	0.3898100	0.0548729	0.2884296	0.4409755	0.1787628	0.5435501	0.5644865	0.0678504	0.0815541	0.0340878	0.6697584	0.1874310	0.0124088	0.0127000	0.3998810	0.0351093	0.6093431	0.3938795	0.0303148	0.5031941	0.3392301	0.2549353	0.4826645	0.0463037	0.3073723	0.3017624	0.0001580	0.4691888	0.0460889	0.1154890	0.7044533	0.5414401	0.0766256	0.5864307	0.0515112	0.4167915	0.5144094	0.5751145	0.0288963	0.5615246
0.2814779	0.6461753	0.5729400	0.4090177	0.4561059	0.7347273	0.3881390	0.2699126	0.5848416	0.0209011	0.3272509	0.2240326	0.3839816	0.4135329	0.2387550	0.1370180	0.6163247	0.1303003	0.1767519	0.4729945	0.5263528	0.5245930	0.4074266	0.6683438	0.5384841	0.6706493	0.3807303	0.4339737	0.1596590	0.0043219	0.6286367	0.3794806	0.6441629	0.4844806	0.1927866	0.6686624	0.5198171	0.0167101	0.6374648	0.2141585	0.6435728	0.4139673	0.6869152	0.0367893	0.1276461	0.6145302	0.2979733	0.2048871	0.5157508	0.5157901	0.5388247	0.3946455	0.1136543	0.3187409	0.3419110	0.7014567	0.4246574	0.0385269	0.0352292	0.0674632	0.0986278	0.0580385	0.2889377	0.5077300	0.4192265	0.3862724	0.6452528	0.0068033	0.2580636	0.1190713	0.6747924	0.6280273	0.2394536	0.0086765	0.4637108	0.0389055	0.5997061	0.6036010	0.0487135	0.3508315	0.5178574	0.3509719	0.4714307	0.2140659	0.2916412	0.2725192	0.0037189	0.4643326	0.0640555	0.0731730	0.6217775	0.5216089	0.0749380	0.4371453	0.1131747	0.5432088	0.3661084	0.1989556	0.0170951	0.6118699
0.3377542	0.0307217	0.1612025	0.2392972	0.5906000	0.6476444	0.0312708	0.1017884	0.6954193	0.1954507	0.3518302	0.0735829	0.0824110	0.4867330	0.6772978	0.3667990	0.0411938	0.3624272	0.3273947	0.3829188	0.0009817	0.0007174	0.6497704	0.7336550	0.6215788	0.1693475	0.0128424	0.2904325	0.0356538	0.0033656	0.3808675	0.2998018	0.0198131	0.0557355	0.1777895	0.1767918	0.0652179	0.2345260	0.1004179	0.0897109	0.6880913	0.0408393	0.0424322	0.3111048	0.1841373	0.4295186	0.5296172	0.2348308	0.3720331	0.1405031	0.5684034	0.4329733	0.3747006	0.2153071	0.5886777	0.2362587	0.0536989	0.0071657	0.2569699	0.3952760	0.0088700	0.4763380	0.3578215	0.0202775	0.0158895	0.1511111	0.0373819	0.2665061	0.5881158	0.4209358	0.0310549	0.0006028	0.2920833	0.6143472	0.1704889	0.2818522	0.1292589	0.1520849	0.3406467	0.5010598	0.3893457	0.0104007	0.0502465	0.0198580	0.5477271	0.0013461	0.6445373	0.6339283	0.4374117	0.5593463	0.1401384	0.6944733	0.5836978	0.0001199	0.6275972	0.1599260	0.4215784	0.5971338	0.0123057	0.0497433
0.3142690	0.1577022	0.6415249	0.3702202	0.0566970	0.5912986	0.4705896	0.3053293	0.6738566	0.1849259	0.3301009	0.2366796	0.2925291	0.3097360	0.1891858	0.3183092	0.5140338	0.1151797	0.1957680	0.3187362	0.3933354	0.3216938	0.4538276	0.2184288	0.6126547	0.6818531	0.6527965	0.4982284	0.3869014	0.0027840	0.6153500	0.2924499	0.7219240	0.3468917	0.3611657	0.3554424	0.6797636	0.0154800	0.7009862	0.0964791	0.5420700	0.1234770	0.1280295	0.0340606	0.2918156	0.4556528	0.0207335	0.1121614	0.2434347	0.4310060	0.3867858	0.4034173	0.0355716	0.3017392	0.2676160	0.6191647	0.5882539	0.1018983	0.0697465	0.4538593	0.1604198	0.1329885	0.2407595	0.4106281	0.2660779	0.4719958	0.0478766	0.0759484	0.3905288	0.4010685	0.6135768	0.2770730	0.5142373	0.0503915	0.4476368	0.0351609	0.4992129	0.4066663	0.2717972	0.4340761	0.5062068	0.2551393	0.6905597	0.1362017	0.0053176	0.2598893	0.0005867	0.5076946	0.0541403	0.6794679	0.4222574	0.1229156	0.0883070	0.4271014	0.0917146	0.5235626	0.4636449	0.3607688	0.0238662	0.5766913
