"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.5549460	0.3237265	0.9667436	0.5784222	0.1950317	0.9683045	0.7393178	0.6485894	0.9984408	0.3524288	0.4284481	0.2154409	0.2129809	0.4764434	0.2317167	0.3445290	0.7405573	0.4009105	0.7879821	0.6613499	0.2254606	0.1834611	0.7093263	0.7480789	0.9246053	0.8846757	0.3294573	0.7383314	0.0484531	0.0166656	0.3347378	0.4911213	0.9185816	0.4031966	0.2351825	0.1523301	0.8819768	0.1440880	0.9913677	0.4130535	1.0851878	0.0945707	0.8454463	0.0613475	0.1063951	1.0542521	0.5006806	0.3489436	0.8639378	0.8448686	0.1335263	0.8843154	0.6186944	0.7005094	1.1214125	0.5840654	0.1420160	0.0317001	0.0820298	1.0739576	0.0444772	0.2664292	0.9170488	0.6506420	0.2618465	0.7628777	0.0403249	0.0839330	0.4480025	0.0674044	1.0020599	0.4802407	0.3715875	0.0642351	0.6001400	0.0510958	0.9765289	0.6714205	0.4805979	0.3869541	0.6002426	0.5035555	1.1316524	0.0509679	0.9182844	1.0752432	0.2845557	1.0255211	0.5814617	0.8770924	0.8895000	0.9564228	0.0929478	0.6325469	0.1632730	0.7755812	0.8524921	1.0041236	0.0609443	0.7618021
50.0	0.5413274	0.3074379	0.9887543	0.5782330	0.1892515	1.0293546	0.7864594	0.7478014	0.9939736	0.3420321	0.5265011	0.1990975	0.1261133	0.4213851	0.3147124	0.4710762	0.7804573	0.4548165	0.7851402	0.7156590	0.2180354	0.1103143	0.7498092	0.6940155	0.8386594	0.8838421	0.3620340	0.8702925	0.0653929	0.0082760	0.3454726	0.5057400	0.9377122	0.3398288	0.1521826	0.1475628	0.8682160	0.1045460	1.0200897	0.3500164	1.0597713	0.0846611	0.7478540	0.0805273	0.0680341	0.9519419	0.5557727	0.3343376	0.8696913	0.8516228	0.1430582	0.9238822	0.6539526	0.6486851	1.1278836	0.4741765	0.1030174	0.0401504	0.0553909	0.9606648	0.0126331	0.2346067	0.8501869	0.5742942	0.2858883	0.8566591	0.0415907	0.0713962	0.4463953	0.0590531	1.0185452	0.3468130	0.3491893	0.0788419	0.5932511	0.1040559	0.9696574	0.6766912	0.4857600	0.4160058	0.5572637	0.4483488	1.0011681	0.0685035	0.8905348	1.0729937	0.3804923	0.9806113	0.5032304	0.8941892	1.0803209	0.9472661	0.1073758	0.6030393	0.1485140	0.8174111	0.8475028	1.0493675	0.0718479	0.8087690
100.0	0.5042688	0.3629119	1.0390825	0.6523613	0.2012808	0.9879454	0.7247981	0.8064845	0.9679556	0.2717374	0.5669665	0.2027776	0.0466046	0.3414664	0.3625761	0.5347470	0.7445603	0.3958760	0.6747925	0.8110825	0.1946217	0.0456280	0.8145278	0.9253539	0.6906505	0.9249052	0.3392085	0.7158678	0.0427487	0.0074509	0.2971439	0.5046003	0.9395484	0.3335746	0.2095941	0.0949582	0.8852107	0.1200026	1.0906915	0.4494935	1.0332794	0.0842820	0.8720516	0.0721535	0.0825892	0.9352190	0.4918734	0.3068509	0.8568477	0.8229683	0.1930496	0.9430198	0.7093709	0.6518516	1.0197632	0.3111139	0.1361650	0.0324285	0.0669285	0.9408614	0.0053038	0.2070301	0.6996754	0.6494547	0.2324199	0.8566337	0.0588512	0.0634377	0.4674862	0.0550995	0.9646202	0.2093537	0.3476558	0.0556855	0.5939657	0.0914271	1.0404172	0.6913123	0.5016328	0.3916493	0.5272994	0.4490921	0.9919067	0.0983497	0.8538938	0.8991346	0.5636117	0.9296062	0.4686562	0.9849121	1.1153570	0.8838830	0.1272461	0.6512738	0.1328094	0.8499951	0.7784722	0.9591079	0.0381837	0.9356116
150.0	0.5005764	0.3435202	0.9757284	0.6168825	0.1928352	1.0054927	0.7321342	0.8223050	0.9992330	0.3712310	0.6099954	0.1722135	0.0439656	0.2049074	0.4898753	0.4950788	0.7018395	0.3019576	0.6993516	1.0248325	0.1289912	0.0113029	0.7762463	0.9140834	0.6443844	0.9716027	0.3499179	0.8019412	0.0695453	0.0023243	0.3164605	0.5071100	0.9975272	0.3967259	0.2267650	0.0971067	0.9949440	0.1180607	1.0712198	0.3593665	0.9437102	0.0796018	0.8515887	0.0566728	0.0940490	0.9574212	0.4774955	0.3439685	0.9457477	0.8116953	0.1291153	0.9310610	0.7229048	0.5670760	1.0972581	0.3480113	0.1251116	0.0449022	0.0840745	1.0525616	0.0107179	0.2107797	0.5806114	0.6665739	0.1669527	0.9759175	0.0589029	0.0925630	0.4269530	0.0469364	1.0910019	0.0716345	0.3200090	0.0543805	0.6021686	0.0784106	1.0100693	0.8106701	0.4703420	0.4166664	0.5579880	0.3845127	0.9529980	0.0606473	0.9250230	0.9587891	0.7192619	0.8847622	0.4865938	1.0542673	1.0783605	0.9521992	0.1056181	0.7165320	0.1386708	0.7804850	0.7140468	0.9906678	0.0376662	0.8828023
200.0	0.4327320	0.2664262	0.9542448	0.6204696	0.1376752	0.9396472	0.7664474	0.9233690	0.9621201	0.4143199	0.6368185	0.1808127	0.0338560	0.1528373	0.5772999	0.4602131	0.6875557	0.2533453	0.7189146	0.9591182	0.0797063	0.0107619	0.7709269	0.9508736	0.6356937	0.8083321	0.2953337	0.7912338	0.0460913	0.0088783	0.2554645	0.4124399	0.9829746	0.3241055	0.1989015	0.0825155	0.9560696	0.1466557	1.0535590	0.3280344	0.9304707	0.1078927	0.8076460	0.0635060	0.0855953	1.0032057	0.5601977	0.3711698	0.9011729	0.7755973	0.0804847	1.0339612	0.6927601	0.4889178	1.0934989	0.3422310	0.1201775	0.0486704	0.0945676	0.9752882	0.0197083	0.1735510	0.6000274	0.5845696	0.1192292	0.9663309	0.0468602	0.1035644	0.3802790	0.0351617	0.9027068	0.0432095	0.2656689	0.0379920	0.5483245	0.0737932	0.9858646	0.7713689	0.4267106	0.4525417	0.5841471	0.4387588	1.0370908	0.0843890	0.9934645	0.9481715	0.8051879	0.9238369	0.4009977	0.9490958	1.0350627	0.9885890	0.0903385	0.7315425	0.1042484	0.7013593	0.8408363	1.0275667	0.0405741	0.9057119
250.0	0.5095021	0.1840361	0.9522537	0.6287069	0.1347127	0.8713139	0.7066752	0.9615663	0.9880079	0.4227243	0.4783872	0.2239715	0.0086561	0.0942198	0.5903407	0.4115253	0.4807125	0.2593681	0.7964576	1.0793238	0.0373137	0.0090069	0.8764339	0.9443557	0.6053519	0.6789400	0.2690040	0.7360171	0.0617825	0.0054156	0.2134339	0.5339998	0.9531383	0.3487657	0.2710472	0.0628231	0.8824720	0.2260940	0.9942312	0.3218750	0.9958803	0.0826517	0.9101892	0.0962572	0.1258655	1.0599021	0.5908461	0.3345938	0.8212164	0.7941629	0.0354375	0.9946790	0.7120616	0.4408633	1.0088116	0.2952652	0.0633932	0.0353731	0.1065042	1.0109528	0.0192265	0.1888864	0.6252539	0.5924539	0.0696092	0.8954861	0.0480413	0.1176194	0.3853897	0.0512757	0.9341926	0.0112958	0.2522379	0.0725479	0.5941414	0.0644798	0.9952130	0.6522755	0.5185973	0.4804015	0.6399166	0.4132825	1.1692529	0.0689696	0.9854004	0.9768930	0.8928164	0.9850125	0.3785414	1.0062374	0.9285792	1.0348832	0.1268279	0.5528102	0.1037317	0.7240583	0.9310330	1.1288350	0.0364017	0.8604928
300.0	0.4572583	0.1239450	0.9550524	0.6360821	0.1601227	0.9139419	0.5739000	0.9265637	1.0781811	0.3910686	0.5281795	0.1990106	0.0055679	0.0561666	0.5073314	0.4110295	0.3864258	0.2216590	0.8173996	1.0296754	0.0240647	0.0084410	0.8543073	0.9156960	0.6879808	0.6289036	0.2044960	0.8174013	0.0537740	0.0068391	0.2294393	0.4971810	1.0272093	0.3249791	0.2479247	0.0289632	0.7730749	0.3390286	1.0522667	0.3569452	1.0336869	0.0507155	0.8638653	0.0791541	0.1041692	1.0805799	0.5603637	0.3633195	0.7943919	0.7888707	0.0198445	0.8706462	0.7335968	0.4839843	1.0235101	0.3182570	0.0676630	0.0376026	0.1092037	0.8939903	0.0252532	0.1792139	0.7934917	0.4698409	0.0300239	0.8763455	0.0722638	0.2001720	0.3738860	0.0724533	0.7577571	0.0040838	0.3423762	0.0696443	0.5959615	0.0697413	0.9571496	0.6148626	0.5152705	0.3980211	0.5732989	0.4229740	1.0530659	0.0480924	0.9819085	1.0332373	0.9358272	1.0715490	0.4903383	1.0563745	0.9195024	1.0002742	0.1413557	0.5816751	0.0902854	0.7453980	0.8388010	1.0138028	0.0433164	0.8822345
350.0	0.5346521	0.1172716	0.9865938	0.7016766	0.1808815	0.9004962	0.4836432	0.9697530	0.9831480	0.3358873	0.5362842	0.1920883	0.0030289	0.0867031	0.5961280	0.4248621	0.3996961	0.2201110	0.7372461	0.9580133	0.0124639	0.0144333	0.9847093	1.0133562	0.7162070	0.6520854	0.1573979	0.8255932	0.0547262	0.0080306	0.1978517	0.5619710	0.9679146	0.2774800	0.2657986	0.0433344	0.6404376	0.4324094	0.9504149	0.3656203	1.0540511	0.0608033	0.8450343	0.0981979	0.0870969	1.0120798	0.5557047	0.3849185	0.8478846	0.8341322	0.0235813	0.8858786	0.6483967	0.6376101	0.9664716	0.2858735	0.0595395	0.0285195	0.1141408	0.9650005	0.0186635	0.2218427	0.8670738	0.3451026	0.0195928	0.8937218	0.0609536	0.4736713	0.5345010	0.0514550	0.4773626	0.0010662	0.3345439	0.0967656	0.7046556	0.0603743	0.9854884	0.5292676	0.4872566	0.3088758	0.5377328	0.3602587	1.0469382	0.0303201	1.1265013	1.0624355	0.9823296	1.0091862	0.6070101	1.0456079	0.9852883	1.1175081	0.1837740	0.4461230	0.1693051	0.7675126	0.8739453	0.9856760	0.0368430	0.9403334
400.0	0.5138696	0.0796686	0.9398345	0.6219953	0.1702391	0.8971297	0.5055514	0.9508187	0.9649542	0.3558995	0.5894567	0.1771893	0.0016198	0.0751165	0.5486672	0.4868155	0.2484135	0.2004507	0.8625975	1.0494102	0.0230156	0.0179497	0.9888036	1.0279286	0.7148991	0.5010208	0.1492798	0.8419986	0.0556936	0.0050164	0.1667545	0.5351773	0.9142770	0.2592889	0.2876254	0.0392334	0.5018255	0.5268423	0.9769564	0.3581795	0.9254593	0.0538125	0.7634624	0.1238133	0.0759398	0.9520249	0.6622308	0.4192017	0.8628564	0.8446679	0.0200988	0.9558300	0.5996788	0.4538544	0.9758416	0.2654613	0.0801457	0.0602760	0.1476699	1.0095304	0.0172734	0.2736501	0.9054149	0.2461439	0.0242485	0.9016644	0.0515317	0.5634667	0.5541930	0.0497577	0.2611568	0.0044676	0.3148786	0.2105597	0.6659143	0.0824279	0.9476200	0.4918950	0.4393011	0.2725820	0.4306716	0.2630195	1.1564716	0.0553366	1.0614673	1.0040097	1.0144181	0.9829136	0.6400621	0.9889251	1.0157401	1.0484855	0.3255919	0.2501217	0.2237972	0.7086558	0.9583636	1.1115720	0.2011533	0.8003680
