"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.8367786	0.0121713	0.5326398	0.4118060	0.7790780	1.1135849	0.0370720	1.0382847	1.1222101	0.2789967	0.4750561	0.1792360	0.0000000	0.6489501	0.9704505	0.4306800	0.0504811	0.1871445	0.7397155	1.0306049	0.0144338	0.0152135	0.9860938	1.0666671	0.8172296	0.0978907	0.0369065	0.4147134	0.0308698	0.0020074	0.0520852	0.6105650	0.0184952	0.1368405	0.2731666	0.0327706	0.0857054	0.9873353	0.9835663	0.3584167	0.9884508	0.0583342	0.8716577	0.7493336	0.0477356	1.1379963	1.0819040	0.7006488	0.7163072	0.5095243	0.0015676	1.0485761	0.7192513	0.4294128	1.0204589	0.2197117	0.1218103	0.0427407	1.0470094	1.0703309	0.0153954	0.0842674	1.0624334	0.0546060	0.0103032	1.0040299	0.0744945	1.0035554	0.8567111	0.0448396	0.0370031	0.0000000	0.3421955	0.9878912	0.3762317	0.5747208	0.4737821	0.0643642	0.6097775	0.0341037	0.0882682	0.0190840	1.0367246	0.0465116	1.0076657	0.9913257	1.0092854	0.9354268	0.8808583	0.9479110	1.1245512	0.9895980	0.9656768	0.0034783	1.0205029	0.1793628	0.9235827	0.9101560	0.9984235	0.0862006
0.5141734	0.3854880	1.0896818	0.6487418	0.2097284	1.0658343	0.9336959	1.0344653	0.9103410	0.3105766	0.4882524	0.1854405	0.0000000	0.0611239	0.5888494	0.2708212	0.8526496	0.3991460	0.8271675	1.0652243	0.5392506	0.0828775	0.7286871	1.0904342	0.8139072	0.6309241	0.4332661	0.7858261	0.0840182	0.0761854	0.2454885	0.5509605	0.9689522	0.4041416	0.3671791	0.0655168	0.9157265	0.6375855	0.9218751	0.4055923	0.9671825	0.0542453	0.8441199	0.0654967	0.0703936	0.9839422	0.5925983	0.4452802	0.8891716	1.0928990	0.2570062	0.9354440	0.7330081	0.5752911	1.0190798	0.5639227	0.1243374	0.0378570	0.0665885	0.9379605	0.0326539	0.0475426	1.0973048	0.7728768	0.3530671	0.8176552	0.0559877	0.1110981	0.4268809	0.0726898	0.9516793	0.4770785	0.1112664	0.0709015	0.7734010	0.0947346	0.9599763	0.4651638	0.0000000	0.0971409	0.5685693	0.3776109	0.9947552	0.0735467	0.9245050	1.0013114	0.9616970	1.0984469	0.0782953	0.0368499	1.0920288	1.0878426	0.1271604	0.7378266	0.1723991	0.7543395	0.8901969	1.0229499	0.0584708	0.9586148
0.8369069	0.0238813	0.9127970	0.4126045	0.8740538	0.9622316	0.0579026	1.0438960	1.0278037	0.3504923	0.5271098	0.1661210	0.0659911	0.7288682	0.9939909	0.5026167	0.0793848	0.4386541	1.0222629	0.7853098	0.5477943	0.0079260	0.9275311	1.0367813	0.7251221	0.1129578	0.0442805	0.5043122	0.0378688	0.0082761	0.0761850	0.5321416	0.0709909	0.1183743	0.2017319	0.0309561	0.0588220	0.9600318	1.0321859	0.3546697	1.0298592	0.0895930	0.8052558	0.4998798	0.0572139	0.9857460	1.0818999	0.6194319	0.7331359	0.5125087	0.0112920	0.8946032	0.7242346	0.4845309	1.0207536	0.1708593	0.0888656	0.0484037	0.9605487	1.0240792	0.0073987	0.0715260	1.0286047	0.0522018	0.0122115	1.1908347	0.0834604	0.8657960	0.8804676	0.0458068	0.0283776	0.0000000	0.0370871	0.9519163	0.4250525	0.5486824	0.6647797	0.0694513	0.0000000	0.0303360	0.1110720	0.0058634	1.1126521	0.0242598	1.0488908	1.0016234	0.9895225	0.9818649	0.0835398	0.0513789	0.9991952	0.9801602	0.9839250	0.0002186	1.0810404	0.1749621	0.9199238	0.9537627	0.9748817	0.1353408
0.5013149	0.2976134	1.0464309	0.6355773	0.6814910	0.8689575	0.0142408	0.9987735	0.9161427	0.3928716	0.5472723	0.2039283	0.0000000	0.0479174	0.5906655	0.3964613	0.0683842	0.2757369	0.7385905	1.0103545	0.2005063	0.0000000	0.6715922	0.9761615	0.6510811	0.1328846	0.0335380	0.4340149	0.0557981	0.0080476	0.0733740	0.5463912	0.0118558	0.1571468	0.2219702	0.0487651	0.5529742	0.9611641	1.0553967	0.4403751	1.0560820	0.0486730	0.8532659	0.6664924	0.0747599	1.0752617	0.5634777	0.7610456	0.8447733	0.8886640	0.1367579	0.9902026	0.7764214	0.4889838	1.1101827	0.1778276	0.0679092	0.0506641	0.9985042	0.8810719	0.0119251	0.1069030	1.0283941	0.0400987	0.2161648	1.0144876	0.0325521	0.1176120	0.5042101	0.0336520	1.0890640	0.4498712	0.3358538	0.0698775	0.9901461	0.0890518	0.9439264	0.3438311	0.4706474	0.0424587	0.5944032	0.4099031	0.9798203	0.0390765	1.1024447	0.9407899	0.9917974	0.9859339	0.8884913	1.1846688	1.0018150	0.9591890	1.1008760	0.0031470	0.8145996	0.2283673	0.9840415	1.0424859	0.0323959	0.9013561
0.0185545	0.8504465	0.5979706	1.0405241	0.0835352	0.0611858	0.8460369	0.0000000	1.0714595	0.3249234	0.4652339	0.1471638	0.0000000	0.0328738	0.5826411	0.3042475	0.7669652	0.5026574	0.8480356	1.0830790	0.2566576	0.0842505	1.0006123	1.0460143	0.8885574	0.5443444	0.3620765	0.7867542	0.0970419	0.0334266	0.2680129	0.6433609	0.9860271	0.4463493	0.3471998	0.0678264	0.9105751	0.5277292	1.0273466	0.4270401	1.0169649	0.0982669	0.8125351	0.0590753	0.0932175	0.9777814	0.5668303	0.4895759	0.9899867	0.8723889	0.2241617	0.9270349	0.7369377	0.2720112	1.0081518	0.8686339	0.1833618	0.0453302	0.0637606	0.9633305	0.0350125	0.2389252	0.9317075	0.6158848	0.3471815	0.8104486	0.0481077	0.0832058	0.3928110	0.0746578	0.9472051	0.5103767	0.3791669	0.0596853	0.7405819	0.0873616	0.6239061	0.4760971	0.5482624	0.5749202	0.6402539	0.5643635	0.9658440	0.0567691	1.0501724	1.0388152	1.0159021	0.9426984	0.7660112	1.0367595	1.0363824	1.0003343	0.0960658	0.7371114	0.1516736	0.7812892	0.7565044	1.0845027	0.0422343	0.8920666
0.4768612	0.4565158	0.8806537	0.5872370	0.7800640	0.8436296	0.0841513	0.5606440	0.9514544	0.3996472	0.5029329	0.2601030	0.3146873	0.4269648	0.2398923	0.3584301	0.0850816	0.3475553	0.7152557	0.5670985	0.2770551	0.3399610	0.7482468	0.5760648	0.7813443	1.0594087	0.0000000	0.3539991	0.0182400	0.0098095	0.0607541	0.5802136	0.0007018	0.1040323	0.2517271	0.1957419	0.5420558	0.0400508	1.0009775	0.4011333	1.0346470	0.0438441	0.8400661	0.5072396	0.0933167	1.0323562	0.5375430	0.4161597	0.7425058	0.9193626	0.2667124	0.9181261	0.5990505	0.9671923	0.9506626	0.1413816	0.0999046	0.0389714	0.1038326	0.9313389	0.0134288	0.1075683	0.4437163	0.0000000	0.3998036	0.8180767	0.0727326	0.1241916	0.6582640	0.0754445	1.0764915	0.5695038	0.3693885	0.0513567	0.7118456	0.0465356	0.9569849	0.7370263	0.3978167	0.6374378	0.6863663	0.4058383	1.0159619	0.0771075	0.7487887	0.8772994	0.0342256	0.9931943	0.1949391	1.0065002	1.0163253	1.0559742	1.0048977	0.0000891	0.9498413	0.0327208	0.9499872	1.0014998	0.0560208	0.8037058
0.4124231	0.3175062	0.9899285	0.6489452	0.6139512	0.8656849	0.1153163	0.6772999	1.0054428	0.4220316	0.6387604	0.2028625	0.2951861	0.3883708	0.1883840	0.3420507	0.1039052	0.4655917	0.8835814	0.6298637	0.5250642	0.0000000	0.8055076	0.9667337	0.8516314	0.6634017	0.0439287	0.5400147	0.0446389	0.0086296	0.0904285	0.5910722	0.0272881	0.1283610	0.2697126	0.0190027	0.5968822	0.5668747	0.9988546	0.3239404	1.0368964	0.1094613	0.8614850	0.3470115	0.0394574	0.9769959	0.6734243	0.4942938	0.8736609	0.8585299	0.2303089	0.8446721	0.6618249	0.4924366	0.9582674	0.2363143	0.1325599	0.0320371	0.1233937	1.0344372	0.0163590	0.1091638	1.0441084	0.0432501	0.3147212	0.9018556	0.0835245	0.0902007	0.6427932	0.0466941	1.0951161	0.5020138	0.0848600	0.0570159	0.7739144	0.0437950	0.9589541	0.5129020	0.0000000	0.1301257	0.5458845	0.4531721	1.0009722	0.0796489	0.9897906	0.9754716	1.0540390	1.0951376	0.0906392	0.0474804	0.9762459	1.0089188	0.9111362	0.0010187	1.0290981	0.2287435	0.9902575	0.9857968	0.0348757	0.8945270
0.4601837	0.3192267	0.8876601	0.6461012	0.7578673	0.8817179	0.0613036	0.7521733	1.0256728	0.2813440	0.5368881	0.1860586	0.2205810	0.5213103	0.2707035	0.3390021	0.0000000	0.4111574	0.8410688	0.8039561	0.2898592	0.1754566	0.8945248	0.8057574	0.7308143	0.8878263	0.0309235	0.4424064	0.0488069	0.0044030	0.0482732	0.5688808	0.0105457	0.1231083	0.2298485	0.1258589	0.5976382	0.0506088	0.8821060	0.3700472	1.1831623	0.0885021	0.8435175	0.9362816	0.0839495	0.9548793	0.6696721	0.3693323	0.8871798	0.9158394	0.1481957	0.9852996	0.6779614	0.9390845	1.0403574	0.2062018	0.0858349	0.0448268	0.0849732	0.9053928	0.0141543	0.0534281	0.4883221	0.0000000	0.3260417	0.9339845	0.0397240	0.1067279	0.5294970	0.0734867	0.9231926	0.4642038	0.3213873	0.0519600	0.7105278	0.0868158	0.9767060	0.6869681	0.4586644	0.5513869	0.6323973	0.3909448	1.0867756	0.0863935	0.8787813	1.0490427	0.3332560	1.0270308	0.1012294	0.9303244	1.0414949	1.1286863	0.9304516	0.0059754	0.9546561	0.0430036	1.0214628	1.0767649	0.0365564	0.9532381
0.5358540	0.4572291	0.9093574	0.5879667	0.1907224	1.0660048	0.8732270	0.8826671	1.1520514	0.3175345	0.5865423	0.1850226	0.0000000	0.0013107	0.7599711	0.0881239	0.7750907	0.0180478	0.8480268	1.0585766	0.3416482	0.3373880	0.7513632	1.1388068	0.8259718	0.8855074	0.4113751	0.7856328	0.1136523	0.0074935	0.2924508	0.5444763	1.0075689	0.4285531	0.2778110	0.3072097	0.8815564	0.0758407	0.9858752	0.3816054	1.1468588	0.0519371	0.8232867	0.0773198	0.0757384	1.0602054	0.5037970	0.4265423	0.8695901	0.8226162	0.5486382	0.7241600	0.5715926	0.7338547	0.9558523	0.6942842	0.1716018	0.0428635	0.0869290	0.9434999	0.0123215	0.1905126	0.4373431	0.6278910	0.5085411	0.7486406	0.0809013	0.0970557	0.6850889	0.1485485	1.0532672	1.0245862	0.5383680	0.0000000	0.6561385	0.0847435	0.9374436	0.6730491	0.4442317	0.4145593	0.6352575	0.4023396	0.9816419	0.0804317	0.7554033	0.8568635	0.0129204	0.9294221	0.0746694	0.9639640	1.0560281	1.0746151	0.0817846	0.6210697	0.1032784	0.8444741	0.7377484	1.0035091	0.0444920	0.9584409
0.5638506	0.3569406	0.9917756	0.7060152	0.1522087	0.8415819	0.8825379	1.0618996	0.9199536	0.3300642	0.5701380	0.1435116	0.0000000	0.0426883	0.5629329	0.2786092	0.7246699	0.2221804	0.8804447	1.0491638	0.2609383	0.0562673	0.8271028	1.0191125	0.7145060	0.4628400	0.4512493	0.7455928	0.0945001	0.0798500	0.2944087	0.5600347	1.0005741	0.3170376	0.2406666	0.0401139	0.9243354	0.8792376	1.0189371	0.4337978	1.0356844	0.0598873	0.8294455	0.0562211	0.0844382	1.0603047	0.5867159	0.4649870	0.8146682	0.9472952	0.0000000	1.0273420	0.6659971	0.4000801	1.0432485	0.5724551	0.1027839	0.0481546	0.1856321	1.1421769	0.0233300	0.1710055	0.9730287	0.6685782	0.3406472	0.7976576	0.0427463	0.1235280	0.4347169	0.0528900	0.9429036	0.4776254	0.3699999	0.0503347	0.8635291	0.0868290	0.9116700	0.4543601	0.4602302	0.0713204	0.6843186	0.4150282	1.1039398	0.0990204	1.0384801	0.9694853	1.0345233	0.9723934	0.8874700	1.0449228	0.9435063	1.0325547	0.1102127	0.7201712	0.1330653	0.8224206	0.8459103	0.9882987	0.0472135	0.7815405
