"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.4737869	0.3692676	0.9591997	0.5282443	0.1371398	0.9091470	0.8169525	0.6015554	1.0158808	0.3287104	0.6027772	0.2093904	0.2341726	0.4335269	0.2578255	0.3460770	0.7253609	0.4257662	0.7833127	0.6999865	0.2642669	0.2428625	0.6759862	0.6269035	0.9323788	1.0004982	0.3819525	0.8031411	0.0812536	0.0022811	0.2522660	0.5134817	0.9184127	0.3633056	0.2820027	0.1959682	0.8597804	0.0503911	1.0435433	0.3900356	0.9729708	0.0582034	0.8261645	0.0782954	0.0756489	0.9450706	0.5155946	0.4160305	0.8952161	0.9158991	0.2727677	0.9832626	0.6413222	0.8130913	1.0823107	0.6057521	0.1140585	0.0324355	0.0668530	0.9542406	0.0268232	0.1886222	0.4271707	0.5889691	0.3106820	0.8216688	0.0394613	0.0694837	0.4272227	0.0474245	1.0291865	0.5800517	0.3200296	0.0336777	0.5919426	0.0912055	0.8597079	0.6897474	0.4224670	0.5417338	0.6513014	0.4245578	1.1084242	0.0831949	0.8361697	0.9746587	0.1291923	0.9354784	0.0876677	1.1326795	0.9492188	0.9969385	0.1207648	0.7204547	0.1190163	0.7145014	0.8196269	1.0498094	0.0417943	0.9523184
50.0	0.3859607	0.3607218	0.9646049	0.6196772	0.1690098	0.9526779	0.8024719	0.7462081	0.9938456	0.3143820	0.5387559	0.1796597	0.3447538	0.4319932	0.2349277	0.3073685	0.8216590	0.3882147	0.7476416	0.7117394	0.2910546	0.2704327	0.7262201	0.6331797	0.8401231	1.0018799	0.4134902	0.7954011	0.0580448	0.0060527	0.2917795	0.5498275	0.8972219	0.4068821	0.3056918	0.1875411	0.9949517	0.0456103	1.1616755	0.3864629	1.0015496	0.0660521	0.8769209	0.0678572	0.0477663	0.9487749	0.5430902	0.4116078	0.8225222	0.8703378	0.2986161	0.9560221	0.6172633	0.8970352	1.1020512	0.5715212	0.1273404	0.0319302	0.0925397	1.0189462	0.0100278	0.1770291	0.4401316	0.5767908	0.3565204	0.7775958	0.0605650	0.1327147	0.4564407	0.0296701	1.0265924	0.5562760	0.3463502	0.0624544	0.5940162	0.0859194	0.9583514	0.7237153	0.4773826	0.5504206	0.6180344	0.4499831	0.9954546	0.0948091	0.7270108	0.9333969	0.0875412	0.9642127	0.1224976	1.1361712	1.0424286	1.0240757	0.1040346	0.6824891	0.1009270	0.7558498	0.8130650	0.9950322	0.0388714	0.9445256
100.0	0.2677004	0.3390013	0.8693102	0.7060148	0.1771820	0.8929122	0.8032916	0.7002016	0.8995914	0.2637390	0.5306954	0.2684610	0.2934977	0.4238750	0.2233925	0.3721810	0.7809349	0.3982409	0.6560593	0.6486055	0.2822459	0.3174058	0.7808041	0.5113831	1.0171623	0.9020665	0.3863705	0.8452318	0.0708638	0.0066967	0.2979357	0.5094475	0.9394831	0.4164148	0.3256895	0.1997352	0.9979147	0.0332381	0.9789917	0.3142284	1.0361421	0.0631440	0.9328127	0.0569111	0.0695652	0.9905837	0.6556162	0.4053908	0.8221214	0.8118944	0.2384828	0.9332654	0.5946695	0.8754211	1.0149043	0.5018316	0.1568279	0.0340953	0.0826641	0.9970822	0.0043074	0.1719506	0.4609880	0.5780537	0.3923868	0.8051360	0.0651777	0.1356647	0.5274529	0.0504037	0.9904665	0.4736731	0.3185740	0.0576654	0.5743676	0.0871663	0.9743999	0.7459822	0.5144900	0.5789504	0.5902552	0.4511873	0.9588221	0.0715412	0.7118004	0.8839726	0.0508603	0.9151066	0.0991964	1.0950449	0.9672937	1.0056157	0.1280254	0.6684764	0.1466975	0.7730019	0.8665401	1.0885791	0.0469437	0.8791278
150.0	0.2841988	0.4816645	0.7915348	0.7406972	0.1591364	0.8843186	0.7532848	0.6696040	0.9538815	0.3819960	0.4779919	0.2237240	0.3198467	0.4478539	0.2456155	0.3107624	0.7823505	0.4472706	0.7050585	0.6899498	0.2565249	0.1957310	0.7438712	0.5973048	0.8896354	0.9402109	0.3979576	0.7193454	0.0370195	0.0101025	0.2825390	0.6576271	1.0112829	0.3912160	0.2539952	0.1950161	0.9286318	0.0309104	0.9050903	0.4021227	1.0448639	0.0526347	0.8094934	0.0652201	0.0924711	1.0867532	0.6092750	0.3788198	0.8629506	0.8557955	0.2332882	0.9234999	0.6547450	0.9939309	1.0367416	0.3533579	0.1135808	0.0349048	0.0945376	1.0575481	0.0130532	0.2168791	0.4150913	0.6527702	0.4013713	0.7861939	0.0555270	0.1150479	0.4228250	0.0628655	1.0744263	0.4208112	0.3351817	0.0345933	0.5630949	0.1074178	0.8439282	0.7068105	0.4813143	0.5608345	0.6034935	0.5423658	0.9869237	0.0560830	0.6411157	0.9818460	0.0513053	0.9397001	0.1006189	0.9275622	0.9784471	0.9778147	0.1559596	0.7533045	0.1482855	0.8036808	0.8887011	0.9719346	0.0420168	0.8028980
200.0	0.3093220	0.5035196	0.6878377	0.7442123	0.1047455	0.7740240	0.8350822	0.6932104	1.0438606	0.3959684	0.4906863	0.1668745	0.2343406	0.4490239	0.1938973	0.2953677	0.7666300	0.4457811	0.7228115	0.6204024	0.2377597	0.2282598	0.8030365	0.5987012	0.9057814	0.9910872	0.3684806	0.8104182	0.0770202	0.0073387	0.2834133	0.5950400	0.9510367	0.4661613	0.2682217	0.1966471	0.8896244	0.0370694	1.0187321	0.3997618	1.0187598	0.0684869	0.8646542	0.0649853	0.1005710	1.0805838	0.6567425	0.3636530	0.8868717	0.7854946	0.2800800	0.9138978	0.6944696	0.9644509	1.0109418	0.2863848	0.1181953	0.0359071	0.0932137	1.0313292	0.0133240	0.2210945	0.4395472	0.6729830	0.4084149	0.7993411	0.0661979	0.1005021	0.4713815	0.0438044	0.9754616	0.4326623	0.3403270	0.0885400	0.6590574	0.0785284	0.8965075	0.6694824	0.4693189	0.4846675	0.6428723	0.5445152	0.9782221	0.0707671	0.7252404	1.0179388	0.0608914	0.9194343	0.0600098	0.9540688	0.9706755	0.9949191	0.1238386	0.5810302	0.1227376	0.8074019	0.7972583	0.8799569	0.0446759	0.8319000
250.0	0.2574096	0.4941282	0.6481301	0.6499014	0.1101011	0.7282985	0.8244412	0.7477614	0.9833771	0.3486988	0.4631856	0.1575102	0.2224557	0.4458339	0.2375414	0.3045982	0.7989023	0.4084481	0.7439748	0.7108930	0.2407768	0.1720092	0.7881856	0.6451276	0.8342078	0.8860923	0.3854147	0.7399757	0.0774747	0.0098530	0.2985742	0.6027481	0.9577246	0.3767052	0.2989557	0.1686290	0.8622379	0.0594307	0.9455120	0.4148448	1.0004705	0.0715672	0.8784205	0.0621259	0.0821993	1.0666511	0.6024570	0.3509671	0.9271629	0.7683804	0.3153121	1.0042293	0.5955942	0.9979270	0.9096397	0.3509934	0.0938249	0.0302601	0.0953020	1.0668021	0.0086743	0.2064342	0.3875568	0.6638131	0.3411124	0.8334539	0.0522874	0.0862751	0.4660871	0.0495533	1.0077041	0.4591550	0.3498545	0.0586423	0.5621305	0.0537867	0.8787759	0.8017488	0.4458666	0.3927066	0.6976147	0.4978714	1.0431452	0.0710061	0.8084349	1.0153876	0.1086733	0.9619686	0.0570886	0.9610258	1.0211135	0.9619675	0.1205823	0.7054934	0.1202916	0.7262908	0.7599028	0.8945560	0.0476335	0.8725708
300.0	0.2125664	0.5321329	0.5938571	0.7314141	0.1263604	0.6923006	0.7936606	0.7695188	1.1106971	0.3291488	0.5294254	0.1674980	0.2207661	0.4225734	0.2347818	0.4092534	0.7400052	0.3962847	0.7453653	0.7476771	0.2541670	0.1920264	0.8509529	0.6749591	0.8722142	1.0191789	0.4058611	0.8001988	0.1198313	0.0140360	0.2716785	0.4949391	1.0310165	0.4575977	0.2768092	0.1331581	0.8775000	0.0518951	0.9632553	0.4168810	0.9986412	0.0511594	0.8932053	0.0791137	0.0767300	0.9438317	0.5928687	0.3803397	0.9282525	0.8386111	0.2614523	1.0302272	0.6220916	0.8383298	0.9112238	0.5405289	0.1050737	0.0453564	0.0729737	0.9877139	0.0217807	0.2023412	0.3557100	0.6265565	0.3470899	0.8836314	0.0548317	0.0777026	0.4253271	0.0505209	1.0524275	0.4425729	0.3695573	0.0521176	0.6234167	0.1071291	0.9668205	0.6786970	0.3914416	0.4152732	0.6104951	0.4409019	1.0207827	0.0808370	0.7962253	0.9755135	0.1843684	0.7972679	0.0618302	1.1074279	1.0699353	1.0475979	0.1032472	0.6346416	0.0719312	0.7780547	0.7531028	0.9416439	0.0323021	0.8879531
350.0	0.2529885	0.6047429	0.5487266	0.8654379	0.1057349	0.6857106	0.8255636	0.6392351	1.0874329	0.2814623	0.5155828	0.1435102	0.2628454	0.4237583	0.2099198	0.3880608	0.8017710	0.3432651	0.7672744	0.7421355	0.2162522	0.2348170	0.9151055	0.7331296	0.9170138	0.9573843	0.4098998	0.7275710	0.0851354	0.0098058	0.2978292	0.5553893	0.8798570	0.3644641	0.2683017	0.1545861	0.9065244	0.0379665	0.9542413	0.3969110	0.9810187	0.0529342	0.9583524	0.0637704	0.0829269	1.0084232	0.4670917	0.3603319	0.9856498	0.8060255	0.2593207	0.9981316	0.6183919	0.7183542	0.9539387	0.6944732	0.1074454	0.0602342	0.1036060	0.9987418	0.0278545	0.1936020	0.3498870	0.5602596	0.3576394	0.8424829	0.0457645	0.0792746	0.4602821	0.0611810	0.9969694	0.5490775	0.3216547	0.0550582	0.6244070	0.0812045	0.9500070	0.7773082	0.3869467	0.4658154	0.7006471	0.4789240	0.9370531	0.0702989	0.9143991	1.0778957	0.2723821	0.8753155	0.0517308	1.0479996	1.0460188	1.0500618	0.1518564	0.7389556	0.0881776	0.7924318	0.8049174	0.9479540	0.0411456	0.8828777
400.0	0.2477315	0.6215131	0.5447774	0.8171899	0.1239692	0.6582115	0.8022281	0.6161169	1.0792080	0.2703289	0.4061340	0.1527630	0.2850781	0.4262050	0.2477277	0.3069061	0.8189975	0.2979968	0.7432574	0.7248696	0.2521115	0.2282492	0.8564537	0.6199889	0.9025019	0.9101265	0.3551124	0.8076052	0.0761838	0.0032691	0.2766858	0.6080085	0.9695437	0.4282681	0.2603584	0.1676180	0.9876262	0.0525988	0.9349289	0.3699965	1.0077769	0.0705944	0.8256657	0.0685122	0.0826137	1.0624393	0.4755154	0.3299234	0.8703383	0.7880147	0.2749442	1.0259302	0.6225602	0.7431817	1.0749525	0.6846240	0.1354998	0.0331925	0.1021474	0.9375851	0.0137699	0.1536925	0.4016229	0.6674272	0.3941123	0.8423586	0.0707511	0.0877703	0.5192322	0.0579331	1.0000145	0.5541736	0.3316427	0.0838767	0.6488569	0.1033682	1.0170880	0.7329211	0.3813574	0.6016094	0.7183132	0.5128334	0.9491506	0.0694797	0.8295192	0.9582849	0.1720242	0.9720661	0.0513926	0.9713689	1.0141884	1.1015675	0.1143949	0.6950909	0.1221489	0.8070089	0.7552205	0.9726419	0.0428208	0.8986635
450.0	0.2794645	0.5673384	0.6221909	0.7616856	0.1228231	0.7342554	0.8228565	0.6022645	1.0045985	0.2390413	0.4139120	0.1684977	0.2291252	0.4847395	0.2129699	0.3471620	0.8347495	0.2782417	0.7629180	0.7152890	0.2512610	0.2195628	0.9096302	0.6015595	0.9253957	0.9677961	0.3873557	0.7320382	0.1028383	0.0060569	0.2911489	0.5395678	0.9348039	0.4404509	0.3175583	0.1862894	1.0223929	0.0394411	0.9160055	0.4168624	1.0605378	0.0512366	0.7934616	0.0611173	0.0536460	1.1268265	0.5144670	0.3272158	0.8781191	0.7557455	0.2845587	0.9524051	0.5918385	0.6866248	1.0511838	0.6733257	0.1082648	0.0675870	0.0967725	0.9668538	0.0143538	0.1545705	0.3644964	0.5849855	0.3672262	0.7986643	0.0747799	0.0741240	0.4771818	0.0661457	0.9928382	0.5243161	0.2901895	0.0672979	0.5619666	0.0715780	0.9339301	0.7964482	0.3968484	0.5081332	0.7422616	0.5082246	0.9896529	0.0472772	0.8455705	0.9340656	0.1377659	0.9437619	0.0640647	0.9782698	1.0558545	1.0500590	0.1181592	0.7522529	0.1428108	0.8299771	0.7472168	0.9218886	0.0457753	0.9139026
