"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.3207219	0.5998152	0.6671816	0.8384306	0.1061277	0.7747462	0.7298304	0.7184706	1.0813861	0.3296069	0.4859714	0.1777726	0.3375678	0.3589255	0.2353682	0.3160685	0.8919130	0.3657295	0.8009236	0.6715570	0.2817129	0.3056489	0.6948951	0.6191506	0.7931327	0.9460048	0.4748881	0.6517569	0.1015080	0.0153966	0.3767192	0.6112904	1.0174558	0.4551022	0.2800573	0.1703175	0.9045030	0.0527676	1.0746898	0.3597232	1.0044994	0.0836115	0.8507889	0.0761270	0.1197835	0.9140951	0.5232718	0.3639880	0.9250151	0.8927935	0.1884645	0.9597751	0.7562828	0.5816673	0.9206395	0.8867510	0.2110879	0.0269408	0.0725538	1.0042601	0.0444809	0.1184641	0.4121139	0.6962874	0.2989548	0.8622468	0.0574206	0.1024296	0.3665157	0.0280296	1.0196105	0.5730971	0.2601726	0.0769744	0.6266875	0.0666103	0.8411015	0.8043317	0.3700465	0.4943072	0.7406670	0.5240939	0.9484442	0.0681267	0.8709104	0.9834332	0.3859844	1.0919615	0.1001159	1.0996387	1.0860971	0.9949949	0.0571038	0.7299207	0.1297523	0.7982341	0.8179290	1.0622635	0.0320243	0.8192879
0.4494794	0.1649654	1.0441666	0.6447314	0.1947545	0.9774977	0.8494709	0.7574394	1.0569169	0.3183595	0.5201983	0.2162774	0.3084962	0.3889501	0.2463525	0.3116957	0.8530143	0.4776736	0.8175889	0.7073363	0.2896410	0.2195348	0.7904931	0.6143552	0.8763604	0.9891431	0.3816882	0.8491509	0.0934165	0.0109015	0.3082623	0.5733302	1.0305199	0.4015329	0.2699649	0.2664031	0.8327638	0.0487206	1.0012146	0.3572582	1.0442667	0.0501425	0.7859553	0.0635295	0.0917978	1.0492042	0.6152897	0.4058194	0.7694217	0.8207160	0.1506719	1.0313206	0.6384405	0.9594374	1.1322674	0.5416026	0.1446116	0.0348024	0.0592224	0.9943317	0.0202322	0.1879532	0.4079286	0.6428038	0.3287221	0.9274217	0.0743292	0.1177568	0.4131007	0.0697627	1.0840807	0.5493017	0.3057945	0.0483244	0.6310028	0.0764895	0.9774784	0.7296345	0.4594305	0.5129395	0.5926310	0.3819354	1.0531372	0.0622166	0.6772964	0.9509356	0.0393633	1.0444311	0.0541244	1.0257142	0.9856851	1.0235835	0.1159673	0.7571155	0.1137668	0.6851169	0.7720159	0.9447107	0.0442720	0.8587455
0.5127921	0.4036763	0.6027305	0.6438593	0.1544582	0.9487113	0.7680454	0.6499924	0.9458930	0.2846627	0.4626534	0.2371499	0.3985224	0.4728111	0.2993107	0.3576950	0.9097520	0.3628760	0.6014629	0.6469075	0.2484775	0.4827218	0.7281206	0.4117855	0.8342398	0.9849872	0.4995920	0.7050754	0.1194971	0.0055516	0.3830524	0.6171017	0.9810978	0.4406408	0.2792347	0.3265584	0.9796209	0.0415782	1.0389976	0.3469042	1.0594862	0.0803227	0.8866698	0.0710346	0.0667106	1.0160890	0.5554384	0.4324297	0.8790527	0.7800876	0.2252814	1.0532943	0.5966559	0.9062608	1.0697500	0.7347591	0.1459920	0.0324447	0.0602284	1.0163804	0.0290538	0.1583629	0.4023666	0.7281954	0.3987292	0.8000454	0.0790483	0.0592355	0.3977932	0.0544726	0.9969730	0.4950361	0.3915524	0.0611625	0.5608612	0.0905321	0.9438968	0.8378658	0.4250508	0.5200310	0.6690954	0.4734099	1.0130847	0.0612099	0.6618312	0.8659164	0.0344117	1.0163383	0.1025086	0.9663873	0.9884236	1.0134531	0.1152531	0.6729476	0.1059845	0.8182683	0.8441347	1.0717975	0.0633319	0.9499949
0.5042702	0.3350731	0.9010881	0.2989616	0.1750464	0.9396081	0.8202272	0.6552104	1.0413018	0.2735484	0.4734153	0.2243483	0.2424440	0.4219808	0.2468303	0.3552330	0.9053715	0.4162104	0.8043111	0.6235885	0.3245088	0.1944220	0.8133969	0.7019600	0.8364719	1.0395741	0.5016805	0.7392677	0.0740131	0.0025743	0.3100473	0.6389618	0.8945479	0.4910209	0.2251662	0.2002505	0.9619208	0.0470166	1.0130645	0.4219164	1.0343813	0.0754298	0.8409980	0.0860986	0.0814932	1.1419249	0.6253813	0.3906166	0.6484082	0.9192428	0.1467016	1.0058603	0.6501040	0.8228574	0.9480334	0.3582576	0.1139423	0.0430862	0.0651723	1.0283119	0.0185167	0.2161426	0.4619581	0.7486597	0.2986257	0.9651488	0.0625141	0.0763545	0.3794318	0.0656335	1.0317945	0.4649033	0.2672608	0.0610669	0.6058335	0.0729467	0.9364870	0.7620155	0.5060035	0.5084158	0.6455495	0.1962708	1.0229374	0.1151655	0.8140734	0.9760113	0.1161542	1.1725150	0.0672887	1.0263199	0.9638928	0.9773074	0.0961289	0.8029864	0.1489331	0.8168360	0.8819773	1.0299380	0.0571099	0.8660158
0.5039548	0.4104863	0.9668907	0.5815729	0.1206492	0.9736399	0.8325772	0.7583416	0.9736006	0.3637739	0.5639200	0.2305949	0.2249820	0.4395658	0.2227379	0.3340254	0.7743332	0.4201686	0.7688243	0.7973285	0.2655833	0.1605501	0.8552881	0.7977339	0.9902284	0.9291604	0.3993222	0.8723153	0.1133673	0.0058113	0.3161117	0.6724055	1.0140246	0.3524483	0.3511421	0.1195498	0.9020831	0.0931759	0.9847245	0.3679339	0.9876215	0.0747383	0.7558721	0.0542639	0.1030744	1.1554239	0.6006797	0.3225191	0.8457676	0.8188996	0.1999142	0.9621640	0.8181112	0.6041794	1.0713962	0.8364164	0.1710038	0.0425704	0.0855749	1.0580942	0.0518497	0.2150358	0.4149330	0.6798864	0.3684115	0.8427172	0.0415392	0.0605580	0.4405888	0.0692290	0.9576782	0.5281399	0.3445683	0.0536619	0.6313391	0.0950010	0.9144507	0.6684894	0.5396385	0.4760552	0.7061543	0.5149497	0.9768890	0.0865726	1.0302149	1.0015864	0.6667939	1.0125851	0.1161224	1.0082634	1.0939960	1.1043070	0.1312681	0.6988351	0.1352672	0.7564999	0.9016926	1.0254536	0.0382215	0.8299173
0.5193589	0.4119114	0.9982220	0.6013647	0.1343844	0.4389997	0.7914827	0.6615021	1.0708751	0.3596664	0.5873694	0.2086556	0.3404585	0.3842300	0.2332491	0.3636837	0.8598567	0.3455098	0.7988703	0.5998381	0.2382452	0.3406374	0.8744119	0.5890726	0.8557998	1.0231410	0.4142653	0.6577680	0.1267997	0.0070727	0.2923190	0.6729259	0.9854919	0.4433868	0.2902834	0.2473279	0.8420664	0.0314822	0.9444401	0.4163223	1.0005147	0.0885604	0.7646864	0.1121098	0.0870417	1.0375647	0.5512543	0.3924395	0.8565643	0.8137758	0.3031751	0.9187243	0.6237402	0.7747970	1.0340060	0.8376038	0.1467637	0.0364826	0.0853725	0.9533818	0.0330558	0.1598101	0.3473051	0.6093900	0.3676056	0.7003629	0.0639408	0.0937755	0.3976426	0.0436558	1.0257105	0.5213423	0.3455524	0.0455986	0.5587234	0.0686994	0.8939895	0.7360909	0.4358821	0.5042752	0.6379264	0.3836890	0.9526134	0.0563645	0.7914121	1.0543040	0.0202828	1.0182620	0.0802614	0.9933198	1.0397855	1.0906098	0.1085381	0.7844266	0.1230473	0.8315417	0.8111562	1.0182404	0.0188034	0.9073589
0.5172148	0.3307913	0.9524200	0.7239289	0.1474751	0.9564006	0.4040665	0.6308599	1.0451463	0.4005305	0.5483838	0.2667515	0.2579760	0.4387476	0.2663628	0.3858418	0.8257521	0.3058464	0.7311341	0.7158390	0.2170351	0.2138224	0.8444987	0.6304286	0.9370375	0.9281387	0.4554018	0.8217705	0.0719362	0.0059830	0.2769190	0.4491131	1.0252778	0.4197296	0.3182964	0.2053984	0.8758105	0.0329518	1.0958115	0.4061175	0.9519574	0.0599098	0.9400057	0.0672679	0.0772964	1.0334655	0.5713113	0.4313175	0.8027414	0.9141811	0.3404596	0.8046853	0.5653925	0.8092923	0.9844093	0.6247452	0.1506233	0.0342648	0.0858663	0.9528930	0.0229115	0.1860036	0.3753777	0.6539704	0.3569538	0.8356697	0.0547152	0.1099599	0.4347421	0.0637862	1.0070506	0.4779073	0.3863167	0.0673340	0.5101355	0.0544555	0.8566668	0.8415982	0.4832863	0.5203234	0.6099232	0.3916054	1.0193928	0.0597184	0.8042316	0.9361481	0.0694480	1.0336462	0.0906761	1.0881290	0.9144387	1.0296436	0.1037379	0.7740822	0.1322341	0.8270283	0.8670098	0.9843550	0.0641948	0.8736290
0.4300760	0.4016605	0.8392744	0.7117160	0.1813664	0.8513648	0.8234098	0.3540002	0.9743685	0.4145545	0.5611541	0.2116941	0.2659571	0.4533222	0.1770729	0.3872873	0.8132749	0.4603510	0.7323224	0.9340587	0.1983725	0.2997333	0.8619201	0.8876568	0.7788421	1.0137335	0.4250974	0.7175044	0.0769304	0.0119146	0.3597430	0.6065510	1.1289460	0.3887458	0.2573852	0.2320326	0.9237349	0.0420299	1.0462638	0.3422769	1.0733432	0.0653232	0.8070178	0.0577733	0.0984578	0.9853003	0.5820033	0.4313210	0.8792708	0.8769326	0.2353740	0.9795168	0.7000248	0.8215303	0.9310086	0.5737599	0.1446247	0.0561025	0.0874965	1.0088181	0.0255992	0.1377098	0.4531930	0.6673749	0.3429972	0.8474379	0.0537860	0.0663834	0.4461372	0.0455584	1.0271439	0.4083619	0.2789628	0.0662548	0.7033287	0.0735919	0.7930819	0.7201659	0.3419262	0.8058092	0.6988526	0.4473574	1.0724049	0.0645417	0.8241157	0.8854568	0.0361296	1.0488695	0.0815068	1.1553541	0.9248779	0.9649594	0.0980205	0.7617415	0.1100790	0.7833321	0.8512321	1.0396363	0.0369410	0.8703699
0.5236326	0.3071875	0.9814390	0.6263491	0.1654085	0.9938527	0.8134123	0.7557081	0.5087231	0.5839359	0.8939824	0.4989533	0.1986569	0.3873893	0.2598421	0.3648138	0.8300744	0.4087067	0.8625425	0.7294761	0.2721418	0.1872890	0.8101787	0.6396159	0.9024726	1.0519967	0.4702325	0.7039044	0.0670641	0.0083994	0.3628860	0.6135136	1.0534497	0.4259256	0.2992467	0.2277236	0.9373315	0.0387785	1.0447002	0.4337117	0.9648700	0.0649027	0.8831973	0.0578069	0.0795828	1.0662992	0.5423853	0.3575811	0.8409266	0.8251997	0.1326493	0.9502771	0.7386934	1.0171771	1.1157775	0.4456211	0.0644090	0.0572388	0.0653416	1.0506857	0.0106246	0.2059599	0.4643520	0.5916353	0.2708535	0.8899259	0.0610029	0.0782708	0.3446154	0.0759562	1.0001298	0.4124486	0.3959271	0.0603022	0.5838937	0.0506676	0.9140760	0.7868021	0.3865581	0.4869928	0.6500800	0.4299229	0.9205038	0.0760233	0.8266855	0.8727932	0.1182797	0.9756456	0.0676397	1.0030468	0.9110552	0.9702902	0.0934740	0.7856968	0.1358056	0.6990722	0.8464287	1.0107771	0.0497609	0.9136935
0.4949777	0.3908376	1.0198457	0.6711730	0.1208643	1.0709007	0.7672043	0.6528318	0.9660372	0.2125049	0.6734328	0.1979333	0.3472542	0.5317859	0.1777577	0.3598282	0.8935448	0.4041541	0.7675972	0.6512603	0.3037026	0.4177714	0.7808656	0.3971833	0.9138995	1.0761752	0.4674842	0.7944233	0.0850682	0.0102875	0.2412921	0.5973882	0.9773922	0.4572373	0.2847432	0.3052514	0.8517001	0.0274168	0.9925062	0.4074085	1.0559240	0.0470381	0.8239920	0.0766828	0.0808302	1.0944686	0.5177462	0.4178965	0.7962380	0.8335598	0.2979772	0.8969834	0.7350252	0.8582199	1.0814249	0.4031460	0.1267780	0.0521813	0.0695694	1.0633986	0.0143512	0.2212207	0.4220410	0.7507232	0.3968633	0.8308029	0.0761892	0.0796440	0.4619755	0.0408515	1.0283573	0.5035431	0.4263420	0.0788921	0.6535882	0.0710097	0.8875396	0.8005460	0.4690237	0.6006657	0.6825010	0.4111453	1.0233255	0.0556174	0.6681444	0.9227768	0.0058740	1.0433769	0.0670797	1.0055777	0.9471342	1.0340977	0.1059917	0.7009714	0.1223076	0.8198767	0.8676742	1.0904710	0.0411043	0.8734911
