"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.4351830	0.3968445	0.9687387	0.6536779	0.1547526	0.9206444	0.7577321	0.5978978	0.9380680	0.3179354	0.5262539	0.1915627	0.2849868	0.4553212	0.1982986	0.3874307	0.8136962	0.3811077	0.7262066	0.7221162	0.2951160	0.2913104	0.7701412	0.6298706	0.8715247	0.9837255	0.3240328	0.8316821	0.1092591	0.0083935	0.2060138	0.4864399	0.9273745	0.3732625	0.2734503	0.1665746	0.8968355	0.0244679	1.0051567	0.3439252	1.0320634	0.0684688	0.8406149	0.0599341	0.0870756	0.9523089	0.5392260	0.3874146	0.8539241	0.8545774	0.2039502	0.8799095	0.6533250	0.8873840	1.0304898	0.5700820	0.1452589	0.0479983	0.0677274	1.0088899	0.0135675	0.2279987	0.3321038	0.5749407	0.3813031	0.7966753	0.1050404	0.0861049	0.4536407	0.0470166	0.9435045	0.4328127	0.2977805	0.0379510	0.5346814	0.0594123	0.8976294	0.8205414	0.4450664	0.4687452	0.5845299	0.4270118	0.9799622	0.0681740	0.9091816	0.9232637	0.2022514	0.9421368	0.0886522	1.0811230	0.9444120	1.0799733	0.1194560	0.6448011	0.1356742	0.7283819	0.8616999	0.9021620	0.0579510	0.7722130
50.0	0.4912270	0.3990190	0.8408088	0.4836341	0.2271133	0.9309558	0.8032741	0.6809088	0.9199753	0.2687407	0.5507871	0.4418846	0.2233207	0.4517379	0.2779444	0.2960903	0.9347452	0.6664908	0.7057395	0.4965117	0.3548856	0.2198154	0.6987447	0.6043295	0.8562662	0.9183507	0.3939130	0.7468954	0.1089397	0.0046514	0.2765736	0.4344402	0.9822830	0.2781688	0.3349405	0.2518631	0.7454480	0.0205204	1.0566670	0.2838995	0.9570823	0.0338354	0.7609398	0.0564011	0.0911193	0.9738664	0.6648919	0.3694115	0.8351579	0.9458440	0.3265662	0.7558517	0.5889386	0.8436749	0.8190363	0.6352740	0.1366683	0.1195713	0.0474979	0.9908889	0.0293646	0.2950843	0.3321951	0.5639292	0.3137898	0.7233676	0.0835569	0.0506860	0.3052706	0.1665674	0.9648315	0.3870107	0.3922716	0.0633767	0.3781983	0.0288368	0.9460765	0.5010695	0.3450269	0.4540069	0.6660798	0.4274381	1.0450567	0.0508383	0.7404071	0.8563373	0.1198986	0.8313370	0.2002079	1.0331491	0.9762610	1.1120564	0.0859579	0.6483982	0.1541213	0.8038182	0.7304659	0.9729621	0.0184548	0.8785850
100.0	0.5347239	0.4071789	0.6972347	0.5200152	0.3179498	0.9336610	0.7802209	0.7213822	0.7152309	0.2735529	0.6958065	0.6254333	0.1798553	0.3901243	0.4255443	0.1711106	0.9240444	0.7961638	0.7446337	0.5338489	0.3273193	0.1119229	0.6112218	0.7063613	0.7871597	0.8109144	0.4476740	0.7408657	0.1173051	0.0007854	0.3211445	0.5423626	1.0191217	0.2835781	0.3448307	0.3868784	0.8151064	0.0318388	0.9945351	0.2768237	0.9907068	0.0222147	0.7350552	0.0593382	0.0830777	1.0244171	0.6832521	0.4126555	0.7820242	0.8892391	0.4867315	0.6711863	0.4043800	0.7629353	0.7814732	0.7933844	0.1159777	0.1829596	0.0168942	0.9692826	0.0243632	0.3329098	0.3721826	0.6126491	0.3031239	0.7402561	0.0689679	0.0211850	0.2537080	0.3677232	0.9711534	0.2528322	0.4378600	0.0632836	0.2681073	0.0100833	1.0028943	0.4100744	0.3115647	0.3675085	0.6786853	0.3995935	0.9790188	0.0551997	0.5166861	1.0000389	0.1431742	0.8230192	0.3400679	1.0466288	0.8376629	0.8850870	0.0277104	0.5984940	0.1376306	0.7535736	0.7243218	1.0588182	0.0081569	0.8825041
150.0	0.5647542	0.3535732	0.5370723	0.5117667	0.3152583	0.9227101	0.7976953	0.8290004	0.7088855	0.3001149	0.5467766	0.6304091	0.1030704	0.3716935	0.6076112	0.1336689	1.0585732	0.8828479	0.7372589	0.4838581	0.3195836	0.0478404	0.6446581	0.8860681	0.7296469	0.7076610	0.4503709	0.7329688	0.0963002	0.0038462	0.3646899	0.6061081	1.0751517	0.3269667	0.3815934	0.4318882	0.8799242	0.0526835	0.8919327	0.2367986	0.9373702	0.0092659	0.8041956	0.0585629	0.1034471	0.9272502	0.7904136	0.4016215	0.7037665	0.7899288	0.4757787	0.5970539	0.3380249	0.6831426	0.7514693	0.6876165	0.1087611	0.1513025	0.0070664	1.0086854	0.0123122	0.2871863	0.3501951	0.6660160	0.2379069	0.6797607	0.0544226	0.0216381	0.1578140	0.4502528	0.9560645	0.2415839	0.4366871	0.0522685	0.1772808	0.0059876	0.9754313	0.2401641	0.2323512	0.3234495	0.5845489	0.3025994	0.9528786	0.0473570	0.6130746	1.0104805	0.4813940	0.7656514	0.3760082	0.9766900	0.9387953	0.9927833	0.0444517	0.6617100	0.1324274	0.8020359	0.6370701	1.0038004	0.0309658	0.9151924
200.0	0.5071903	0.2998416	0.4501238	0.4790267	0.3676251	0.8714504	0.7952185	0.9433373	0.6298030	0.3623503	0.6369012	0.6377879	0.0566319	0.2743888	0.7578329	0.1585517	1.1173537	0.9025585	0.8455813	0.4625764	0.3677873	0.0205360	0.5184119	0.9812826	0.6130349	0.6038005	0.4860684	0.7166558	0.1504778	0.0022558	0.4073618	0.4963670	1.0528071	0.3421778	0.3683490	0.4497878	0.7878853	0.0815434	0.8435779	0.2583886	0.9402245	0.0047297	0.8295737	0.0586889	0.0976090	1.0055504	0.7265227	0.3605712	0.6866293	0.7825503	0.4898799	0.5611523	0.2238902	0.5513113	0.7821760	0.8177210	0.0784216	0.2125230	0.0084172	1.1544695	0.0211161	0.2622967	0.3900503	0.6886102	0.1859097	0.7837334	0.0655449	0.0206580	0.1251066	0.4085797	0.9982897	0.2191044	0.3743542	0.0524533	0.2112392	0.0036131	0.9962138	0.2166895	0.2346883	0.2757969	0.5710057	0.2980827	0.9167403	0.0514004	0.5346280	1.0112687	0.8550591	0.7177228	0.4761982	0.9379782	0.9090403	1.0422892	0.0422747	0.7545648	0.1382278	0.8972807	0.6716472	1.0094313	0.0322396	1.0479597
250.0	0.5792535	0.2708280	0.3492907	0.5056309	0.3764901	0.9067165	0.9651561	0.8875469	0.6115175	0.3099088	0.5384239	0.7218108	0.0487371	0.2189405	0.8747631	0.1335552	1.0731965	0.8865138	0.8212184	0.4905274	0.3418176	0.0118416	0.4478915	0.9595133	0.6202233	0.5558707	0.5239876	0.7095227	0.1676006	0.0024135	0.4521505	0.4837272	0.9886930	0.3352647	0.3959625	0.4152499	0.7190758	0.1144752	0.8539237	0.3155160	1.0147651	0.0002178	0.7271208	0.0866292	0.1033673	0.9353712	0.7666885	0.4513827	0.7648846	0.8294755	0.5384271	0.5147172	0.2567898	0.3928308	0.7863629	0.8232931	0.1133022	0.2694776	0.0053719	1.1009720	0.0296147	0.2858543	0.4110126	0.7080997	0.1357533	0.8212050	0.0822312	0.0168348	0.1227713	0.3345603	0.8744933	0.1772153	0.3987340	0.0396901	0.1770852	0.0048482	0.9949298	0.1493336	0.3140730	0.2462142	0.5267715	0.2863863	1.0539171	0.0168420	0.5337999	1.0258818	0.8629595	0.6839175	0.5140772	0.9338671	0.8881207	1.0083615	0.0414180	0.6643551	0.1394351	0.7946145	0.6528419	0.8875762	0.0159144	0.9212825
300.0	0.6462824	0.1878872	0.3749813	0.3979044	0.3547261	1.0636901	0.7924508	0.8885762	0.6202748	0.3039836	0.6761215	0.8815924	0.0705434	0.1369098	0.8286218	0.1247535	0.9820294	0.7645465	0.7920615	0.5444727	0.2666290	0.0042719	0.4488401	0.9972261	0.6479542	0.5486318	0.5926180	0.6962411	0.1569683	0.0024065	0.4833729	0.4851253	0.9730782	0.4300977	0.4140123	0.3332591	0.7254497	0.1068541	0.9340587	0.2903218	0.9304742	0.0000000	0.7280293	0.0917511	0.0805732	1.0313296	0.6666885	0.4658688	0.7115602	0.8113709	0.5234817	0.4962658	0.2462486	0.2710170	0.6880463	1.0431696	0.1578797	0.2650676	0.0102403	0.9647389	0.0304114	0.3254110	0.4808024	0.7347600	0.1054176	0.8958666	0.0727509	0.0124585	0.1069169	0.4101334	0.8563612	0.1967752	0.3996902	0.0727115	0.1610420	0.0043122	0.8687846	0.1020538	0.2924439	0.2191997	0.5044711	0.2728559	1.0607995	0.0258489	0.6299811	1.0176374	0.8835485	0.8041863	0.5091246	0.9696275	0.7918166	0.9286745	0.0252709	0.6865786	0.1123970	0.7547729	0.6568241	0.8517494	0.0279834	0.9079011
350.0	0.5000965	0.1774486	0.3933972	0.4116282	0.3528685	1.0375218	0.8611676	0.9705240	0.6117178	0.3710359	0.5576394	0.8045842	0.0440219	0.1532139	0.8926153	0.1225431	0.7798646	0.6663111	0.7362884	0.5735957	0.2927834	0.0048813	0.5144402	0.9962684	0.5910827	0.5408302	0.5340686	0.6620121	0.1712982	0.0023702	0.4607405	0.5670339	0.9700522	0.4089796	0.4180778	0.3488840	0.8969748	0.1344183	0.8730838	0.2969667	0.9679719	0.0004484	0.7251577	0.0529482	0.0923858	0.9465389	0.7144702	0.4886087	0.7052030	0.9150064	0.5190944	0.5116647	0.2561193	0.3367482	0.7411909	0.9384311	0.1767156	0.2806918	0.0120256	0.9671268	0.0283585	0.2920301	0.5455161	0.7275590	0.0892012	0.9240889	0.0599707	0.0258985	0.0969036	0.3689271	0.8767185	0.1732614	0.4518999	0.0683053	0.1676198	0.0018995	0.8320875	0.0928863	0.2786966	0.1832031	0.4922818	0.2553646	1.0956797	0.0267063	0.5233007	0.9511414	1.0390501	0.7950279	0.5223014	1.0081712	0.9294352	1.0232385	0.0260942	0.6879351	0.1235482	0.8755072	0.6410249	0.9061430	0.0310720	0.9322933
400.0	0.5316996	0.1464632	0.4148859	0.4513340	0.3588128	0.8914085	0.8161131	1.0670112	0.6390022	0.3716160	0.5634546	0.7850250	0.0761736	0.1631167	0.9026037	0.1269426	0.7513418	0.7350787	0.6995994	0.5025926	0.2721450	0.0078994	0.4651846	0.9840083	0.6769149	0.4703033	0.4086014	0.6394469	0.1942709	0.0003229	0.4745855	0.6067157	0.9199510	0.3530603	0.3891174	0.3693125	0.8431266	0.1663505	0.8407742	0.3582372	1.0718508	0.0000762	0.8385363	0.0718662	0.0826711	0.9384388	0.7180935	0.4754459	0.6937204	0.8800807	0.4564884	0.5027097	0.2525027	0.3199911	0.7554214	0.9196266	0.1559360	0.2804924	0.0048660	1.0911418	0.0490655	0.3128152	0.6507417	0.7099674	0.1108149	0.9959075	0.0408039	0.0416231	0.0873102	0.3278374	0.9006448	0.1728144	0.3800454	0.0361991	0.2104098	0.0099162	0.8470493	0.1007487	0.2993894	0.1841786	0.4619997	0.2706208	1.0312523	0.0194119	0.5414660	0.9548135	1.0588758	0.8245591	0.5708516	0.9526992	0.8584799	1.0134423	0.0262186	0.7890430	0.1042302	0.8036571	0.6699698	0.9813156	0.0124172	0.8590689
