"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"

0.0	0.5055037	0.3051763	0.9383702	0.6241297	0.1416030	0.9604406	0.8161939	0.6550453	1.0880425	0.2970636	0.5168060	0.2151216	0.2987605	0.4152868	0.1687570	0.3785777	0.7742250	0.5134038	0.7449977	0.6496390	0.2368120	0.2495145	0.8366151	0.6163883	0.9570167	1.0190738	0.4706938	0.6671365	0.1406972	0.0017071	0.3636204	0.5766591	0.9423200	0.4639333	0.3160547	0.2471073	1.0079105	0.0286142	0.9214796	0.3126382	1.0286794	0.0531881	0.8276858	0.0657881	0.0692782	1.1083644	0.5946036	0.3837747	0.8225415	0.9443304	0.1263508	1.0368479	0.6389331	0.5973189	1.0173249	0.8086846	0.2030233	0.0421322	0.0980913	1.0248370	0.0539629	0.1403439	0.3723089	0.6987240	0.3109859	0.8804606	0.0567609	0.0729410	0.2991877	0.0306746	1.0730965	0.5010864	0.2953534	0.0659457	0.6729747	0.0954845	0.8931480	0.7332798	0.4101373	0.5047083	0.6677555	0.4489279	0.9688691	0.0622984	0.7796360	0.9118258	0.0249016	1.0623424	0.0534233	1.0160615	1.0693813	0.9690923	0.0909723	0.8287674	0.1410868	0.7600557	0.8384824	1.0776966	0.0314794	0.8191743
50.0	0.4875240	0.3914463	0.9499457	0.6813329	0.5757146	0.9585235	0.8420203	0.7223041	0.7376885	0.2779861	0.5271228	0.2209213	0.2530510	0.4307844	0.2002472	0.2498297	0.8431762	0.4256031	0.8045038	0.6768632	0.0489432	0.2634267	0.2480004	0.6657286	0.7700252	0.9305904	0.4801920	0.7176493	0.1307753	0.0017391	0.7705301	0.6058512	1.0317114	0.4495186	0.3822967	0.2405708	1.0153801	0.0231619	0.9946284	0.2609964	1.0313263	0.2191566	0.5199667	0.0583395	0.0653220	1.0983462	0.6107352	0.3961621	0.8451131	0.9198528	0.1397762	0.9364965	0.4248126	0.6086335	1.0016174	0.9478085	0.2032065	0.4716569	0.0926229	0.9136179	0.0184667	0.1816493	0.1606098	0.7783902	0.2826748	0.3232717	0.0465839	0.0888893	0.2924233	0.0426884	1.0552431	0.5773266	0.7766396	0.0041317	0.6229481	0.0710161	0.8581223	0.5045791	0.3971144	0.1997051	0.9658667	0.4547744	0.9757434	0.0705888	0.7072909	0.7915583	0.0185782	1.1173269	0.4966050	0.9882084	1.0080587	0.9549969	0.1124227	0.7976209	0.1044856	0.8090713	0.7669387	0.5132229	0.0364100	0.8780456
100.0	0.5183073	0.3629837	0.9557688	0.6052414	0.7281884	0.8720736	0.8185492	0.7480026	0.5910859	0.3728368	0.5870021	0.3540021	0.3281233	0.4084557	0.2473283	0.1870615	0.9026053	0.3751085	0.8102827	0.6697654	0.0775011	0.2048266	0.0833354	0.6164979	0.6266700	0.8270804	0.4639544	0.6452216	0.1097286	0.0027014	0.8459071	0.6011728	1.0386409	0.4138785	0.4309269	0.2398384	1.0133694	0.0404478	1.0952435	0.2925832	0.9785455	0.2829340	0.4085638	0.0640715	0.1162493	0.9727612	0.6341549	0.3865671	0.9740187	0.8481701	0.1895258	0.9101554	0.3513343	0.5668166	1.0463164	1.0360230	0.2042277	0.5964342	0.0825486	0.9663392	0.0332637	0.1576690	0.0987774	0.6776120	0.3484322	0.1883925	0.0523875	0.1127632	0.3697822	0.0651476	1.1021064	0.6890408	0.9031289	0.0144753	0.6088451	0.0789623	0.9237892	0.3792088	0.4570736	0.0909458	0.9223355	0.4470523	1.0587371	0.1188821	0.7346114	0.8602385	0.0338124	1.0707092	0.6335966	0.9432727	0.9908078	1.0324133	0.1030457	0.7869636	0.1100805	0.7537332	0.8164743	0.3980403	0.0409684	0.9234755
150.0	0.5379106	0.4002885	0.9037297	0.5762426	0.9166594	0.9835071	0.8110447	0.7063396	0.4783012	0.4186282	0.6065311	0.4021325	0.3175695	0.3571558	0.2109876	0.1347409	0.8683261	0.3556431	0.7467110	0.6776905	0.0792589	0.4011805	0.0520574	0.5230345	0.6656731	0.8302823	0.4782397	0.7119438	0.1282971	0.0108013	0.8431569	0.7042496	0.9934364	0.4713862	0.4894578	0.2240527	0.8937855	0.0490332	0.9246588	0.2613063	0.9547772	0.3331669	0.4693289	0.0649227	0.0843691	1.0258198	0.5574912	0.3623792	0.9092601	0.9092793	0.2559744	0.9986095	0.1987070	0.6017931	0.9806599	1.0900513	0.1928960	0.7115671	0.0598661	0.9857477	0.0385589	0.1577027	0.0686964	0.7446743	0.4020134	0.1067379	0.0870601	0.0976156	0.4426391	0.0704423	1.0367823	0.8573935	0.9533035	0.0048926	0.6477291	0.0797482	0.9777351	0.4006307	0.4591950	0.0497049	0.8558762	0.4354866	0.9922295	0.2249565	0.7216175	0.9413617	0.0275074	1.0176452	0.7009537	1.0064026	1.0335362	1.0476420	0.0883797	0.6514191	0.1184502	0.7477687	0.8921586	0.2564171	0.0449281	0.8517777
200.0	0.5162187	0.4448552	0.9084216	0.6233289	1.0753028	0.9542436	0.7629819	0.6478816	0.6203954	0.4677756	0.6165089	0.4364273	0.4245683	0.4060397	0.2169339	0.1168381	0.8331180	0.3514902	0.6976968	0.5903389	0.1041003	0.5870380	0.0324567	0.3932105	0.7367289	0.8828820	0.4475401	0.6713370	0.1472266	0.0133770	0.8737696	0.7006650	0.9770419	0.4780251	0.4460436	0.3443533	0.9630440	0.0494972	0.8877371	0.2488416	1.0836955	0.3760175	0.4073761	0.0720390	0.0864768	1.0513938	0.5947182	0.3840888	0.9469123	0.8310341	0.3607858	0.9982418	0.1370258	0.6014120	0.9431399	0.9516672	0.2167613	0.6633372	0.0739639	1.0054161	0.0346956	0.1681478	0.0411025	0.7621593	0.4679550	0.0769683	0.0812697	0.0817038	0.4278163	0.0554226	1.0634341	0.8976935	0.8875714	0.0063417	0.6257567	0.0728821	1.0151217	0.3283549	0.4208628	0.0350449	0.9238330	0.4349621	0.9470412	0.2960608	0.6040967	0.7328804	0.0116053	0.9599117	0.7579833	0.9445398	0.9945365	1.0754821	0.0824591	0.7446469	0.1462183	0.7443439	0.8748459	0.2784930	0.0323953	0.9025458
250.0	0.4962876	0.4702911	0.9242663	0.5613543	0.9234782	1.0554541	0.7299241	0.5525581	0.5638538	0.5090843	0.6086017	0.4566472	0.4846891	0.4740087	0.3099015	0.0963472	0.7503571	0.3202348	0.5040575	0.6078001	0.0785565	0.6711440	0.0307026	0.3014004	0.6793075	0.8747611	0.4855733	0.6854847	0.1414028	0.0045921	0.8326275	0.7071727	0.9676013	0.4401557	0.4620533	0.4391365	0.9825136	0.0448760	0.8885414	0.2400891	1.0265444	0.3333902	0.4328169	0.0911276	0.0791921	1.0455512	0.5532394	0.3977576	0.8775837	0.8495551	0.4961017	0.9084148	0.0864099	0.5561185	0.9302533	1.0362949	0.2004302	0.7623897	0.0600994	0.9753744	0.0467842	0.1628082	0.0548357	0.7161007	0.5451743	0.0617801	0.0696643	0.1041037	0.3865999	0.0936489	0.9434044	0.9789292	0.9759052	0.0125846	0.6878483	0.0605228	0.9853305	0.3855463	0.4878369	0.0419768	0.8327120	0.4585778	1.0460917	0.3201896	0.4616091	0.5122229	0.0047171	0.9330563	0.7694427	0.9179356	1.0013747	1.0250202	0.0591426	0.8030865	0.1692696	0.8024898	0.7697166	0.2619273	0.0319856	0.8586079
300.0	0.5025713	0.4848373	0.9206552	0.5618613	0.9578744	0.9246244	0.7165354	0.4816165	0.6176625	0.4937983	0.6592221	0.4773221	0.4897906	0.5080830	0.3247367	0.1464493	0.8048932	0.2718540	0.3162146	0.5733444	0.0983635	0.6389318	0.0281695	0.2397424	0.6873806	0.9335779	0.5030843	0.7014736	0.1243366	0.0057723	0.9018608	0.6687984	0.9884212	0.4340163	0.4400248	0.4386097	0.9926374	0.0369601	0.9659564	0.2464675	0.9470063	0.3109325	0.4653946	0.0711316	0.0872052	1.0625373	0.5707164	0.4049543	0.8295622	0.7871858	0.5028179	0.9332708	0.0684408	0.5607688	0.9301540	1.0047767	0.1723191	0.7014842	0.0763960	1.0162569	0.0403781	0.1947973	0.0590915	0.6829915	0.5709547	0.0519746	0.0992317	0.0798540	0.4373325	0.0847115	0.9449038	0.9178215	0.9308502	0.0136572	0.6452990	0.0641462	0.9194541	0.3854528	0.4962163	0.0536617	0.8561657	0.3786614	1.0924848	0.3005752	0.4471416	0.4913388	0.0000000	0.8670279	0.7661506	0.9725896	0.9300376	0.9428208	0.0649231	0.7676771	0.1357603	0.8244710	0.7354934	0.2837103	0.0319541	0.8199486
350.0	0.4608675	0.5042941	0.9401642	0.6466410	0.8624203	1.0425952	0.7259771	0.5390717	0.5571785	0.4388224	0.6019941	0.5154993	0.5470620	0.5090231	0.3347075	0.1165113	0.8174273	0.3313267	0.3348732	0.5850715	0.1277915	0.7692416	0.0339577	0.2176014	0.7710841	0.8450197	0.4523121	0.7257227	0.1307856	0.0022176	0.9342597	0.6830636	1.0303749	0.4274328	0.4371735	0.5006536	0.9394864	0.0248152	0.9222928	0.2418599	1.0630731	0.3169859	0.5274279	0.0704634	0.1029000	1.0146959	0.5832731	0.3971897	0.8838661	0.8013259	0.5724652	0.8552031	0.0646867	0.6078285	0.9778546	1.0849690	0.1963382	0.6281472	0.0809039	0.9721960	0.0173188	0.1983256	0.0496316	0.7352702	0.5806204	0.0657724	0.0971744	0.0582138	0.5302002	0.1138125	0.9601303	0.9347631	0.9560183	0.0050476	0.6169663	0.0945166	0.9151449	0.4306854	0.3752894	0.0798874	0.8989680	0.3756777	0.9840897	0.3039248	0.4244327	0.4190066	0.0003171	0.7805044	0.6866707	1.0544957	0.9693116	0.9956759	0.0770795	0.7756714	0.1116908	0.8537846	0.7233959	0.2631607	0.0435275	0.9057664
400.0	0.4274822	0.4066003	0.9916987	0.6586511	0.9692870	0.9354107	0.6544538	0.5321711	0.6519967	0.4121264	0.5792407	0.5723451	0.5208260	0.4871943	0.3196082	0.1546030	0.9117257	0.2894232	0.2941182	0.4815626	0.1563728	0.8986730	0.0398047	0.1853309	0.7811705	0.8687656	0.4507551	0.7483611	0.1108444	0.0038448	0.8087128	0.7069154	1.0565951	0.4265028	0.4923451	0.5047912	1.0102339	0.0309084	0.9554856	0.2865896	0.9857624	0.3017356	0.4810069	0.0732880	0.0861588	0.9423713	0.5612460	0.3651864	0.9511457	0.7893586	0.5861099	0.7716285	0.0900384	0.7005880	0.9694734	0.9642337	0.1851351	0.7364507	0.0942934	1.0030011	0.0216940	0.2105809	0.0481654	0.6752563	0.5081799	0.0531378	0.1112068	0.0760265	0.5042458	0.1177944	0.9980093	1.0046993	0.9303928	0.0213760	0.5296580	0.0749139	0.9265036	0.4353388	0.4743689	0.0936760	0.8786045	0.3984894	1.0572354	0.3290740	0.3224533	0.3004143	0.0001066	0.6163139	0.7369488	0.9400484	0.9197499	1.0016428	0.0626961	0.7677704	0.1176053	0.7515696	0.8236625	0.2517713	0.0365792	0.8385515
