"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.4454950	0.5523682	0.9769277	0.7032079	0.9475053	0.9280534	0.6137640	0.5476941	0.6556931	0.4139188	0.6496604	0.4972073	0.5651356	0.5007639	0.3882990	0.1372762	0.8619928	0.3864272	0.2398425	0.5659183	0.1372671	0.7846652	0.0282472	0.1856123	0.6704768	0.8757112	0.4605448	0.7299546	0.1345533	0.0105148	0.7629364	0.6841011	0.9518293	0.4527905	0.4144133	0.7014506	1.0350658	0.0718520	1.0135908	0.2412810	1.0502291	0.3181546	0.4931286	0.0925242	0.1111710	1.0675947	0.5425983	0.3131320	0.9119963	0.8672827	0.6425376	0.7653837	0.0843590	0.5792777	0.9604534	0.9711447	0.2165290	0.6967076	0.0761222	1.0538436	0.0400083	0.1833010	0.0984453	0.7401594	0.5655780	0.0638289	0.1142120	0.0904812	0.4373573	0.1036465	0.9676632	0.9596309	1.0213956	0.0193742	0.6529349	0.0783637	0.9824796	0.3174117	0.4342974	0.1015362	0.8568320	0.3831340	1.0650759	0.3313393	0.3475017	0.2390379	0.0009750	0.6350644	0.6462767	1.0720766	1.0020242	1.0011811	0.0946579	0.8817433	0.1018835	0.8589570	0.7375501	0.2897496	0.0400264	0.9302941
0.9185858	0.5164164	0.9456321	0.4103510	0.7346793	0.8816059	0.0456396	1.0026530	1.0727646	0.2987930	0.5113162	0.6200518	0.0684715	0.0925528	0.5151395	0.3875236	0.0661870	0.5170172	0.0409786	0.2220877	0.4772135	0.0165717	1.0127025	0.5060478	0.8364833	0.1816554	0.0267014	0.4713008	0.0400974	0.0018987	0.0883518	0.5124717	0.7461779	0.1448257	0.4146563	0.0261091	0.6433114	0.9041302	1.0249136	0.1128565	0.1689308	0.0726347	0.7996651	0.7732527	0.0854361	1.0475478	0.5115947	0.7689482	0.8782899	0.9033446	0.2280869	0.9813974	0.6906384	0.4441166	0.7739818	0.1972388	0.0878064	0.2653673	0.9750904	1.1115315	0.0083227	0.0776086	1.0337140	0.0454688	0.3269312	0.8452547	0.0575064	0.0825960	0.0962935	0.0097808	0.9801010	0.0387657	0.0508929	0.0024215	0.5644739	0.5407997	0.8876740	0.0987394	0.0268297	0.0333401	0.5802737	0.1924289	0.9931547	0.5428632	0.4273166	0.6635625	1.0473851	0.9925511	0.1327349	0.0863614	1.0160314	0.2755120	1.1045894	0.0009960	0.9745541	0.4875902	0.9274592	0.9842270	0.0417403	0.8760612
0.8285019	0.3031879	1.0134773	0.4444504	0.7688866	0.9857417	0.7551254	0.4811695	1.0049567	0.2646424	0.0576862	0.2608489	0.5141346	1.0190018	0.4076107	0.5773745	0.8252430	0.6549784	0.3898313	0.6195244	0.3297094	0.6746251	0.2560790	0.4783022	0.9867978	0.8236084	0.4649923	0.7857921	0.8749378	0.0053541	0.5668829	0.3724220	1.0361300	0.4527990	0.3101459	0.5310034	0.3859487	0.0004998	0.2106044	0.8502737	1.0857831	0.8109364	0.7906571	0.0734355	0.7634998	0.0111501	0.0360833	0.1585557	0.1820057	0.4992630	0.0964701	1.0585087	0.7366149	0.7387429	0.6809528	1.0350491	0.9736786	0.5824024	0.0775190	0.4247481	0.4572074	0.1880109	0.4034086	0.6477975	0.2111214	0.9346480	0.1307399	0.1090786	0.3648118	0.1181076	1.0437063	0.2718547	0.7962326	0.0793253	0.6929786	0.0787987	1.0387289	0.5691649	0.4664580	0.5812739	0.9413024	0.8654200	0.1158777	0.0901970	0.3868546	0.5959166	0.0018582	0.9057505	0.0820376	1.0193309	1.0203880	0.9439633	0.0183446	1.0255691	0.1177913	0.7835185	0.7402003	1.0888973	0.0022361	0.9799981
0.6926168	0.0090700	0.9420211	0.5074204	0.1641640	1.0379337	0.7222302	0.7615739	0.9806618	0.3647903	0.5354434	0.4351158	0.2501736	1.0132298	0.8856083	0.4654773	0.9027986	0.6160746	0.7811817	0.6684734	0.6049046	0.9682252	0.9888428	0.9843046	0.8163771	0.5300610	0.3879234	0.7633833	0.3029470	0.9453119	0.3017088	0.5694081	0.9511845	0.5484881	0.2463006	0.7384761	0.9373407	0.0308648	1.1175624	0.1916702	1.0646215	0.0659389	0.9695898	0.0534020	0.1940579	0.9433592	0.5756838	0.4214738	0.7022330	0.1728703	0.0279705	0.9683539	0.4438685	0.5682650	0.4335838	1.0194579	0.7914938	0.0615020	0.0007252	1.0569097	0.1461689	0.0628054	0.4408003	0.6073703	0.0039645	1.0209173	0.0547657	0.9128691	0.5486127	0.0633416	0.0605033	0.0006870	0.0291059	0.8482169	0.2624302	0.4315533	0.5410964	0.3507272	0.0288613	0.4687727	0.4848480	0.0093091	0.9190927	0.8799583	0.4014062	0.1513046	0.0007905	0.4186561	0.0800702	0.6187358	0.6388815	1.0063991	0.0058162	0.7923201	0.0038733	0.7752707	0.7107878	0.1969261	0.9755342	0.2781595
0.2406147	0.6486885	0.6624953	0.7388561	0.1258788	0.8271022	0.7778270	0.2133920	0.2472324	0.5757814	0.8088232	0.6244189	0.5925185	0.4795134	0.5625214	0.1804662	0.8127690	0.4292204	0.3535929	0.9609099	0.5513169	0.6745085	0.0699777	0.6751175	0.9744589	1.0044539	0.9461372	0.6743580	0.6292202	0.0022380	0.6811611	0.6565949	0.9978708	0.9074904	0.7566907	0.5496925	1.0015497	0.0300310	0.9526404	0.4135420	0.2626688	0.2820329	0.8722978	0.0862195	0.5148864	0.9237678	0.0136725	0.0131655	0.5056699	0.1563656	0.4978525	0.7754901	0.6099183	0.5195784	0.2584470	0.9464536	0.5990264	0.2211863	0.0000923	0.7991833	0.3120850	0.1651648	0.3441910	0.9127160	0.6022479	0.7139907	0.1085336	0.0021809	0.4285524	0.1040084	1.0506175	0.5175349	0.3432385	0.0561606	0.6648281	0.8057170	0.6925621	0.8411878	0.4783110	0.9777529	0.7027282	0.5101677	0.9845084	0.0760263	0.2452823	0.4805764	0.0002934	0.8870960	0.0855090	1.1100802	1.0478093	0.9994518	0.0520810	0.9191733	0.0017159	0.7464982	0.7193454	1.0290146	0.0314421	0.8827328
0.4580912	0.7703389	0.9829340	0.5232677	0.3156554	1.0462620	0.6070820	0.5144388	0.5492166	0.6138538	0.2182421	0.5982899	0.6441613	0.5137674	0.3508660	0.5031061	0.8709107	0.6513975	0.2776438	0.5797436	0.6716218	0.6823376	0.2648043	1.0989706	0.8712250	1.0405148	0.5551005	0.8828848	0.1501640	0.3315597	0.3810470	0.8606010	0.9944178	0.7399762	0.3681580	0.8275112	0.6615929	0.0402295	0.1285016	0.4412080	0.9790977	0.0606382	0.6090796	0.0773646	0.1229072	1.0006210	0.5584155	0.0152844	0.2894223	0.8559174	0.1583479	0.9497436	0.6801610	0.5177395	1.0360004	1.0478088	0.2129314	0.3752538	0.1127609	0.5108002	0.2604265	0.1044976	0.4756123	0.6887419	0.3505358	0.5011988	0.0552612	0.0539299	0.4303308	0.4051202	0.9851073	0.5100592	0.0834854	0.0600136	0.5542093	0.0767638	0.8794384	0.8917257	0.0179976	0.6326839	0.9221425	0.3030956	0.0925029	0.1558341	0.4557534	0.3586963	0.0025058	0.6805658	0.0688668	0.0406791	0.3102286	0.9448349	0.0707734	0.8648566	0.0552148	0.9092501	0.7255179	1.0443017	0.0390146	0.8393403
0.4597865	0.3016155	0.9683890	0.6591027	0.1447823	0.9077940	0.5208250	0.3795942	1.0875845	0.1455258	0.5292148	0.3397256	0.6948281	0.4671187	0.3041722	0.6382855	0.9750642	0.6505772	0.0324313	0.4703875	0.9812599	0.7178446	0.4478554	0.9334602	0.4983650	0.7796625	0.9509495	0.7139328	0.5676671	0.0074591	0.9911350	0.5553986	1.0187284	0.6379409	0.5390075	0.6951579	1.0585858	0.0708069	1.0120904	0.3502626	1.0062255	0.5304867	0.8381181	0.0494425	0.4754725	1.0375620	0.0125749	0.0079812	0.3288658	0.5740332	0.2519176	1.0334352	0.9607360	0.4664759	0.7329777	0.9577146	0.5542616	0.1853342	0.0756417	0.0084555	0.6371793	0.0775479	0.4843580	0.7564322	0.3575253	0.9339309	0.7863181	0.0932841	0.1499824	0.0571434	1.0032446	0.2790231	0.0357121	0.0097562	0.6295171	0.0820303	0.8773231	0.6292207	0.0256888	0.7916706	0.6029787	0.4501799	0.7879172	0.0847298	0.4521986	0.3998699	0.0002319	0.7329534	0.0741389	0.1548430	0.9840947	1.0067100	0.0732094	0.8795352	0.0774538	0.7909922	0.7466722	0.9608453	0.0547732	0.9245638
0.4821561	0.7838490	0.9425175	0.5984938	0.8282798	1.0543168	0.6213645	0.4739778	1.0188025	0.0385645	0.5196470	0.3133162	0.6568310	0.6617198	0.3316457	0.2805972	0.9247830	0.2008951	0.2974107	0.6739471	0.7291290	0.8117987	0.5883917	0.9891515	0.9941305	1.0242421	0.4617169	0.6957588	0.2788582	0.0033440	0.9935310	0.5430195	1.0266831	0.7651390	0.3559899	0.9319914	0.9690277	0.0325621	0.9935001	0.4266262	0.9625186	0.6740638	1.1039770	0.0759071	0.1876113	0.9981691	0.5034429	0.3101384	0.7327965	0.6954833	0.8009067	0.6551632	0.2003969	0.5021357	0.5561222	1.0578030	0.6827885	0.0392620	0.0656147	0.1466191	0.1022758	0.0772467	0.3815332	0.7271570	0.6613068	0.6423864	0.9307278	0.0050003	0.4441980	0.1853932	0.9699093	0.9323628	0.3438032	0.0224339	0.6498000	0.0820804	0.9050357	0.8987406	0.0373488	0.6399166	0.9011725	0.5803685	0.7672486	0.3653592	0.3831475	0.3808280	0.0014883	0.7398217	0.0776261	0.0621683	1.0225815	0.9407228	0.1153895	0.6472062	0.1132357	0.8463873	0.6730994	0.3310620	0.0333865	0.9541720
0.5187582	0.0408516	0.3195175	0.3641911	0.8756829	1.0053160	0.0565762	0.1386315	1.0001842	0.3244158	0.5583210	0.1744429	0.0751317	0.7399802	1.0892942	0.4475648	0.0834938	0.5875042	0.4925083	0.5712847	0.0036784	0.0024283	0.9785498	1.0330084	0.9306866	0.2679759	0.0358596	0.4748641	0.0549703	0.0102997	0.4713464	0.5465342	0.0170071	0.1106867	0.2847224	0.3012745	0.1098326	0.3252628	0.1540019	0.1909619	1.0547997	0.0754444	0.0654926	0.5247646	0.2886927	0.7527896	0.8749925	0.3992533	0.7099024	0.2074460	0.7481987	0.6931291	0.5536670	0.4140223	0.9253612	0.3583755	0.1089774	0.0268241	0.3710104	0.5968821	0.0141834	0.7082522	0.5645246	0.0388433	0.0112048	0.2747456	0.0507312	0.3868484	0.9620423	0.6373436	0.0487173	0.0023116	0.4765665	1.0340310	0.2909010	0.5570275	0.2432359	0.2144415	0.6738324	0.7293166	0.6766769	0.0168358	0.0917578	0.0351679	1.0578324	0.0058370	1.0408910	0.9956762	0.7085173	0.9746532	0.2591858	1.0757231	1.0319346	0.0008465	0.9295580	0.2290074	0.6798513	0.9421869	0.0300906	0.0680514
0.5111006	0.2365679	0.9171578	0.6012377	0.0985352	0.9835627	0.7706281	0.5365325	0.9977129	0.3020029	0.4350291	0.2962169	0.4943818	0.5379276	0.2835310	0.4768030	0.7640872	0.1257049	0.3168589	0.5669069	0.5427233	0.5803654	0.6919689	0.3714841	1.0694818	0.8939361	0.9082463	0.7920038	0.4788081	0.0038057	0.9542432	0.4330330	1.0802004	0.6090247	0.5803464	0.5714937	0.9590227	0.0288986	1.0721972	0.1574933	0.8607690	0.1908259	0.2586480	0.0545328	0.4595275	0.7200466	0.0346691	0.1784431	0.4385717	0.4950256	0.5596230	0.7003618	0.0696108	0.5168467	0.4325602	0.9818571	0.7735234	0.1526841	0.0756482	0.6819635	0.2973321	0.2225391	0.2937660	0.6744881	0.4860384	0.7313082	0.0881198	0.0991096	0.6838967	0.6762407	1.0011079	0.4487192	0.7552816	0.0698431	0.6586844	0.0656869	0.8547676	0.7776240	0.4552760	0.5752380	0.6295252	0.3807302	1.1214738	0.2450708	0.0207930	0.4223668	0.0013763	0.8999829	0.0840087	0.9547991	0.6957176	0.1743917	0.0966482	0.6975273	0.1310592	0.8013311	0.7155723	0.5699136	0.0455470	0.7547861
