"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0000000	0.1393422	0.5272980	0.9498283	0.1737380	0.4685920	0.7296881	1.0000000	1.0000000	0.9976493
50.0	1.0000000	0.1393422	0.4863556	0.9431148	0.1737380	0.4685919	0.4897320	1.0000000	1.0000000	0.6679951
100.0	1.0000000	0.1393422	0.3207828	0.8515137	0.1737380	0.4685919	0.2332062	1.0000000	1.0000000	0.3161586
150.0	1.0000000	0.1393422	0.1856760	0.7156844	0.1737380	0.4685919	0.0977008	1.0000000	1.0000000	0.1311834
200.0	1.0000000	0.1393422	0.1300490	0.6306940	0.1737380	0.4685919	0.0383005	1.0000000	1.0000000	0.0507577
250.0	1.0000000	0.1393422	0.1182442	0.5883034	0.1737380	0.4685919	0.0144252	1.0000000	1.0000000	0.0188048
300.0	1.0000000	0.1393422	0.1203505	0.5687479	0.1737380	0.4685919	0.0052919	1.0000000	1.0000000	0.0067636
350.0	1.0000000	0.1393422	0.1242672	0.5600161	0.1737380	0.4685919	0.0019062	1.0000000	1.0000000	0.0023810
400.0	1.0000000	0.1393422	0.1270260	0.5561743	0.1737380	0.4685919	0.0006776	1.0000000	1.0000000	0.0008246
450.0	1.0000000	0.1393422	0.1285628	0.5544955	0.1737380	0.4685919	0.0002386	1.0000000	1.0000000	0.0002820
500.0	1.0000000	0.1393422	0.1293323	0.5537644	0.1737380	0.4685919	0.0000834	1.0000000	1.0000000	0.0000954
550.0	1.0000000	0.1393422	0.1296960	0.5534465	0.1737380	0.4685919	0.0000290	1.0000000	1.0000000	0.0000320
600.0	1.0000000	0.1393422	0.1298622	0.5533083	0.1737380	0.4685919	0.0000100	1.0000000	1.0000000	0.0000107
650.0	1.0000000	0.1393422	0.1299366	0.5532483	0.1737380	0.4685919	0.0000035	1.0000000	1.0000000	0.0000035
700.0	1.0000000	0.1393422	0.1299695	0.5532222	0.1737380	0.4685919	0.0000012	1.0000000	1.0000000	0.0000012
