"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.7347525	0.0944056	0.2854502	0.5337750	0.0965485	0.2737821	0.3099938	0.7007561	0.7570029	0.6269637
50.0	0.5463104	0.1331676	0.3137544	0.6364522	0.1666638	0.3105522	0.4474960	0.6682719	0.7292610	0.6309830
100.0	0.3706603	0.1021005	0.3109285	0.6658597	0.2161280	0.3190566	0.6610057	0.7124777	0.8203005	0.6983554
150.0	0.3114017	0.1069464	0.4185377	0.7610489	0.2989597	0.2890985	0.5796308	0.5973373	0.8622348	0.7367346
200.0	0.4265290	0.0871977	0.4326773	0.6705661	0.2946940	0.3776030	0.5443284	0.7575304	0.7688390	0.7510455
250.0	0.2862705	0.1062412	0.4964368	0.6684266	0.3686940	0.4131865	0.4799555	0.6044809	0.7022010	0.6895471
300.0	0.3477376	0.1218940	0.4548322	0.5818266	0.3445426	0.4036321	0.4073267	0.7033913	1.0000000	0.6437393
350.0	0.3634762	0.1393023	0.3117259	0.7467214	0.3189925	0.3344405	0.3416968	0.7497153	0.7099213	0.5960671
400.0	0.3661284	0.0722574	0.3665305	0.7003269	0.2799170	0.3066395	0.5528503	0.7079864	0.6730004	0.6050697
450.0	0.3481653	0.1355601	0.4179170	0.6585348	0.4091776	0.3231927	0.5812063	0.7610326	0.6487158	0.6219565
500.0	0.2637457	0.0833055	0.4437754	0.5794877	0.3752485	0.2594419	0.4176085	0.8203422	0.7497576	0.7304727
550.0	0.2633950	0.1273021	0.4262555	0.4295138	0.3027695	0.2578172	0.4424659	0.6972541	0.6972887	0.6446908
600.0	0.3639836	0.1314214	0.3064501	0.5840765	0.3358703	0.2804364	0.3710460	0.6293200	0.6915893	0.7513602
650.0	0.3248112	0.1669660	0.2917078	0.7053280	0.3278506	0.2877616	0.5997534	0.8267907	0.7568215	0.5668670
700.0	0.3749626	0.1371498	0.2311329	0.4917947	0.4771933	0.3434892	0.5105569	0.7472082	0.6896340	0.7350763
750.0	0.3207693	0.0990955	0.4190285	0.5068138	0.2912237	0.2625473	0.6235628	0.7165980	0.5720493	0.8064040
800.0	0.3783639	0.0854673	0.4435522	0.6367677	0.3520177	0.3482267	0.7280012	0.7076181	0.5332442	0.9181487
850.0	0.3404111	0.1289602	0.4845253	0.6737350	0.2867455	0.2690968	0.5329410	0.7862855	0.6295042	0.7796650
900.0	0.3581458	0.0837170	0.3537100	0.5713469	0.3434057	0.4165732	0.4050874	0.6737775	0.6427962	0.7117954
950.0	0.3657646	0.0984929	0.2364490	0.5651365	0.3830705	0.4114588	0.5074158	0.6734509	0.7479597	0.6782229
1000.0	0.3303759	0.1728020	0.5020025	0.5309478	0.3417031	0.3443083	0.3417854	0.6797843	0.6757245	0.6612277

0.0	0.7465883	0.1062390	0.3397487	0.7695320	0.1287817	0.3019867	0.5330119	0.6858413	0.6079777	0.7885814
50.0	0.7035232	0.0548701	0.4079091	0.6853060	0.1311819	0.4084006	0.5447482	0.4914929	0.7073564	0.6718072
100.0	0.8165824	0.0946498	0.3135114	0.7770460	0.0805016	0.3094983	0.7556197	0.6521608	0.7129696	0.6335356
150.0	0.6215309	0.0732548	0.3204708	0.7506268	0.1186857	0.3420140	0.5669177	0.6591842	0.6593763	0.8197172
200.0	0.6818643	0.0593615	0.3780245	0.6362841	0.1151871	0.3936435	0.6640662	0.7385472	0.6782734	0.7776309
250.0	0.6173762	0.0250117	0.4289237	0.6680430	0.1204031	0.2850249	0.5911437	0.7958260	0.6572364	0.7967938
300.0	0.6132343	0.0288468	0.3459159	0.6884398	0.1079502	0.3093533	0.3919243	0.6569274	0.7573033	0.7230898
350.0	0.7406080	0.0993430	0.3187082	0.7514211	0.0785704	0.3347492	0.4600708	0.7652582	0.7274650	0.6753852
