"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.3790403	0.0966243	0.3615352	0.6091500	0.3323361	0.3769791	0.4830843	0.7868015	0.6184820	0.6706233
0.6203478	0.0503715	0.5192155	0.6348784	0.1746138	0.3183622	0.4945045	0.6236862	0.6996003	0.7966500
0.6744956	0.0825071	0.2490886	0.5756367	0.1385722	0.3879470	0.6635460	0.6801323	0.7040899	0.6767943
0.6156820	0.0815510	0.5000691	0.4010066	0.1275950	0.3489271	0.4217603	0.7216182	0.7614652	0.6918774
0.7128519	0.1152454	0.4153077	0.7020183	0.0570900	0.2889286	0.6114531	0.6920418	0.6916206	0.5686247
0.8441032	0.1068194	0.3659371	0.5528512	0.1160070	0.1963775	0.4019355	0.7684926	0.6878265	0.6729360
0.7202789	0.1280718	0.2548745	0.4583001	0.1425700	0.2816269	0.2461589	0.7652847	0.6692893	0.6854692
0.6808514	0.1746456	0.3365441	0.5963090	0.1310357	0.4944617	0.5736364	0.3185255	0.6742415	0.8736734
0.7211540	0.0525549	0.4148543	0.6705360	0.1141175	0.3049296	0.4178081	0.6582127	0.2762594	0.6855514
0.6955640	0.1280206	0.3235034	0.6159981	0.1365822	0.2954696	0.5656786	0.6962626	0.7183914	0.3438983
