"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	0.5264990	0.3632316	0.3894685	0.7592793	0.2885008	0.5385519	0.7316264	0.7471502	0.6099503
0.8049990	0.0000000	0.3272595	0.6079291	0.1219745	0.2928675	0.4411697	0.6464026	0.5699258	0.7204266
0.7690423	0.0666281	0.0000000	0.4235563	0.1304211	0.3348259	0.7664301	0.7839457	0.6931591	0.7272254
0.7580234	0.1407555	0.6282610	0.0001984	0.1181177	0.2873054	0.1993843	0.6329742	0.6619078	0.7954769
0.6996307	0.1497761	0.3760314	0.6132569	0.0000000	0.2387386	0.5129597	0.7690411	0.7149434	0.6099457
0.7361544	0.4322487	0.3375716	0.5841777	0.1440969	0.0000000	0.6877281	0.6911691	0.6613526	0.6957623
0.6983485	0.1052935	0.2294526	0.3172164	0.1581082	0.2805977	0.0000000	0.6755676	0.7079248	0.7584466
0.7268235	0.2871690	0.3966501	0.5870952	0.1265187	0.8469135	0.4833288	0.0000000	0.7310762	0.6143733
0.7762912	0.0861822	0.2164332	0.4126534	0.0975476	0.3806559	0.6463557	0.7546994	0.0000000	0.0496064
0.6501104	0.1198521	0.3695979	0.3284185	0.1320675	0.3916905	0.6474181	0.6805688	0.6503047	0.0000000
