"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.7705462	0.0302754	0.2914623	0.5528828	0.1665823	0.3225720	0.6939977	0.7213485	0.5200404	0.6321217
0.1999714	0.0966581	0.4260163	0.4856031	0.5024622	0.3925055	0.5238263	0.8191011	0.8348407	0.7139534
0.7578769	0.0953985	0.1413407	0.7014848	0.0031188	0.2911522	0.8045539	0.5261695	0.5540078	0.7048232
0.4663257	0.0993468	0.3358440	0.5324579	0.1667622	0.2865328	0.7629487	0.6562199	0.3737809	0.7734543
0.7049124	0.0779289	0.3809532	0.6580108	0.0494047	0.1455547	0.4673598	0.5857203	0.5770923	0.6024646
0.3108108	0.1260655	0.4223672	0.6236594	0.4473306	0.3595438	0.3844296	0.5279734	0.7851869	0.6925559
0.6873095	0.1365968	0.1680752	0.5991694	0.1419153	0.3594513	0.6624761	0.6985217	0.8002155	0.8445978
0.4536022	0.0642511	0.3961881	0.7185386	0.0321634	0.3198347	0.4760124	0.7580470	0.6484586	0.7088491
0.6989901	0.2280217	0.4211513	0.5830834	0.0753970	0.7892376	0.3885113	0.0252756	0.7316328	0.7631323
0.3904061	0.2888375	0.4991702	0.5514096	0.2515012	0.6560696	0.1945445	0.1443381	0.6390641	0.7007578
