"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.9891225	0.1685704	0.4668874	0.9443716	0.2386946	0.4430978	0.7442733	1.1409434	0.9595470	0.9784864
50.0	0.9527836	0.1701996	0.4511553	0.9407510	0.1971233	0.4836204	0.1886771	1.1011308	0.9969639	0.3071084
100.0	1.0980098	0.1380625	0.1980055	0.6871339	0.1742599	0.4741656	0.0473365	1.0331323	1.0003246	0.0856123
150.0	0.9645659	0.1056311	0.0946284	0.5578269	0.1546616	0.4809010	0.0086719	0.9986562	1.0728608	0.0335119
200.0	1.0366860	0.1425191	0.1239097	0.4952310	0.1359972	0.4016645	0.0027391	0.9988625	1.0570212	0.0028183
250.0	0.8845088	0.1280054	0.1249667	0.5390523	0.1827355	0.4134157	0.0010274	0.9060794	1.0687650	0.0022157
300.0	0.9537963	0.1638689	0.0991045	0.4748383	0.2018969	0.4838112	0.0000000	0.9806938	1.0099205	0.0049410
350.0	1.0172897	0.1406476	0.1279796	0.5532190	0.1839324	0.5350107	0.0000000	1.0324144	0.9907570	0.0032716
400.0	1.0915934	0.1369619	0.1423578	0.6002915	0.2107896	0.5254153	0.0000000	1.0161267	0.9714231	0.0014755
450.0	1.0663464	0.1850025	0.1152154	0.5513295	0.1861968	0.4889949	0.0000000	1.0104931	1.0116211	0.0000000
500.0	1.0125665	0.1555998	0.0966606	0.6138987	0.1575367	0.4935936	0.0000000	0.9468374	0.9904756	0.0000000
550.0	1.0243444	0.1364519	0.1118200	0.5234252	0.1518919	0.4524589	0.0000000	0.9027056	0.9877895	0.0000000
600.0	1.0421303	0.1088188	0.1226473	0.5739332	0.1422923	0.4495140	0.0000000	1.0100257	0.9578161	0.0000000
650.0	0.9920617	0.1485152	0.1519068	0.6067842	0.1432822	0.4857514	0.0000000	0.9426342	0.9057412	0.0000000
700.0	0.9347719	0.1560428	0.1384719	0.5032757	0.1645900	0.4796617	0.0000000	0.9807483	0.9899876	0.0000000
750.0	0.9635246	0.1595620	0.1593098	0.5343209	0.1904904	0.4335182	0.0000000	1.0972426	1.0019228	0.0000000
800.0	1.0340139	0.1056016	0.1278559	0.5302496	0.1737757	0.4569110	0.0000000	1.1312713	0.9542661	0.0000000
850.0	1.0370956	0.1492416	0.0986430	0.5140483	0.1395041	0.4470465	0.0000000	0.9893311	0.9295927	0.0000000
900.0	1.0495643	0.1493962	0.1168381	0.5581392	0.1498302	0.5121835	0.0000000	0.9661914	1.0488728	0.0000000
950.0	1.0439003	0.1423319	0.0944138	0.4977292	0.1586466	0.4834553	0.0000000	1.0601369	0.9350835	0.0000000
1000.0	1.0498795	0.1444490	0.1067621	0.5948306	0.1280656	0.4755518	0.0000000	1.0307044	0.9939690	0.0000000

0.0	1.0181825	0.1455132	0.5818343	0.9809746	0.2304403	0.4462182	0.7056299	1.0359644	1.1056169	0.9177549
50.0	0.3631606	0.1313299	0.5078286	0.9878284	0.2758595	0.4120801	0.7471937	1.0616731	1.1225378	0.2639685
100.0	0.1347576	0.1413604	0.4246295	0.5972036	0.5614286	0.4222222	0.7111086	0.9632308	1.0891174	0.0720092
150.0	0.0389556	0.1255235	0.3567675	0.2522678	0.8396400	0.4667362	0.8395269	0.9946719	1.0152359	0.0212111
200.0	0.0083922	0.1615886	0.3599345	0.0692712	1.0002219	0.5064321	0.8527691	0.9168606	1.0377503	0.0129113
250.0	0.0037674	0.1852896	0.3472867	0.0559633	1.1233131	0.5486050	0.9026964	0.9437891	1.0273418	0.0041415
300.0	0.0009880	0.3920781	0.3380617	0.0701793	0.9907415	0.5189686	0.9114328	0.9874298	0.9925641	0.0008876
350.0	0.0004065	0.6015339	0.4169801	0.0687764	1.0491570	0.4802454	0.8552497	0.9996185	1.0639650	0.0017009
400.0	0.0012152	0.5746504	0.4606061	0.0570265	0.9588804	0.4592800	0.9401382	1.0713790	1.0995714	0.0000000
450.0	0.0017814	0.4710946	0.4451228	0.0494057	0.9621800	0.4747471	0.9322136	1.0071931	1.0327948	0.0000000
500.0	0.0000000	0.5183002	0.3975958	0.0595667	1.0207616	0.4666419	0.8735783	0.9611569	1.0058731	0.0000000
