"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	0.5962579	0.3779988	0.5502995	1.0441256	0.4501582	0.9889071	0.9520759	1.0297815	1.0080740
1.0008479	0.0000000	0.5030546	0.8753865	0.2117049	0.4735644	0.7031495	0.9997383	1.0496294	1.0891702
1.0589047	0.1585876	0.0000000	0.5883076	0.1694550	0.4920630	0.9843365	1.0864488	0.9860226	1.0176192
1.1169981	0.1488505	0.7920703	0.0000000	0.1853925	0.4374586	0.1800941	0.9560704	0.9732992	1.0194588
0.9932071	0.1806759	0.5377263	0.8728036	0.0000000	0.4322688	0.7077568	0.9585250	1.0108581	1.0266425
0.9625141	0.5776564	0.5421580	0.9036197	0.1622878	0.0000000	0.7211148	0.9802459	0.9844616	0.9908123
1.0258837	0.1375698	0.4178359	0.4365297	0.1736922	0.4306391	0.0000000	0.9604434	1.0535247	0.9804385
1.0017619	0.3422100	0.5305188	1.0035069	0.1432144	1.0075035	0.6784498	0.0000000	1.0204872	0.9058420
1.0460484	0.1357938	0.4055161	0.6199489	0.1514432	0.4269083	0.9656151	1.0533756	0.0000000	0.0662022
1.0102918	0.1591213	0.5479592	0.5513617	0.2178817	0.4431660	0.8333434	0.9251452	1.0662798	0.0000000
