"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.5556945	0.1598056	0.4976520	0.9058753	0.4551832	0.4547563	0.7470800	1.0693274	0.9730878	0.9652701
0.9556926	0.0618741	0.6635956	1.0071350	0.2310195	0.3973236	0.7505607	0.9898123	0.9441707	1.0193909
1.0046220	0.1094201	0.3537544	0.9304439	0.2042022	0.4920597	0.9153710	1.0266016	0.9502835	0.9502382
1.0613453	0.1333467	0.6243407	0.4818969	0.1823669	0.5059005	0.7312967	1.0333268	1.1379150	1.0825516
1.0099109	0.1651892	0.5471390	0.9901124	0.0924222	0.4501900	0.8089396	1.0055793	1.0273294	0.9259926
1.0253453	0.1467661	0.4891744	0.8807566	0.1706018	0.2832918	0.7486080	1.0192064	1.0051712	0.9075456
1.0188688	0.1594265	0.3471392	0.7304488	0.2122992	0.4150208	0.4139275	1.0482921	1.0448072	0.9836759
0.9951569	0.2977003	0.6294134	0.8938468	0.1626231	0.7126785	0.7323008	0.4586518	0.9729014	0.9887565
0.9848403	0.1323918	0.5009477	0.8792809	0.1469165	0.4218549	0.7058657	1.1010755	0.5230652	1.0081811
1.0409240	0.1485517	0.4499251	0.9074762	0.1505515	0.4253935	0.8652877	1.0709813	1.0967773	0.5377534
