"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0796077	0.1284637	0.4962047	0.8694907	0.1575188	0.4504563	0.8930028	1.0160554	0.9765192	0.8558737
50.0	0.7444793	0.1449764	0.4969014	1.0324807	0.1796921	0.3623127	0.8508817	1.0668219	1.0140944	0.9745481
100.0	0.4639426	0.1151927	0.6142889	0.9350341	0.2752827	0.3972664	0.8707385	1.0319652	0.9294282	1.1571425
150.0	0.2998024	0.1399216	0.6013332	0.8876288	0.4724117	0.4843748	0.7280254	0.9536660	0.9491777	1.0684242
200.0	0.1679077	0.1780997	0.5491453	0.8429001	0.7568842	0.4835518	0.5591209	1.0098187	0.9569386	0.9792758
250.0	0.1621992	0.1781566	0.4845979	0.6550489	0.8248325	0.4555166	0.6121191	1.0224596	0.9440361	0.9183080
300.0	0.1663698	0.1601220	0.4065282	0.6609518	0.9851924	0.4378459	0.7055612	0.9643139	1.0317618	0.9568515
350.0	0.1527083	0.1683742	0.4625081	0.6739570	0.9373325	0.4878676	0.8410197	0.9650638	0.9430203	0.9524628
400.0	0.1853322	0.1939079	0.5927111	0.5960170	0.9731453	0.4223227	0.8258363	0.8925688	1.0221097	1.0071619
450.0	0.1992833	0.1684678	0.5533359	0.6517314	0.9747587	0.4436192	0.7173087	0.9831402	0.9783835	0.9413046
500.0	0.1563662	0.1563780	0.5882048	0.6856979	0.9297789	0.4588345	0.7615973	1.0021502	1.1011437	1.0003995
550.0	0.4811787	0.1532453	0.5790318	0.6821940	0.9296737	0.5998064	0.7329496	0.9921918	0.9762013	0.9423930
600.0	0.7951221	0.1470401	0.5991401	0.7573200	0.6504008	0.5001660	0.7455030	1.0365821	0.9977526	0.9175899
650.0	0.9025991	0.1418680	0.5213246	0.8121465	0.4374141	0.4551816	0.6580896	0.8951351	0.9086859	0.9579333
700.0	0.9205820	0.1717341	0.4206041	0.8977905	0.2851014	0.4257680	0.6973096	0.9325487	0.8761509	1.0496211
750.0	1.0003868	0.1773501	0.4491442	0.9030543	0.2575367	0.4787911	0.7283452	0.9701699	0.8889301	1.0993095
800.0	1.0729712	0.1519340	0.5419754	1.0268844	0.1712474	0.4525880	0.8154101	0.9279686	0.9961478	1.0515642
850.0	1.0191407	0.1330548	0.5929557	1.0053041	0.1945776	0.4086684	0.7864538	0.9573843	1.0614395	1.0238562
900.0	1.0388175	0.1469954	0.5568581	0.9802379	0.1932144	0.4515281	0.6568298	0.9352272	1.0344807	1.0603453
950.0	1.0151283	0.1512228	0.5063595	0.9629573	0.1238973	0.4757359	0.6709329	1.0689215	1.0568722	1.0076297
1000.0	1.0721132	0.1412557	0.5109233	0.8967900	0.1781698	0.5117679	0.7262550	1.0387751	1.0619317	0.9224309

0.0	0.9558876	0.0965120	0.4629828	0.9500953	0.1959838	0.5045024	0.7191799	0.9320215	0.9503369	1.0107455
50.0	0.8628237	0.1406465	0.4269406	0.9106395	0.1444172	0.5004627	0.5759844	1.0015749	0.9771624	1.0458405
100.0	0.9102563	0.1620318	0.4663635	0.9026500	0.2393763	0.4579233	0.4044267	0.8915051	1.0200077	1.1011174
150.0	0.7546549	0.1324792	0.3390787	0.9254333	0.2289961	0.5082717	0.2383415	0.9443666	1.0485743	1.0187277
200.0	0.8611529	0.1386597	0.3023717	0.8079042	0.1967630	0.5071130	0.1957435	0.9821470	1.1295817	1.0054900
250.0	0.7136962	0.1649708	0.2999534	0.6201957	0.2676629	0.4381323	0.1703067	0.9929975	1.0518619	1.0123691
300.0	0.7846653	0.1668775	0.3232696	0.6463490	0.3025197	0.4632012	0.1398669	0.9091614	1.0529578	1.0260197
350.0	0.8695127	0.1630908	0.3363130	0.5889544	0.2431553	0.4930032	0.1410166	1.0161084	1.0219296	0.9942528
400.0	0.8362803	0.1265924	0.3598414	0.6238952	0.2309902	0.4362204	0.1779465	1.0359625	1.0683639	1.0034748
450.0	0.8003201	0.1534691	0.3130610	0.5811308	0.2130885	0.4615491	0.1727004	1.0346710	1.0699578	0.9652062
500.0	0.8100406	0.1558297	0.3482586	0.5847756	0.2573251	0.5004385	0.1866449	0.9409657	0.9791240	0.9291274
