"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0000000	0.1224835	0.9833851	0.9999678	0.2140842	0.9716832	0.0814859	0.9889937	1.0000000	1.0000000
50.0	0.1397277	0.1555282	0.9833852	0.9999721	0.2471742	0.9751945	0.0710533	0.9918129	1.0000000	1.0000000
100.0	0.0195238	0.0908211	0.9833853	0.9999734	0.2548385	0.9795843	0.0673730	0.9924673	1.0000000	1.0000000
150.0	0.0027280	0.0392121	0.9833853	0.9999798	0.3846373	0.9833142	0.0535347	0.9958669	1.0000000	1.0000000
200.0	0.0003812	0.0177109	0.9833853	0.9999878	0.5233002	0.9879133	0.0367216	0.9984922	1.0000000	1.0000000
250.0	0.0000533	0.0084853	0.9833853	0.9999937	0.5755712	0.9925157	0.0248733	0.9995499	1.0000000	1.0000000
300.0	0.0000074	0.0047775	0.9833853	0.9999970	0.5885960	0.9958206	0.0183237	0.9998779	1.0000000	1.0000000
350.0	0.0000010	0.0034934	0.9833853	0.9999986	0.5914298	0.9977329	0.0151355	0.9999682	1.0000000	1.0000000
400.0	0.0000001	0.0030874	0.9833853	0.9999994	0.5920207	0.9987144	0.0136898	0.9999918	1.0000000	1.0000000
450.0	0.0000000	0.0029645	0.9833853	0.9999997	0.5921424	0.9991875	0.0130585	0.9999978	1.0000000	1.0000000
500.0	0.0000000	0.0029280	0.9833853	0.9999998	0.5921675	0.9994081	0.0127882	0.9999994	1.0000000	1.0000000
550.0	0.0000000	0.0029173	0.9833853	0.9999999	0.5921726	0.9995090	0.0126736	0.9999998	1.0000000	1.0000000
600.0	0.0000000	0.0029142	0.9833853	0.9999999	0.5921737	0.9995545	0.0126254	0.9999999	1.0000000	1.0000000
650.0	0.0000000	0.0029133	0.9833853	0.9999999	0.5921739	0.9995748	0.0126053	0.9999999	1.0000000	1.0000000
700.0	0.0000000	0.0029130	0.9833853	0.9999999	0.5921740	0.9995838	0.0125968	0.9999999	1.0000000	1.0000000
750.0	0.0000000	0.0029129	0.9833853	0.9999999	0.5921740	0.9995878	0.0125934	0.9999999	1.0000000	1.0000000
800.0	0.0000000	0.0029129	0.9833853	0.9999999	0.5921740	0.9995895	0.0125919	0.9999999	1.0000000	1.0000000
850.0	0.0000000	0.0029129	0.9833853	0.9999999	0.5921740	0.9995902	0.0125913	0.9999999	1.0000000	1.0000000
900.0	0.0000000	0.0029129	0.9833853	0.9999999	0.5921740	0.9995906	0.0125911	0.9999999	1.0000000	1.0000000
950.0	0.0000000	0.0029129	0.9833853	0.9999999	0.5921740	0.9995907	0.0125910	0.9999999	1.0000000	1.0000000
1000.0	0.0000000	0.0029129	0.9833853	0.9999999	0.5921740	0.9995908	0.0125909	0.9999999	1.0000000	1.0000000

0.0	1.0000000	0.1224835	0.9833851	0.9999678	0.2140842	0.9716832	0.0814859	0.9889937	1.0000000	1.0000000
50.0	1.0000000	0.0356668	0.9833852	0.9999764	0.3460587	0.9754891	0.0620071	0.9943967	1.0000000	1.0000000
100.0	1.0000000	0.0103861	0.9833853	0.9999864	0.5129545	0.9826118	0.0404153	0.9980950	1.0000000	1.0000000
150.0	1.0000000	0.0030244	0.9833853	0.9999935	0.5743737	0.9897121	0.0258455	0.9994763	1.0000000	1.0000000
200.0	1.0000000	0.0008807	0.9833853	0.9999972	0.5884958	0.9945720	0.0183494	0.9998671	1.0000000	1.0000000
250.0	1.0000000	0.0002565	0.9833853	0.9999989	0.5914254	0.9972340	0.0149597	0.9999672	1.0000000	1.0000000
300.0	1.0000000	0.0000747	0.9833853	0.9999996	0.5920222	0.9985303	0.0135204	0.9999919	1.0000000	1.0000000
350.0	1.0000000	0.0000217	0.9833853	0.9999998	0.5921434	0.9991256	0.0129278	0.9999980	1.0000000	1.0000000
400.0	1.0000000	0.0000063	0.9833853	0.9999999	0.5921680	0.9993910	0.0126874	0.9999995	1.0000000	1.0000000
450.0	1.0000000	0.0000018	0.9833853	1.0000000	0.5921730	0.9995073	0.0125906	0.9999999	1.0000000	1.0000000
500.0	1.0000000	0.0000005	0.9833853	1.0000000	0.5921740	0.9995577	0.0125518	1.0000000	1.0000000	1.0000000
550.0	1.0000000	0.0000002	0.9833853	1.0000000	0.5921742	0.9995794	0.0125362	1.0000000	1.0000000	1.0000000
600.0	1.0000000	0.0000000	0.9833853	1.0000000	0.5921742	0.9995886	0.0125300	1.0000000	1.0000000	1.0000000
650.0	1.0000000	0.0000000	0.9833853	1.0000000	0.5921743	0.9995925	0.0125275	1.0000000	1.0000000	1.0000000
700.0	1.0000000	0.0000000	0.9833853	1.0000000	0.5921743	0.9995941	0.0125265	1.0000000	1.0000000	1.0000000
750.0	1.0000000	0.0000000	0.9833853	1.0000000	0.5921743	0.9995948	0.0125261	1.0000000	1.0000000	1.0000000
800.0	1.0000000	0.0000000	0.9833853	1.0000000	0.5921743	0.9995951	0.0125259	1.0000000	1.0000000	1.0000000
850.0	1.0000000	0.0000000	0.9833853	1.0000000	0.5921743	0.9995952	0.0125259	1.0000000	1.0000000	1.0000000
900.0	1.0000000	0.0000000	0.9833853	1.0000000	0.5921743	0.9995953	0.0125258	1.0000000	1.0000000	1.0000000
950.0	1.0000000	0.0000000	0.9833853	1.0000000	0.5921743	0.9995953	0.0125258	1.0000000	1.0000000	1.0000000
1000.0	1.0000000	0.0000000	0.9833853	1.0000000	0.5921743	0.9995953	0.0125258	1.0000000	1.0000000	1.0000000

0.0	1.0000000	0.1224835	0.9833851	0.9999678	0.2140842	0.9716832	0.0814859	0.9889937	1.0000000	1.0000000
50.0	1.0000000	0.2059931	0.3620022	0.9999609	0.2146748	0.9751715	0.0724966	0.9912734	1.0000000	1.0000000
100.0	1.0000000	0.1792956	0.1332597	0.9998076	0.0779625	0.9785185	0.0839027	0.9860052	1.0000000	1.0000000
150.0	1.0000000	0.0723844	0.0490554	0.9989290	0.0277045	0.9779745	0.0824610	0.9876620	1.0000000	1.0000000
200.0	1.0000000	0.0252490	0.0180582	0.9961842	0.0357407	0.9790199	0.0593974	0.9947135	1.0000000	1.0000000
250.0	1.0000000	0.0119558	0.0066476	0.9933622	0.0492499	0.9846713	0.0373623	0.9983781	1.0000000	1.0000000
300.0	1.0000000	0.0099945	0.0024471	0.9944054	0.0534974	0.9909601	0.0243419	0.9995584	1.0000000	1.0000000
350.0	1.0000000	0.0104770	0.0009008	0.9963622	0.0544625	0.9952226	0.0180296	0.9998819	1.0000000	1.0000000
400.0	1.0000000	0.0109566	0.0003316	0.9975727	0.0546682	0.9975205	0.0152277	0.9999662	1.0000000	1.0000000
450.0	1.0000000	0.0111833	0.0001221	0.9981447	0.0547116	0.9986317	0.0140376	0.9999879	1.0000000	1.0000000
500.0	1.0000000	0.0112697	0.0000449	0.9983826	0.0547207	0.9991418	0.0135459	0.9999934	1.0000000	1.0000000
550.0	1.0000000	0.0112994	0.0000165	0.9984734	0.0547226	0.9993698	0.0133468	0.9999948	1.0000000	1.0000000
600.0	1.0000000	0.0113090	0.0000061	0.9985059	0.0547230	0.9994701	0.0132674	0.9999951	1.0000000	1.0000000
650.0	1.0000000	0.0113120	0.0000022	0.9985167	0.0547231	0.9995136	0.0132361	0.9999952	1.0000000	1.0000000
700.0	1.0000000	0.0113129	0.0000008	0.9985201	0.0547231	0.9995324	0.0132239	0.9999952	1.0000000	1.0000000
750.0	1.0000000	0.0113132	0.0000003	0.9985211	0.0547231	0.9995403	0.0132191	0.9999952	1.0000000	1.0000000
800.0	1.0000000	0.0113133	0.0000001	0.9985213	0.0547231	0.9995437	0.0132172	0.9999952	1.0000000	1.0000000
850.0	1.0000000	0.0113133	0.0000000	0.9985214	0.0547231	0.9995451	0.0132165	0.9999952	1.0000000	1.0000000
900.0	1.0000000	0.0113133	0.0000000	0.9985214	0.0547231	0.9995457	0.0132162	0.9999952	1.0000000	1.0000000
950.0	1.0000000	0.0113133	0.0000000	0.9985213	0.0547231	0.9995459	0.0132161	0.9999952	1.0000000	1.0000000
1000.0	1.0000000	0.0113133	0.0000000	0.9985213	0.0547231	0.9995460	0.0132161	0.9999952	1.0000000	1.0000000

0.0	1.0000000	0.1224835	0.9833851	0.9999678	0.2140842	0.9716832	0.0814859	0.9889937	1.0000000	1.0000000
50.0	1.0000000	0.2307910	0.9833851	0.3631636	0.3300471	0.9751682	0.0728488	0.9911311	1.0000000	1.0000000
100.0	1.0000000	0.4406461	0.9833803	0.1318920	0.4611284	0.9778178	0.1028319	0.9743086	1.0000000	1.0000000
150.0	1.0000000	0.6306556	0.9831647	0.0478999	0.5479459	0.9658691	0.1914012	0.8960864	1.0000000	1.0000000
200.0	1.0000000	0.7415558	0.9713390	0.0173961	0.5816745	0.9149113	0.3059045	0.7537812	1.0000000	1.0000000
250.0	1.0000000	0.7915976	0.8458164	0.0063178	0.5845532	0.8307541	0.4026789	0.6189910	1.0000000	1.0000000
300.0	1.0000000	0.8064925	0.7425600	0.0022945	0.5590698	0.7610321	0.4670476	0.5307477	1.0000000	1.0000000
350.0	1.0000000	0.7965842	0.7028537	0.0008333	0.5147632	0.7204312	0.5025871	0.4857456	1.0000000	1.0000000
400.0	1.0000000	0.7682822	0.6882172	0.0003026	0.4748626	0.6950204	0.5166205	0.4724953	1.0000000	1.0000000
450.0	1.0000000	0.7332044	0.6828291	0.0001099	0.4497096	0.6725076	0.5154003	0.4816912	1.0000000	1.0000000
500.0	1.0000000	0.7030240	0.6808456	0.0000399	0.4367711	0.6503287	0.5044593	0.5042579	1.0000000	1.0000000
550.0	1.0000000	0.6826282	0.6801155	0.0000145	0.4308585	0.6320221	0.4891809	0.5308274	1.0000000	1.0000000
600.0	1.0000000	0.6709529	0.6798467	0.0000053	0.4283431	0.6208590	0.4740463	0.5543131	1.0000000	1.0000000
650.0	1.0000000	0.6649935	0.6797477	0.0000019	0.4273200	0.6168334	0.4617406	0.5716006	1.0000000	1.0000000
700.0	1.0000000	0.6621860	0.6797113	0.0000007	0.4269159	0.6176066	0.4531058	0.5827622	1.0000000	1.0000000
750.0	1.0000000	0.6609370	0.6796979	0.0000003	0.4267593	0.6204980	0.4477541	0.5892975	1.0000000	1.0000000
800.0	1.0000000	0.6604042	0.6796930	0.0000001	0.4266995	0.6236381	0.4447943	0.5928487	1.0000000	1.0000000
850.0	1.0000000	0.6601838	0.6796911	0.0000000	0.4266769	0.6261447	0.4433357	0.5946693	1.0000000	1.0000000
900.0	1.0000000	0.6600949	0.6796905	0.0000000	0.4266684	0.6278233	0.4427077	0.5955606	1.0000000	1.0000000
950.0	1.0000000	0.6600596	0.6796902	0.0000000	0.4266652	0.6288088	0.4424865	0.5959809	1.0000000	1.0000000
1000.0	1.0000000	0.6600458	0.6796901	0.0000000	0.4266640	0.6293230	0.4424380	0.5961732	1.0000000	1.0000000

0.0	1.0000000	0.1224835	0.9833851	0.9999678	0.2140842	0.9716832	0.0814859	0.9889937	1.0000000	1.0000000
50.0	1.0000000	0.1047153	0.9833845	0.9999730	0.0434667	0.9752299	0.0691519	0.9924604	1.0000000	1.0000000
100.0	1.0000000	0.0383220	0.9737460	0.9999791	0.0088253	0.9805589	0.0552132	0.9956605	1.0000000	1.0000000
150.0	1.0000000	0.0134029	0.7450256	0.9999869	0.0017918	0.9864009	0.0375213	0.9984257	1.0000000	1.0000000
200.0	1.0000000	0.0059714	0.6385801	0.9999924	0.0003638	0.9917876	0.0248927	0.9995481	1.0000000	1.0000000
250.0	1.0000000	0.0038036	0.5993950	0.9999958	0.0000739	0.9955227	0.0181448	0.9998815	1.0000000	1.0000000
300.0	1.0000000	0.0031723	0.5849702	0.9999978	0.0000150	0.9976271	0.0149914	0.9999698	1.0000000	1.0000000
350.0	1.0000000	0.0029884	0.5796602	0.9999988	0.0000030	0.9986820	0.0136069	0.9999923	1.0000000	1.0000000
400.0	1.0000000	0.0029349	0.5777055	0.9999993	0.0000006	0.9991798	0.0130164	0.9999980	1.0000000	1.0000000
450.0	1.0000000	0.0029193	0.5769859	0.9999996	0.0000001	0.9994076	0.0127680	0.9999994	1.0000000	1.0000000
500.0	1.0000000	0.0029147	0.5767210	0.9999996	0.0000000	0.9995100	0.0126643	0.9999998	1.0000000	1.0000000
550.0	1.0000000	0.0029134	0.5766235	0.9999997	0.0000000	0.9995554	0.0126212	0.9999999	1.0000000	1.0000000
600.0	1.0000000	0.0029130	0.5765876	0.9999997	0.0000000	0.9995754	0.0126034	0.9999999	1.0000000	1.0000000
650.0	1.0000000	0.0029129	0.5765744	0.9999997	0.0000000	0.9995842	0.0125960	0.9999999	1.0000000	1.0000000
700.0	1.0000000	0.0029129	0.5765695	0.9999997	0.0000000	0.9995880	0.0125930	0.9999999	1.0000000	1.0000000
750.0	1.0000000	0.0029129	0.5765677	0.9999997	0.0000000	0.9995896	0.0125918	0.9999999	1.0000000	1.0000000
800.0	1.0000000	0.0029129	0.5765671	0.9999997	0.0000000	0.9995903	0.0125913	0.9999999	1.0000000	1.0000000
850.0	1.0000000	0.0029129	0.5765668	0.9999997	0.0000000	0.9995906	0.0125911	0.9999999	1.0000000	1.0000000
900.0	1.0000000	0.0029129	0.5765667	0.9999997	0.0000000	0.9995907	0.0125910	0.9999999	1.0000000	1.0000000
950.0	1.0000000	0.0029129	0.5765667	0.9999997	0.0000000	0.9995908	0.0125909	0.9999999	1.0000000	1.0000000
1000.0	1.0000000	0.0029129	0.5765667	0.9999997	0.0000000	0.9995908	0.0125909	0.9999999	1.0000000	1.0000000

0.0	1.0000000	0.1224835	0.9833851	0.9999678	0.2140842	0.9716832	0.0814859	0.9889937	1.0000000	1.0000000
50.0	1.0000000	0.2099024	0.9833852	0.9999714	0.2354866	0.3587869	0.0722754	0.9912528	1.0000000	1.0000000
100.0	1.0000000	0.2299667	0.9833853	0.9999648	0.1581259	0.1324794	0.0809652	0.9842949	1.0000000	1.0000000
150.0	1.0000000	0.1552842	0.9833852	0.9999595	0.1276897	0.0489170	0.0627770	0.9797105	1.0000000	1.0000000
200.0	1.0000000	0.1124000	0.9833851	0.9999641	0.1717223	0.0180623	0.0345710	0.9857037	1.0000000	1.0000000
250.0	1.0000000	0.1625223	0.9833852	0.9999708	0.2431481	0.0066694	0.0214116	0.9911622	1.0000000	1.0000000
300.0	1.0000000	0.2370057	0.9833853	0.9999689	0.1951705	0.0024626	0.0160851	0.9886240	1.0000000	1.0000000
350.0	1.0000000	0.1931298	0.9833853	0.9999611	0.1343882	0.0009093	0.0139506	0.9806293	1.0000000	1.0000000
400.0	1.0000000	0.1247457	0.9833851	0.9999611	0.1415100	0.0003358	0.0130961	0.9823093	1.0000000	1.0000000
450.0	1.0000000	0.1260789	0.9833851	0.9999681	0.2158069	0.0001240	0.0127541	0.9892311	1.0000000	1.0000000
