"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
1.0000000	0.7958592	0.9605607	0.9998020	0.5594354	0.6767470	0.5121052	0.4620055	1.0000000	1.0000000
0.9082940	0.5142161	0.9936602	0.7696435	0.3643887	0.6982457	0.3364160	0.7209063	1.0000000	0.8158979
0.6230132	0.5293021	0.9709233	0.6682798	0.4339308	0.6010654	0.4230024	0.7372847	0.7622158	0.6131635
1.0000000	0.8289672	0.9999998	0.9998157	0.4075578	0.6966236	0.5304248	0.4322275	0.5709965	0.9243673
0.8984093	0.8310318	0.9476609	0.4370721	0.6287166	0.6901895	0.5311401	0.3167659	1.0000000	1.0000000
1.0000000	0.7823454	0.9999999	0.6475423	0.5423349	0.6698812	0.5042707	0.4744743	0.3829108	0.6502174
0.9942663	0.1283751	0.9363084	0.9999725	0.1761897	0.9919617	0.0490860	0.9935555	0.8582969	0.8308397
0.9482896	0.1646765	0.9471685	0.8341655	0.1955492	0.9621619	0.1062101	0.9848755	1.0000000	0.9897065
0.8607610	0.6778042	0.8506905	0.9997629	0.3243331	0.6383934	0.4422337	0.5773390	0.3703894	0.2854540
0.8507162	0.0985390	0.9337277	0.9999823	0.1613737	0.9975587	0.0290384	0.6541913	0.8702615	0.8045219
