"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0000000	0.1362830	0.9833851	0.9999638	0.1781027	0.9733384	0.0904652	0.9849983	1.0000000	1.0000000
50.0	1.0000000	0.1903503	0.9822352	0.9999685	0.3704552	0.7198514	0.0792398	0.9891515	1.0000000	0.7675478
100.0	1.0000000	0.3657716	0.9715325	0.9999601	0.3918544	0.4185018	0.0970131	0.9749156	1.0000000	0.5685698
150.0	1.0000000	0.4882009	0.9481384	0.9999314	0.3622040	0.2381875	0.1385966	0.9115289	1.0000000	0.4800063
200.0	1.0000000	0.5305122	0.9210971	0.9998967	0.3484635	0.1479679	0.1312796	0.8281453	1.0000000	0.4449338
250.0	1.0000000	0.5352028	0.8992967	0.9998679	0.3437761	0.1072912	0.0906621	0.7707147	1.0000000	0.4314890
300.0	1.0000000	0.5301638	0.8851104	0.9998484	0.3420857	0.0908211	0.0560130	0.7455686	1.0000000	0.4263860
350.0	1.0000000	0.5250272	0.8770376	0.9998366	0.3413581	0.0848121	0.0354645	0.7395363	1.0000000	0.4244553
400.0	1.0000000	0.5216172	0.8728341	0.9998300	0.3410040	0.0828181	0.0250046	0.7409023	1.0000000	0.4237255
450.0	1.0000000	0.5196465	0.8707764	0.9998265	0.3408272	0.0822210	0.0200885	0.7437959	1.0000000	0.4234497
500.0	1.0000000	0.5185772	0.8698133	0.9998248	0.3407413	0.0820685	0.0178862	0.7462091	1.0000000	0.4233455
550.0	1.0000000	0.4851017	0.8778585	0.9998246	0.1880030	0.3415973	0.0313455	0.7497892	1.0000000	0.6557584
600.0	1.0000000	0.3348791	0.9116245	0.9998370	0.0931001	0.6473307	0.1169154	0.7872755	1.0000000	0.8547215
650.0	1.0000000	0.1844529	0.9437586	0.9998732	0.0806609	0.8108469	0.1546501	0.8703281	1.0000000	0.9432794
700.0	1.0000000	0.1051330	0.9638018	0.9999178	0.1793790	0.8792076	0.1273008	0.9405330	1.0000000	0.9783498
750.0	1.0000000	0.1588445	0.9743173	0.9999508	0.3042643	0.9177632	0.0900129	0.9759469	1.0000000	0.9917938
800.0	1.0000000	0.2673815	0.9793569	0.9999589	0.2044468	0.9458430	0.0887381	0.9805285	1.0000000	0.9968964
850.0	1.0000000	0.2429656	0.9816455	0.9999509	0.1171104	0.9593474	0.1169962	0.9667726	1.0000000	0.9988271
900.0	1.0000000	0.1592260	0.9826481	0.9999498	0.1124776	0.9581623	0.1232568	0.9683543	1.0000000	0.9995568
950.0	1.0000000	0.1173022	0.9830773	0.9999596	0.2099611	0.9555647	0.1009050	0.9810318	1.0000000	0.9998326
1000.0	1.0000000	0.1813855	0.9832582	0.9999685	0.2646563	0.9607107	0.0799330	0.9889369	1.0000000	0.9999367

0.0	1.0000000	0.1362830	0.9833851	0.9999638	0.1781027	0.9733384	0.0904652	0.9849983	1.0000000	1.0000000
50.0	1.0000000	0.1620711	0.9842516	0.8587971	0.2784902	0.9734204	0.0784957	0.9894768	0.4239380	1.0000000
100.0	1.0000000	0.2962773	0.9852240	0.7023608	0.4375781	0.9759501	0.0855457	0.9845548	0.1241808	1.0000000
150.0	1.0000000	0.4831043	0.9857676	0.6161097	0.4809221	0.9732243	0.1425893	0.9384539	0.0365046	1.0000000
200.0	1.0000000	0.6110598	0.9860203	0.5765359	0.4688392	0.9469575	0.2407383	0.8310656	0.0120002	1.0000000
250.0	1.0000000	0.6696697	0.9861281	0.5598480	0.4578559	0.8852791	0.3359060	0.7140620	0.0051853	1.0000000
300.0	1.0000000	0.6893410	0.9861718	0.5531364	0.4530786	0.8081791	0.4027945	0.6324241	0.0032911	1.0000000
350.0	1.0000000	0.6936859	0.9861891	0.5505158	0.4514853	0.7407672	0.4406123	0.5893018	0.0027647	1.0000000
400.0	1.0000000	0.6936638	0.9861957	0.5495126	0.4510956	0.6925642	0.4581982	0.5708210	0.0026183	1.0000000
450.0	1.0000000	0.6930006	0.9861982	0.5491339	0.4510721	0.6623473	0.4644864	0.5643404	0.0025777	1.0000000
500.0	1.0000000	0.6925601	0.9861992	0.5489924	0.4511210	0.6453650	0.4655856	0.5625993	0.0025664	1.0000000
550.0	1.0000000	0.6908439	0.9853332	0.6900948	0.4106046	0.6368240	0.4648582	0.5623891	0.5786252	1.0000000
600.0	1.0000000	0.6321044	0.9843614	0.8464932	0.2297487	0.6309263	0.4611974	0.5688672	0.8783815	1.0000000
650.0	1.0000000	0.4464813	0.9838182	0.9327232	0.1173644	0.6144112	0.4332825	0.6272114	0.9660575	1.0000000
700.0	1.0000000	0.2523892	0.9835632	0.9722954	0.0813701	0.6030858	0.3538371	0.7595792	0.9905619	1.0000000
750.0	1.0000000	0.1320279	0.9834488	0.9889997	0.1195092	0.6390298	0.2435642	0.8843186	0.9973767	1.0000000
800.0	1.0000000	0.1173213	0.9834070	0.9957319	0.2720401	0.7252415	0.1489458	0.9537773	0.9992709	1.0000000
850.0	1.0000000	0.2302372	0.9833928	0.9983613	0.2590341	0.8227053	0.1025355	0.9788044	0.9997974	1.0000000
900.0	1.0000000	0.2666511	0.9833879	0.9993556	0.1449738	0.8937313	0.1120403	0.9716843	0.9999437	1.0000000
950.0	1.0000000	0.1937067	0.9833858	0.9997262	0.1045878	0.9282057	0.1269771	0.9655185	0.9999843	1.0000000
1000.0	1.0000000	0.1252332	0.9833845	0.9998727	0.1575980	0.9407610	0.1126583	0.9758004	0.9999956	1.0000000

0.0	1.0000000	0.1362830	0.9833851	0.9999638	0.1781027	0.9733384	0.0904652	0.9849983	1.0000000	1.0000000
50.0	1.0000000	0.3507670	0.9810479	0.9999638	0.1781621	0.9731823	0.0907458	0.9825785	0.9007542	0.6551866
100.0	1.0000000	0.5937620	0.9546330	0.9999344	0.1131512	0.9684454	0.1682268	0.9041287	0.8491111	0.3600280
150.0	1.0000000	0.7231589	0.8855309	0.9998832	0.0898275	0.9317493	0.2918183	0.7486930	0.8340060	0.2286552
200.0	1.0000000	0.7802432	0.8089003	0.9998215	0.0823682	0.8615630	0.3977884	0.6100988	0.8297843	0.1766296
250.0	1.0000000	0.8034018	0.7548311	0.9997539	0.0769338	0.7931346	0.4667775	0.5236776	0.8286102	0.1566859
300.0	1.0000000	0.8121916	0.7242249	0.9996892	0.0718139	0.7451397	0.5049744	0.4788466	0.8282838	0.1491163
