"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.7924166	0.1255121	0.5960903	0.5933481	0.0755371	0.6038136	0.1040030	0.7117105	0.9090199	0.6381920
50.0	0.4373669	0.0585837	0.6797446	0.8204010	0.0905043	0.5104333	0.0532241	0.6589253	0.8498863	0.5716987
100.0	0.1854703	0.0503815	0.6115076	0.6645043	0.1924231	0.6907267	0.0340410	0.6943193	0.6522628	0.6045983
150.0	0.0589421	0.0420400	0.5614464	0.6636437	0.2258920	0.7217075	0.0406772	0.6368644	0.6271541	0.6321889
200.0	0.0309418	0.0122969	0.7401354	0.5813402	0.3828464	0.6652222	0.0312362	0.6560559	0.6845648	0.7702777
250.0	0.0059429	0.0109046	0.5786703	0.7321265	0.4653611	0.5286297	0.0262131	0.7465268	0.6030804	0.8646271
300.0	0.0009304	0.0052204	0.6970947	0.7334075	0.3574561	0.7319882	0.0195373	0.6504712	0.6312732	0.6833268
350.0	0.0014218	0.0068963	0.6944961	0.6805556	0.3798603	0.5776742	0.0201960	0.7637794	0.6806531	0.5839882
400.0	0.0001507	0.0042720	0.7482640	0.5382855	0.3398353	0.6881057	0.0146485	0.6338156	0.7227979	0.5780131
450.0	0.0000000	0.0064389	0.7025590	0.7338907	0.4223053	0.7605042	0.0053934	0.5900924	0.7095142	0.6189717
500.0	0.0000000	0.0109243	0.7694902	0.7308447	0.3842814	0.9438257	0.0100866	0.5671188	0.6307618	0.6648805
550.0	0.0000000	0.0072236	0.5795220	0.8071079	0.4533880	0.6893288	0.0160998	0.6046324	0.7054810	0.6056319
600.0	0.0000000	0.0020786	0.5954177	0.7864756	0.3543551	0.6364694	0.0129285	0.7585795	0.6579300	0.7446846
650.0	0.0000000	0.0001947	0.6597847	0.6422862	0.4969720	0.6263864	0.0276814	0.7533489	0.7777576	0.6684954
700.0	0.0000000	0.0025770	0.8365455	0.8269351	0.3563467	0.6936055	0.0212887	0.4694536	0.7627773	0.6199441
750.0	0.0000000	0.0037253	0.6387128	0.7367621	0.3617953	0.6407730	0.0177816	0.7344178	0.6441761	0.7599618
800.0	0.0000000	0.0008411	0.6888950	0.7429670	0.4141257	0.6573588	0.0147887	0.7541227	0.6115295	0.7829340
850.0	0.0000000	0.0025973	0.5089865	0.6656417	0.3971139	0.5874580	0.0028049	0.6809100	0.7749561	0.6645158
900.0	0.0000000	0.0038488	0.5844819	0.7297833	0.3686428	0.6351637	0.0050444	0.8201766	0.7637035	0.6172686
950.0	0.0000000	0.0042460	0.7108439	0.7127680	0.4119390	0.6230198	0.0107134	0.7551220	0.6753750	0.6728071
1000.0	0.0000000	0.0011447	0.6609870	0.6279571	0.4448685	0.6015777	0.0080054	0.7123385	0.7240203	0.6958631

0.0	0.6976425	0.1537557	0.6765182	0.6693415	0.2544357	0.6230173	0.0476673	0.6245936	0.7452212	0.6909957
50.0	0.5979679	0.1224065	0.7413667	0.6925993	0.1688760	0.5780818	0.0673387	0.7528244	0.6652996	0.6930817
100.0	0.6742039	0.0611309	0.7109184	0.6644092	0.1795429	0.6059540	0.0967246	0.5969246	0.6273566	0.6568443
150.0	0.6614987	0.0287299	0.6112247	0.5671716	0.2269939	0.5583757	0.0666110	0.6129737	0.5797041	0.5929723
