"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.6903853	0.1431866	0.6637471	0.6194583	0.1145883	0.5445488	0.0648644	0.6926563	0.6140437	0.7175596
50.0	0.7757609	0.1708150	0.5920018	0.7334662	0.1839863	0.4146435	0.0662900	0.6400241	0.7104141	0.5785607
100.0	0.7190426	0.2150090	0.6225791	0.7805207	0.2011087	0.2683313	0.1657267	0.6839956	0.6973758	0.3505825
150.0	0.6350295	0.2890952	0.6635415	0.5787474	0.2094542	0.1131190	0.1302592	0.5987270	0.6220101	0.2856046
200.0	0.6850367	0.3214138	0.5380068	0.6449306	0.2172572	0.1123965	0.0794091	0.5005886	0.5980302	0.2685991
250.0	0.7034072	0.4008276	0.5427293	0.6077223	0.2258642	0.1173585	0.0892840	0.5545701	0.6909047	0.2510808
300.0	0.6742869	0.3358064	0.7367902	0.6544880	0.1860197	0.0737804	0.0361133	0.5128352	0.6889812	0.2296709
350.0	0.6642857	0.2575882	0.8621882	0.6650786	0.2716924	0.0999350	0.0101734	0.6622298	0.6500839	0.2703501
400.0	0.6371191	0.4616709	0.5816977	0.7294690	0.1900377	0.0282922	0.0136594	0.5024102	0.6474732	0.2617754
450.0	0.7218203	0.3670821	0.6308967	0.7759240	0.1951108	0.0582079	0.0123536	0.4906793	0.8478972	0.2402275
500.0	0.7248845	0.4488918	0.5416768	0.6655142	0.2152842	0.0653105	0.0178850	0.4822927	0.7388679	0.3161162
550.0	0.7699277	0.2988908	0.5265770	0.7607227	0.1207495	0.2449329	0.0397703	0.5086847	0.6460671	0.4840124
600.0	0.7291265	0.2706792	0.5491722	0.6419420	0.0653407	0.5324855	0.0755062	0.6258957	0.6256209	0.5944804
650.0	0.6424206	0.1151888	0.7991366	0.6700175	0.0317784	0.4727156	0.0758601	0.5749106	0.6990583	0.6897942
700.0	0.7848538	0.0969517	0.6276394	0.6315262	0.1384179	0.5972985	0.1187623	0.5822823	0.6980232	0.7284972
750.0	0.6973600	0.0722247	0.6218333	0.6501269	0.1809457	0.6617919	0.0486172	0.6969123	0.6637701	0.8316579
800.0	0.5197512	0.2717048	0.6340789	0.6155861	0.1571734	0.5483252	0.0616565	0.7792318	0.7127371	0.7261630
850.0	0.7710690	0.2072634	0.6496125	0.6331384	0.1364372	0.5797003	0.1075141	0.6326388	0.6631854	0.7986886
900.0	0.7731790	0.1050363	0.5963295	0.5678849	0.0599428	0.6124308	0.1094378	0.6519755	0.6862791	0.6740437
950.0	0.7663936	0.0769298	0.6050659	0.7352852	0.1006306	0.5794862	0.0432333	0.7184696	0.8038184	0.6884475
1000.0	0.5107581	0.0989727	0.7020392	0.7159343	0.1231218	0.7253290	0.0371353	0.6833291	0.6451636	0.6148161

0.0	0.7371445	0.1627000	0.5700539	0.6282447	0.0609247	0.6771608	0.0912087	0.6358537	0.8672714	0.7206872
50.0	0.6178743	0.1621537	0.6333065	0.5747332	0.1659945	0.6082332	0.0917549	0.6615270	0.3050494	0.6472473
100.0	0.6385910	0.1564993	0.5830139	0.4878872	0.3472838	0.6790528	0.0509937	0.6132239	0.0571899	0.6653116
150.0	0.7047553	0.2813770	0.7055511	0.4115436	0.3562068	0.6119255	0.1023655	0.7160887	0.0351388	0.7138339
200.0	0.7581514	0.3685350	0.5938750	0.3589485	0.3182441	0.6647590	0.1623198	0.6882105	0.0086584	0.7003847
250.0	0.6533368	0.5860152	0.5926090	0.3328971	0.3720667	0.5676830	0.2739305	0.4923090	0.0049698	0.6698603
300.0	0.6996235	0.5188345	0.5708634	0.3595670	0.2182607	0.5732744	0.2356347	0.4400699	0.0045226	0.6092940
350.0	0.7879681	0.5732953	0.4770608	0.3491397	0.2920006	0.5245417	0.3035442	0.2685548	0.0033496	0.5643687
400.0	0.6169449	0.4537161	0.5791832	0.3836047	0.2745815	0.4584660	0.3626403	0.3358813	0.0023470	0.7013197
450.0	0.6528402	0.5423806	0.5912241	0.3781870	0.2373447	0.3675147	0.4670390	0.4797820	0.0001348	0.6929127
500.0	0.5682757	0.4903409	0.6054658	0.3431899	0.2744317	0.3672076	0.4987986	0.3013635	0.0001677	0.6272063
550.0	0.6663397	0.4228347	0.6421676	0.3591976	0.2477261	0.3780388	0.3275087	0.3049588	0.5144073	0.6497841
600.0	0.6529949	0.3989714	0.7562072	0.5889641	0.1052401	0.3825674	0.2900652	0.4064687	0.5675927	0.6593773
650.0	0.6089114	0.2204350	0.6747434	0.6829720	0.0989206	0.4630292	0.3829346	0.3525031	0.7508663	0.7197441
700.0	0.6397392	0.1509687	0.7140141	0.6244840	0.1007900	0.4013308	0.3086816	0.4048413	0.6694498	0.5826534
750.0	0.7409533	0.0921938	0.7353202	0.7149934	0.1043840	0.4713125	0.1717205	0.5476032	0.5191098	0.6919031
800.0	0.6826457	0.0674285	0.6286566	0.6526965	0.1372248	0.5512599	0.0753088	0.6148454	0.7477605	0.5659148
850.0	0.5854659	0.1648451	0.6419433	0.6665926	0.1443773	0.5717732	0.0550611	0.5497455	0.7976980	0.5119341
900.0	0.7672943	0.1328635	0.6091789	0.6236165	0.0631653	0.5323577	0.1376559	0.6949235	0.7671311	0.6262190
950.0	0.7177417	0.1438942	0.7019802	0.5716182	0.0929470	0.6411495	0.0701970	0.5571953	0.7280571	0.6655728
1000.0	0.8711446	0.0714117	0.6103914	0.6500783	0.1378097	0.7387897	0.0710060	0.5963730	0.6372480	0.6194183

0.0	0.5904586	0.1256910	0.7045497	0.6740145	0.1606668	0.7233542	0.0712507	0.5607434	0.6168117	0.7347417
50.0	0.7138964	0.3052047	0.5746080	0.5694737	0.1255527	0.7315143	0.0663365	0.6259974	0.4961159	0.4234316
100.0	0.6243239	0.4546438	0.7356863	0.7854689	0.0734538	0.5908121	0.1531704	0.5978776	0.5731850	0.2679334
150.0	0.7339950	0.5358795	0.5916445	0.7264828	0.0490886	0.6812137	0.2568314	0.4549746	0.5697189	0.1777297
200.0	0.6891189	0.4430763	0.5894505	0.8463577	0.0393033	0.5634307	0.2461721	0.3928087	0.5455415	0.1203831
250.0	0.7328966	0.5296774	0.6221515	0.6773743	0.0442317	0.6540196	0.3796265	0.3945098	0.5468141	0.1233472
