"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0567472	0.1378177	1.0367079	0.9709136	0.0899965	0.9869194	0.1568676	0.8143598	0.9578172	0.9637632
50.0	0.5796765	0.0875326	0.9952864	0.9299643	0.2521311	0.9090506	0.1055647	1.0009768	0.9689793	1.0348283
100.0	0.5133154	0.1936272	0.9971987	0.9758122	0.4996089	1.0233046	0.0816862	0.9341581	1.0165083	0.9844804
150.0	0.4524528	0.3191317	1.0604445	1.0015714	0.4393110	0.9475446	0.1103912	0.9198544	0.9570072	0.9700866
200.0	0.4280643	0.3055330	0.9998559	1.0138590	0.1902569	0.9640038	0.1187872	0.9433972	0.9947849	0.9616328
250.0	0.4758626	0.1192848	0.9323938	0.9777271	0.1239592	0.9590288	0.1378987	0.8843112	0.9721577	0.9882482
300.0	0.4469227	0.0508738	0.9734986	1.0529012	0.1649944	0.9456617	0.0973291	0.9833594	1.1005441	1.0166960
350.0	0.4823866	0.0775561	0.9248930	1.0586317	0.3466943	0.9798018	0.0765872	0.9883214	1.0508392	1.0159016
400.0	0.4710120	0.2018291	0.9160537	1.0253703	0.4728657	0.9839272	0.0451899	1.0837388	1.0120740	0.9850775
450.0	0.4765546	0.2481650	0.8946699	1.0091293	0.2058535	0.9994888	0.0834132	0.9642116	0.9614043	0.8616895
500.0	0.4828594	0.1015868	0.9899407	0.9962679	0.1442947	0.9532664	0.1050506	0.9776644	1.0006467	0.9747822
550.0	0.4719058	0.0629344	1.0288673	1.0043800	0.1993129	1.0168039	0.1091978	1.0638562	0.9824343	0.9742621
600.0	0.4597600	0.0639077	0.9645628	1.0774656	0.3721429	0.9519532	0.0478043	0.9690079	1.0467113	0.9091376
650.0	0.4914408	0.1643602	0.9777276	0.9934440	0.3550237	1.0647612	0.0325902	1.0488146	0.9706157	1.0076566
700.0	0.4841714	0.2424725	1.0384175	0.9869661	0.2568960	0.9999759	0.0322298	0.9160588	0.9230888	0.9798933
750.0	0.5434033	0.1647798	1.0592427	0.9321645	0.1293891	1.0256807	0.0787539	0.8978651	0.9636224	1.0658911
800.0	0.4645596	0.0817201	1.0560638	1.0047658	0.1974614	1.0328587	0.0690928	0.9981801	1.0350792	1.1095297
850.0	0.4444807	0.0845012	0.9131657	0.9590749	0.3683332	1.0406292	0.0490183	0.9698353	1.1299952	1.0296730
900.0	0.4895081	0.1441111	1.0506902	1.0009901	0.3258493	1.0651166	0.0460786	1.0258781	0.9274113	1.0308264
950.0	0.4649363	0.2320627	0.9607273	0.9931096	0.2852480	1.0595680	0.0629014	1.0008817	1.0620122	1.0669636
1000.0	0.5049618	0.1665605	0.9585816	1.0716844	0.1151262	0.9566399	0.0645662	1.0264467	1.0473126	1.0286221

0.0	0.9889545	0.1393567	0.9271139	0.9577592	0.2703046	0.9725725	0.0701702	0.8374718	1.0311851	0.9960321
50.0	1.0071725	0.1695527	0.9591185	0.9533546	0.2978135	0.9502641	0.0592936	0.9562256	0.9548699	0.9473924
100.0	0.9524132	0.2264233	0.9822624	0.9543006	0.2350895	0.9467947	0.0575942	1.0037860	1.0414990	1.0957635
150.0	0.9243222	0.1744632	0.8873716	0.9784698	0.1708323	0.9863332	0.0492257	0.8769527	1.0001389	0.9884333
