"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.1142094	0.1183679	1.0073556	0.8800874	0.0981873	0.9607942	0.1173483	0.9954444	0.9743726	0.9743331
50.0	0.1486617	0.0946239	0.9622646	1.0108024	0.2069737	0.9426281	0.0913075	0.9929296	1.0058480	1.0094164
100.0	0.0210260	0.0576447	0.9351488	1.0267639	0.3854306	1.0098424	0.0510915	0.9224251	0.9712162	0.9692909
150.0	0.0013730	0.0350135	0.9627445	1.0121524	0.4995846	1.0295637	0.0258877	0.9360632	0.9598666	1.0812095
200.0	0.0020872	0.0120523	1.0038047	0.9977215	0.5151968	0.9986456	0.0085332	1.0085308	0.9704799	1.0483209
250.0	0.0015747	0.0090399	0.9639885	1.0660055	0.5940274	1.0054496	0.0097067	1.0832740	1.0827038	0.9395167
300.0	0.0009290	0.0120859	0.9299088	1.0347131	0.5895841	0.9723252	0.0119621	0.9892260	0.9901821	0.9595370
350.0	0.0000000	0.0096501	0.9321935	0.9798101	0.6065539	0.9553137	0.0150811	0.9778038	0.9849491	1.0751450
400.0	0.0000000	0.0106546	0.9919877	0.9050048	0.6246089	1.0303550	0.0140632	0.9635016	0.9337291	1.0492578
450.0	0.0000000	0.0072506	1.0373460	1.0216889	0.5537288	1.0760165	0.0179218	0.9260783	0.9880149	0.9793478
500.0	0.0000000	0.0052941	0.9217183	1.0263732	0.6061478	0.9948636	0.0185758	0.9108026	0.9678597	1.0510240
550.0	0.0000000	0.0005035	0.9215570	1.0190128	0.6310758	1.0299183	0.0155528	0.9220667	0.9880029	1.1105877
600.0	0.0000000	0.0011882	1.0615802	0.9755014	0.5308350	0.9493533	0.0141236	1.0542918	1.0024520	1.0122656
650.0	0.0000000	0.0003165	0.9795029	1.0711951	0.6156078	1.0176923	0.0171362	1.1022133	0.9630417	0.9724766
700.0	0.0000000	0.0003065	1.0011760	1.0337115	0.5876899	1.0225751	0.0120105	1.0086856	0.9795821	1.0252356
750.0	0.0000000	0.0016237	0.8713240	1.0575466	0.5488226	1.0153816	0.0126786	0.9818300	0.9833731	1.0283824
800.0	0.0000000	0.0027093	0.8635789	0.9817772	0.5822608	0.9197575	0.0237056	0.9789434	0.9574601	1.0020287
850.0	0.0000000	0.0030237	0.9427473	0.8996490	0.5775293	0.9857778	0.0186719	0.9955820	1.0721994	0.9648217
900.0	0.0000000	0.0078397	0.9392685	0.9501634	0.6134175	0.9787125	0.0147205	0.9982362	1.0769954	0.9257258
950.0	0.0000000	0.0024545	0.9948058	1.0090100	0.5541077	1.0093190	0.0126206	1.0168528	0.9924002	1.0307920
1000.0	0.0000000	0.0047801	0.9916641	0.9839630	0.5621668	0.9695567	0.0131548	1.0391183	0.9947900	1.0040292

0.0	1.0358996	0.3922467	1.0001929	0.9662920	0.2751835	1.0014581	0.0800871	0.9586060	0.9988223	1.0611620
50.0	1.0661301	0.1086322	0.9152016	0.9875415	0.1519665	0.8965626	0.1365573	0.9687214	0.9586158	0.9811811
100.0	0.9522152	0.0286770	0.9980354	1.0398542	0.2191035	0.9260798	0.1132008	1.0289599	0.9538335	0.9568222
150.0	0.9982825	0.0094433	1.0219391	1.0391700	0.4500732	0.9440042	0.0726988	0.9699309	1.0576900	0.9500497
200.0	1.0812097	0.0015992	0.9790626	1.0550573	0.5895770	1.0100568	0.0203969	0.9686295	0.9959681	0.9769884
250.0	1.0257892	0.0016999	0.9654448	1.0464790	0.5648655	1.0129077	0.0264482	1.0102417	0.9061259	1.0177367
300.0	0.9746996	0.0000000	0.9821302	1.0428158	0.6134941	1.0291514	0.0259144	0.9446922	1.0053763	0.9311524
350.0	1.0405088	0.0000000	0.9847245	1.0081568	0.5972387	0.9842276	0.0211115	0.9638961	0.9842147	1.0759530
400.0	1.0734993	0.0000000	1.0530578	0.9966194	0.6008002	1.1045557	0.0180826	1.0118328	0.9905277	0.9900906
450.0	1.0159304	0.0000000	0.9702933	1.0333527	0.5972310	1.0278966	0.0129684	1.0560527	1.0080473	1.1011254
500.0	0.9833938	0.0000000	0.9379232	1.0857659	0.5486791	1.0315651	0.0018383	1.0091932	1.0459017	0.9869885
550.0	0.9493860	0.0000000	1.0144048	1.0139308	0.6337752	0.9367128	0.0042986	0.9934685	1.0958644	0.8521752
600.0	0.9929601	0.0000000	0.9668080	1.0380285	0.6178368	0.9425870	0.0163984	0.9918011	1.0236745	0.9704033
650.0	0.9600348	0.0000000	0.9695647	1.0315645	0.6342051	0.9760447	0.0075014	0.9663873	1.0208078	0.9768573
700.0	0.9493156	0.0000000	0.9592004	1.0146515	0.5835225	0.9734933	0.0128362	0.9678109	1.0209893	0.9838488
750.0	1.0070630	0.0000000	0.9934406	1.0412029	0.6096381	1.0000253	0.0076326	0.9750631	0.9277365	1.0228208
800.0	0.9845699	0.0000000	0.9641183	0.9797407	0.6022936	0.9018009	0.0126940	1.0577020	1.0713506	0.9930594
850.0	1.0120221	0.0000000	0.9650429	1.0052448	0.5857830	0.9547796	0.0101933	1.0284297	0.9048037	1.0031909
900.0	1.0115257	0.0000000	0.9072837	0.9645443	0.5625331	1.0252681	0.0234312	0.9992482	1.0550408	0.9748226
950.0	1.0095090	0.0000000	0.9109525	0.9655107	0.5272961	0.9110975	0.0198579	1.0304225	0.9724146	1.0607448
1000.0	1.0181615	0.0000000	0.9838526	0.9953773	0.5625627	0.8643163	0.0219302	0.9704310	0.9782214	0.9888814

0.0	1.0664221	0.2555487	1.0119307	1.0575704	0.1090089	0.9179385	0.2621670	0.7615378	1.0305044	1.0044340
50.0	0.9205840	0.1109645	0.3728767	1.0104527	0.0714438	0.8572819	0.2312077	0.8236448	0.9253219	0.9170218
100.0	1.0861247	0.0475899	0.1555946	0.9675702	0.0680821	0.8612536	0.1631429	0.9433014	1.0191048	1.0334755
150.0	1.0242707	0.0174331	0.0514474	0.9382710	0.0525985	0.9253361	0.0781576	1.0371082	0.9797882	1.0135699
200.0	1.0489904	0.0101157	0.0141987	0.9771095	0.0411658	0.9129538	0.0433004	0.9711021	1.0167479	1.0656741
250.0	0.9879141	0.0097666	0.0035357	0.9575385	0.0459292	1.0624499	0.0249858	0.9856821	1.0438517	0.9920451
300.0	1.0162031	0.0101209	0.0001258	0.9583876	0.0697483	0.9443254	0.0092027	1.0193152	1.0376901	1.0462189
350.0	0.9988058	0.0322469	0.0000000	0.9754184	0.0416300	0.9656505	0.0110140	0.9688487	0.9350833	1.0505070
400.0	1.0034822	0.0158640	0.0000000	1.0604794	0.0287023	0.9469618	0.0172785	0.9669622	0.9435541	1.0161440
450.0	0.9572927	0.0070395	0.0000000	1.0362836	0.0444912	1.0303113	0.0064422	0.9557516	0.9439343	1.0145262
500.0	0.9102512	0.0078255	0.0000000	1.1106084	0.0345283	1.0089020	0.0075273	0.9947305	0.9845717	1.0653664
550.0	1.0286820	0.0007516	0.0000000	1.0627001	0.0414616	1.0306091	0.0148930	1.1127111	1.0418964	1.0557406
600.0	1.0170127	0.0008538	0.0000000	1.0751703	0.0568796	0.9543697	0.0196328	1.0612197	0.9652124	1.0015647
650.0	0.9717112	0.0062896	0.0000000	1.0949289	0.0518822	0.9845394	0.0179298	1.0858303	0.9127016	1.0482143
700.0	1.0146779	0.0102662	0.0000000	1.0530885	0.0417635	0.9200219	0.0193081	1.0690843	0.9761852	1.0721470
750.0	0.9903756	0.0113228	0.0000000	1.0343786	0.0604327	0.9134858	0.0087595	1.0119681	1.1002137	1.0964848
800.0	1.0693177	0.0165242	0.0000000	1.0416613	0.0625136	0.9305188	0.0164698	1.0125720	0.9573223	1.0873639
850.0	1.0504184	0.0280999	0.0000000	1.0047578	0.0559008	0.9588993	0.0118450	0.9538466	0.9885971	1.1698087
900.0	1.0311947	0.0216360	0.0000000	0.9733435	0.0482434	1.0882020	0.0146757	0.9962311	1.0359798	1.0176364
950.0	1.0359038	0.0128255	0.0000000	1.0094078	0.0670959	0.9842827	0.0210462	1.0590545	1.0282261	0.9490085
1000.0	0.9521038	0.0113359	0.0000000	1.0055586	0.0476268	1.0266222	0.0078011	1.0064578	0.9705992	1.0047758

0.0	0.9936024	0.0510790	1.0509476	1.0263484	0.1726116	0.7926040	0.1446194	0.9456455	1.0184865	0.8953033
50.0	0.9951522	0.1753442	1.0306501	0.3950651	0.4695524	0.8830751	0.0533055	1.0802532	1.0467377	1.0300171
100.0	1.0879111	0.6664145	1.0027664	0.1379316	0.5087097	0.8865538	0.0790064	0.9997709	1.0596499	1.0426915
150.0	1.0087829	0.7537494	0.9590704	0.0451248	0.5404999	0.9127195	0.2357991	0.8214973	0.9658773	0.9935672
200.0	1.0396524	0.8213401	0.9469562	0.0184104	0.5524318	0.9158314	0.3675295	0.6192666	0.9589486	0.9987573
250.0	0.9862252	0.7898106	0.7687081	0.0019000	0.5649818	0.8472595	0.4623060	0.5368687	1.0273203	1.0220449
300.0	0.9434613	0.7833625	0.7476858	0.0000000	0.5513698	0.7415791	0.5125733	0.4523181	1.0529103	1.0039085
350.0	0.9708914	0.8637374	0.6859510	0.0000000	0.4410272	0.7484690	0.5215618	0.4496108	1.0307846	0.9818583
400.0	1.0502166	0.8145722	0.6862613	0.0000000	0.5237959	0.7412900	0.5350840	0.4546362	1.0815616	1.0371061
450.0	1.0300512	0.7528278	0.6617539	0.0000000	0.4496846	0.7063140	0.5099269	0.4192713	1.0005845	0.9889879
500.0	1.0012854	0.6855220	0.6275726	0.0000000	0.4043480	0.6656418	0.5070150	0.3927941	0.9336231	1.0593890
550.0	0.9956114	0.7758451	0.7105570	0.0000000	0.3476002	0.5760974	0.5159907	0.5372924	0.9455093	0.9273404
600.0	0.9989182	0.6168844	0.7300700	0.0000000	0.3953938	0.5938656	0.4831897	0.5466007	0.9193292	1.0529714
650.0	1.0478045	0.6804664	0.7419262	0.0000000	0.4060352	0.5181311	0.4821086	0.6132171	1.1510266	0.9565780
700.0	1.0660005	0.7247160	0.6550554	0.0000000	0.4671169	0.5446331	0.4952082	0.6254419	1.0197935	1.0097713
750.0	1.0326120	0.6821125	0.6904756	0.0000000	0.4028221	0.6007189	0.4199174	0.5620534	0.8717246	1.0704028
800.0	1.0763509	0.6758645	0.7055142	0.0000000	0.3562014	0.6945278	0.4390460	0.5231133	0.9979397	0.9072519
850.0	1.0513152	0.6102196	0.6675020	0.0000000	0.3617573	0.7069237	0.4671328	0.5744222	0.9490239	1.0534550
900.0	1.1193521	0.6174596	0.6206145	0.0000000	0.4409583	0.6347978	0.4545932	0.6518469	1.0305916	0.9739016
950.0	0.9962366	0.7877153	0.6912706	0.0000000	0.3713292	0.5769251	0.4651159	0.5850014	0.9915238	1.0012181
1000.0	1.0128959	0.6982661	0.7473907	0.0000000	0.4137854	0.6452410	0.5021441	0.5657356	1.0314339	1.0232938

0.0	1.0160821	0.3627964	0.9710254	0.9334799	0.2292994	0.9435357	0.0619087	0.8950746	1.0513215	1.0190160
