"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
1.0333216	0.7954673	1.0212032	0.9895866	0.5520275	0.6568378	0.4914780	0.5115498	0.9802421	1.0110340
0.8924899	0.5339412	0.9598171	0.8370025	0.3786320	0.6591091	0.3498855	0.6778055	1.0157222	0.8431594
0.6064430	0.5325763	0.9378820	0.7952780	0.4285745	0.6339547	0.3723213	0.7762896	0.7895104	0.6186991
0.9832758	0.8731364	0.9336197	1.0753319	0.4058214	0.7827962	0.6071593	0.3341195	0.5664385	0.9507003
0.8271259	0.7882212	1.0096971	0.4424729	0.7056965	0.6728514	0.4760844	0.3576368	1.0100466	1.0884735
1.0521413	0.7537457	1.0034530	0.6533848	0.5655440	0.6785962	0.4887749	0.4614284	0.3541843	0.7296626
0.9926233	0.1804609	0.9903694	0.9739937	0.3273155	0.9761187	0.0263850	0.9665075	0.8895482	0.8587517
1.0175796	0.1528542	0.9544161	0.8407349	0.0873698	0.9595907	0.1810757	0.9516090	1.1027650	1.0643246
0.8278907	0.7272635	0.8405623	0.9800971	0.3947583	0.7324837	0.4007417	0.5902719	0.3570288	0.3041081
0.8968552	0.1434838	0.9555438	0.9941423	0.1543928	1.0965753	0.0333685	0.6266511	0.8677867	0.9002083
