"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	0.0054499	0.9620916	1.0369895	0.5544914	1.1410360	0.0148028	1.0204027	0.9785368	1.0005205
0.9441021	0.0000000	0.9121069	1.0376059	0.6424098	0.9196316	0.0108476	1.1364271	1.0468730	1.0868617
1.0202763	0.0147962	0.0000000	0.9972605	0.0626489	0.9581048	0.0065726	1.0688370	0.8754981	1.1265547
1.1394778	0.7736721	0.6634962	0.0000000	0.5396248	0.6446413	0.3893900	0.5712526	0.9482910	1.0652671
0.9804812	0.0083291	0.6095484	0.9715182	0.0000000	1.0576131	0.0240409	1.0149155	0.9510848	0.9672567
1.0264684	0.1968738	1.0564820	0.9236593	0.2968730	0.0000000	0.0152876	1.1453915	1.0867685	1.0545764
1.1180689	0.1472429	0.9909035	1.0420393	0.1284551	0.9670836	0.0000000	0.9857871	0.9577356	0.9926377
0.9973958	0.3411923	0.9560072	0.9935282	0.1237353	1.0260155	0.1259780	0.0000000	0.9629375	1.1265679
0.9520958	0.6108313	1.0659962	1.0153633	0.4319893	0.6057112	0.4353436	0.6870260	0.0000000	1.0049024
1.0296979	0.1607965	0.7339998	0.9289913	0.1346816	0.9828157	0.0817258	0.9521516	1.1418159	0.0000000
