"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.1394900	0.1061032	0.7655977	0.0682504	0.2259636	0.3964550	0.5574484	1.0000000	1.0000000
100.0	1.0000000	0.0356165	0.0456590	0.9048106	0.1355264	0.1287257	0.2277032	0.7398191	1.0000000	1.0000000
150.0	1.0000000	0.0090941	0.0196483	0.9728758	0.1798193	0.0872501	0.1117537	0.8947771	1.0000000	1.0000000
200.0	1.0000000	0.0023220	0.0084552	0.9931856	0.1953403	0.0707509	0.0574809	0.9666418	1.0000000	1.0000000
250.0	1.0000000	0.0005929	0.0036385	0.9983542	0.2003342	0.0641940	0.0336480	0.9908343	1.0000000	1.0000000
300.0	1.0000000	0.0001514	0.0015657	0.9996070	0.2019315	0.0615884	0.0232629	0.9976922	1.0000000	1.0000000
350.0	1.0000000	0.0000387	0.0006738	0.9999064	0.2024422	0.0605529	0.0187412	0.9994511	1.0000000	1.0000000
400.0	1.0000000	0.0000099	0.0002899	0.9999777	0.2026056	0.0601414	0.0167727	0.9998745	1.0000000	1.0000000
450.0	1.0000000	0.0000025	0.0001248	0.9999947	0.2026578	0.0599778	0.0159157	0.9999721	1.0000000	1.0000000
500.0	1.0000000	0.0000006	0.0000537	0.9999987	0.2026745	0.0599128	0.0155426	0.9999939	1.0000000	1.0000000
550.0	1.0000000	0.0000002	0.0000231	0.9999997	0.2026798	0.0598870	0.0153802	0.9999987	1.0000000	1.0000000
600.0	1.0000000	0.0000000	0.0000099	0.9999999	0.2026815	0.0598768	0.0153095	0.9999997	1.0000000	1.0000000
650.0	1.0000000	0.0000000	0.0000043	1.0000000	0.2026821	0.0598727	0.0152787	0.9999999	1.0000000	1.0000000
700.0	1.0000000	0.0000000	0.0000018	1.0000000	0.2026823	0.0598711	0.0152653	1.0000000	1.0000000	1.0000000
750.0	1.0000000	0.0000000	0.0000008	1.0000000	0.2026823	0.0598704	0.0152595	1.0000000	1.0000000	1.0000000
800.0	1.0000000	0.0000000	0.0000003	1.0000000	0.2026823	0.0598702	0.0152569	1.0000000	1.0000000	1.0000000
850.0	1.0000000	0.0000000	0.0000001	1.0000000	0.2026823	0.0598701	0.0152558	1.0000000	1.0000000	1.0000000
900.0	1.0000000	0.0000000	0.0000001	1.0000000	0.2026823	0.0598700	0.0152554	1.0000000	1.0000000	1.0000000
950.0	1.0000000	0.0000000	0.0000000	1.0000000	0.2026823	0.0598700	0.0152552	1.0000000	1.0000000	1.0000000
1000.0	1.0000000	0.0000000	0.0000000	1.0000000	0.2026823	0.0598700	0.0152551	1.0000000	1.0000000	1.0000000

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.5286410	0.2631003	0.6793921	0.0192150	0.3167699	0.4616228	0.4813725	1.0000000	0.2134877
100.0	1.0000000	0.2282154	0.1801531	0.7179668	0.0061443	0.2765798	0.4270880	0.5131173	1.0000000	0.0455770
150.0	1.0000000	0.0802998	0.1143334	0.8580554	0.0019647	0.1580229	0.2833674	0.6647991	1.0000000	0.0097301
200.0	1.0000000	0.0390125	0.0816839	0.9526526	0.0006283	0.0990662	0.1458138	0.8329033	1.0000000	0.0020773
250.0	1.0000000	0.0283805	0.0667189	0.9865523	0.0002009	0.0754487	0.0736801	0.9299353	1.0000000	0.0004435
300.0	1.0000000	0.0256640	0.0600286	0.9962777	0.0000642	0.0660610	0.0409672	0.9698219	1.0000000	0.0000947
350.0	1.0000000	0.0249704	0.0570792	0.9988842	0.0000205	0.0623303	0.0265482	0.9839721	1.0000000	0.0000202
400.0	1.0000000	0.0247933	0.0557907	0.9995743	0.0000066	0.0608477	0.0202346	0.9887446	1.0000000	0.0000043
450.0	1.0000000	0.0247481	0.0552311	0.9997589	0.0000021	0.0602585	0.0174761	0.9903354	1.0000000	0.0000009
500.0	1.0000000	0.0247365	0.0549890	0.9998093	0.0000007	0.0600244	0.0162720	0.9908650	1.0000000	0.0000002
550.0	1.0000000	0.0247336	0.0548844	0.9998234	0.0000002	0.0599314	0.0157469	0.9910411	1.0000000	0.0000000
600.0	1.0000000	0.0247328	0.0548394	0.9998275	0.0000001	0.0598944	0.0155179	0.9910995	1.0000000	0.0000000
650.0	1.0000000	0.0247326	0.0548199	0.9998287	0.0000000	0.0598797	0.0154181	0.9911188	1.0000000	0.0000000
700.0	1.0000000	0.0247326	0.0548116	0.9998291	0.0000000	0.0598738	0.0153746	0.9911251	1.0000000	0.0000000
750.0	1.0000000	0.0247326	0.0548080	0.9998292	0.0000000	0.0598715	0.0153557	0.9911272	1.0000000	0.0000000
800.0	1.0000000	0.0247326	0.0548064	0.9998292	0.0000000	0.0598706	0.0153475	0.9911278	1.0000000	0.0000000
850.0	1.0000000	0.0247326	0.0548058	0.9998292	0.0000000	0.0598702	0.0153439	0.9911281	1.0000000	0.0000000
900.0	1.0000000	0.0247326	0.0548055	0.9998292	0.0000000	0.0598701	0.0153423	0.9911281	1.0000000	0.0000000
950.0	1.0000000	0.0247326	0.0548053	0.9998292	0.0000000	0.0598700	0.0153416	0.9911282	1.0000000	0.0000000
1000.0	1.0000000	0.0247326	0.0548053	0.9998292	0.0000000	0.0598700	0.0153413	0.9911282	1.0000000	0.0000000

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.6567544	0.2310180	0.1642568	0.0635705	0.3250791	0.4658083	0.4757669	1.0000000	0.2134877
100.0	1.0000000	0.7959549	0.1643848	0.0390644	0.1231963	0.4030146	0.4970415	0.4287527	1.0000000	0.0455770
150.0	1.0000000	0.9311424	0.1579430	0.0092905	0.1743150	0.4773536	0.5452433	0.3722085	1.0000000	0.0097301
200.0	1.0000000	0.9792246	0.1830412	0.0022095	0.1943572	0.5103802	0.5894922	0.3276420	1.0000000	0.0020773
250.0	1.0000000	0.9932573	0.2112389	0.0005255	0.2015906	0.5131220	0.6209224	0.3033291	1.0000000	0.0004435
300.0	1.0000000	0.9972735	0.2322838	0.0001250	0.2055936	0.5045700	0.6401335	0.2922275	1.0000000	0.0000947
350.0	1.0000000	0.9984660	0.2460985	0.0000297	0.2094939	0.4947829	0.6500467	0.2876043	1.0000000	0.0000202
400.0	1.0000000	0.9988659	0.2552660	0.0000071	0.2136772	0.4873573	0.6540804	0.2857795	1.0000000	0.0000043
450.0	1.0000000	0.9990395	0.2619450	0.0000017	0.2177403	0.4827873	0.6550488	0.2850794	1.0000000	0.0000009
500.0	1.0000000	0.9991422	0.2673056	0.0000004	0.2214133	0.4804310	0.6547525	0.2848107	1.0000000	0.0000002
550.0	1.0000000	0.9992161	0.2718557	0.0000001	0.2246757	0.4794577	0.6541300	0.2847026	1.0000000	0.0000000
600.0	1.0000000	0.9992740	0.2758149	0.0000000	0.2276067	0.4792091	0.6535732	0.2846541	1.0000000	0.0000000
650.0	1.0000000	0.9993211	0.2793085	0.0000000	0.2302846	0.4792682	0.6531904	0.2846283	1.0000000	0.0000000
700.0	1.0000000	0.9993605	0.2824302	0.0000000	0.2327634	0.4794132	0.6529694	0.2846118	1.0000000	0.0000000
750.0	1.0000000	0.9993940	0.2852545	0.0000000	0.2350794	0.4795473	0.6528624	0.2845997	1.0000000	0.0000000
800.0	1.0000000	0.9994232	0.2878397	0.0000000	0.2372603	0.4796414	0.6528229	0.2845901	1.0000000	0.0000000
850.0	1.0000000	0.9994489	0.2902307	0.0000000	0.2393286	0.4796968	0.6528172	0.2845820	1.0000000	0.0000000
900.0	1.0000000	0.9994718	0.2924625	0.0000000	0.2413032	0.4797242	0.6528251	0.2845751	1.0000000	0.0000000
950.0	1.0000000	0.9994925	0.2945630	0.0000000	0.2432006	0.4797347	0.6528361	0.2845689	1.0000000	0.0000000
1000.0	1.0000000	0.9995113	0.2965548	0.0000000	0.2450347	0.4797367	0.6528458	0.2845634	1.0000000	0.0000000

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.5286410	0.2443413	0.1642568	0.0192150	0.3167699	0.4616228	0.4813725	1.0000000	1.0000000
100.0	1.0000000	0.2282154	0.1583603	0.0390644	0.0061443	0.2765798	0.4270880	0.5131173	1.0000000	1.0000000
150.0	1.0000000	0.0802998	0.1034484	0.0092905	0.0019647	0.1580229	0.2833674	0.6647991	1.0000000	1.0000000
200.0	1.0000000	0.0390125	0.0769063	0.0022095	0.0006283	0.0990662	0.1458138	0.8329033	1.0000000	1.0000000
250.0	1.0000000	0.0283805	0.0646588	0.0005255	0.0002009	0.0754487	0.0736801	0.9299353	1.0000000	1.0000000
300.0	1.0000000	0.0256640	0.0591419	0.0001250	0.0000642	0.0660610	0.0409672	0.9698219	1.0000000	1.0000000
350.0	1.0000000	0.0249704	0.0566976	0.0000297	0.0000205	0.0623303	0.0265482	0.9839721	1.0000000	1.0000000
400.0	1.0000000	0.0247933	0.0556265	0.0000071	0.0000066	0.0608477	0.0202346	0.9887446	1.0000000	1.0000000
450.0	1.0000000	0.0247481	0.0551605	0.0000017	0.0000021	0.0602585	0.0174761	0.9903354	1.0000000	1.0000000
500.0	1.0000000	0.0247365	0.0549586	0.0000004	0.0000007	0.0600244	0.0162720	0.9908650	1.0000000	1.0000000
550.0	1.0000000	0.0247336	0.0548713	0.0000001	0.0000002	0.0599314	0.0157469	0.9910411	1.0000000	1.0000000
600.0	1.0000000	0.0247328	0.0548337	0.0000000	0.0000001	0.0598944	0.0155179	0.9910995	1.0000000	1.0000000
650.0	1.0000000	0.0247326	0.0548175	0.0000000	0.0000000	0.0598797	0.0154181	0.9911188	1.0000000	1.0000000
700.0	1.0000000	0.0247326	0.0548105	0.0000000	0.0000000	0.0598738	0.0153746	0.9911251	1.0000000	1.0000000
750.0	1.0000000	0.0247326	0.0548075	0.0000000	0.0000000	0.0598715	0.0153557	0.9911272	1.0000000	1.0000000
800.0	1.0000000	0.0247326	0.0548062	0.0000000	0.0000000	0.0598706	0.0153475	0.9911278	1.0000000	1.0000000
850.0	1.0000000	0.0247326	0.0548057	0.0000000	0.0000000	0.0598702	0.0153439	0.9911281	1.0000000	1.0000000
900.0	1.0000000	0.0247326	0.0548054	0.0000000	0.0000000	0.0598701	0.0153423	0.9911281	1.0000000	1.0000000
950.0	1.0000000	0.0247326	0.0548053	0.0000000	0.0000000	0.0598700	0.0153416	0.9911282	1.0000000	1.0000000
1000.0	1.0000000	0.0247326	0.0548053	0.0000000	0.0000000	0.0598700	0.0153413	0.9911282	1.0000000	1.0000000

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.1394900	0.3071382	0.7660595	0.1010164	0.2259636	0.3964550	0.5574484	0.3235822	1.0000000
100.0	1.0000000	0.0356165	0.3957605	0.9050582	0.3182322	0.1287257	0.2277032	0.7398191	0.1047055	1.0000000
150.0	1.0000000	0.0090941	0.5229264	0.9729396	0.5351930	0.0872501	0.1117537	0.8947771	0.0338808	1.0000000
200.0	1.0000000	0.0023220	0.6389450	0.9932008	0.7423287	0.0707509	0.0574809	0.9666418	0.0109632	1.0000000
250.0	1.0000000	0.0005929	0.7225301	0.9983578	0.8789673	0.0641940	0.0336480	0.9908343	0.0035475	1.0000000
300.0	1.0000000	0.0001514	0.7751248	0.9996079	0.9443234	0.0615884	0.0232629	0.9976922	0.0011479	1.0000000
