"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	0.6683985	0.5747230	0.3023964	0.6765516	0.0449401	0.3201780	0.4633464	0.4790916	1.0000000	1.0000000
100.0	0.5567161	0.3472705	0.3351832	0.6853240	0.0484300	0.3182657	0.4525444	0.4847899	1.0000000	1.0000000
150.0	0.5191018	0.2641233	0.3639084	0.7876056	0.0977715	0.2078632	0.3631882	0.5753902	1.0000000	1.0000000
200.0	0.5064334	0.5437971	0.4189649	0.8412720	0.1410065	0.1387876	0.2867097	0.6229768	1.0000000	1.0000000
250.0	0.5021668	0.7784847	0.4702101	0.7408521	0.1330338	0.2418152	0.3588102	0.5184180	1.0000000	1.0000000
300.0	0.5007298	0.8649603	0.4803877	0.6205160	0.1457267	0.4349356	0.4667060	0.4114013	1.0000000	1.0000000
350.0	0.5002458	0.9095865	0.4543362	0.5528436	0.1580879	0.5184151	0.5407759	0.3527978	1.0000000	1.0000000
400.0	0.5000828	0.9351313	0.4138301	0.5119750	0.1549261	0.5320182	0.5887640	0.3237925	1.0000000	1.0000000
450.0	0.5000279	0.9409630	0.3713680	0.4807437	0.1355128	0.5215729	0.6199913	0.3095006	1.0000000	1.0000000
500.0	0.5000094	0.9198897	0.3282801	0.4570623	0.1059535	0.5066863	0.6374073	0.3039790	1.0000000	1.0000000
550.0	0.5000032	0.8371466	0.2842645	0.4452565	0.0754459	0.4936812	0.6430093	0.3072481	1.0000000	1.0000000
600.0	0.5000011	0.6255852	0.2434764	0.4623519	0.0545797	0.4807522	0.6344516	0.3291495	1.0000000	1.0000000
650.0	0.5000004	0.3686628	0.2189356	0.5517962	0.0573876	0.4378849	0.5903512	0.3964631	1.0000000	1.0000000
700.0	0.5000001	0.2884643	0.2385640	0.7126697	0.0886128	0.2920690	0.4714476	0.5181689	1.0000000	1.0000000
750.0	0.5000000	0.4475704	0.3156045	0.8108074	0.1022434	0.1783240	0.3510531	0.5985566	1.0000000	1.0000000
800.0	0.5000000	0.5720439	0.3953906	0.7783283	0.0798909	0.1827729	0.3471978	0.5579012	1.0000000	1.0000000
850.0	0.5000000	0.5482098	0.4334363	0.7165310	0.0898182	0.2672238	0.3962887	0.5004295	1.0000000	1.0000000
900.0	0.5000000	0.6081166	0.4417294	0.6912991	0.1210553	0.3229606	0.4298997	0.4766635	1.0000000	1.0000000
950.0	0.5000000	0.7562304	0.4416946	0.6500311	0.1390990	0.3947193	0.4705769	0.4405145	1.0000000	1.0000000
1000.0	0.5000000	0.8558846	0.4316010	0.5861870	0.1425341	0.4727538	0.5235972	0.3887015	1.0000000	1.0000000

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.3939485	0.3043374	0.7188029	0.0543601	0.2698302	0.4349706	0.5127198	1.0000000	1.0000000
100.0	1.0000000	0.3667052	0.3555062	0.7735906	0.0718802	0.2023753	0.3742055	0.5577156	1.0000000	1.0000000
150.0	1.0000000	0.4150858	0.4052436	0.8074532	0.1012606	0.1564799	0.3259216	0.5855758	1.0000000	1.0000000
200.0	1.0000000	0.4629775	0.4495743	0.8005024	0.1296596	0.1531871	0.3202510	0.5738852	1.0000000	1.0000000
250.0	1.0000000	0.4856975	0.4820335	0.7766781	0.1587989	0.1814214	0.3420511	0.5473805	1.0000000	1.0000000
300.0	1.0000000	0.4945270	0.5034425	0.7575011	0.1855678	0.2169111	0.3675990	0.5263967	1.0000000	1.0000000
350.0	1.0000000	0.4977630	0.5179670	0.7472942	0.2064364	0.2441243	0.3868917	0.5142348	1.0000000	1.0000000
400.0	1.0000000	0.4989506	0.5288665	0.7432878	0.2213330	0.2605583	0.3990744	0.5081726	1.0000000	1.0000000
450.0	1.0000000	0.4994078	0.5377377	0.7424630	0.2316461	0.2691903	0.4060925	0.5053950	1.0000000	1.0000000
500.0	1.0000000	0.4995995	0.5451561	0.7430120	0.2387907	0.2733308	0.4099357	0.5041804	1.0000000	1.0000000
550.0	1.0000000	0.4996890	0.5513139	0.7440446	0.2438120	0.2751934	0.4119799	0.5036592	1.0000000	1.0000000
600.0	1.0000000	0.4997357	0.5563327	0.7451601	0.2474003	0.2759927	0.4130487	0.5034341	1.0000000	1.0000000
650.0	1.0000000	0.4997626	0.5603503	0.7461910	0.2499991	0.2763247	0.4136023	0.5033336	1.0000000	1.0000000
700.0	1.0000000	0.4997794	0.5635201	0.7470780	0.2518988	0.2764610	0.4138880	0.5032860	1.0000000	1.0000000
750.0	1.0000000	0.4997903	0.5659937	0.7478108	0.2532961	0.2765184	0.4140359	0.5032615	1.0000000	1.0000000
800.0	1.0000000	0.4997978	0.5679079	0.7484010	0.2543286	0.2765448	0.4141134	0.5032478	1.0000000	1.0000000
850.0	1.0000000	0.4998030	0.5693798	0.7488680	0.2550943	0.2765589	0.4141547	0.5032395	1.0000000	1.0000000
900.0	1.0000000	0.4998068	0.5705062	0.7492331	0.2556637	0.2765678	0.4141774	0.5032341	1.0000000	1.0000000
950.0	1.0000000	0.4998095	0.5713649	0.7495159	0.2560882	0.2765741	0.4141903	0.5032305	1.0000000	1.0000000
1000.0	1.0000000	0.4998114	0.5720177	0.7497335	0.2564053	0.2765789	0.4141980	0.5032279	1.0000000	1.0000000

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.6331847	0.2041675	0.6719686	0.0419665	0.3242749	0.4654082	0.4763274	1.0000000	1.0000000
100.0	1.0000000	0.4961980	0.1878831	0.6387471	0.0284060	0.3703861	0.4797366	0.4527585	1.0000000	1.0000000
150.0	1.0000000	0.2960937	0.1780068	0.6980149	0.0372669	0.3081861	0.4427715	0.4997072	1.0000000	1.0000000
200.0	1.0000000	0.3546028	0.1849486	0.8075231	0.0703392	0.1873816	0.3388529	0.5971251	1.0000000	1.0000000
250.0	1.0000000	0.6368389	0.2065878	0.8009504	0.0565439	0.1615657	0.3162554	0.5821185	1.0000000	1.0000000
300.0	1.0000000	0.6373688	0.2173126	0.6829588	0.0276750	0.3024892	0.4001339	0.4834985	1.0000000	1.0000000
350.0	1.0000000	0.3516650	0.2068597	0.6535894	0.0215888	0.3629374	0.4434213	0.4635580	1.0000000	1.0000000
400.0	1.0000000	0.1985087	0.1956905	0.7728953	0.0556426	0.2345536	0.3647322	0.5672475	1.0000000	1.0000000
450.0	1.0000000	0.5164639	0.2079851	0.8620878	0.0909554	0.1390560	0.2596651	0.6549306	1.0000000	1.0000000
500.0	1.0000000	0.7740539	0.2269182	0.7513696	0.0459333	0.2193372	0.3310390	0.5399020	1.0000000	1.0000000
550.0	1.0000000	0.6443885	0.2228613	0.6065513	0.0213723	0.4158824	0.4455693	0.4298631	1.0000000	1.0000000
600.0	1.0000000	0.2979761	0.1969357	0.6191659	0.0219044	0.4247696	0.4753184	0.4416411	1.0000000	1.0000000
650.0	1.0000000	0.2011105	0.1824206	0.7792676	0.0705150	0.2484036	0.3668748	0.5789060	1.0000000	1.0000000
700.0	1.0000000	0.6078598	0.2010562	0.8514643	0.0903903	0.1493369	0.2719722	0.6417376	1.0000000	1.0000000
750.0	1.0000000	0.8066187	0.2216452	0.7089644	0.0404351	0.2772401	0.3663678	0.5062987	1.0000000	1.0000000
800.0	1.0000000	0.6156890	0.2138161	0.5780848	0.0190600	0.4501903	0.4708000	0.4111611	1.0000000	1.0000000
850.0	1.0000000	0.2666464	0.1858145	0.6194163	0.0241533	0.4249608	0.4835360	0.4434558	1.0000000	1.0000000
900.0	1.0000000	0.2257807	0.1755478	0.7919673	0.0798668	0.2387209	0.3584107	0.5932221	1.0000000	1.0000000
950.0	1.0000000	0.6570143	0.1992720	0.8407569	0.0854316	0.1526579	0.2811477	0.6285386	1.0000000	1.0000000
1000.0	1.0000000	0.8123589	0.2193514	0.6839242	0.0364875	0.3094713	0.3861344	0.4871596	1.0000000	1.0000000

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.6451870	0.2741709	0.4183197	0.0516332	0.3246929	0.4656162	0.4760365	1.0000000	1.0000000
100.0	1.0000000	0.6615082	0.2314020	0.3312180	0.0619475	0.3888503	0.4892405	0.4398832	1.0000000	1.0000000
150.0	1.0000000	0.7524422	0.1831795	0.2956753	0.0817811	0.4384797	0.5159438	0.4132264	1.0000000	1.0000000
200.0	1.0000000	0.8641852	0.1576604	0.2638659	0.0924033	0.4807444	0.5505114	0.3779604	1.0000000	1.0000000
250.0	1.0000000	0.9254877	0.1478924	0.2340717	0.0976880	0.5043856	0.5864900	0.3423785	1.0000000	1.0000000
300.0	1.0000000	0.9540142	0.1458276	0.2138052	0.1064978	0.5084002	0.6148699	0.3179907	1.0000000	1.0000000
350.0	1.0000000	0.9702269	0.1491436	0.2022481	0.1183603	0.5027462	0.6336583	0.3040140	1.0000000	1.0000000
400.0	1.0000000	0.9808355	0.1566955	0.1959584	0.1293885	0.4950035	0.6444847	0.2962303	1.0000000	1.0000000
450.0	1.0000000	0.9873969	0.1664078	0.1925278	0.1376390	0.4885529	0.6499201	0.2917360	1.0000000	1.0000000
500.0	1.0000000	0.9911450	0.1760924	0.1907135	0.1431849	0.4842046	0.6522174	0.2890823	1.0000000	1.0000000
550.0	1.0000000	0.9932106	0.1843784	0.1898520	0.1467561	0.4816731	0.6529295	0.2875281	1.0000000	1.0000000
600.0	1.0000000	0.9943503	0.1908044	0.1895331	0.1490235	0.4803887	0.6529676	0.2866352	1.0000000	1.0000000
650.0	1.0000000	0.9949923	0.1954757	0.1894915	0.1504484	0.4798400	0.6527957	0.2861294	1.0000000	1.0000000
700.0	1.0000000	0.9953629	0.1987236	0.1895668	0.1513263	0.4796689	0.6526135	0.2858440	1.0000000	1.0000000
750.0	1.0000000	0.9955806	0.2009070	0.1896734	0.1518499	0.4796612	0.6524841	0.2856818	1.0000000	1.0000000
800.0	1.0000000	0.9957092	0.2023326	0.1897724	0.1521485	0.4797053	0.6524113	0.2855887	1.0000000	1.0000000
850.0	1.0000000	0.9957846	0.2032371	0.1898508	0.1523093	0.4797520	0.6523794	0.2855347	1.0000000	1.0000000
900.0	1.0000000	0.9958279	0.2037938	0.1899074	0.1523897	0.4797856	0.6523711	0.2855033	1.0000000	1.0000000
950.0	1.0000000	0.9958519	0.2041250	0.1899460	0.1524256	0.4798049	0.6523736	0.2854850	1.0000000	1.0000000
1000.0	1.0000000	0.9958645	0.2043148	0.1899710	0.1524384	0.4798137	0.6523795	0.2854746	1.0000000	1.0000000

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.5855679	0.3011862	0.6759949	0.0320241	0.3207966	0.4636569	0.4786724	1.0000000	1.0000000
100.0	1.0000000	0.3712548	0.3303889	0.6771801	0.0262550	0.3285351	0.4580886	0.4784290	1.0000000	1.0000000
150.0	1.0000000	0.2323989	0.3513550	0.7764966	0.0464316	0.2206326	0.3749995	0.5650669	1.0000000	1.0000000
200.0	1.0000000	0.4222754	0.3953439	0.8615558	0.0761137	0.1344069	0.2683161	0.6513472	1.0000000	1.0000000
250.0	1.0000000	0.7075046	0.4442636	0.7995334	0.0690422	0.1639097	0.3013012	0.5747567	1.0000000	1.0000000
300.0	1.0000000	0.8074269	0.4592946	0.6646174	0.0674831	0.3666255	0.4187031	0.4516062	1.0000000	1.0000000
