"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.5000000	0.3585393	0.2880588	0.7828953	0.0998548	0.2165381	0.3931503	0.5756106	1.0000000	1.0000000
1.0000000	0.4998140	0.5728879	0.7500271	0.2568203	0.2765853	0.4142060	0.5032247	1.0000000	1.0000000
1.0000000	0.7659042	0.2177343	0.6165742	0.0255043	0.3957838	0.4362138	0.4378910	1.0000000	1.0000000
1.0000000	0.9958708	0.2044185	0.1899866	0.1524403	0.4798164	0.6523851	0.2854688	1.0000000	1.0000000
1.0000000	0.7016839	0.4274769	0.6551033	0.0683275	0.3904645	0.4597097	0.4447289	1.0000000	1.0000000
1.0000000	0.4999963	0.3413373	0.6549950	0.0528010	0.1847866	0.4691423	0.4603496	1.0000000	1.0000000
1.0000000	0.4999963	0.3413373	0.6549950	0.0528010	0.4228256	0.2443916	0.4603496	1.0000000	1.0000000
1.0000000	0.4999963	0.3413373	0.6549950	0.0528010	0.3666397	0.4754215	0.2301748	1.0000000	1.0000000
1.0000000	0.7114583	0.2423322	0.5317438	0.0568429	0.4673115	0.5783002	0.3819856	0.5000000	1.0000000
1.0000000	0.7071053	0.1829828	0.5842552	0.0201618	0.4357201	0.4596040	0.4166819	1.0000000	0.5000000
