"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	0.3367969	0.5042156	0.3024793	0.6808068	0.0456632	0.3153230	0.4608906	0.4823485	1.0000000	1.0000000
100.0	0.1134322	0.1964681	0.3394744	0.7348213	0.0624069	0.2593246	0.4144519	0.5268521	1.0000000	1.0000000
150.0	0.0382036	0.0759112	0.3886769	0.8754368	0.1626027	0.1467217	0.2623805	0.6883657	1.0000000	1.0000000
200.0	0.0128669	0.0439312	0.4738365	0.9590657	0.2956300	0.0945003	0.1339374	0.8463162	1.0000000	1.0000000
250.0	0.0043335	0.0320607	0.5677256	0.9881029	0.4396585	0.0736339	0.0684569	0.9325910	1.0000000	1.0000000
300.0	0.0014595	0.0270069	0.6485492	0.9965739	0.5623732	0.0653398	0.0387365	0.9690507	1.0000000	1.0000000
350.0	0.0004916	0.0253458	0.7083333	0.9989241	0.6365209	0.0620437	0.0255932	0.9830575	1.0000000	1.0000000
400.0	0.0001656	0.0248906	0.7476804	0.9995725	0.6737292	0.0607338	0.0198243	0.9882317	1.0000000	1.0000000
450.0	0.0000558	0.0247730	0.7715771	0.9997544	0.6911411	0.0602133	0.0172994	0.9901041	1.0000000	1.0000000
500.0	0.0000188	0.0247429	0.7853347	0.9998068	0.6991958	0.0600064	0.0161958	0.9907713	1.0000000	1.0000000
550.0	0.0000063	0.0247352	0.7929691	0.9998224	0.7029839	0.0599242	0.0157139	0.9910055	1.0000000	1.0000000
600.0	0.0000021	0.0247332	0.7970964	0.9998271	0.7048145	0.0598915	0.0155036	0.9910865	1.0000000	1.0000000
650.0	0.0000007	0.0247327	0.7992865	0.9998286	0.7057235	0.0598786	0.0154119	0.9911142	1.0000000	1.0000000
700.0	0.0000002	0.0247326	0.8004335	0.9998291	0.7061845	0.0598734	0.0153720	0.9911235	1.0000000	1.0000000
750.0	0.0000001	0.0247326	0.8010290	0.9998292	0.7064216	0.0598713	0.0153545	0.9911266	1.0000000	1.0000000
800.0	0.0000000	0.0247326	0.8013365	0.9998292	0.7065443	0.0598705	0.0153470	0.9911277	1.0000000	1.0000000
850.0	0.0000000	0.0247326	0.8014948	0.9998293	0.7066081	0.0598702	0.0153437	0.9911280	1.0000000	1.0000000
900.0	0.0000000	0.0247326	0.8015762	0.9998293	0.7066412	0.0598701	0.0153422	0.9911281	1.0000000	1.0000000
950.0	0.0000000	0.0247326	0.8016180	0.9998293	0.7066583	0.0598700	0.0153416	0.9911281	1.0000000	1.0000000
1000.0	0.0000000	0.0247326	0.8016395	0.9998293	0.7066672	0.0598700	0.0153413	0.9911282	1.0000000	1.0000000

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.1394900	0.3065055	0.7660592	0.0728830	0.2259636	0.3964550	0.5574484	1.0000000	1.0000000
100.0	1.0000000	0.0356165	0.3820918	0.9050566	0.1661906	0.1287257	0.2277032	0.7398191	1.0000000	1.0000000
150.0	1.0000000	0.0090941	0.4780460	0.9729388	0.2865922	0.0872501	0.1117537	0.8947771	1.0000000	1.0000000
200.0	1.0000000	0.0023220	0.5713058	0.9932006	0.4353711	0.0707509	0.0574809	0.9666418	1.0000000	1.0000000
250.0	1.0000000	0.0005929	0.6504190	0.9983578	0.5621041	0.0641940	0.0336480	0.9908343	1.0000000	1.0000000
300.0	1.0000000	0.0001514	0.7093404	0.9996078	0.6369579	0.0615884	0.0232629	0.9976922	1.0000000	1.0000000
350.0	1.0000000	0.0000387	0.7482620	0.9999066	0.6740668	0.0605529	0.0187412	0.9994511	1.0000000	1.0000000
400.0	1.0000000	0.0000099	0.7719222	0.9999778	0.6913359	0.0601414	0.0167727	0.9998745	1.0000000	1.0000000
450.0	1.0000000	0.0000025	0.7855416	0.9999947	0.6993048	0.0599778	0.0159157	0.9999721	1.0000000	1.0000000
500.0	1.0000000	0.0000006	0.7930955	0.9999987	0.7030488	0.0599128	0.0155426	0.9999939	1.0000000	1.0000000
550.0	1.0000000	0.0000002	0.7971769	0.9999997	0.7048575	0.0598870	0.0153802	0.9999987	1.0000000	1.0000000
600.0	1.0000000	0.0000000	0.7993415	0.9999999	0.7057556	0.0598768	0.0153095	0.9999997	1.0000000	1.0000000
650.0	1.0000000	0.0000000	0.8004746	1.0000000	0.7062111	0.0598727	0.0152787	0.9999999	1.0000000	1.0000000
700.0	1.0000000	0.0000000	0.8010627	1.0000000	0.7064453	0.0598711	0.0152653	1.0000000	1.0000000	1.0000000
750.0	1.0000000	0.0000000	0.8013664	1.0000000	0.7065666	0.0598704	0.0152595	1.0000000	1.0000000	1.0000000
800.0	1.0000000	0.0000000	0.8015226	1.0000000	0.7066296	0.0598702	0.0152569	1.0000000	1.0000000	1.0000000
850.0	1.0000000	0.0000000	0.8016030	1.0000000	0.7066623	0.0598701	0.0152558	1.0000000	1.0000000	1.0000000
900.0	1.0000000	0.0000000	0.8016442	1.0000000	0.7066792	0.0598700	0.0152554	1.0000000	1.0000000	1.0000000
950.0	1.0000000	0.0000000	0.8016654	1.0000000	0.7066880	0.0598700	0.0152552	1.0000000	1.0000000	1.0000000
1000.0	1.0000000	0.0000000	0.8016764	1.0000000	0.7066925	0.0598700	0.0152551	1.0000000	1.0000000	1.0000000

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.6313792	0.1061032	0.6713451	0.0407513	0.3242107	0.4653762	0.4763721	1.0000000	1.0000000
100.0	1.0000000	0.4787300	0.0456590	0.6392504	0.0266009	0.3677187	0.4783890	0.4545123	1.0000000	1.0000000
150.0	1.0000000	0.2737730	0.0196483	0.7076904	0.0382682	0.2950762	0.4340834	0.5088128	1.0000000	1.0000000
200.0	1.0000000	0.3645602	0.0084552	0.8203960	0.0747490	0.1756874	0.3232052	0.6112500	1.0000000	1.0000000
250.0	1.0000000	0.6622092	0.0036385	0.7995733	0.0550825	0.1613909	0.3118551	0.5816072	1.0000000	1.0000000
300.0	1.0000000	0.6381363	0.0015657	0.6699455	0.0247280	0.3188329	0.4049985	0.4758791	1.0000000	1.0000000
350.0	1.0000000	0.3236607	0.0006738	0.6484393	0.0192246	0.3695310	0.4457705	0.4623740	1.0000000	1.0000000
400.0	1.0000000	0.1772271	0.0002899	0.7835704	0.0599506	0.2279871	0.3538245	0.5806300	1.0000000	1.0000000
450.0	1.0000000	0.5393690	0.0001248	0.8714183	0.0955032	0.1345087	0.2462212	0.6678302	1.0000000	1.0000000
500.0	1.0000000	0.7940865	0.0000537	0.7447568	0.0442423	0.2285744	0.3300902	0.5368884	1.0000000	1.0000000
550.0	1.0000000	0.6429786	0.0000231	0.5923628	0.0179758	0.4298566	0.4494783	0.4235873	1.0000000	1.0000000
600.0	1.0000000	0.2723877	0.0000099	0.6140938	0.0193483	0.4286050	0.4767648	0.4414218	1.0000000	1.0000000
650.0	1.0000000	0.1815008	0.0000043	0.7890210	0.0754751	0.2426999	0.3563650	0.5922916	1.0000000	1.0000000
700.0	1.0000000	0.6237784	0.0000018	0.8601216	0.0950580	0.1449861	0.2594136	0.6536234	1.0000000	1.0000000
750.0	1.0000000	0.8250954	0.0000008	0.7045647	0.0398609	0.2831553	0.3634736	0.5054126	1.0000000	1.0000000
800.0	1.0000000	0.6267215	0.0000003	0.5649373	0.0164698	0.4607418	0.4731809	0.4056784	1.0000000	1.0000000
850.0	1.0000000	0.2549667	0.0000001	0.6088810	0.0215334	0.4345377	0.4878976	0.4389816	1.0000000	1.0000000
900.0	1.0000000	0.2041380	0.0000001	0.7933624	0.0821405	0.2408724	0.3566444	0.5980324	1.0000000	1.0000000
950.0	1.0000000	0.6584720	0.0000000	0.8487768	0.0905441	0.1498923	0.2718646	0.6394394	1.0000000	1.0000000
1000.0	1.0000000	0.8278658	0.0000000	0.6849288	0.0369412	0.3074638	0.3808053	0.4902251	1.0000000	1.0000000

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.6569043	0.2478663	0.1642568	0.0638651	0.3250821	0.4658098	0.4757647	1.0000000	1.0000000
100.0	1.0000000	0.7982203	0.1806615	0.0390644	0.1249169	0.4032456	0.4971741	0.4285549	1.0000000	1.0000000
150.0	1.0000000	0.9325034	0.1661235	0.0092905	0.1757392	0.4777331	0.5455969	0.3716962	1.0000000	1.0000000
200.0	1.0000000	0.9796956	0.1873772	0.0022095	0.1952097	0.5105327	0.5898303	0.3272238	1.0000000	1.0000000
250.0	1.0000000	0.9934136	0.2137147	0.0005255	0.2021948	0.5131058	0.6211618	0.3030959	1.0000000	1.0000000
300.0	1.0000000	0.9973309	0.2337986	0.0001250	0.2061324	0.5044941	0.6402757	0.2921164	1.0000000	1.0000000
350.0	1.0000000	0.9984922	0.2471168	0.0000297	0.2100026	0.4947072	0.6501175	0.2875548	1.0000000	1.0000000
400.0	1.0000000	0.9988814	0.2560265	0.0000071	0.2141395	0.4873025	0.6541083	0.2857577	1.0000000	1.0000000
450.0	1.0000000	0.9990506	0.2625593	0.0000017	0.2181482	0.4827546	0.6550553	0.2850693	1.0000000	1.0000000
500.0	1.0000000	0.9991507	0.2678234	0.0000004	0.2217734	0.4804146	0.6547506	0.2848054	1.0000000	1.0000000
550.0	1.0000000	0.9992228	0.2723019	0.0000001	0.2249984	0.4794511	0.6541261	0.2846995	1.0000000	1.0000000
600.0	1.0000000	0.9992794	0.2762053	0.0000000	0.2279007	0.4792075	0.6535700	0.2846519	1.0000000	1.0000000
650.0	1.0000000	0.9993256	0.2796550	0.0000000	0.2305557	0.4792686	0.6531884	0.2846267	1.0000000	1.0000000
700.0	1.0000000	0.9993643	0.2827419	0.0000000	0.2330157	0.4794141	0.6529685	0.2846105	1.0000000	1.0000000
750.0	1.0000000	0.9993973	0.2855385	0.0000000	0.2353162	0.4795481	0.6528622	0.2845987	1.0000000	1.0000000
800.0	1.0000000	0.9994261	0.2881013	0.0000000	0.2374842	0.4796419	0.6528231	0.2845892	1.0000000	1.0000000
850.0	1.0000000	0.9994514	0.2904739	0.0000000	0.2395417	0.4796970	0.6528176	0.2845813	1.0000000	1.0000000
900.0	1.0000000	0.9994741	0.2926906	0.0000000	0.2415075	0.4797242	0.6528255	0.2845744	1.0000000	1.0000000
950.0	1.0000000	0.9994946	0.2947786	0.0000000	0.2433975	0.4797347	0.6528365	0.2845683	1.0000000	1.0000000
1000.0	1.0000000	0.9995132	0.2967600	0.0000000	0.2452256	0.4797366	0.6528462	0.2845629	1.0000000	1.0000000

0.0	1.0000000	0.5463050	0.2465644	0.6906608	0.0600905	0.3106933	0.4771699	0.4945624	1.0000000	1.0000000
50.0	1.0000000	0.5286410	0.3000777	0.6795288	0.0192150	0.3167699	0.4616228	0.4813725	1.0000000	1.0000000
100.0	1.0000000	0.2282154	0.3297001	0.7192916	0.0061443	0.2765798	0.4270880	0.5131173	1.0000000	1.0000000
150.0	1.0000000	0.0802998	0.3615762	0.8589037	0.0019647	0.1580229	0.2833674	0.6647991	1.0000000	1.0000000
200.0	1.0000000	0.0390125	0.4135708	0.9528882	0.0006283	0.0990662	0.1458138	0.8329033	1.0000000	1.0000000
250.0	1.0000000	0.0283805	0.4625112	0.9866097	0.0002009	0.0754487	0.0736801	0.9299353	1.0000000	1.0000000
300.0	1.0000000	0.0256640	0.4956980	0.9962914	0.0000642	0.0660610	0.0409672	0.9698219	1.0000000	1.0000000
